	Hugo_Symbol
0	ERCC2
1	TAF1L
2	FAM179B
3	FAT4
4	EIF4A2
5	PCDH9
6	CNNM4
7	DNAAF2
8	SAMD15
9	TCHH
10	SIGLEC10
11	CASP1
12	DCAF12
13	EIF2B4
14	FAM83G
15	PTGER2
16	UBA52
17	UGT2B15
18	CATSPER1
19	FANCM
20	FASTKD3
21	ICAM5
22	KDM3A
23	MAPK3
24	MCM4
25	MST1R
26	MYCN
27	TOR1AIP1
28	HRC
29	ALG10
30	ANGPTL4
31	ANKZF1
32	ATAD5
33	CDK9
34	CEBPZ
35	CES2
36	CYP26A1
37	EPHX3
38	ESPL1
39	GYS1
40	KEL
41	KRT5
42	KRT83
43	MPND
44	MRPL44
45	NEURL4
46	POLM
47	RAD23A
48	RBP1
49	SIGLEC12
50	SIX3
51	SMG8
52	SPOCD1
53	TAF11
54	TSR1
55	ZC3H12A
56	ZC3HC1
57	ZNF671
58	ARHGEF17
59	MCM3AP
60	PDSS2
61	ABHD15
62	ALG2
63	ALKBH5
64	ANXA9
65	ARID2
66	ATP8B3
67	BAP1
68	BOP1
69	CHRD
70	CIAO1
71	COL7A1
72	ERP29
73	EXOSC9
74	FGB
75	FLAD1
76	FST
77	GATB
78	GLTP
79	GPR37
80	GPR39
81	HACL1
82	HDAC11
83	IFI44
84	IRF2BP2
85	IRX2
86	KAT2A
87	KIFC2
88	KMT2B
89	KNSTRN
90	KPNA2
91	KRT20
92	KRT24
93	KRT77
94	KRT79
95	KRT9
96	LEMD3
97	LETMD1
98	LILRA6
99	LILRB5
100	MAGEC1
101	MN1
102	MPHOSPH10
103	MRPS31
104	MYPOP
105	NOA1
106	NUDT22
107	PABPC4
108	PLK3
109	PLTP
110	PNN
111	PRPH
112	PRR14
113	PTGER4
114	RABGGTA
115	RANBP6
116	RBP4
117	RND1
118	RNF128
119	RPUSD3
120	SBDS
121	SDPR
122	SLC27A2
123	SLCO4C1
124	SMPD1
125	TBC1D10C
126	TFPT
127	THG1L
128	TRIM8
129	TRIP13
130	TRMT2A
131	TRMT61B
132	TST
133	UGT2A3
134	ULK1
135	WDR66
136	WNK1
137	WRAP53
138	ZNF622
139	ANAPC2
140	HSPA5
141	LSG1
142	MFRP
143	NFS1
144	ABHD10
145	ACADS
146	ADRM1
147	ALKBH1
148	AQP1
149	AQP5
150	ARSJ
151	ASIC1
152	ATF6B
153	ATG4D
154	ATHL1
155	ATP5B
156	B4GALT3
157	BDP1
158	BTBD11
159	C19orf26
160	C1orf131
161	C6orf136
162	C9orf172
163	CA9
164	CAMLG
165	CAMSAP2
166	CCDC151
167	CCNL2
168	CD300C
169	CDAN1
170	CDC20
171	CDC6
172	CDK11A
173	CHPF2
174	CILP2
175	CLEC4E
176	CNNM1
177	CNNM3
178	CNTROB
179	COMP
180	CPA3
181	CREB3
182	CST1
183	CYP27A1
184	DBR1
185	DHX16
186	DLL4
187	DNAH11
188	DNAJC28
189	DUOX2
190	EAF2
191	ECI2
192	EEF2
193	EEPD1
194	EIF2B5
195	EIF4A3
196	EN1
197	EP300
198	EXOC4
199	EXOSC5
200	FADD
201	FAM102A
202	FAM219B
203	FAM21C
204	FANCG
205	FBXO4
206	FGA
207	FGG
208	FOLH1
209	GCSAM
210	GDF6
211	GPR89B
212	GPS1
213	GTF3C1
214	HCN3
215	HMCN1
216	HMGN1
217	HSP90AB1
218	IKBIP
219	JPH4
220	KAT5
221	KCNH3
222	KIAA1407
223	KIF14
224	KIF3C
225	KIF4B
226	KLK6
227	KRT10
228	KRT17
229	KRT33B
230	KRT4
231	KRT6A
232	KRT80
233	KRT85
234	LAMP5
235	LGR5
236	LILRB3
237	LMAN2
238	LMAN2L
239	LRIF1
240	LRRCC1
241	LRWD1
242	LSM14B
243	MAGED2
244	MALSU1
245	MAN1B1
246	MAN2A1
247	MAT2A
248	MCM7
249	METTL5
250	MGME1
251	MLST8
252	MMP10
253	MOV10
254	MS4A2
255	MS4A8
256	MST1
257	MTRF1
258	NAT10
259	NEFM
260	NES
261	NISCH
262	NOC2L
263	NUAK2
264	NUCB1
265	OLFML1
266	PAK1IP1
267	PATZ1
268	PEX6
269	PHB2
270	PIGB
271	PIGO
272	PITHD1
273	PLK4
274	PLRG1
275	PNPT1
276	PNRC1
277	POLQ
278	PPIL4
279	PPM1D
280	PRAM1
281	PRF1
282	PRSS16
283	PSAT1
284	PSMD2
285	PTGER3
286	PYGO2
287	QARS
288	RBL1
289	ROBO4
290	RPL26
291	RPP40
292	RPTN
293	SART3
294	SECISBP2
295	SERHL2
296	SEZ6L2
297	SFRP2
298	SH3RF1
299	SHC4
300	SHOX2
301	SIGLEC7
302	SKIV2L
303	SLC20A1
304	SMC4
305	SP100
306	SRMS
307	SRP68
308	STK19
309	SUPT7L
310	TAGLN3
311	TARS
312	TBC1D10A
313	TBC1D8B
314	TBX19
315	TELO2
316	TFPI2
317	TGFB1I1
318	THEM5
319	TIMP4
320	TMC8
321	TMEM106C
322	TMEM132A
323	TMEM143
324	TMEM79
325	TRIB2
326	TRIM45
327	TRMT1L
328	TROAP
329	TUBB4A
330	TUBG1
331	TYW3
332	UFL1
333	VAT1
334	VCAM1
335	VIM
336	WDR45B
337	ZBTB48
338	ZNF572
339	ZSCAN9
340	ZXDC
341	C9orf78
342	CCDC88B
343	DCLRE1A
344	AAGAB
345	AAMP
346	ABCB8
347	ABHD1
348	ABHD3
349	ACCS
350	ACOT2
351	ACOT8
352	ADAMTS14
353	ADCY4
354	ADORA3
355	AEBP1
356	AES
357	AGA
358	AGL
359	AHSA1
360	AIMP2
361	AKAP17A
362	AKR1C4
363	ALAS1
364	ALG5
365	ALOXE3
366	AMTN
367	ANKRD40
368	ANO8
369	AP3B1
370	AP4B1
371	APEH
372	APMAP
373	APOC1
374	ARFRP1
375	ARHGAP20
376	ARMC7
377	ASB16
378	ASGR1
379	ASNA1
380	ATP10A
381	ATP2A1
382	ATP5SL
383	ATP6AP1
384	ATP8B2
385	AURKC
386	AUTS2
387	B3GNT4
388	BAG6
389	BATF3
390	BCDIN3D
391	BCL10
392	BHLHE40
393	BIRC5
394	BLNK
395	BMP5
396	BNIP1
397	BRF2
398	BUD13
399	C10orf88
400	C14orf105
401	C18orf8
402	C1QTNF2
403	C1orf43
404	C21orf58
405	C7orf60
406	CAAP1
407	CACTIN
408	CARD10
409	CASC4
410	CASQ2
411	CCDC17
412	CCDC64B
413	CCDC74A
414	CCDC86
415	CCL22
416	CCNL1
417	CCT2
418	CD19
419	CD1A
420	CD1C
421	CD2
422	CDC7
423	CDK7
424	CDT1
425	CENPH
426	CGRRF1
427	CHAD
428	CHCHD7
429	CHI3L1
430	CHPF
431	CHSY3
432	CIR1
433	CLDN1
434	CLEC5A
435	COG2
436	COG4
437	COL1A1
438	COL4A2
439	COL9A1
440	COPS3
441	COPS8
442	COQ9
443	CPA4
444	CPXM1
445	CRABP1
446	CST7
447	CTSA
448	CTSF
449	CUL9
450	CYP27B1
451	CYP2R1
452	CYP2S1
453	CYP4F12
454	CYP4F2
455	CYP4F8
456	DBI
457	DCAF13
458	DCLRE1B
459	DCTPP1
460	DDX10
461	DDX27
462	DDX43
463	DDX5
464	DENND1C
465	DENR
466	DHDH
467	DHX40
468	DIS3L
469	DLEC1
470	DLX4
471	DNAAF3
472	DNAH17
473	DNAJC11
474	DNASE2
475	DSG3
476	DSP
477	DTNBP1
478	DUS1L
479	DUSP10
480	DUT
481	DYNC2H1
482	E2F7
483	EAPP
484	EDN2
485	EEF1A2
486	EEFSEC
487	EFEMP1
488	EFHD2
489	EIF3K
490	EIF4G2
491	ELP5
