Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-2F-A9KO-01A-11D-A38G-08	357	144	36	0
TCGA-2F-A9KP-01A-11D-A38G-08	29	29	63	13
TCGA-2F-A9KQ-01A-11D-A38G-08	7	7	44	3
TCGA-2F-A9KR-01A-11D-A38G-08	74	83	30	27
TCGA-2F-A9KT-01A-11D-A38G-08	171	90	42	26
TCGA-2F-A9KW-01A-11D-A38G-08	8	22	71	7
TCGA-4Z-AA7M-01A-11D-A391-08	245	133	104	0
TCGA-4Z-AA7N-01A-11D-A391-08	1	7	9	0
TCGA-4Z-AA7O-01A-31D-A391-08	55	42	87	15
TCGA-4Z-AA7Q-01A-11D-A391-08	139	31	67	5
TCGA-4Z-AA7R-01A-11D-A391-08	179	102	38	27
TCGA-4Z-AA7S-01A-11D-A391-08	0	3	44	11
TCGA-4Z-AA7W-01A-11D-A391-08	354	128	21	0
TCGA-4Z-AA7Y-01A-11D-A391-08	144	94	27	8
TCGA-4Z-AA80-01A-11D-A391-08	160	94	93	58
TCGA-4Z-AA81-01A-11D-A391-08	79	75	31	15
TCGA-4Z-AA82-01A-11D-A391-08	18	27	64	1
TCGA-4Z-AA83-01A-11D-A391-08	17	15	42	8
TCGA-4Z-AA84-01A-11D-A391-08	10	299	170	3
TCGA-4Z-AA86-01A-11D-A391-08	133	47	23	8
TCGA-4Z-AA87-01A-11D-A391-08	89	38	83	15
TCGA-4Z-AA89-01A-11D-A391-08	64	29	34	0
TCGA-5N-A9KI-01A-31D-A42E-08	37	55	66	22
TCGA-5N-A9KM-01A-11D-A42E-08	4	30	192	0
TCGA-BL-A0C8-01A-11D-A271-08	27	18	76	14
TCGA-BL-A13I-01A-11D-A271-08	49	10	65	0
TCGA-BL-A13J-01A-11D-A271-08	38	13	48	0
TCGA-BL-A3JM-01A-12D-A21A-08	56	37	94	6
TCGA-BL-A5ZZ-01A-31D-A30E-08	22	37	84	5
TCGA-BT-A0S7-01A-11D-A10S-08	0	0	34	6
