Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M
TCGA-3C-AAAU-01A-11D-A41F-09	2	2	0	13	7	0	2	6	2	4	6	2	1
TCGA-3C-AALI-01A-11D-A41F-09	210	278	105	16	0	0	81	77	0	0	7	0	18
TCGA-3C-AALJ-01A-31D-A41F-09	1	0	17	5	0	23	4	1	4	0	0	1	0
TCGA-3C-AALK-01A-11D-A41F-09	6	5	0	15	6	2	2	2	9	12	7	0	0
TCGA-4H-AAAK-01A-12D-A41F-09	0	0	1	9	5	0	7	0	4	0	3	0	6
TCGA-5L-AAT0-01A-12D-A41F-09	75	47	39	0	0	0	19	77	0	0	0	0	0
TCGA-5L-AAT1-01A-12D-A41F-09	614	529	327	0	0	0	140	326	0	0	0	0	0
TCGA-5T-A9QA-01A-11D-A41F-09	1	0	0	15	0	12	0	6	7	0	0	0	24
TCGA-A1-A0SD-01A-11D-A10Y-09	2	0	3	4	1	26	2	0	2	0	0	0	0
TCGA-A1-A0SE-01A-11D-A099-09	1	0	0	3	3	0	4	11	4	0	0	6	3
TCGA-A1-A0SF-01A-11D-A142-09	20	3	3	8	2	0	1	17	0	2	0	0	0
TCGA-A1-A0SG-01A-11D-A142-09	0	1	0	6	2	3	6	5	2	0	3	2	0
TCGA-A1-A0SH-01A-11D-A099-09	28	25	24	4	0	0	0	23	0	17	6	0	3
TCGA-A1-A0SI-01A-11D-A142-09	64	88	64	0	0	0	15	28	0	0	0	0	0
TCGA-A1-A0SJ-01A-11D-A099-09	3	0	1	11	2	0	0	4	1	1	4	0	4
TCGA-A1-A0SK-01A-12D-A099-09	1	0	7	3	0	36	4	2	6	0	21	0	6
TCGA-A1-A0SM-01A-11D-A099-09	0	0	0	7	1	0	6	1	3	0	2	18	1
TCGA-A1-A0SN-01A-11D-A142-09	4	15	2	13	1	0	8	8	6	0	10	17	2
TCGA-A1-A0SO-01A-22D-A099-09	14	15	5	0	11	64	3	8	40	49	63	34	67
TCGA-A1-A0SP-01A-11D-A099-09	1	0	4	12	5	0	0	8	12	0	12	0	6
TCGA-A1-A0SQ-01A-21D-A142-09	3	1	3	14	2	1	3	5	0	0	3	0	1
TCGA-A2-A04N-01A-11D-A10Y-09	4	1	0	7	3	5	9	2	6	0	0	14	3
TCGA-A2-A04P-01A-31D-A128-09	4	8	24	6	8	9	3	0	12	0	49	27	15
TCGA-A2-A04Q-01A-21W-A050-09	3	4	0	7	4	0	0	7	7	8	12	7	9
TCGA-A2-A04R-01A-41D-A117-09	1	7	0	7	10	7	4	4	7	11	24	0	19
TCGA-A2-A04T-01A-21W-A050-09	5	8	0	3	7	19	2	4	8	0	26	22	15
TCGA-A2-A04U-01A-11D-A10Y-09	0	0	6	4	4	27	5	4	0	0	12	0	3
TCGA-A2-A04V-01A-21W-A050-09	3	2	1	0	0	26	2	3	4	3	0	5	1
TCGA-A2-A04W-01A-31D-A10Y-09	34	44	61	8	1	0	15	19	0	0	0	0	3
TCGA-A2-A04X-01A-21W-A050-09	11	10	0	5	3	5	0	5	1	0	6	0	4
TCGA-A2-A04Y-01A-21W-A050-09	4	4	7	1	0	17	6	2	4	5	0	0	11
TCGA-A2-A0CK-01A-11D-A228-09	3	0	0	9	3	7	0	3	1	0	0	0	5
TCGA-A2-A0CL-01A-11D-A10Y-09	46	52	22	7	0	19	11	12	0	0	0	0	0
TCGA-A2-A0CM-01A-31W-A050-09	12	13	5	2	1	0	0	15	9	4	0	14	9
TCGA-A2-A0CP-01A-11W-A050-09	3	0	8	4	10	0	3	2	24	5	0	76	23
TCGA-A2-A0CQ-01A-21W-A050-09	2	2	0	11	1	0	0	0	16	7	14	9	0
TCGA-A2-A0CR-01A-11D-A228-09	70	68	13	1	0	16	9	23	0	0	0	0	1
TCGA-A2-A0CS-01A-11D-A10Y-09	1	0	1	13	4	5	2	0	3	0	1	16	4
TCGA-A2-A0CT-01A-31W-A071-09	20	15	0	19	3	27	10	19	7	0	0	5	10
TCGA-A2-A0CU-01A-12W-A050-09	5	4	1	7	3	4	3	1	16	0	6	12	3
TCGA-A2-A0CV-01A-31D-A10Y-09	0	2	0	9	2	0	4	0	1	0	0	2	4
TCGA-A2-A0CW-01A-21D-A10Y-09	14	6	0	5	0	15	4	2	1	7	8	8	1
TCGA-A2-A0CX-01A-21W-A019-09	129	83	41	14	2	0	27	46	8	4	6	6	4
TCGA-A2-A0D0-01A-11W-A019-09	3	12	4	7	8	9	4	4	7	0	23	15	1
TCGA-A2-A0D1-01A-11W-A050-09	12	8	0	6	19	26	6	4	8	0	20	5	4
TCGA-A2-A0D2-01A-21W-A050-09	0	14	0	3	17	5	1	10	14	5	38	0	4
TCGA-A2-A0D3-01A-11D-A10Y-09	1	0	0	17	0	5	3	0	2	0	0	2	4
TCGA-A2-A0D4-01A-11W-A019-09	1	2	8	6	3	0	4	0	3	0	1	13	5
TCGA-A2-A0EM-01A-11W-A050-09	2	0	2	4	4	0	1	5	7	4	2	16	3
TCGA-A2-A0EN-01A-13D-A099-09	1	0	0	1	2	25	5	1	3	0	0	0	0
TCGA-A2-A0EO-01A-11W-A050-09	5	0	1	3	2	9	2	0	8	0	0	21	2
TCGA-A2-A0EP-01A-52D-A22X-09	0	4	0	0	3	4	0	7	0	2	0	0	0
TCGA-A2-A0EQ-01A-11W-A050-09	54	99	82	12	10	0	5	30	0	0	2	13	0
TCGA-A2-A0ER-01A-21W-A050-09	0	2	3	6	8	6	2	3	0	0	11	8	0
TCGA-A2-A0ES-01A-11D-A10Y-09	0	0	1	2	1	5	0	3	2	0	0	0	0
TCGA-A2-A0ET-01A-31D-A045-09	1	1	4	21	2	0	6	7	3	4	0	3	10
TCGA-A2-A0EU-01A-22W-A071-09	3	2	0	14	6	20	4	3	1	0	0	0	0
TCGA-A2-A0EV-01A-11W-A050-09	2	3	0	11	1	0	12	17	13	0	5	14	4
TCGA-A2-A0EW-01A-21D-A10Y-09	0	1	0	4	5	0	3	1	2	0	1	0	3
TCGA-A2-A0EX-01A-21W-A050-09	3	1	0	0	0	18	0	3	6	0	0	4	3
TCGA-A2-A0EY-01A-11W-A050-09	98	49	22	15	0	20	35	38	10	0	10	0	15
TCGA-A2-A0ST-01A-12D-A099-09	1	2	0	0	3	10	1	4	1	0	0	0	1
TCGA-A2-A0SU-01A-11D-A099-09	1	0	4	8	0	0	0	0	8	1	3	9	2
TCGA-A2-A0SV-01A-11D-A099-09	0	0	1	8	5	9	4	3	10	0	0	3	0
TCGA-A2-A0SW-01A-11D-A099-09	6	6	2	2	11	23	3	11	1	0	1	0	0
TCGA-A2-A0SX-01A-12D-A099-09	6	2	0	7	6	0	0	3	1	14	0	5	0
TCGA-A2-A0SY-01A-31D-A099-09	40	51	7	4	0	15	16	23	7	0	0	0	0
TCGA-A2-A0T0-01A-22D-A099-09	8	14	9	11	31	2	6	0	15	16	63	10	28
TCGA-A2-A0T1-01A-21D-A099-09	0	0	1	3	5	10	4	1	2	0	0	3	0
TCGA-A2-A0T2-01A-11W-A097-09	4	0	0	3	7	11	0	0	0	0	11	2	1
TCGA-A2-A0T3-01A-21D-A10Y-09	1	0	4	11	1	0	2	0	3	1	3	5	10
TCGA-A2-A0T4-01A-31D-A099-09	3	0	1	9	5	0	0	0	5	0	11	0	1
TCGA-A2-A0T5-01A-21D-A099-09	1	0	0	4	0	2	1	0	0	0	1	7	0
TCGA-A2-A0T6-01A-11D-A099-09	3	0	0	9	0	8	2	0	2	0	0	2	0
TCGA-A2-A0T7-01A-21D-A099-09	2	0	0	7	2	6	2	1	0	0	1	0	1
TCGA-A2-A0YC-01A-11D-A117-09	4	2	0	6	2	0	0	0	1	0	11	0	4
TCGA-A2-A0YD-01A-11D-A10G-09	18	13	14	5	0	9	18	10	3	0	1	4	0
TCGA-A2-A0YE-01A-11D-A10G-09	5	0	0	10	1	2	2	5	3	6	0	0	8
TCGA-A2-A0YF-01A-21D-A10G-09	1	0	0	6	0	0	1	1	0	17	0	11	2
TCGA-A2-A0YG-01A-21D-A10G-09	3	1	0	8	6	14	5	7	11	0	3	7	5
TCGA-A2-A0YH-01A-11D-A10G-09	13	22	13	2	0	29	6	9	3	3	1	0	3
TCGA-A2-A0YI-01A-31D-A10M-09	0	1	0	0	2	5	1	3	0	0	0	0	3
TCGA-A2-A0YJ-01A-11D-A10G-09	1	5	0	15	7	9	5	0	9	5	21	7	4
TCGA-A2-A0YK-01A-22D-A117-09	160	168	55	0	0	2	24	49	0	11	0	0	0
TCGA-A2-A0YL-01A-21D-A10G-09	12	7	4	1	0	10	0	8	4	0	0	0	3
TCGA-A2-A0YM-01A-11D-A10G-09	9	8	18	18	4	7	9	5	0	0	8	5	6
TCGA-A2-A0YT-01A-11D-A10G-09	5	1	2	19	8	0	14	5	2	0	14	0	6
TCGA-A2-A1FV-01A-11D-A13L-09	6	0	0	10	1	15	1	3	5	0	3	0	0
TCGA-A2-A1FW-01A-11D-A13L-09	1	4	0	11	12	24	7	7	8	6	0	3	7
TCGA-A2-A1FX-01A-11D-A13L-09	0	0	0	5	0	0	3	4	1	10	3	2	1
TCGA-A2-A1FZ-01A-51D-A17G-09	0	0	4	1	6	12	0	3	0	0	0	3	1
TCGA-A2-A1G0-01A-11D-A13L-09	4	0	0	0	0	9	1	0	5	0	0	4	2
TCGA-A2-A1G1-01A-21D-A13L-09	2	0	0	0	2	16	1	2	4	2	10	0	2
TCGA-A2-A1G4-01A-11D-A13L-09	3	1	0	3	2	9	1	2	3	0	0	8	1
TCGA-A2-A1G6-01A-11D-A13L-09	0	2	0	1	2	0	0	0	0	0	4	0	1
TCGA-A2-A259-01A-11D-A16D-09	3	0	1	2	0	6	1	2	4	0	3	0	0
TCGA-A2-A25A-01A-12D-A16D-09	30	25	0	0	2	0	0	1	0	118	0	0	323
TCGA-A2-A25B-01A-11D-A167-09	4	0	12	10	6	0	7	12	14	8	24	13	17
TCGA-A2-A25C-01A-11D-A167-09	1	1	0	0	10	2	0	8	0	16	2	0	3
TCGA-A2-A25D-01A-12D-A16D-09	5	4	2	5	5	12	0	5	10	0	0	9	5
TCGA-A2-A25E-01A-11D-A167-09	5	0	9	4	6	0	2	0	6	2	19	8	6
TCGA-A2-A25F-01A-11D-A167-09	0	0	0	0	0	0	0	0	1	1	0	4	1
TCGA-A2-A3KD-01A-12D-A20S-09	1	0	0	7	2	2	0	4	3	0	0	2	0
TCGA-A2-A3XT-01A-11D-A22X-09	5	19	17	0	9	20	1	0	5	14	24	6	2
TCGA-A2-A3XU-01A-12D-A22X-09	1	0	0	10	4	5	1	0	3	4	4	0	1
TCGA-A2-A3XV-01A-21D-A23C-09	0	0	2	9	5	0	4	3	10	0	1	9	6
TCGA-A2-A3XW-01A-11D-A23C-09	2	0	0	2	0	0	3	1	0	0	3	2	2
TCGA-A2-A3XX-01A-21D-A23C-09	3	2	0	9	3	0	7	0	8	0	18	1	9
TCGA-A2-A3XZ-01A-42D-A23C-09	8	10	7	8	1	3	6	6	4	0	2	0	2
TCGA-A2-A3Y0-01A-11D-A23C-09	11	43	0	20	30	0	4	2	32	7	70	17	19
TCGA-A2-A4S1-01A-21D-A25Q-09	4	6	0	16	10	0	0	0	3	14	15	20	10
TCGA-A2-A4S2-01A-12D-A25Q-09	5	0	1	3	3	14	0	0	4	1	1	5	5
TCGA-A2-A4S3-01A-21D-A25Q-09	5	4	21	8	7	20	3	5	5	16	0	6	10
TCGA-A7-A0CD-01A-11W-A019-09	0	0	0	9	1	18	0	1	5	1	5	0	1
TCGA-A7-A0CE-01A-11W-A019-09	5	12	5	5	12	9	10	15	10	0	37	40	14
TCGA-A7-A0CG-01A-11W-A019-09	15	4	4	19	9	3	7	0	5	0	12	1	2
TCGA-A7-A0CJ-01A-21W-A019-09	4	3	0	10	14	16	5	0	16	0	12	1	15
TCGA-A7-A0D9-01A-31W-A071-09	4	2	0	4	4	2	0	2	0	4	0	5	0
