Samples	SBS96A	SBS96B	SBS96C
TCGA-2F-A9KO-01A-11D-A38G-08	550	22	62
TCGA-2F-A9KP-01A-11D-A38G-08	49	65	25
TCGA-2F-A9KQ-01A-11D-A38G-08	10	56	6
TCGA-2F-A9KR-01A-11D-A38G-08	144	25	88
TCGA-2F-A9KT-01A-11D-A38G-08	292	31	71
TCGA-2F-A9KW-01A-11D-A38G-08	25	78	23
TCGA-4Z-AA7M-01A-11D-A391-08	416	102	70
TCGA-4Z-AA7N-01A-11D-A391-08	12	8	3
TCGA-4Z-AA7O-01A-31D-A391-08	91	103	32
TCGA-4Z-AA7Q-01A-11D-A391-08	201	74	0
TCGA-4Z-AA7R-01A-11D-A391-08	278	34	93
TCGA-4Z-AA7S-01A-11D-A391-08	0	54	5
TCGA-4Z-AA7W-01A-11D-A391-08	601	19	7
TCGA-4Z-AA7Y-01A-11D-A391-08	231	5	87
TCGA-4Z-AA80-01A-11D-A391-08	242	112	104
TCGA-4Z-AA81-01A-11D-A391-08	139	25	74
TCGA-4Z-AA82-01A-11D-A391-08	39	73	9
TCGA-4Z-AA83-01A-11D-A391-08	31	59	11
TCGA-4Z-AA84-01A-11D-A391-08	169	85	363
TCGA-4Z-AA86-01A-11D-A391-08	195	19	38
TCGA-4Z-AA87-01A-11D-A391-08	145	90	30
TCGA-4Z-AA89-01A-11D-A391-08	106	31	12
TCGA-5N-A9KI-01A-31D-A42E-08	68	67	55
TCGA-5N-A9KM-01A-11D-A42E-08	30	213	0
TCGA-BL-A0C8-01A-11D-A271-08	57	93	10
TCGA-BL-A13I-01A-11D-A271-08	60	71	0
TCGA-BL-A13J-01A-11D-A271-08	59	55	0
TCGA-BL-A3JM-01A-12D-A21A-08	91	107	29
TCGA-BL-A5ZZ-01A-31D-A30E-08	58	109	19
TCGA-BT-A0S7-01A-11D-A10S-08	0	43	0
TCGA-BT-A0YX-01A-11D-A10S-08	633	0	111
TCGA-BT-A20J-01A-11D-A14W-08	364	21	148
TCGA-BT-A20N-01A-11D-A14W-08	115	165	0
TCGA-BT-A20O-01A-21D-A14W-08	86	108	8
TCGA-BT-A20P-01A-11D-A14W-08	58	37	0
TCGA-BT-A20Q-01A-11D-A14W-08	50	28	27
TCGA-BT-A20R-01A-12D-A16O-08	183	24	81
TCGA-BT-A20T-01A-11D-A14W-08	202	9	99
TCGA-BT-A20U-01A-11D-A14W-08	71	16	16
TCGA-BT-A20V-01A-11D-A14W-08	23	75	13
TCGA-BT-A20W-01A-21D-A14W-08	23	54	0
TCGA-BT-A20X-01A-11D-A16O-08	15	61	2
TCGA-BT-A2LA-01A-11D-A18F-08	52	132	11
TCGA-BT-A2LB-01A-11D-A18F-08	219	160	358
TCGA-BT-A2LD-01A-12D-A20D-08	13	91	10
TCGA-BT-A3PH-01A-11D-A21Z-08	506	27	0
TCGA-BT-A3PJ-01A-21D-A21Z-08	298	76	225
TCGA-BT-A3PK-01A-21D-A21Z-08	152	253	0
TCGA-BT-A42B-01A-32D-A23M-08	8	67	1
TCGA-BT-A42C-01A-11D-A23M-08	209	158	45
TCGA-BT-A42E-01A-11D-A23U-08	136	47	0
TCGA-BT-A42F-01A-11D-A23U-08	161	0	26
TCGA-C4-A0EZ-01A-21D-A10S-08	54	132	34
TCGA-C4-A0F0-01A-12D-A10S-08	21	82	0
TCGA-C4-A0F1-01A-11D-A10S-08	84	54	54
TCGA-C4-A0F6-01A-11D-A10S-08	134	83	12
TCGA-C4-A0F7-01A-11D-A10S-08	9	77	6
TCGA-CF-A1HR-01A-11D-A13W-08	212	24	51
TCGA-CF-A1HS-01A-11D-A13W-08	220	57	0
TCGA-CF-A27C-01A-11D-A16O-08	136	29	9
TCGA-CF-A3MF-01A-12D-A21A-08	1	23	0
TCGA-CF-A3MG-01A-11D-A20D-08	97	45	13
TCGA-CF-A3MH-01A-11D-A20D-08	12	35	0
TCGA-CF-A3MI-01A-11D-A20D-08	26	46	5
TCGA-CF-A47S-01A-11D-A23U-08	1	26	3
TCGA-CF-A47T-01A-11D-A23U-08	2	20	9
TCGA-CF-A47V-01A-11D-A23U-08	56	65	0
TCGA-CF-A47W-01A-11D-A23U-08	1	27	5
TCGA-CF-A47X-01A-31D-A23U-08	254	48	70
TCGA-CF-A47Y-01A-11D-A23U-08	35	40	0
TCGA-CF-A5U8-01A-11D-A289-08	4	58	1
TCGA-CF-A5UA-01A-11D-A289-08	16	69	0
TCGA-CF-A7I0-01A-22D-A34U-08	20	30	11
TCGA-CF-A8HX-01A-11D-A364-08	31	20	24
TCGA-CF-A8HY-01A-11D-A364-08	23	67	0
TCGA-CF-A9FF-01A-11D-A38G-08	92	14	53
TCGA-CF-A9FH-01A-11D-A38G-08	0	32	7
TCGA-CF-A9FL-01A-11D-A38G-08	0	57	5
TCGA-CF-A9FM-01A-11D-A38G-08	0	29	0
TCGA-CU-A0YN-01A-21D-A10S-08	21	163	0
TCGA-CU-A0YO-01A-11D-A10S-08	33	59	11
TCGA-CU-A0YR-01A-12D-A10S-08	18	145	0
TCGA-CU-A3KJ-01A-11D-A21A-08	165	83	19
TCGA-CU-A3QU-01A-11D-A22Z-08	47	46	29
TCGA-CU-A3YL-01A-11D-A22Z-08	198	17	50
TCGA-CU-A5W6-01A-11D-A289-08	142	43	51
TCGA-CU-A72E-01A-12D-A339-08	63	38	11
TCGA-DK-A1A3-01A-11D-A13W-08	390	0	321
TCGA-DK-A1A5-01A-11D-A13W-08	219	13	66
TCGA-DK-A1A6-01A-11D-A13W-08	189	75	0
TCGA-DK-A1A7-01A-11D-A13W-08	42	198	6
TCGA-DK-A1AA-01A-11D-A13W-08	14	79	2
TCGA-DK-A1AB-01A-11D-A13W-08	190	0	40
TCGA-DK-A1AC-01A-11D-A13W-08	834	0	955
TCGA-DK-A1AD-01A-11D-A13W-08	117	102	41
TCGA-DK-A1AE-01A-11D-A13W-08	71	39	19
TCGA-DK-A1AF-01A-11D-A13W-08	79	1	24
TCGA-DK-A1AG-01A-11D-A13W-08	83	35	35
TCGA-DK-A2HX-01A-12D-A18F-08	39	39	33
TCGA-DK-A2I1-01A-11D-A17V-08	164	16	44
TCGA-DK-A2I2-01A-11D-A17V-08	43	46	17
TCGA-DK-A2I4-01A-11D-A21A-08	670	0	392
TCGA-DK-A2I6-01A-12D-A18F-08	105	120	122
TCGA-DK-A3IK-01A-32D-A21A-08	104	129	0
TCGA-DK-A3IL-01A-11D-A20D-08	28	174	2
TCGA-DK-A3IM-01A-11D-A20D-08	3	87	0
TCGA-DK-A3IN-01A-11D-A20D-08	322	11	100
TCGA-DK-A3IQ-01A-31D-A20D-08	118	35	50
TCGA-DK-A3IS-01A-21D-A21A-08	280	11	109
TCGA-DK-A3IT-01A-31D-A20D-08	423	42	0
TCGA-DK-A3IU-01A-11D-A20D-08	303	17	153
TCGA-DK-A3IV-01A-22D-A21A-08	30	34	17
TCGA-DK-A3WW-01A-22D-A23M-08	989	0	418
TCGA-DK-A3WX-01A-22D-A22Z-08	11	32	7
TCGA-DK-A3WY-01A-11D-A22Z-08	15	2	1
TCGA-DK-A3X1-01A-12D-A22Z-08	651	0	372
TCGA-DK-A3X2-01A-11D-A22Z-08	34	95	9
TCGA-DK-A6AV-01A-12D-A30E-08	58	58	25
TCGA-DK-A6AW-01A-11D-A30E-08	0	1314	3222
TCGA-DK-A6B0-01A-11D-A31L-08	3	22	0
TCGA-DK-A6B1-01A-12D-A30E-08	48	72	45
TCGA-DK-A6B2-01A-11D-A30E-08	71	135	13
TCGA-DK-A6B5-01A-11D-A31L-08	96	35	23
TCGA-DK-A6B6-01A-11D-A30E-08	638	0	568
TCGA-DK-AA6L-01A-11D-A391-08	338	33	56
TCGA-DK-AA6M-01A-11D-A391-08	10	45	20
TCGA-DK-AA6P-01A-11D-A391-08	113	31	60
TCGA-DK-AA6Q-01A-11D-A391-08	77	46	11
TCGA-DK-AA6R-01A-11D-A42E-08	125	226	24
TCGA-DK-AA6S-01A-21D-A391-08	553	17	84
TCGA-DK-AA6T-01A-11D-A391-08	17	54	4
TCGA-DK-AA6U-01A-11D-A391-08	210	213	69
TCGA-DK-AA6W-01A-12D-A391-08	167	76	43
TCGA-DK-AA6X-01A-12D-A42E-08	74	30	12
TCGA-DK-AA71-01A-31D-A391-08	592	0	192
TCGA-DK-AA74-01A-11D-A391-08	170	25	30
TCGA-DK-AA75-01A-11D-A391-08	252	7	343
TCGA-DK-AA76-01A-11D-A391-08	137	92	49
TCGA-DK-AA77-01A-11D-A391-08	108	303	27
TCGA-E5-A2PC-01A-11D-A202-08	72	146	54
TCGA-E5-A4TZ-01A-11D-A31L-08	342	196	10
TCGA-E5-A4U1-01A-11D-A31L-08	531	52	105
TCGA-E7-A3X6-01A-12D-A22Z-08	69	14	18
TCGA-E7-A3Y1-01A-11D-A22Z-08	20	152	0
TCGA-E7-A4IJ-01A-31D-A26M-08	237	101	69
TCGA-E7-A4XJ-01A-11D-A26M-08	0	45	3
TCGA-E7-A519-01A-11D-A26M-08	20	53	1
TCGA-E7-A541-01A-11D-A26M-08	281	164	62
TCGA-E7-A5KE-01A-11D-A289-08	65	143	51
TCGA-E7-A5KF-01A-11D-A289-08	165	0	81
TCGA-E7-A677-01A-11D-A30E-08	40	214	11
TCGA-E7-A678-01A-11D-A30E-08	5	54	0
TCGA-E7-A6MD-01A-41D-A34U-08	363	53	120
TCGA-E7-A6ME-01A-22D-A32B-08	17	124	0
TCGA-E7-A6MF-01A-12D-A32B-08	42	0	11
TCGA-E7-A7DU-01A-11D-A32B-08	214	0	105
TCGA-E7-A7DV-01A-11D-A339-08	282	31	0
TCGA-E7-A7PW-01A-11D-A34U-08	37	37	24
TCGA-E7-A7XN-01A-11D-A34U-08	943	0	116
TCGA-E7-A85H-01A-11D-A34U-08	83	378	20
TCGA-E7-A8O7-01A-11D-A364-08	9	28	1
TCGA-E7-A8O8-01A-11D-A364-08	24	101	11
TCGA-E7-A97P-01A-11D-A38G-08	54	176	0
TCGA-E7-A97Q-01A-11D-A38G-08	18	39	4
TCGA-FD-A3B3-01A-12D-A202-08	88	70	25
TCGA-FD-A3B4-01A-12D-A202-08	2	73	4
TCGA-FD-A3B5-01A-11D-A20D-08	85	49	30
TCGA-FD-A3B6-01A-21D-A20D-08	189	77	26
TCGA-FD-A3B7-01A-31D-A20D-08	15	49	0
TCGA-FD-A3B8-01A-31D-A20D-08	22	7	5
TCGA-FD-A3N5-01A-11D-A21A-08	35	351	0
TCGA-FD-A3N6-01A-11D-A21A-08	18	68	39
TCGA-FD-A3NA-01A-11D-A21A-08	136	23	36
TCGA-FD-A3SJ-01A-12D-A22Z-08	159	116	0
TCGA-FD-A3SL-01A-21D-A22Z-08	76	188	0
TCGA-FD-A3SM-01A-11D-A22Z-08	136	41	32
TCGA-FD-A3SN-01A-12D-A22Z-08	201	0	313
TCGA-FD-A3SO-01A-11D-A22Z-08	283	0	144
TCGA-FD-A3SP-01A-31D-A22Z-08	47	64	28
TCGA-FD-A3SQ-01A-21D-A22Z-08	15	47	19
TCGA-FD-A3SR-01A-11D-A22Z-08	62	74	16
TCGA-FD-A3SS-01A-12D-A22Z-08	317	0	244
TCGA-FD-A43N-01A-11D-A23U-08	73	125	0
TCGA-FD-A43P-01A-31D-A23U-08	289	134	42
TCGA-FD-A43S-01A-21D-A23U-08	0	1	0
TCGA-FD-A43U-01A-11D-A23U-08	4	76	10
TCGA-FD-A43X-01A-11D-A23U-08	237	77	53
TCGA-FD-A43Y-01A-21D-A26M-08	9	63	0
TCGA-FD-A5BR-01A-11D-A26M-08	8	89	0
TCGA-FD-A5BS-01A-21D-A26M-08	9	6	19
TCGA-FD-A5BT-01A-11D-A26M-08	93	58	6
TCGA-FD-A5BU-01A-31D-A26M-08	7	59	0
TCGA-FD-A5BV-01A-11D-A26M-08	20	116	0
TCGA-FD-A5BX-01A-11D-A26M-08	301	0	87
TCGA-FD-A5BY-01A-31D-A289-08	18	32	6
TCGA-FD-A5BZ-01A-11D-A289-08	55	72	24
TCGA-FD-A5C0-01A-11D-A289-08	18	108	13
TCGA-FD-A5C1-01A-11D-A289-08	74	87	1
TCGA-FD-A62N-01A-11D-A30E-08	11	80	10
TCGA-FD-A62O-01A-11D-A30E-08	104	46	51
TCGA-FD-A62P-01A-32D-A30E-08	302	49	73
TCGA-FD-A62S-01A-11D-A30E-08	2	72	0
TCGA-FD-A6TA-01A-12D-A339-08	248	0	50
TCGA-FD-A6TB-01A-12D-A339-08	164	11	33
TCGA-FD-A6TC-01A-21D-A339-08	888	0	232
TCGA-FD-A6TD-01A-51D-A339-08	65	61	29
TCGA-FD-A6TE-01A-12D-A339-08	201	30	40
TCGA-FD-A6TF-01A-52D-A32B-08	99	60	0
TCGA-FD-A6TG-01A-11D-A32B-08	253	159	17
TCGA-FD-A6TH-01A-11D-A32B-08	72	64	46
TCGA-FD-A6TI-01A-11D-A32B-08	9	118	5
TCGA-FD-A6TK-01A-42D-A339-08	49	54	15
TCGA-FJ-A3Z7-01A-12D-A23M-08	252	62	67
TCGA-FJ-A3Z9-01A-11D-A26M-08	9	61	5
TCGA-FJ-A3ZE-01A-11D-A23M-08	69	423	0
TCGA-FJ-A3ZF-01A-11D-A23M-08	144	112	49
TCGA-FJ-A871-01A-11D-A34U-08	2	52	0
TCGA-FT-A3EE-01A-11D-A202-08	25	85	30
TCGA-FT-A61P-01A-11D-A30E-08	49	111	26
TCGA-G2-A2EC-01A-11D-A17V-08	113	39	35
TCGA-G2-A2EF-01A-12D-A18F-08	205	20	67
TCGA-G2-A2EJ-01A-11D-A17V-08	218	86	21
TCGA-G2-A2EK-01A-22D-A18F-08	28	44	0
TCGA-G2-A2EL-01A-12D-A18F-08	210	48	27
TCGA-G2-A2EO-01A-11D-A17V-08	846	0	179
TCGA-G2-A2ES-01A-11D-A17V-08	142	178	157
TCGA-G2-A3IB-01A-11D-A20D-08	24	55	25
TCGA-G2-A3IE-01A-11D-A20D-08	302	38	65
TCGA-G2-A3VY-01A-11D-A22Z-08	800	77	0
TCGA-G2-AA3B-01A-11D-A391-08	810	10	13
TCGA-G2-AA3C-01A-21D-A391-08	186	59	20
TCGA-G2-AA3D-01A-11D-A391-08	238	6	0
TCGA-G2-AA3F-01A-12D-A42E-08	61	84	4
TCGA-GC-A3BM-01A-11D-A22Z-08	25	91	17
TCGA-GC-A3I6-01A-11D-A20D-08	140	29	49
TCGA-GC-A3OO-01A-11D-A22Z-08	90	0	61
TCGA-GC-A3RB-01A-12D-A21Z-08	98	63	30
TCGA-GC-A3RC-01A-11D-A22Z-08	165	178	101
TCGA-GC-A3RD-01A-12D-A22Z-08	34	50	12
TCGA-GC-A3WC-01A-31D-A22Z-08	82	84	16
TCGA-GC-A3YS-01A-11D-A23M-08	158	85	44
TCGA-GC-A4ZW-01A-11D-A26M-08	679	59	18
TCGA-GC-A6I1-01A-12D-A31L-08	191	14	62
TCGA-GC-A6I3-01A-11D-A31L-08	153	110	2
TCGA-GD-A2C5-01A-12D-A17V-08	169	60	61
TCGA-GD-A3OP-01A-21D-A21Z-08	214	58	109
TCGA-GD-A3OQ-01A-32D-A21Z-08	55	46	9
TCGA-GD-A3OS-01A-12D-A21Z-08	21	79	8
TCGA-GD-A6C6-01A-21D-A31L-08	210	78	39
