Samples	SBS1	SBS2	SBS3	SBS5	SBS10a	SBS10b	SBS13
TCGA-2F-A9KO-01A-11D-A38G-08	20	170	0	53	0	0	245
TCGA-2F-A9KP-01A-11D-A38G-08	19	26	0	47	0	0	19
TCGA-2F-A9KQ-01A-11D-A38G-08	13	7	0	32	0	0	5
TCGA-2F-A9KR-01A-11D-A38G-08	15	76	0	42	0	0	56
TCGA-2F-A9KT-01A-11D-A38G-08	20	99	0	25	0	34	130
TCGA-2F-A9KW-01A-11D-A38G-08	18	16	44	14	0	0	5
TCGA-4Z-AA7M-01A-11D-A391-08	32	134	0	96	0	0	175
TCGA-4Z-AA7N-01A-11D-A391-08	3	7	0	4	0	0	2
TCGA-4Z-AA7O-01A-31D-A391-08	15	35	0	76	0	17	39
TCGA-4Z-AA7Q-01A-11D-A391-08	19	50	0	52	0	0	104
TCGA-4Z-AA7R-01A-11D-A391-08	13	104	0	34	0	41	124
TCGA-4Z-AA7S-01A-11D-A391-08	23	0	0	17	2	5	0
TCGA-4Z-AA7W-01A-11D-A391-08	12	158	0	61	0	0	236
TCGA-4Z-AA7Y-01A-11D-A391-08	9	96	0	49	0	0	95
TCGA-4Z-AA80-01A-11D-A391-08	31	86	0	66	0	67	115
TCGA-4Z-AA81-01A-11D-A391-08	12	66	0	25	0	21	59
TCGA-4Z-AA82-01A-11D-A391-08	20	25	46	0	0	0	11
TCGA-4Z-AA83-01A-11D-A391-08	18	19	0	26	0	0	14
TCGA-4Z-AA84-01A-11D-A391-08	23	180	0	237	0	0	0
TCGA-4Z-AA86-01A-11D-A391-08	12	60	0	35	0	0	91
TCGA-4Z-AA87-01A-11D-A391-08	25	48	0	61	0	0	69
TCGA-4Z-AA89-01A-11D-A391-08	14	37	0	17	0	0	50
TCGA-5N-A9KI-01A-31D-A42E-08	12	43	0	53	0	21	28
TCGA-5N-A9KM-01A-11D-A42E-08	11	14	0	172	0	0	0
TCGA-BL-A0C8-01A-11D-A271-08	17	19	0	61	0	0	22
TCGA-BL-A13I-01A-11D-A271-08	8	15	47	12	0	0	26
TCGA-BL-A13J-01A-11D-A271-08	2	13	31	16	0	0	21
TCGA-BL-A3JM-01A-12D-A21A-08	18	38	0	75	0	0	38
TCGA-BL-A5ZZ-01A-31D-A30E-08	16	33	0	68	0	0	18
TCGA-BT-A0S7-01A-11D-A10S-08	4	0	0	34	0	0	0
TCGA-BT-A0YX-01A-11D-A10S-08	29	228	0	30	0	0	268
TCGA-BT-A20J-01A-11D-A14W-08	26	154	0	25	0	44	160
TCGA-BT-A20N-01A-11D-A14W-08	16	27	127	8	0	0	39
TCGA-BT-A20O-01A-21D-A14W-08	10	25	0	93	0	0	36
TCGA-BT-A20P-01A-11D-A14W-08	10	6	0	14	0	0	36
TCGA-BT-A20Q-01A-11D-A14W-08	11	23	0	8	0	12	22
TCGA-BT-A20R-01A-12D-A16O-08	22	66	0	2	0	29	89
TCGA-BT-A20T-01A-11D-A14W-08	14	89	0	31	0	21	79
TCGA-BT-A20U-01A-11D-A14W-08	7	27	0	5	0	13	34
TCGA-BT-A20V-01A-11D-A14W-08	17	11	0	31	0	11	15
TCGA-BT-A20W-01A-21D-A14W-08	11	5	0	22	0	10	17
TCGA-BT-A20X-01A-11D-A16O-08	5	3	0	46	0	0	9
TCGA-BT-A2LA-01A-11D-A18F-08	50	32	0	43	0	0	25
TCGA-BT-A2LB-01A-11D-A18F-08	24	177	0	290	0	0	31
TCGA-BT-A2LD-01A-12D-A20D-08	26	12	0	51	0	0	5
TCGA-BT-A3PH-01A-11D-A21Z-08	24	132	0	25	0	0	217
TCGA-BT-A3PJ-01A-21D-A21Z-08	25	169	0	150	0	0	106
TCGA-BT-A3PK-01A-21D-A21Z-08	11	42	0	204	0	0	60
TCGA-BT-A42B-01A-32D-A23M-08	20	9	0	30	0	0	0
TCGA-BT-A42C-01A-11D-A23M-08	20	64	122	53	0	0	60
TCGA-BT-A42E-01A-11D-A23U-08	14	33	0	33	0	0	61
TCGA-BT-A42F-01A-11D-A23U-08	5	57	0	21	0	0	67
TCGA-C4-A0EZ-01A-21D-A10S-08	21	31	0	79	0	21	23
TCGA-C4-A0F0-01A-12D-A10S-08	14	7	0	56	0	0	7
TCGA-C4-A0F1-01A-11D-A10S-08	18	41	0	28	0	22	39
TCGA-C4-A0F6-01A-11D-A10S-08	21	36	0	38	0	18	67
TCGA-C4-A0F7-01A-11D-A10S-08	23	0	0	41	0	0	0
TCGA-CF-A1HR-01A-11D-A13W-08	10	73	0	41	0	20	86
TCGA-CF-A1HS-01A-11D-A13W-08	10	20	0	56	0	0	122
TCGA-CF-A27C-01A-11D-A16O-08	11	46	0	22	0	0	65
TCGA-CF-A3MF-01A-12D-A21A-08	8	3	0	9	0	0	0
TCGA-CF-A3MG-01A-11D-A20D-08	12	30	0	35	0	0	48
