Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-2F-A9KO-01A-11D-A38G-08	491	192	0	0	0
TCGA-2F-A9KP-01A-11D-A38G-08	48	45	0	66	0
TCGA-2F-A9KQ-01A-11D-A38G-08	11	15	0	49	0
TCGA-2F-A9KR-01A-11D-A38G-08	106	109	0	33	32
TCGA-2F-A9KT-01A-11D-A38G-08	239	125	0	48	0
TCGA-2F-A9KW-01A-11D-A38G-08	18	28	43	37	12
TCGA-4Z-AA7M-01A-11D-A391-08	355	185	0	88	0
TCGA-4Z-AA7N-01A-11D-A391-08	7	9	0	7	0
TCGA-4Z-AA7O-01A-31D-A391-08	93	65	0	84	0
TCGA-4Z-AA7Q-01A-11D-A391-08	206	34	0	53	0
TCGA-4Z-AA7R-01A-11D-A391-08	239	144	0	51	0
TCGA-4Z-AA7S-01A-11D-A391-08	0	5	0	54	11
TCGA-4Z-AA7W-01A-11D-A391-08	510	155	0	0	0
TCGA-4Z-AA7Y-01A-11D-A391-08	200	148	0	0	0
TCGA-4Z-AA80-01A-11D-A391-08	224	131	0	80	63
TCGA-4Z-AA81-01A-11D-A391-08	116	101	0	38	0
TCGA-4Z-AA82-01A-11D-A391-08	25	26	35	43	0
TCGA-4Z-AA83-01A-11D-A391-08	28	27	0	49	0
TCGA-4Z-AA84-01A-11D-A391-08	0	403	257	0	0
TCGA-4Z-AA86-01A-11D-A391-08	184	82	0	0	0
TCGA-4Z-AA87-01A-11D-A391-08	133	70	0	83	0
TCGA-4Z-AA89-01A-11D-A391-08	88	40	0	28	0
TCGA-5N-A9KI-01A-31D-A42E-08	40	65	54	39	15
TCGA-5N-A9KM-01A-11D-A42E-08	0	27	199	43	0
TCGA-BL-A0C8-01A-11D-A271-08	56	20	0	80	17
TCGA-BL-A13I-01A-11D-A271-08	49	12	60	26	0
TCGA-BL-A13J-01A-11D-A271-08	38	10	81	0	0
TCGA-BL-A3JM-01A-12D-A21A-08	69	55	69	57	0
TCGA-BL-A5ZZ-01A-31D-A30E-08	32	48	55	64	0
TCGA-BT-A0S7-01A-11D-A10S-08	0	0	31	9	5
TCGA-BT-A0YX-01A-11D-A10S-08	522	258	0	0	0
TCGA-BT-A20J-01A-11D-A14W-08	285	204	0	74	0
TCGA-BT-A20N-01A-11D-A14W-08	87	22	167	37	0
TCGA-BT-A20O-01A-21D-A14W-08	56	39	92	26	0
TCGA-BT-A20P-01A-11D-A14W-08	63	0	0	26	11
TCGA-BT-A20Q-01A-11D-A14W-08	44	27	0	19	19
TCGA-BT-A20R-01A-12D-A16O-08	158	87	0	40	34
TCGA-BT-A20T-01A-11D-A14W-08	167	163	0	0	0
TCGA-BT-A20U-01A-11D-A14W-08	61	28	0	15	0
TCGA-BT-A20V-01A-11D-A14W-08	26	15	0	61	23
TCGA-BT-A20W-01A-21D-A14W-08	31	0	0	41	9
TCGA-BT-A20X-01A-11D-A16O-08	12	0	48	11	10
TCGA-BT-A2LA-01A-11D-A18F-08	41	40	0	130	0
TCGA-BT-A2LB-01A-11D-A18F-08	58	376	350	0	0
TCGA-BT-A2LD-01A-12D-A20D-08	0	27	0	94	0
TCGA-BT-A3PH-01A-11D-A21Z-08	439	122	0	0	0
TCGA-BT-A3PJ-01A-21D-A21Z-08	172	260	205	0	0
TCGA-BT-A3PK-01A-21D-A21Z-08	96	44	294	0	0
TCGA-BT-A42B-01A-32D-A23M-08	0	14	0	64	0
TCGA-BT-A42C-01A-11D-A23M-08	147	65	195	0	36
TCGA-BT-A42E-01A-11D-A23U-08	124	37	0	36	0
TCGA-BT-A42F-01A-11D-A23U-08	126	70	0	0	0
TCGA-C4-A0EZ-01A-21D-A10S-08	45	48	61	88	0
TCGA-C4-A0F0-01A-12D-A10S-08	15	8	55	37	0
TCGA-C4-A0F1-01A-11D-A10S-08	73	62	0	51	20
TCGA-C4-A0F6-01A-11D-A10S-08	133	43	0	68	0
TCGA-C4-A0F7-01A-11D-A10S-08	0	18	0	78	0
TCGA-CF-A1HR-01A-11D-A13W-08	179	100	0	35	0
TCGA-CF-A1HS-01A-11D-A13W-08	204	0	95	0	0
TCGA-CF-A27C-01A-11D-A16O-08	110	46	0	24	0
TCGA-CF-A3MF-01A-12D-A21A-08	0	4	0	21	0
TCGA-CF-A3MG-01A-11D-A20D-08	86	42	0	41	0
TCGA-CF-A3MH-01A-11D-A20D-08	17	0	0	34	0
TCGA-CF-A3MI-01A-11D-A20D-08	29	11	0	44	0
TCGA-CF-A47S-01A-11D-A23U-08	0	5	0	24	0
TCGA-CF-A47T-01A-11D-A23U-08	0	8	0	16	6
TCGA-CF-A47V-01A-11D-A23U-08	39	17	47	24	0
TCGA-CF-A47W-01A-11D-A23U-08	0	4	14	14	4
TCGA-CF-A47X-01A-31D-A23U-08	213	127	0	58	0
TCGA-CF-A47Y-01A-11D-A23U-08	33	0	34	12	0
TCGA-CF-A5U8-01A-11D-A289-08	0	5	39	27	0
TCGA-CF-A5UA-01A-11D-A289-08	22	0	0	61	11
TCGA-CF-A7I0-01A-22D-A34U-08	13	17	19	17	0
TCGA-CF-A8HX-01A-11D-A364-08	24	36	0	19	0
TCGA-CF-A8HY-01A-11D-A364-08	23	0	37	33	0
TCGA-CF-A9FF-01A-11D-A38G-08	67	72	0	26	0
TCGA-CF-A9FH-01A-11D-A38G-08	0	0	0	27	13
TCGA-CF-A9FL-01A-11D-A38G-08	0	0	27	25	9
TCGA-CF-A9FM-01A-11D-A38G-08	0	0	19	10	0
TCGA-CU-A0YN-01A-21D-A10S-08	0	20	132	49	0
TCGA-CU-A0YO-01A-11D-A10S-08	30	31	0	52	0
TCGA-CU-A0YR-01A-12D-A10S-08	0	17	130	28	0
TCGA-CU-A3KJ-01A-11D-A21A-08	157	63	0	59	0
TCGA-CU-A3QU-01A-11D-A22Z-08	42	37	0	35	14
TCGA-CU-A3YL-01A-11D-A22Z-08	156	90	0	33	0
TCGA-CU-A5W6-01A-11D-A289-08	108	103	0	48	0
TCGA-CU-A72E-01A-12D-A339-08	56	29	0	35	0
TCGA-DK-A1A3-01A-11D-A13W-08	218	385	147	0	0
TCGA-DK-A1A5-01A-11D-A13W-08	196	118	0	0	0
TCGA-DK-A1A6-01A-11D-A13W-08	147	34	101	0	0
TCGA-DK-A1A7-01A-11D-A13W-08	0	40	158	65	0
TCGA-DK-A1AA-01A-11D-A13W-08	9	10	64	17	0
TCGA-DK-A1AB-01A-11D-A13W-08	146	97	0	0	0
TCGA-DK-A1AC-01A-11D-A13W-08	486	1415	0	0	0
TCGA-DK-A1AD-01A-11D-A13W-08	88	61	93	45	0
TCGA-DK-A1AE-01A-11D-A13W-08	59	47	0	34	0
TCGA-DK-A1AF-01A-11D-A13W-08	75	39	0	0	0
TCGA-DK-A1AG-01A-11D-A13W-08	79	52	0	36	0
TCGA-DK-A2HX-01A-12D-A18F-08	33	53	0	43	0
TCGA-DK-A2I1-01A-11D-A17V-08	138	73	0	26	0
TCGA-DK-A2I2-01A-11D-A17V-08	20	34	41	16	0
TCGA-DK-A2I4-01A-11D-A21A-08	505	618	0	0	0
TCGA-DK-A2I6-01A-12D-A18F-08	46	116	176	0	25
TCGA-DK-A3IK-01A-32D-A21A-08	96	20	74	61	0
TCGA-DK-A3IL-01A-11D-A20D-08	21	0	133	36	26
TCGA-DK-A3IM-01A-11D-A20D-08	0	0	50	50	0
TCGA-DK-A3IN-01A-11D-A20D-08	278	183	0	0	0
TCGA-DK-A3IQ-01A-31D-A20D-08	93	84	0	41	0
TCGA-DK-A3IS-01A-21D-A21A-08	204	175	0	47	0
TCGA-DK-A3IT-01A-31D-A20D-08	402	99	0	0	0
TCGA-DK-A3IU-01A-11D-A20D-08	194	208	104	0	0
TCGA-DK-A3IV-01A-22D-A21A-08	20	26	24	17	0
TCGA-DK-A3WW-01A-22D-A23M-08	852	680	0	0	0
TCGA-DK-A3WX-01A-22D-A22Z-08	0	19	0	33	0
TCGA-DK-A3WY-01A-11D-A22Z-08	11	7	0	0	0
TCGA-DK-A3X1-01A-12D-A22Z-08	506	494	0	0	115
TCGA-DK-A3X2-01A-11D-A22Z-08	32	26	0	88	0
TCGA-DK-A6AV-01A-12D-A30E-08	48	58	0	48	0
TCGA-DK-A6AW-01A-11D-A30E-08	0	0	0	0	4966
TCGA-DK-A6B0-01A-11D-A31L-08	0	0	15	9	0
TCGA-DK-A6B1-01A-12D-A30E-08	36	68	0	74	0
TCGA-DK-A6B2-01A-11D-A30E-08	55	40	78	69	0
TCGA-DK-A6B5-01A-11D-A31L-08	60	47	60	0	0
TCGA-DK-A6B6-01A-11D-A30E-08	397	877	0	0	0
TCGA-DK-AA6L-01A-11D-A391-08	312	142	0	0	0
TCGA-DK-AA6M-01A-11D-A391-08	8	18	0	45	13
TCGA-DK-AA6P-01A-11D-A391-08	70	77	70	0	0
TCGA-DK-AA6Q-01A-11D-A391-08	58	30	36	19	0
TCGA-DK-AA6R-01A-11D-A42E-08	79	55	235	42	0
TCGA-DK-AA6S-01A-21D-A391-08	459	226	0	0	0
TCGA-DK-AA6T-01A-11D-A391-08	28	0	0	38	16
TCGA-DK-AA6U-01A-11D-A391-08	141	113	221	57	0
TCGA-DK-AA6W-01A-12D-A391-08	140	91	0	78	0
TCGA-DK-AA6X-01A-12D-A42E-08	69	26	0	19	10
TCGA-DK-AA71-01A-31D-A391-08	474	360	0	0	0
TCGA-DK-AA74-01A-11D-A391-08	171	75	0	0	0
TCGA-DK-AA75-01A-11D-A391-08	151	392	0	0	90
TCGA-DK-AA76-01A-11D-A391-08	100	62	100	0	28
TCGA-DK-AA77-01A-11D-A391-08	51	81	262	83	0
TCGA-E5-A2PC-01A-11D-A202-08	35	63	161	36	0
TCGA-E5-A4TZ-01A-11D-A31L-08	317	105	0	155	0
TCGA-E5-A4U1-01A-11D-A31L-08	487	260	0	0	0
TCGA-E7-A3X6-01A-12D-A22Z-08	55	39	0	20	0
TCGA-E7-A3Y1-01A-11D-A22Z-08	0	16	117	59	0
TCGA-E7-A4IJ-01A-31D-A26M-08	169	94	142	0	30
TCGA-E7-A4XJ-01A-11D-A26M-08	0	0	0	42	7
TCGA-E7-A519-01A-11D-A26M-08	11	12	41	18	0
TCGA-E7-A541-01A-11D-A26M-08	191	131	174	50	0
TCGA-E7-A5KE-01A-11D-A289-08	41	74	80	86	0
TCGA-E7-A5KF-01A-11D-A289-08	140	123	0	0	0
TCGA-E7-A677-01A-11D-A30E-08	19	26	177	63	0
TCGA-E7-A678-01A-11D-A30E-08	5	0	31	28	0
TCGA-E7-A6MD-01A-41D-A34U-08	297	203	0	77	0
TCGA-E7-A6ME-01A-22D-A32B-08	16	0	108	31	0
TCGA-E7-A6MF-01A-12D-A32B-08	32	26	0	0	0
TCGA-E7-A7DU-01A-11D-A32B-08	171	165	0	0	0
TCGA-E7-A7DV-01A-11D-A339-08	280	57	0	0	0
TCGA-E7-A7PW-01A-11D-A34U-08	33	38	0	33	0
TCGA-E7-A7XN-01A-11D-A34U-08	799	344	0	0	0
TCGA-E7-A85H-01A-11D-A34U-08	32	63	337	84	0
TCGA-E7-A8O7-01A-11D-A364-08	9	5	0	25	0
TCGA-E7-A8O8-01A-11D-A364-08	16	20	50	61	0
TCGA-E7-A97P-01A-11D-A38G-08	34	15	154	41	0
TCGA-E7-A97Q-01A-11D-A38G-08	13	10	27	17	0
TCGA-FD-A3B3-01A-12D-A202-08	83	54	0	55	0
TCGA-FD-A3B4-01A-12D-A202-08	0	0	43	25	23
TCGA-FD-A3B5-01A-11D-A20D-08	79	38	0	34	22
TCGA-FD-A3B6-01A-21D-A20D-08	178	76	0	59	0
TCGA-FD-A3B7-01A-31D-A20D-08	15	0	29	29	0
TCGA-FD-A3B8-01A-31D-A20D-08	21	6	0	7	0
TCGA-FD-A3N5-01A-11D-A21A-08	0	26	332	56	0
TCGA-FD-A3N6-01A-11D-A21A-08	16	31	0	63	29
TCGA-FD-A3NA-01A-11D-A21A-08	119	85	0	0	0
TCGA-FD-A3SJ-01A-12D-A22Z-08	113	42	104	44	0
TCGA-FD-A3SL-01A-21D-A22Z-08	69	0	143	48	23
TCGA-FD-A3SM-01A-11D-A22Z-08	120	59	0	41	0
TCGA-FD-A3SN-01A-12D-A22Z-08	104	369	0	0	60
TCGA-FD-A3SO-01A-11D-A22Z-08	236	227	0	0	0
TCGA-FD-A3SP-01A-31D-A22Z-08	42	44	0	58	0
TCGA-FD-A3SQ-01A-21D-A22Z-08	13	22	0	46	10
TCGA-FD-A3SR-01A-11D-A22Z-08	69	23	0	52	23
TCGA-FD-A3SS-01A-12D-A22Z-08	240	312	0	0	61
TCGA-FD-A43N-01A-11D-A23U-08	104	0	0	118	0
TCGA-FD-A43P-01A-31D-A23U-08	244	94	102	60	0
TCGA-FD-A43S-01A-21D-A23U-08	0	0	1	0	0
TCGA-FD-A43U-01A-11D-A23U-08	0	15	31	46	0
TCGA-FD-A43X-01A-11D-A23U-08	208	127	0	64	0
