Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-2F-A9KO-01A-11D-A38G-08	412	156	33	25	8
TCGA-2F-A9KP-01A-11D-A38G-08	38	37	7	49	8
TCGA-2F-A9KQ-01A-11D-A38G-08	7	11	13	36	5
TCGA-2F-A9KR-01A-11D-A38G-08	92	96	33	19	17
TCGA-2F-A9KT-01A-11D-A38G-08	217	110	18	32	17
TCGA-2F-A9KW-01A-11D-A38G-08	16	24	39	34	13
TCGA-4Z-AA7M-01A-11D-A391-08	305	149	63	64	7
TCGA-4Z-AA7N-01A-11D-A391-08	8	8	0	7	0
TCGA-4Z-AA7O-01A-31D-A391-08	70	44	44	51	17
TCGA-4Z-AA7Q-01A-11D-A391-08	166	20	47	35	7
TCGA-4Z-AA7R-01A-11D-A391-08	197	124	39	25	20
TCGA-4Z-AA7S-01A-11D-A391-08	0	3	0	46	10
TCGA-4Z-AA7W-01A-11D-A391-08	477	150	0	0	0
TCGA-4Z-AA7Y-01A-11D-A391-08	150	122	36	13	2
TCGA-4Z-AA80-01A-11D-A391-08	187	104	53	56	58
TCGA-4Z-AA81-01A-11D-A391-08	96	88	7	30	17
TCGA-4Z-AA82-01A-11D-A391-08	23	27	32	39	0
TCGA-4Z-AA83-01A-11D-A391-08	23	24	10	43	1
TCGA-4Z-AA84-01A-11D-A391-08	15	348	195	45	14
TCGA-4Z-AA86-01A-11D-A391-08	144	63	19	13	13
TCGA-4Z-AA87-01A-11D-A391-08	115	58	20	59	13
TCGA-4Z-AA89-01A-11D-A391-08	83	39	0	27	0
TCGA-5N-A9KI-01A-31D-A42E-08	38	62	47	32	11
TCGA-5N-A9KM-01A-11D-A42E-08	0	27	179	37	0
TCGA-BL-A0C8-01A-11D-A271-08	51	18	21	55	15
TCGA-BL-A13I-01A-11D-A271-08	45	12	48	21	5
TCGA-BL-A13J-01A-11D-A271-08	37	10	67	0	0
TCGA-BL-A3JM-01A-12D-A21A-08	59	52	65	46	5
TCGA-BL-A5ZZ-01A-31D-A30E-08	33	48	47	58	0
TCGA-BT-A0S7-01A-11D-A10S-08	0	0	29	9	5
TCGA-BT-A0YX-01A-11D-A10S-08	497	247	0	0	0
TCGA-BT-A20J-01A-11D-A14W-08	264	180	0	55	34
TCGA-BT-A20N-01A-11D-A14W-08	80	19	138	36	7
TCGA-BT-A20O-01A-21D-A14W-08	53	32	91	25	1
TCGA-BT-A20P-01A-11D-A14W-08	60	0	0	25	10
TCGA-BT-A20Q-01A-11D-A14W-08	43	25	2	19	16
TCGA-BT-A20R-01A-12D-A16O-08	137	85	0	37	29
