Samples	SBS1	SBS2	SBS4	SBS5	SBS10a	SBS10b	SBS13	SBS26	SBS84
TCGA-2F-A9KO-01A-11D-A38G-08	23	183	0	67	0	0	264	0	0
TCGA-2F-A9KP-01A-11D-A38G-08	21	28	0	63	0	0	22	0	0
TCGA-2F-A9KQ-01A-11D-A38G-08	13	7	0	35	0	0	6	0	0
TCGA-2F-A9KR-01A-11D-A38G-08	23	88	0	0	0	34	69	0	0
TCGA-2F-A9KT-01A-11D-A38G-08	22	104	0	31	0	35	137	0	0
TCGA-2F-A9KW-01A-11D-A38G-08	21	20	0	60	0	0	7	0	0
TCGA-4Z-AA7M-01A-11D-A391-08	33	152	0	111	0	0	186	0	0
TCGA-4Z-AA7N-01A-11D-A391-08	3	7	0	5	0	0	2	0	0
TCGA-4Z-AA7O-01A-31D-A391-08	21	42	0	93	0	0	43	0	0
TCGA-4Z-AA7Q-01A-11D-A391-08	21	56	0	57	0	0	108	0	0
TCGA-4Z-AA7R-01A-11D-A391-08	15	108	0	47	0	41	135	0	0
TCGA-4Z-AA7S-01A-11D-A391-08	27	0	0	31	0	0	0	0	0
TCGA-4Z-AA7W-01A-11D-A391-08	16	171	0	58	0	0	258	0	0
TCGA-4Z-AA7Y-01A-11D-A391-08	11	97	0	59	0	0	106	0	0
TCGA-4Z-AA80-01A-11D-A391-08	33	96	0	84	0	69	123	0	0
TCGA-4Z-AA81-01A-11D-A391-08	11	74	0	31	0	20	64	0	0
TCGA-4Z-AA82-01A-11D-A391-08	24	27	0	43	0	0	16	0	0
TCGA-4Z-AA83-01A-11D-A391-08	18	19	0	29	0	0	16	0	0
TCGA-4Z-AA84-01A-11D-A391-08	25	200	0	257	0	0	0	0	0
TCGA-4Z-AA86-01A-11D-A391-08	12	63	0	40	0	0	96	0	0
TCGA-4Z-AA87-01A-11D-A391-08	30	51	0	70	0	0	74	0	0
TCGA-4Z-AA89-01A-11D-A391-08	16	39	0	19	0	0	53	0	0
TCGA-5N-A9KI-01A-31D-A42E-08	17	46	0	62	0	25	30	0	0
TCGA-5N-A9KM-01A-11D-A42E-08	14	15	0	197	0	0	0	0	0
TCGA-BL-A0C8-01A-11D-A271-08	27	19	0	67	0	0	22	0	0
TCGA-BL-A13I-01A-11D-A271-08	9	16	0	64	0	0	35	0	0
TCGA-BL-A13J-01A-11D-A271-08	1	15	0	57	0	0	26	0	0
TCGA-BL-A3JM-01A-12D-A21A-08	22	40	0	86	0	0	45	0	0
TCGA-BL-A5ZZ-01A-31D-A30E-08	20	33	0	77	0	0	18	0	0
TCGA-BT-A0S7-01A-11D-A10S-08	4	0	0	36	0	0	0	0	0
TCGA-BT-A0YX-01A-11D-A10S-08	34	239	0	39	0	0	282	0	0
TCGA-BT-A20J-01A-11D-A14W-08	29	165	0	32	0	48	166	0	0
TCGA-BT-A20N-01A-11D-A14W-08	16	31	70	82	0	0	50	0	0
TCGA-BT-A20O-01A-21D-A14W-08	11	30	0	97	0	0	38	0	0
TCGA-BT-A20P-01A-11D-A14W-08	11	5	0	17	0	0	40	0	0
TCGA-BT-A20Q-01A-11D-A14W-08	11	24	0	6	0	16	24	0	0
