Samples	SBS96A	SBS96B	SBS96C
TCGA-DK-A3IK-01A-32D-A21A-08	111	35	25
TCGA-DK-A3IL-01A-11D-A20D-08	12	70	77
TCGA-DK-A3IM-01A-11D-A20D-08	0	42	23
TCGA-DK-A3IN-01A-11D-A20D-08	236	93	11
TCGA-DK-A3IQ-01A-31D-A20D-08	67	91	7
TCGA-DK-A3IS-01A-21D-A21A-08	173	126	5
TCGA-DK-A3IT-01A-31D-A20D-08	340	0	11
TCGA-DK-A3IU-01A-11D-A20D-08	187	190	0
TCGA-DK-A3IV-01A-22D-A21A-08	19	29	15
TCGA-DK-A3WW-01A-22D-A23M-08	590	436	20
TCGA-DK-A3WX-01A-22D-A22Z-08	3	28	4
TCGA-DK-A3WY-01A-11D-A22Z-08	6	4	0
TCGA-DK-A3X1-01A-12D-A22Z-08	404	271	80
TCGA-DK-A3X2-01A-11D-A22Z-08	18	60	25
TCGA-DK-A6AV-01A-12D-A30E-08	34	59	12
TCGA-DK-A6AW-01A-11D-A30E-08	0	0	3691
TCGA-DK-A6B0-01A-11D-A31L-08	1	18	3
TCGA-DK-A6B1-01A-12D-A30E-08	26	81	17
TCGA-DK-A6B2-01A-11D-A30E-08	58	95	26
TCGA-DK-A6B5-01A-11D-A31L-08	57	38	7
TCGA-DK-A6B6-01A-11D-A30E-08	249	592	0
TCGA-DK-AA6L-01A-11D-A391-08	247	87	12
TCGA-DK-AA6M-01A-11D-A391-08	8	21	25
TCGA-DK-AA6P-01A-11D-A391-08	61	80	5
TCGA-DK-AA6Q-01A-11D-A391-08	52	44	11
TCGA-DK-AA6R-01A-11D-A42E-08	98	148	41
TCGA-DK-AA6S-01A-21D-A391-08	346	139	0
TCGA-DK-AA6T-01A-11D-A391-08	21	5	38
TCGA-DK-AA6U-01A-11D-A391-08	152	169	54
TCGA-DK-AA6W-01A-12D-A391-08	136	82	12
TCGA-DK-AA6X-01A-12D-A42E-08	66	16	14
TCGA-DK-AA71-01A-31D-A391-08	358	259	0
TCGA-DK-AA74-01A-11D-A391-08	130	28	13
TCGA-DK-AA75-01A-11D-A391-08	111	295	20
TCGA-DK-AA76-01A-11D-A391-08	101	67	44
TCGA-DK-AA77-01A-11D-A391-08	58	273	26
TCGA-E5-A2PC-01A-11D-A202-08	47	124	27
TCGA-E5-A4TZ-01A-11D-A31L-08	283	91	42
TCGA-E5-A4U1-01A-11D-A31L-08	354	152	10
TCGA-E7-A3X6-01A-12D-A22Z-08	49	20	5
TCGA-E7-A3Y1-01A-11D-A22Z-08	10	87	34
TCGA-E7-A4IJ-01A-31D-A26M-08	186	76	47
TCGA-E7-A4XJ-01A-11D-A26M-08	0	22	19
TCGA-E7-A519-01A-11D-A26M-08	7	52	1
TCGA-E7-A541-01A-11D-A26M-08	210	197	0
TCGA-E7-A5KE-01A-11D-A289-08	31	130	21
TCGA-E7-A5KF-01A-11D-A289-08	91	86	5
TCGA-E7-A677-01A-11D-A30E-08	20	130	47
TCGA-E7-A678-01A-11D-A30E-08	3	31	20
TCGA-E7-A6MD-01A-41D-A34U-08	248	133	26
TCGA-E7-A6ME-01A-22D-A32B-08	21	74	19
TCGA-E7-A6MF-01A-12D-A32B-08	22	16	2
TCGA-E7-A7DU-01A-11D-A32B-08	127	119	0
TCGA-E7-A7DV-01A-11D-A339-08	232	0	22
TCGA-E7-A7PW-01A-11D-A34U-08	29	25	18
TCGA-E7-A7XN-01A-11D-A34U-08	686	138	0
TCGA-E7-A85H-01A-11D-A34U-08	37	240	84
TCGA-E7-A8O7-01A-11D-A364-08	7	12	9
TCGA-E7-A8O8-01A-11D-A364-08	15	70	26
TCGA-E7-A97P-01A-11D-A38G-08	51	87	29
TCGA-E7-A97Q-01A-11D-A38G-08	14	18	9
TCGA-FD-A3B3-01A-12D-A202-08	53	75	12
TCGA-FD-A3B4-01A-12D-A202-08	1	14	49
TCGA-FD-A3B5-01A-11D-A20D-08	79	14	31
TCGA-FD-A3B6-01A-21D-A20D-08	172	35	34
TCGA-FD-A3B7-01A-31D-A20D-08	26	13	15
TCGA-FD-A3B8-01A-31D-A20D-08	24	0	2
TCGA-FD-A3N5-01A-11D-A21A-08	0	220	71
TCGA-FD-A3N6-01A-11D-A21A-08	13	46	42
TCGA-FD-A3NA-01A-11D-A21A-08	104	44	10
TCGA-FD-A3SJ-01A-12D-A22Z-08	129	81	0
TCGA-FD-A3SL-01A-21D-A22Z-08	81	77	39
TCGA-FD-A3SM-01A-11D-A22Z-08	98	42	16
TCGA-FD-A3SN-01A-12D-A22Z-08	88	284	5
TCGA-FD-A3SO-01A-11D-A22Z-08	183	125	13
TCGA-FD-A3SP-01A-31D-A22Z-08	25	59	21
TCGA-FD-A3SQ-01A-21D-A22Z-08	7	39	24
TCGA-FD-A3SR-01A-11D-A22Z-08	62	15	42
TCGA-FD-A3SS-01A-12D-A22Z-08	178	217	25
TCGA-FD-A43N-01A-11D-A23U-08	76	29	42
TCGA-FD-A43P-01A-31D-A23U-08	240	65	43
TCGA-FD-A43U-01A-11D-A23U-08	0	43	27
TCGA-FD-A43X-01A-11D-A23U-08	190	80	10
TCGA-FD-A43Y-01A-21D-A26M-08	0	48	3
TCGA-FD-A5BR-01A-11D-A26M-08	3	46	31
TCGA-FD-A5BS-01A-21D-A26M-08	3	18	5
TCGA-FD-A5BT-01A-11D-A26M-08	69	17	28
TCGA-FD-A5BU-01A-31D-A26M-08	3	32	16
TCGA-FD-A5BV-01A-11D-A26M-08	17	80	19
TCGA-FD-A5BX-01A-11D-A26M-08	181	88	3
TCGA-FD-A5BY-01A-31D-A289-08	16	14	10
TCGA-FD-A5BZ-01A-11D-A289-08	50	36	33
TCGA-FD-A5C0-01A-11D-A289-08	0	85	15
TCGA-FD-A5C1-01A-11D-A289-08	53	41	18
TCGA-FD-A62N-01A-11D-A30E-08	8	39	35
TCGA-FD-A62O-01A-11D-A30E-08	72	49	30
TCGA-FD-A62P-01A-32D-A30E-08	228	72	17
TCGA-FD-A62S-01A-11D-A30E-08	0	41	19
TCGA-FD-A6TA-01A-12D-A339-08	155	63	8
TCGA-FD-A6TB-01A-12D-A339-08	113	36	9
TCGA-FD-A6TC-01A-21D-A339-08	550	235	39
TCGA-FD-A6TD-01A-51D-A339-08	41	66	9
TCGA-FD-A6TE-01A-12D-A339-08	127	55	19
TCGA-FD-A6TF-01A-52D-A32B-08	85	23	6
TCGA-FD-A6TG-01A-11D-A32B-08	214	79	26
TCGA-FD-A6TH-01A-11D-A32B-08	47	77	19
TCGA-FD-A6TI-01A-11D-A32B-08	0	53	50
TCGA-FD-A6TK-01A-42D-A339-08	23	66	0
TCGA-FJ-A3Z7-01A-12D-A23M-08	162	127	0
TCGA-FJ-A3Z9-01A-11D-A26M-08	2	30	27
TCGA-FJ-A3ZE-01A-11D-A23M-08	68	164	162
TCGA-FJ-A3ZF-01A-11D-A23M-08	95	129	8
TCGA-FJ-A871-01A-11D-A34U-08	0	33	11
TCGA-FT-A3EE-01A-11D-A202-08	3	74	20
TCGA-FT-A61P-01A-11D-A30E-08	33	77	22
TCGA-G2-A2EC-01A-11D-A17V-08	89	30	17
TCGA-G2-A2EF-01A-12D-A18F-08	109	90	6
TCGA-G2-A2EJ-01A-11D-A17V-08	174	54	35
TCGA-G2-A2EK-01A-22D-A18F-08	28	24	2
TCGA-G2-A2EL-01A-12D-A18F-08	187	6	24
TCGA-G2-A2EO-01A-11D-A17V-08	493	267	0
TCGA-G2-A2ES-01A-11D-A17V-08	67	244	36
TCGA-G2-A3IB-01A-11D-A20D-08	20	46	23
TCGA-G2-A3IE-01A-11D-A20D-08	182	126	0
TCGA-G2-A3VY-01A-11D-A22Z-08	663	0	0
TCGA-G2-AA3B-01A-11D-A391-08	642	0	9
TCGA-G2-AA3C-01A-21D-A391-08	134	58	12
TCGA-G2-AA3D-01A-11D-A391-08	173	0	0
TCGA-G2-AA3F-01A-12D-A42E-08	51	60	16
TCGA-GC-A3BM-01A-11D-A22Z-08	11	71	23
TCGA-GC-A3I6-01A-11D-A20D-08	94	80	0
TCGA-GC-A3OO-01A-11D-A22Z-08	38	72	0
TCGA-GC-A3RB-01A-12D-A21Z-08	66	73	10
TCGA-GC-A3RC-01A-11D-A22Z-08	112	188	28
TCGA-GC-A3RD-01A-12D-A22Z-08	21	39	14
TCGA-GC-A3WC-01A-31D-A22Z-08	53	77	8
TCGA-GC-A3YS-01A-11D-A23M-08	136	56	33
TCGA-GC-A4ZW-01A-11D-A26M-08	545	14	28
TCGA-GC-A6I1-01A-12D-A31L-08	122	95	0
TCGA-GC-A6I3-01A-11D-A31L-08	142	32	42
TCGA-GD-A2C5-01A-12D-A17V-08	131	42	40
TCGA-GD-A3OP-01A-21D-A21Z-08	117	193	0
TCGA-GD-A3OQ-01A-32D-A21Z-08	44	23	16
TCGA-GD-A3OS-01A-12D-A21Z-08	15	55	19
TCGA-GD-A6C6-01A-21D-A31L-08	160	66	23
TCGA-GD-A76B-01A-11D-A32B-08	84	61	13
TCGA-GU-A42P-01A-11D-A23U-08	112	110	23
TCGA-GU-A42Q-01A-11D-A23U-08	101	35	25
TCGA-GU-A42R-01A-11D-A23M-08	78	69	6
TCGA-GU-A762-01A-11D-A339-08	44	19	23
TCGA-GU-A763-01A-11D-A32B-08	36	22	3
TCGA-GU-A764-01A-11D-A34U-08	53	34	15
TCGA-GU-A766-01A-11D-A32B-08	98	67	19
TCGA-GU-A767-01A-11D-A32B-08	217	56	77
TCGA-GU-AATO-01A-11D-A391-08	171	108	0
TCGA-GU-AATP-01A-11D-A391-08	125	117	22
TCGA-GU-AATQ-01A-11D-A391-08	106	28	14
TCGA-GV-A3JV-01A-11D-A21Z-08	5	65	37
TCGA-GV-A3JW-01A-11D-A20D-08	34	25	10
TCGA-GV-A3JX-01A-11D-A20D-08	185	27	20
TCGA-GV-A3JZ-01A-11D-A21A-08	238	81	68
TCGA-GV-A3QF-01A-31D-A22Z-08	9	71	32
TCGA-GV-A3QG-01A-11D-A21Z-08	23	54	6
TCGA-GV-A3QH-01A-11D-A21Z-08	97	21	15
TCGA-GV-A3QI-01A-11D-A21Z-08	153	209	50
TCGA-GV-A3QK-01B-11D-A23M-08	39	65	28
TCGA-GV-A40E-01A-12D-A23M-08	130	0	17
TCGA-GV-A40G-01A-11D-A23M-08	14	93	22
TCGA-GV-A6ZA-01A-12D-A339-08	163	77	23
TCGA-H4-A2HO-01A-11D-A17V-08	15	43	14
TCGA-H4-A2HQ-01A-11D-A17V-08	244	106	36
TCGA-HQ-A2OE-01A-11D-A202-08	42	54	23
TCGA-HQ-A2OF-01A-11D-A26M-08	0	51	40
TCGA-HQ-A5ND-01A-11D-A26M-08	10	41	22
TCGA-HQ-A5NE-01A-12D-A289-08	174	131	15
TCGA-K4-A3WS-01A-11D-A22Z-08	167	80	0
TCGA-K4-A3WU-01B-11D-A23M-08	109	14	29
TCGA-K4-A3WV-01A-11D-A22Z-08	0	28	26
TCGA-K4-A4AB-01B-12D-A289-08	7	55	19
TCGA-K4-A4AC-01A-21D-A26M-08	51	40	31
TCGA-K4-A54R-01A-11D-A26M-08	563	235	20
TCGA-K4-A5RH-01A-11D-A30E-08	34	104	16
TCGA-K4-A5RI-01A-11D-A289-08	32	70	16
TCGA-K4-A5RJ-01A-11D-A289-08	212	115	5
TCGA-K4-A6FZ-01A-11D-A31L-08	161	184	6
TCGA-K4-A6MB-01A-11D-A31L-08	146	148	5
TCGA-K4-A83P-01A-11D-A34U-08	112	102	9
TCGA-K4-AAQO-01A-11D-A38G-08	128	56	29
TCGA-KQ-A41N-01A-11D-A339-08	38	112	37
TCGA-KQ-A41O-01A-12D-A34U-08	189	6	36
TCGA-KQ-A41P-01A-12D-A339-08	166	87	20
TCGA-KQ-A41Q-01A-11D-A339-08	52	54	32
TCGA-KQ-A41R-01A-21D-A34U-08	105	545	17
TCGA-KQ-A41S-01A-12D-A339-08	121	74	4
TCGA-LC-A66R-01A-41D-A30E-08	55	30	29
TCGA-LT-A5Z6-01A-11D-A289-08	260	192	0
