	Hugo_Symbol
0	PCDH8
1	RAD51AP2
2	RBP3
3	AMY2A
4	KERA
5	SLC22A12
6	SLC32A1
7	NPAS4
8	KLHL40
9	CHRND
10	CYP11B2
11	ESX1
12	GHSR
13	GPR142
14	PSG7
15	SPATA31A3
16	TRIM51
17	KRT36
18	ABRA
19	ACCSL
20	ALK
21	BTN1A1
22	C9orf50
23	CD1E
24	CPA1
25	CST8
26	CYP2A13
27	CYP2A6
28	CYP2F1
29	DMRTB1
30	GPR149
31	GRIA4
32	GRXCR1
33	HTR2B
34	ITIH1
35	KIR3DL1
36	KRT71
37	MOGAT3
38	NR0B1
39	ODF1
40	OTOL1
41	PKDREJ
42	RSPH4A
43	SLC10A2
44	SLC39A12
45	SLC5A4
46	SPATA31A7
47	SPATA31D1
48	TRIM10
49	MSTN
50	TSGA10IP
51	AHSG
52	ALX1
53	ASIC5
54	BARHL2
55	BEST2
56	BIRC7
57	BPIFA3
58	BPIFB3
59	BPIFB6
60	BRS3
61	C7orf33
62	CCDC116
63	CCKBR
64	CLEC4M
65	CRYBA4
66	CSMD3
67	CYP2C8
68	DMRT1
69	ELANE
70	EQTN
71	FAM209B
72	FCAR
73	FLG2
74	FSCN2
75	GPR179
76	HGFAC
77	HIPK4
78	HRNR
79	HS3ST2
80	HSD3B2
81	IZUMO2
82	KCNH7
83	KCNU1
84	KCTD8
85	KLB
86	KRT2
87	KRT25
88	KRT39
89	KRT73
90	LPA
91	LRIT2
92	LRRC31
93	LRRC66
94	MARCH11
95	MPO
96	MSH4
97	MYH1
98	NME5
99	ODAM
100	OR1C1
101	OTOP2
102	PKLR
103	PNLDC1
104	PRDM13
105	PRSS58
106	PSG2
107	RBPJL
108	RGS18
109	RIPPLY2
110	RNF112
111	SIGLEC8
112	SLC17A6
113	SLC22A9
114	SLC4A9
115	SLC7A3
116	SLCO6A1
117	SOX8
118	SPATA31A1
119	SPATA31A6
120	SPATA31E1
121	TCHHL1
122	TMEM202
123	TMOD4
124	TRIM15
125	TRIML1
126	TSHR
127	TTC16
128	UGT2B28
129	UNCX
130	VSTM2A
131	ZSWIM2
132	AADACL4
133	AARD
134	ABCG4
135	ACPT
136	ADAD1
137	ADRA1D
138	AKAP17A
139	AMBN
140	AMPD1
141	ANGPTL3
142	ARRDC5
143	BARHL1
144	BTNL2
145	C11orf88
146	C16orf78
147	C4BPB
148	C4orf17
149	C9orf131
150	C9orf24
151	CACNA1B
152	CACNA1G
153	CATSPER4
154	CD40LG
155	CDH16
156	CPA2
157	CREB3L3
158	CRYGB
159	CYP17A1
160	CYP2A7
161	CYP4A11
162	CYP4Z1
163	CYP7A1
164	DDX4
165	DPEP3
166	DPPA4
167	DSG4
168	ERMN
169	F9
170	FABP9
171	FAM71B
172	FAM9C
173	FBXW10
174	FCRL4
175	FEZF2
176	FGF23
177	FSHR
178	G6PC2
179	GAS2L2
180	GCKR
181	GDF2
182	GDF3
183	GIF
184	GP2
185	GPR50
186	GPRC6A
187	GPX5
188	GRM2
189	GSG1
190	HPX
191	HRH4
192	HTR3C
193	HTR6
194	IGFBP1
195	IL21
196	INSC
197	IRX1
198	IZUMO1
199	KCNIP4
200	KCNJ9
201	KLHL30
202	KLRF1
203	KRT28
204	KRT37
205	KRT82
206	LCT
207	LDHC
208	LIPF
209	LMOD2
210	LRRC14B
211	MMP27
212	MROH2B
213	MYH4
214	MYOC
215	MYOZ2
216	NCR2
217	NLRP6
218	NOL4
219	NPFFR2
220	NPS
221	NRG3
222	NTSR2
223	ODF3L1
224	OLFM3
225	PADI4
226	PAGE1
227	PANX3
228	PLA2G1B
229	PNLIP
230	PPP4R2
231	PRAMEF14
232	PRAMEF15
233	PRAMEF20
234	PRAMEF4
235	PROKR2
236	PSG1
237	REM1
238	RFX4
239	RFX6
240	RHO
241	RTP2
242	RXFP2
243	RXRG
244	SBK2
245	SCN4A
246	SHCBP1L
247	SLC17A8
248	SLC22A13
249	SLC25A31
250	SLC25A41
251	SLC26A4
252	SLC35F3
253	SMYD1
254	SORCS3
255	SPEF1
256	SPO11
257	SPTA1
258	STRA8
259	STRC
260	SYCP1
261	SYT4
262	T
263	TAS1R2
264	TEX26
265	TEX37
266	THEG
267	TRIM48
268	TRPM5
269	TSKS
270	TUBA3D
271	VSTM1
272	WNT10B
273	WT1
274	ZAN
