Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-CU-A72E-01A-12D-A339-08	13	12	0	0	10	0
TCGA-DK-A1A3-01A-11D-A13W-08	71	38	36	0	2	4
TCGA-DK-A1A5-01A-11D-A13W-08	18	31	17	0	1	2
TCGA-DK-A1A6-01A-11D-A13W-08	15	26	6	9	6	0
TCGA-DK-A1A7-01A-11D-A13W-08	11	2	0	24	20	4
TCGA-DK-A1AA-01A-11D-A13W-08	1	0	8	6	2	3
TCGA-DK-A1AB-01A-11D-A13W-08	13	29	0	0	6	0
TCGA-DK-A1AC-01A-11D-A13W-08	311	98	0	9	13	34
TCGA-DK-A1AD-01A-11D-A13W-08	14	13	8	10	10	3
TCGA-DK-A1AE-01A-11D-A13W-08	13	4	1	13	1	4
TCGA-DK-A1AF-01A-11D-A13W-08	3	14	12	0	0	1
TCGA-DK-A1AG-01A-11D-A13W-08	9	15	14	0	6	6
TCGA-DK-A2HX-01A-12D-A18F-08	5	8	1	0	12	1
TCGA-DK-A2I1-01A-11D-A17V-08	27	13	0	0	5	0
TCGA-DK-A2I2-01A-11D-A17V-08	11	1	0	2	8	0
TCGA-DK-A2I4-01A-11D-A21A-08	139	85	25	0	10	8
TCGA-DK-A2I6-01A-12D-A18F-08	18	11	43	0	2	4
TCGA-DK-A3IK-01A-32D-A21A-08	1	7	48	0	5	3
TCGA-DK-A3IL-01A-11D-A20D-08	0	5	8	21	1	9
TCGA-DK-A3IM-01A-11D-A20D-08	2	0	10	0	14	0
TCGA-DK-A3IN-01A-11D-A20D-08	39	32	19	1	0	2
TCGA-DK-A3IQ-01A-31D-A20D-08	11	21	2	3	8	4
TCGA-DK-A3IS-01A-21D-A21A-08	39	30	0	0	11	4
TCGA-DK-A3IT-01A-31D-A20D-08	24	60	24	0	0	2
TCGA-DK-A3IU-01A-11D-A20D-08	38	12	40	0	10	6
TCGA-DK-A3IV-01A-22D-A21A-08	3	2	5	5	2	0
TCGA-DK-A3WW-01A-22D-A23M-08	141	144	45	0	0	25
TCGA-DK-A3WX-01A-22D-A22Z-08	5	1	0	0	7	0
TCGA-DK-A3WY-01A-11D-A22Z-08	1	4	3	0	0	0
TCGA-DK-A3X1-01A-12D-A22Z-08	145	73	15	21	0	10
TCGA-DK-A3X2-01A-11D-A22Z-08	4	8	0	0	21	0
TCGA-DK-A6AV-01A-12D-A30E-08	17	7	0	10	0	3
TCGA-DK-A6AW-01A-11D-A30E-08	6	0	0	15	19	996
TCGA-DK-A6B0-01A-11D-A31L-08	0	0	0	2	0	0
TCGA-DK-A6B1-01A-12D-A30E-08	20	8	0	0	18	4
TCGA-DK-A6B2-01A-11D-A30E-08	6	15	0	6	17	7
TCGA-DK-A6B5-01A-11D-A31L-08	19	10	12	7	2	0
TCGA-DK-A6B6-01A-11D-A30E-08	180	99	10	0	21	25
TCGA-DK-AA6L-01A-11D-A391-08	23	41	0	8	7	7
TCGA-DK-AA6M-01A-11D-A391-08	8	0	0	4	10	0
TCGA-DK-AA6P-01A-11D-A391-08	19	15	0	14	0	6
TCGA-DK-AA6Q-01A-11D-A391-08	6	15	0	7	3	2
TCGA-DK-AA6R-01A-11D-A42E-08	11	11	20	49	2	3
TCGA-DK-AA6S-01A-21D-A391-08	37	69	22	17	0	7
TCGA-DK-AA6T-01A-11D-A391-08	0	7	0	0	5	2
TCGA-DK-AA6U-01A-11D-A391-08	37	26	0	56	9	0
TCGA-DK-AA6W-01A-12D-A391-08	23	17	1	0	16	8
TCGA-DK-AA6X-01A-12D-A42E-08	4	10	0	0	5	5
TCGA-DK-AA71-01A-31D-A391-08	59	70	0	2	12	10
TCGA-DK-AA74-01A-11D-A391-08	12	20	19	0	0	7
TCGA-DK-AA75-01A-11D-A391-08	65	13	28	0	0	23
TCGA-DK-AA76-01A-11D-A391-08	21	20	0	18	6	0
TCGA-DK-AA77-01A-11D-A391-08	5	0	62	18	6	4
