Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-2F-A9KO-01A-11D-A38G-08	339	149	0	0	0	0
TCGA-2F-A9KP-01A-11D-A38G-08	29	33	0	0	41	8
TCGA-2F-A9KQ-01A-11D-A38G-08	6	8	16	0	27	0
TCGA-2F-A9KR-01A-11D-A38G-08	63	73	19	12	9	13
TCGA-2F-A9KT-01A-11D-A38G-08	164	89	0	0	29	26
TCGA-2F-A9KW-01A-11D-A38G-08	0	17	0	49	25	6
TCGA-4Z-AA7M-01A-11D-A391-08	219	112	63	0	43	0
TCGA-4Z-AA7N-01A-11D-A391-08	2	7	0	0	7	0
TCGA-4Z-AA7O-01A-31D-A391-08	44	35	40	20	30	13
TCGA-4Z-AA7Q-01A-11D-A391-08	119	28	30	16	27	5
TCGA-4Z-AA7R-01A-11D-A391-08	148	96	4	29	14	25
TCGA-4Z-AA7S-01A-11D-A391-08	0	4	0	0	34	9
TCGA-4Z-AA7W-01A-11D-A391-08	331	136	0	0	0	0
TCGA-4Z-AA7Y-01A-11D-A391-08	114	90	16	18	5	6
TCGA-4Z-AA80-01A-11D-A391-08	138	82	27	19	48	51
TCGA-4Z-AA81-01A-11D-A391-08	72	72	0	0	22	17
TCGA-4Z-AA82-01A-11D-A391-08	13	28	0	31	30	0
TCGA-4Z-AA83-01A-11D-A391-08	16	18	9	3	27	4
TCGA-4Z-AA84-01A-11D-A391-08	5	221	144	38	27	5
TCGA-4Z-AA86-01A-11D-A391-08	111	44	8	16	9	10
TCGA-4Z-AA87-01A-11D-A391-08	82	38	11	19	40	13
TCGA-4Z-AA89-01A-11D-A391-08	63	32	0	0	23	0
TCGA-5N-A9KI-01A-31D-A42E-08	29	48	15	30	21	14
TCGA-5N-A9KM-01A-11D-A42E-08	0	19	95	56	27	0
TCGA-BL-A0C8-01A-11D-A271-08	26	20	17	18	28	10
TCGA-BL-A13I-01A-11D-A271-08	38	11	45	0	14	0
TCGA-BL-A13J-01A-11D-A271-08	25	9	21	28	0	0
TCGA-BL-A3JM-01A-12D-A21A-08	42	35	38	23	27	4
TCGA-BL-A5ZZ-01A-31D-A30E-08	20	37	32	15	30	1
TCGA-BT-A0S7-01A-11D-A10S-08	0	0	19	8	6	5
TCGA-BT-A0YX-01A-11D-A10S-08	347	208	0	0	0	0
TCGA-BT-A20J-01A-11D-A14W-08	197	153	0	0	34	25
TCGA-BT-A20N-01A-11D-A14W-08	45	17	40	91	15	9
TCGA-BT-A20O-01A-21D-A14W-08	38	19	41	50	15	1
TCGA-BT-A20P-01A-11D-A14W-08	47	0	0	0	19	0
TCGA-BT-A20Q-01A-11D-A14W-08	27	25	0	0	16	8
TCGA-BT-A20R-01A-12D-A16O-08	105	56	0	0	27	20
TCGA-BT-A20T-01A-11D-A14W-08	107	102	0	0	25	0
TCGA-BT-A20U-01A-11D-A14W-08	43	25	0	0	12	6
TCGA-BT-A20V-01A-11D-A14W-08	18	11	7	5	32	12
TCGA-BT-A20W-01A-21D-A14W-08	18	0	0	21	17	9
TCGA-BT-A20X-01A-11D-A16O-08	9	2	26	11	6	9
TCGA-BT-A2LA-01A-11D-A18F-08	30	32	0	0	88	0
TCGA-BT-A2LB-01A-11D-A18F-08	36	224	233	0	29	0
TCGA-BT-A2LD-01A-12D-A20D-08	6	14	15	6	48	5
TCGA-BT-A3PH-01A-11D-A21Z-08	275	95	0	0	28	0
TCGA-BT-A3PJ-01A-21D-A21Z-08	130	187	133	0	0	0
TCGA-BT-A3PK-01A-21D-A21Z-08	64	34	132	73	13	1
TCGA-BT-A42B-01A-32D-A23M-08	0	13	0	0	46	0
TCGA-BT-A42C-01A-11D-A23M-08	76	62	56	95	20	10
TCGA-BT-A42E-01A-11D-A23U-08	88	28	0	0	25	0
TCGA-BT-A42F-01A-11D-A23U-08	93	57	0	0	0	0
TCGA-C4-A0EZ-01A-21D-A10S-08	25	36	34	22	42	16
TCGA-C4-A0F0-01A-12D-A10S-08	7	7	29	18	23	0
TCGA-C4-A0F1-01A-11D-A10S-08	52	46	0	0	30	20
TCGA-C4-A0F6-01A-11D-A10S-08	91	30	0	0	45	14
TCGA-C4-A0F7-01A-11D-A10S-08	0	6	0	0	45	13
TCGA-CF-A1HR-01A-11D-A13W-08	126	80	0	0	24	0
TCGA-CF-A1HS-01A-11D-A13W-08	155	0	53	0	0	0
TCGA-CF-A27C-01A-11D-A16O-08	88	39	0	0	17	0
TCGA-CF-A3MF-01A-12D-A21A-08	0	4	0	0	16	0
TCGA-CF-A3MG-01A-11D-A20D-08	59	23	8	12	19	4
TCGA-CF-A3MH-01A-11D-A20D-08	9	3	2	1	19	1
TCGA-CF-A3MI-01A-11D-A20D-08	20	13	0	0	23	5
TCGA-CF-A47S-01A-11D-A23U-08	0	5	0	0	14	2
TCGA-CF-A47T-01A-11D-A23U-08	0	7	0	0	10	6
TCGA-CF-A47V-01A-11D-A23U-08	22	10	5	43	7	1
TCGA-CF-A47W-01A-11D-A23U-08	0	4	0	10	10	3
TCGA-CF-A47X-01A-31D-A23U-08	148	98	0	0	36	0
TCGA-CF-A47Y-01A-11D-A23U-08	22	3	24	0	11	0
TCGA-CF-A5U8-01A-11D-A289-08	0	0	22	17	11	5
TCGA-CF-A5UA-01A-11D-A289-08	19	0	0	0	41	11
TCGA-CF-A7I0-01A-22D-A34U-08	9	13	4	10	4	3
TCGA-CF-A8HX-01A-11D-A364-08	16	21	0	0	12	6
TCGA-CF-A8HY-01A-11D-A364-08	10	0	0	44	11	6
TCGA-CF-A9FF-01A-11D-A38G-08	57	58	0	0	13	0
TCGA-CF-A9FH-01A-11D-A38G-08	1	1	6	2	18	8
TCGA-CF-A9FL-01A-11D-A38G-08	0	0	0	22	21	5
TCGA-CF-A9FM-01A-11D-A38G-08	0	0	8	7	7	0
TCGA-CU-A0YN-01A-21D-A10S-08	0	11	55	48	35	0
TCGA-CU-A0YO-01A-11D-A10S-08	20	15	12	2	21	7
TCGA-CU-A0YR-01A-12D-A10S-08	0	10	76	20	14	0
TCGA-CU-A3KJ-01A-11D-A21A-08	102	34	34	0	36	0
TCGA-CU-A3QU-01A-11D-A22Z-08	23	19	17	0	12	14
TCGA-CU-A3YL-01A-11D-A22Z-08	113	62	0	0	26	0
TCGA-CU-A5W6-01A-11D-A289-08	61	57	7	30	13	2
TCGA-CU-A72E-01A-12D-A339-08	30	16	12	4	12	3
TCGA-DK-A1A3-01A-11D-A13W-08	147	241	79	30	13	23
TCGA-DK-A1A5-01A-11D-A13W-08	116	78	0	0	17	18
TCGA-DK-A1A6-01A-11D-A13W-08	99	20	0	80	0	0
TCGA-DK-A1A7-01A-11D-A13W-08	10	22	108	18	29	1
TCGA-DK-A1AA-01A-11D-A13W-08	5	4	25	26	8	6
TCGA-DK-A1AB-01A-11D-A13W-08	94	86	0	0	0	0
TCGA-DK-A1AC-01A-11D-A13W-08	281	803	15	68	25	19
TCGA-DK-A1AD-01A-11D-A13W-08	53	42	53	22	17	14
TCGA-DK-A1AE-01A-11D-A13W-08	43	30	0	0	19	0
TCGA-DK-A1AF-01A-11D-A13W-08	45	31	0	0	0	0
TCGA-DK-A1AG-01A-11D-A13W-08	40	42	6	4	18	3
TCGA-DK-A2HX-01A-12D-A18F-08	12	36	3	19	14	8
TCGA-DK-A2I1-01A-11D-A17V-08	107	40	0	0	0	20
TCGA-DK-A2I2-01A-11D-A17V-08	18	16	38	0	9	0
TCGA-DK-A2I4-01A-11D-A21A-08	314	400	0	0	0	38
TCGA-DK-A2I6-01A-12D-A18F-08	16	78	108	36	7	10
TCGA-DK-A3IK-01A-32D-A21A-08	53	18	0	71	29	0
TCGA-DK-A3IL-01A-11D-A20D-08	0	0	0	112	26	21
TCGA-DK-A3IM-01A-11D-A20D-08	0	0	18	24	23	0
TCGA-DK-A3IN-01A-11D-A20D-08	177	100	14	20	23	6
TCGA-DK-A3IQ-01A-31D-A20D-08	49	62	3	26	19	6
TCGA-DK-A3IS-01A-21D-A21A-08	150	123	0	0	31	0
TCGA-DK-A3IT-01A-31D-A20D-08	225	64	19	32	6	5
TCGA-DK-A3IU-01A-11D-A20D-08	144	149	36	36	10	2
TCGA-DK-A3IV-01A-22D-A21A-08	15	17	7	3	12	9
TCGA-DK-A3WW-01A-22D-A23M-08	527	467	0	0	0	52
TCGA-DK-A3WX-01A-22D-A22Z-08	3	8	9	0	15	0
TCGA-DK-A3WY-01A-11D-A22Z-08	5	5	0	0	0	0
TCGA-DK-A3X1-01A-12D-A22Z-08	357	301	0	0	0	97
TCGA-DK-A3X2-01A-11D-A22Z-08	11	19	8	22	37	6
TCGA-DK-A6AV-01A-12D-A30E-08	22	28	8	22	22	3
TCGA-DK-A6AW-01A-11D-A30E-08	0	0	0	0	0	3691
TCGA-DK-A6B0-01A-11D-A31L-08	0	2	11	0	9	0
TCGA-DK-A6B1-01A-12D-A30E-08	18	35	29	7	30	5
TCGA-DK-A6B2-01A-11D-A30E-08	31	31	25	49	38	5
TCGA-DK-A6B5-01A-11D-A31L-08	37	24	19	14	4	4
TCGA-DK-A6B6-01A-11D-A30E-08	242	599	0	0	0	0
TCGA-DK-AA6L-01A-11D-A391-08	180	98	19	30	11	8
TCGA-DK-AA6M-01A-11D-A391-08	7	11	0	0	21	15
TCGA-DK-AA6P-01A-11D-A391-08	43	51	25	14	9	4
TCGA-DK-AA6Q-01A-11D-A391-08	34	24	17	16	12	4
TCGA-DK-AA6R-01A-11D-A42E-08	27	40	0	205	0	15
TCGA-DK-AA6S-01A-21D-A391-08	305	180	0	0	0	0
TCGA-DK-AA6T-01A-11D-A391-08	13	0	20	0	18	13
TCGA-DK-AA6U-01A-11D-A391-08	76	75	9	166	24	25
TCGA-DK-AA6W-01A-12D-A391-08	108	68	0	0	54	0
TCGA-DK-AA6X-01A-12D-A42E-08	46	19	14	2	7	8
TCGA-DK-AA71-01A-31D-A391-08	329	288	0	0	0	0
TCGA-DK-AA74-01A-11D-A391-08	89	38	12	14	12	6
TCGA-DK-AA75-01A-11D-A391-08	87	212	55	18	28	26
TCGA-DK-AA76-01A-11D-A391-08	57	41	17	61	13	23
TCGA-DK-AA77-01A-11D-A391-08	0	68	0	243	46	0
TCGA-E5-A2PC-01A-11D-A202-08	13	25	58	88	7	7
TCGA-E5-A4TZ-01A-11D-A31L-08	217	94	0	0	105	0
TCGA-E5-A4U1-01A-11D-A31L-08	248	149	20	73	20	6
TCGA-E7-A3X6-01A-12D-A22Z-08	39	21	0	0	14	0
TCGA-E7-A3Y1-01A-11D-A22Z-08	5	9	47	36	30	4
TCGA-E7-A4IJ-01A-31D-A26M-08	109	59	26	82	7	26
TCGA-E7-A4XJ-01A-11D-A26M-08	0	4	0	0	37	0
TCGA-E7-A519-01A-11D-A26M-08	5	11	34	0	10	0
TCGA-E7-A541-01A-11D-A26M-08	136	106	165	0	0	0
TCGA-E7-A5KE-01A-11D-A289-08	21	51	30	25	53	2
TCGA-E7-A5KF-01A-11D-A289-08	71	76	0	35	0	0
TCGA-E7-A677-01A-11D-A30E-08	9	24	76	46	32	10
TCGA-E7-A678-01A-11D-A30E-08	4	2	27	1	18	2
TCGA-E7-A6MD-01A-41D-A34U-08	197	133	8	18	32	19
TCGA-E7-A6ME-01A-22D-A32B-08	6	0	48	45	15	0
TCGA-E7-A6MF-01A-12D-A32B-08	21	19	0	0	0	0
TCGA-E7-A7DU-01A-11D-A32B-08	113	111	0	0	22	0
TCGA-E7-A7DV-01A-11D-A339-08	168	37	11	11	13	14
TCGA-E7-A7PW-01A-11D-A34U-08	20	17	3	14	7	11
TCGA-E7-A7XN-01A-11D-A34U-08	557	267	0	0	0	0
TCGA-E7-A85H-01A-11D-A34U-08	18	36	202	57	27	21
TCGA-E7-A8O7-01A-11D-A364-08	4	3	2	5	12	2
TCGA-E7-A8O8-01A-11D-A364-08	8	16	27	22	33	5
TCGA-E7-A97P-01A-11D-A38G-08	21	11	88	27	16	4
TCGA-E7-A97Q-01A-11D-A38G-08	8	7	15	3	5	3
TCGA-FD-A3B3-01A-12D-A202-08	36	37	27	12	26	2
TCGA-FD-A3B4-01A-12D-A202-08	0	0	0	38	14	12
TCGA-FD-A3B5-01A-11D-A20D-08	52	22	6	16	10	18
TCGA-FD-A3B6-01A-21D-A20D-08	101	38	2	63	24	13
TCGA-FD-A3B7-01A-31D-A20D-08	14	0	28	0	12	0
TCGA-FD-A3B8-01A-31D-A20D-08	13	5	0	8	0	0
TCGA-FD-A3N5-01A-11D-A21A-08	0	13	140	110	28	0
TCGA-FD-A3N6-01A-11D-A21A-08	12	22	0	0	43	24
TCGA-FD-A3NA-01A-11D-A21A-08	79	44	12	5	12	6
TCGA-FD-A3SJ-01A-12D-A22Z-08	78	37	75	0	20	0
TCGA-FD-A3SL-01A-21D-A22Z-08	32	11	75	52	22	5
TCGA-FD-A3SM-01A-11D-A22Z-08	72	39	8	7	24	6
TCGA-FD-A3SN-01A-12D-A22Z-08	68	204	47	20	25	13
TCGA-FD-A3SO-01A-11D-A22Z-08	163	138	0	0	0	20
TCGA-FD-A3SP-01A-31D-A22Z-08	20	30	2	6	38	9
TCGA-FD-A3SQ-01A-21D-A22Z-08	5	14	12	8	20	11
TCGA-FD-A3SR-01A-11D-A22Z-08	42	14	15	4	24	20
TCGA-FD-A3SS-01A-12D-A22Z-08	164	215	0	0	0	41
TCGA-FD-A43N-01A-11D-A23U-08	43	9	12	21	57	5
TCGA-FD-A43P-01A-31D-A23U-08	149	63	41	47	30	18
