Samples	SBS96A	SBS96B	SBS96C
TCGA-A2-A3XU-01A-12D-A22X-09	27	1	2
TCGA-A2-A3XV-01A-21D-A23C-09	38	1	6
TCGA-A2-A3XW-01A-11D-A23C-09	9	0	4
TCGA-A2-A3XX-01A-21D-A23C-09	39	6	9
TCGA-A2-A3XZ-01A-42D-A23C-09	29	19	7
TCGA-A2-A3Y0-01A-11D-A23C-09	158	64	2
TCGA-A2-A4S1-01A-21D-A25Q-09	74	10	3
TCGA-A2-A4S2-01A-12D-A25Q-09	32	7	0
TCGA-A2-A4S3-01A-21D-A25Q-09	71	18	8
TCGA-A7-A0CD-01A-11W-A019-09	38	0	2
TCGA-A7-A0CE-01A-11W-A019-09	117	34	12
TCGA-A7-A0CG-01A-11W-A019-09	45	18	9
TCGA-A7-A0CJ-01A-21W-A019-09	72	9	7
TCGA-A7-A0D9-01A-31W-A071-09	15	8	1
TCGA-A7-A0DA-01A-31D-A10Y-09	113	27	10
TCGA-A7-A0DB-01A-11D-A272-09	31	19	4
TCGA-A7-A13D-01A-13D-A272-09	91	31	7
TCGA-A7-A13E-01A-11D-A272-09	34	4	2
TCGA-A7-A13F-01A-11D-A12Q-09	24	4	9
TCGA-A7-A13G-01A-11D-A13L-09	18	11	0
TCGA-A7-A26E-01A-11D-A272-09	30	22	8
TCGA-A7-A26F-01A-21D-A167-09	34	6	7
TCGA-A7-A26G-01A-21D-A167-09	43	21	2
TCGA-A7-A26H-01A-11D-A167-09	60	70	6
TCGA-A7-A26I-01A-11D-A167-09	32	13	2
TCGA-A7-A26J-01A-11D-A272-09	33	5	1
TCGA-A7-A2KD-01A-31D-A21Q-09	43	7	4
TCGA-A7-A3RF-01A-11D-A228-09	35	2	0
TCGA-A7-A425-01A-11D-A243-09	36	2	0
TCGA-A7-A4SC-01A-12D-A25Q-09	25	3	6
TCGA-A7-A4SD-01A-11D-A25Q-09	51	4	6
TCGA-A7-A4SE-01A-11D-A25Q-09	73	57	0
TCGA-A7-A56D-01A-11D-A27P-09	75	85	23
TCGA-A7-A5ZW-01A-12D-A29N-09	19	10	5
TCGA-A7-A5ZX-01A-12D-A29N-09	21	7	9
TCGA-A7-A6VV-01A-22D-A33E-09	44	12	3
TCGA-A7-A6VW-01A-21D-A33E-09	64	10	5
TCGA-A7-A6VX-01A-12D-A33E-09	117	65	4
TCGA-A7-A6VY-01A-12D-A33E-09	83	36	10
TCGA-A8-A06O-01A-11W-A019-09	78	3	5
TCGA-A8-A06P-01A-11W-A019-09	60	15	6
TCGA-A8-A06Q-01A-11W-A050-09	44	216	20
TCGA-A8-A06R-01A-11D-A015-09	57	8	1
TCGA-A8-A06T-01A-11W-A019-09	33	5	0
TCGA-A8-A06U-01A-11W-A019-09	73	12	2
TCGA-A8-A06X-01A-21W-A019-09	231	35	16
TCGA-A8-A06Y-01A-21W-A019-09	29	8	3
TCGA-A8-A06Z-01A-11W-A019-09	78	7	4
TCGA-A8-A075-01A-11D-A099-09	48	31	4
TCGA-A8-A076-01A-21W-A019-09	64	13	14
TCGA-A8-A079-01A-21W-A019-09	87	11	5
TCGA-A8-A07B-01A-11W-A019-09	44	33	2
TCGA-A8-A07F-01A-11W-A019-09	33	3	1
TCGA-A8-A07G-01A-11W-A050-09	64	13	3
TCGA-A8-A07I-01A-11W-A019-09	53	5	5
TCGA-A8-A07J-01A-11W-A019-09	57	26	8
TCGA-A8-A07L-01A-11W-A019-09	98	15	5
TCGA-A8-A07O-01A-11W-A019-09	39	17	7
TCGA-A8-A07P-01A-11W-A019-09	61	7	6
TCGA-A8-A07U-01A-11W-A050-09	75	31	9
TCGA-A8-A07W-01A-11W-A019-09	129	19	8
TCGA-A8-A07Z-01A-11W-A019-09	25	1	0
TCGA-A8-A081-01A-11W-A019-09	88	32	9
TCGA-A8-A082-01A-11W-A019-09	24	3	1
TCGA-A8-A083-01A-21W-A019-09	25	5	4
TCGA-A8-A085-01A-11W-A019-09	57	34	3
TCGA-A8-A08B-01A-11W-A019-09	29	22	10
TCGA-A8-A08C-01A-11W-A019-09	6	3	0
TCGA-A8-A08F-01A-11W-A019-09	120	15	1
TCGA-A8-A08G-01A-11W-A019-09	38	6	8
TCGA-A8-A08H-01A-21W-A019-09	85	139	5
TCGA-A8-A08J-01A-11W-A019-09	26	8	7
TCGA-A8-A08L-01A-11W-A019-09	112	148	0
TCGA-A8-A08O-01A-21W-A071-09	22	5	5
TCGA-A8-A08P-01A-11W-A019-09	56	18	8
TCGA-A8-A08R-01A-11W-A050-09	187	81	7
TCGA-A8-A08S-01A-11W-A050-09	58	4	5
TCGA-A8-A08T-01A-21W-A019-09	46	9	15
TCGA-A8-A08X-01A-21W-A019-09	43	3	2
TCGA-A8-A08Z-01A-21W-A019-09	38	6	0
TCGA-A8-A090-01A-11W-A019-09	33	9	4
TCGA-A8-A091-01A-11W-A019-09	22	6	2
TCGA-A8-A092-01A-11W-A019-09	31	54	11
TCGA-A8-A093-01A-11W-A019-09	34	77	26
TCGA-A8-A094-01A-11W-A019-09	51	159	7
TCGA-A8-A095-01A-11W-A019-09	22	161	17
TCGA-A8-A096-01A-11W-A019-09	44	0	1
TCGA-A8-A097-01A-11W-A050-09	84	29	8
TCGA-A8-A099-01A-11W-A019-09	36	4	2
TCGA-A8-A09A-01A-11W-A019-09	187	55	3
TCGA-A8-A09B-01A-11W-A019-09	39	8	5
TCGA-A8-A09C-01A-11W-A019-09	53	2	3
TCGA-A8-A09D-01A-11W-A019-09	54	10	3
TCGA-A8-A09E-01A-11W-A019-09	82	10	0
TCGA-A8-A09G-01A-21W-A019-09	11	289	11
TCGA-A8-A09I-01A-22W-A050-09	92	60	10
TCGA-A8-A09K-01A-11W-A019-09	38	9	4
TCGA-A8-A09M-01A-11W-A019-09	135	20	14
TCGA-A8-A09N-01A-11W-A019-09	72	63	11
TCGA-A8-A09Q-01A-11W-A019-09	136	16	23
TCGA-A8-A09T-01A-11W-A019-09	27	2	0
TCGA-A8-A09V-01A-11D-A045-09	26	5	0
TCGA-A8-A09W-01A-11W-A019-09	82	8	3
TCGA-A8-A09X-01A-11W-A019-09	48	18	4
TCGA-A8-A09Z-01A-11W-A019-09	1262	0	60
TCGA-A8-A0A1-01A-11W-A019-09	60	3	4
TCGA-A8-A0A2-01A-11W-A050-09	46	2	4
TCGA-A8-A0A4-01A-11W-A019-09	65	5	3
TCGA-A8-A0A6-01A-12W-A071-09	25	11	7
TCGA-A8-A0A7-01A-11W-A019-09	38	220	20
TCGA-A8-A0A9-01A-11W-A019-09	46	16	6
TCGA-A8-A0AB-01A-11W-A050-09	38	2	0
TCGA-A8-A0AD-01A-11W-A071-09	24	5	0
TCGA-AC-A23C-01A-12D-A167-09	58	60	7
TCGA-AC-A23E-01A-11D-A159-09	16	0	4
TCGA-AC-A23H-01A-11D-A159-09	0	5648	54
TCGA-AC-A2B8-01A-11D-A17D-09	21	85	4
TCGA-AC-A2BK-01A-11D-A21Q-09	94	5	5
TCGA-AC-A2BM-01A-11D-A21Q-09	14	3	2
TCGA-AC-A2FB-01A-11D-A17D-09	8	5	0
TCGA-AC-A2FF-01A-11D-A17D-09	8	4	0
TCGA-AC-A2FG-01A-11D-A17D-09	23	10	4
TCGA-AC-A2FO-01A-11D-A17W-09	5	18	4
TCGA-AC-A2QH-01A-11D-A18P-09	26	5	2
TCGA-AC-A3HN-01A-11D-A20S-09	20	3	2
TCGA-AC-A3OD-01A-11D-A21Q-09	24	4	6
