Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M
TCGA-3C-AAAU-01A-11D-A41F-09	0	0	0	19	14	0	0	13	0	0	0	0	0
TCGA-3C-AALI-01A-11D-A41F-09	217	288	116	0	0	0	86	82	0	0	0	0	0
TCGA-3C-AALJ-01A-31D-A41F-09	0	0	19	0	0	31	4	0	0	0	0	0	0
TCGA-3C-AALK-01A-11D-A41F-09	7	5	0	19	0	0	0	0	13	19	0	0	0
TCGA-4H-AAAK-01A-12D-A41F-09	0	0	0	11	0	0	8	0	6	0	0	0	8
TCGA-5L-AAT0-01A-12D-A41F-09	75	47	39	0	0	0	19	77	0	0	0	0	0
TCGA-5L-AAT1-01A-12D-A41F-09	614	529	327	0	0	0	140	326	0	0	0	0	0
TCGA-5T-A9QA-01A-11D-A41F-09	0	0	0	22	0	0	0	11	0	0	0	0	31
TCGA-A1-A0SD-01A-11D-A10Y-09	0	0	0	5	0	34	0	0	0	0	0	0	0
TCGA-A1-A0SE-01A-11D-A099-09	0	0	0	3	0	0	4	13	0	0	0	12	0
TCGA-A1-A0SF-01A-11D-A142-09	22	4	0	9	0	0	0	19	0	0	0	0	0
TCGA-A1-A0SG-01A-11D-A142-09	0	0	0	11	0	0	8	9	0	0	0	0	0
TCGA-A1-A0SH-01A-11D-A099-09	29	26	27	0	0	0	0	24	0	20	0	0	0
TCGA-A1-A0SI-01A-11D-A142-09	64	88	64	0	0	0	15	28	0	0	0	0	0
TCGA-A1-A0SJ-01A-11D-A099-09	3	0	0	14	0	0	0	5	0	0	0	0	6
TCGA-A1-A0SK-01A-12D-A099-09	0	0	9	0	0	46	4	0	0	0	24	0	0
TCGA-A1-A0SM-01A-11D-A099-09	0	0	0	8	0	0	7	0	0	0	0	23	0
TCGA-A1-A0SN-01A-11D-A142-09	4	17	0	14	0	0	8	10	0	0	0	30	0
TCGA-A1-A0SO-01A-22D-A099-09	16	16	0	0	0	76	0	0	48	60	80	0	73
TCGA-A1-A0SP-01A-11D-A099-09	0	0	0	15	0	0	0	8	14	0	13	0	7
