	0
0	ENSG00000002586
1	ENSG00000004939
2	ENSG00000006116
3	ENSG00000006659
4	ENSG00000008197
5	ENSG00000008438
6	ENSG00000010379
7	ENSG00000012504
8	ENSG00000016490
9	ENSG00000018607
10	ENSG00000020219
11	ENSG00000021461
12	ENSG00000030304
13	ENSG00000036473
14	ENSG00000036828
15	ENSG00000039987
16	ENSG00000042304
17	ENSG00000042813
18	ENSG00000044012
19	ENSG00000048545
20	ENSG00000054796
21	ENSG00000061492
22	ENSG00000063515
23	ENSG00000064835
24	ENSG00000066813
25	ENSG00000069018
26	ENSG00000069206
27	ENSG00000070748
28	ENSG00000071203
29	ENSG00000071677
30	ENSG00000072080
31	ENSG00000072315
32	ENSG00000073754
33	ENSG00000074317
34	ENSG00000074771
35	ENSG00000075429
36	ENSG00000077498
37	ENSG00000078579
38	ENSG00000079557
39	ENSG00000080511
40	ENSG00000080572
41	ENSG00000080910
42	ENSG00000081800
43	ENSG00000083622
44	ENSG00000086506
45	ENSG00000088782
46	ENSG00000088926
47	ENSG00000089116
48	ENSG00000090402
49	ENSG00000090512
50	ENSG00000091664
51	ENSG00000092067
52	ENSG00000094661
53	ENSG00000095110
54	ENSG00000095981
55	ENSG00000096264
56	ENSG00000096395
57	ENSG00000099617
58	ENSG00000099721
59	ENSG00000100012
60	ENSG00000100249
61	ENSG00000100341
62	ENSG00000100557
63	ENSG00000100565
64	ENSG00000100593
65	ENSG00000100652
66	ENSG00000100884
67	ENSG00000101074
68	ENSG00000101076
69	ENSG00000101200
70	ENSG00000101203
71	ENSG00000101292
72	ENSG00000101327
73	ENSG00000101405
74	ENSG00000101438
75	ENSG00000101440
76	ENSG00000101446
77	ENSG00000101812
78	ENSG00000101890
79	ENSG00000101892
80	ENSG00000101951
81	ENSG00000101981
82	ENSG00000102021
83	ENSG00000102055
84	ENSG00000102076
85	ENSG00000102104
86	ENSG00000102195
87	ENSG00000102239
88	ENSG00000102539
89	ENSG00000102794
90	ENSG00000102891
91	ENSG00000103200
92	ENSG00000103375
93	ENSG00000104499
94	ENSG00000104804
95	ENSG00000104818
96	ENSG00000104826
97	ENSG00000104827
98	ENSG00000104938
99	ENSG00000104941
100	ENSG00000104970
101	ENSG00000105198
102	ENSG00000105205
103	ENSG00000105251
104	ENSG00000105261
105	ENSG00000105370
106	ENSG00000105392
107	ENSG00000105398
108	ENSG00000105428
109	ENSG00000105507
110	ENSG00000105550
111	ENSG00000105605
112	ENSG00000105675
113	ENSG00000105694
114	ENSG00000105954
115	ENSG00000106128
116	ENSG00000106302
117	ENSG00000106304
118	ENSG00000106331
119	ENSG00000106341
120	ENSG00000106384
121	ENSG00000106410
122	ENSG00000106436
123	ENSG00000106540
124	ENSG00000106648
125	ENSG00000107187
126	ENSG00000107447
127	ENSG00000107831
128	ENSG00000107859
129	ENSG00000108255
130	ENSG00000108452
131	ENSG00000108516
132	ENSG00000108702
133	ENSG00000108849
134	ENSG00000109132
135	ENSG00000109272
136	ENSG00000109471
137	ENSG00000109511
138	ENSG00000109851
139	ENSG00000109991
140	ENSG00000110243
141	ENSG00000110244
142	ENSG00000110887
143	ENSG00000111049
144	ENSG00000111241
145	ENSG00000111536
146	ENSG00000111701
147	ENSG00000111704
148	ENSG00000112038
149	ENSG00000112077
150	ENSG00000112115
151	ENSG00000112116
152	ENSG00000112212
153	ENSG00000112273
154	ENSG00000112337
155	ENSG00000112462
156	ENSG00000112494
157	ENSG00000112499
158	ENSG00000112818
