Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-2F-A9KO-01A-11D-A38G-08	226	115	144	0	3	0	0
TCGA-2F-A9KP-01A-11D-A38G-08	23	28	7	17	30	6	0
TCGA-2F-A9KQ-01A-11D-A38G-08	0	5	18	11	22	1	0
TCGA-2F-A9KR-01A-11D-A38G-08	64	76	0	16	8	10	15
TCGA-2F-A9KT-01A-11D-A38G-08	161	92	0	0	24	21	10
TCGA-2F-A9KW-01A-11D-A38G-08	0	15	19	0	22	6	35
TCGA-4Z-AA7M-01A-11D-A391-08	216	118	4	47	36	0	16
TCGA-4Z-AA7N-01A-11D-A391-08	0	6	5	0	5	0	0
TCGA-4Z-AA7O-01A-31D-A391-08	46	37	3	34	27	11	24
TCGA-4Z-AA7Q-01A-11D-A391-08	121	33	0	19	23	2	27
TCGA-4Z-AA7R-01A-11D-A391-08	147	100	12	0	13	21	23
TCGA-4Z-AA7S-01A-11D-A391-08	0	4	0	0	31	9	3
TCGA-4Z-AA7W-01A-11D-A391-08	232	108	127	0	0	0	0
TCGA-4Z-AA7Y-01A-11D-A391-08	105	90	32	3	3	4	12
TCGA-4Z-AA80-01A-11D-A391-08	140	87	0	21	43	47	27
TCGA-4Z-AA81-01A-11D-A391-08	40	56	62	0	10	15	0
TCGA-4Z-AA82-01A-11D-A391-08	16	28	0	1	26	0	31
TCGA-4Z-AA83-01A-11D-A391-08	17	17	0	5	23	4	11
TCGA-4Z-AA84-01A-11D-A391-08	0	210	36	129	24	5	36
TCGA-4Z-AA86-01A-11D-A391-08	69	33	87	0	0	9	0
TCGA-4Z-AA87-01A-11D-A391-08	73	37	29	4	34	12	14
TCGA-4Z-AA89-01A-11D-A391-08	48	27	27	0	16	0	0
TCGA-5N-A9KI-01A-31D-A42E-08	27	47	16	11	18	14	24
TCGA-5N-A9KM-01A-11D-A42E-08	0	18	15	81	24	0	59
TCGA-BL-A0C8-01A-11D-A271-08	5	13	60	5	23	11	2
TCGA-BL-A13I-01A-11D-A271-08	14	4	59	22	8	1	0
TCGA-BL-A13J-01A-11D-A271-08	28	10	0	16	2	0	27
TCGA-BL-A3JM-01A-12D-A21A-08	33	33	32	29	23	3	16
TCGA-BL-A5ZZ-01A-31D-A30E-08	20	35	6	28	27	1	18
TCGA-BT-A0S7-01A-11D-A10S-08	0	0	0	16	5	5	12
TCGA-BT-A0YX-01A-11D-A10S-08	282	186	75	0	12	0	0
TCGA-BT-A20J-01A-11D-A14W-08	135	128	109	0	16	21	0
TCGA-BT-A20N-01A-11D-A14W-08	44	17	24	35	13	8	76
TCGA-BT-A20O-01A-21D-A14W-08	28	16	42	31	12	1	34
TCGA-BT-A20P-01A-11D-A14W-08	39	0	8	0	12	2	5
TCGA-BT-A20Q-01A-11D-A14W-08	26	24	0	7	13	6	0
TCGA-BT-A20R-01A-12D-A16O-08	107	60	0	0	25	16	0
TCGA-BT-A20T-01A-11D-A14W-08	81	87	42	3	13	8	0
TCGA-BT-A20U-01A-11D-A14W-08	38	25	6	0	10	5	2
TCGA-BT-A20V-01A-11D-A14W-08	18	12	0	9	27	11	8
TCGA-BT-A20W-01A-21D-A14W-08	19	4	0	0	16	7	19
TCGA-BT-A20X-01A-11D-A16O-08	10	2	0	26	5	8	12
TCGA-BT-A2LA-01A-11D-A18F-08	31	33	0	5	80	0	1
TCGA-BT-A2LB-01A-11D-A18F-08	29	213	23	212	23	12	10
TCGA-BT-A2LD-01A-12D-A20D-08	7	14	0	13	41	5	14
TCGA-BT-A3PH-01A-11D-A21Z-08	205	80	104	0	9	0	0
TCGA-BT-A3PJ-01A-21D-A21Z-08	126	178	0	95	18	11	22
TCGA-BT-A3PK-01A-21D-A21Z-08	49	30	58	108	9	1	62
TCGA-BT-A42B-01A-32D-A23M-08	1	10	3	0	37	2	6
TCGA-BT-A42C-01A-11D-A23M-08	19	43	177	18	9	14	39
TCGA-BT-A42E-01A-11D-A23U-08	20	7	110	0	4	0	0
TCGA-BT-A42F-01A-11D-A23U-08	38	34	78	0	0	0	0
TCGA-C4-A0EZ-01A-21D-A10S-08	29	37	0	27	38	15	29
TCGA-C4-A0F0-01A-12D-A10S-08	0	4	25	23	19	0	13
TCGA-C4-A0F1-01A-11D-A10S-08	35	39	26	0	20	17	11
TCGA-C4-A0F6-01A-11D-A10S-08	35	13	98	0	22	12	0
TCGA-C4-A0F7-01A-11D-A10S-08	0	4	0	0	32	10	18
TCGA-CF-A1HR-01A-11D-A13W-08	90	65	52	6	9	8	0
TCGA-CF-A1HS-01A-11D-A13W-08	147	0	2	32	12	5	10
TCGA-CF-A27C-01A-11D-A16O-08	35	22	84	0	3	0	0
TCGA-CF-A3MF-01A-12D-A21A-08	0	4	0	2	11	0	3
TCGA-CF-A3MG-01A-11D-A20D-08	38	18	52	0	13	4	0
TCGA-CF-A3MH-01A-11D-A20D-08	7	3	4	3	16	1	1
TCGA-CF-A3MI-01A-11D-A20D-08	17	12	0	11	17	4	0
TCGA-CF-A47S-01A-11D-A23U-08	0	5	0	0	12	2	2
