Samples	SBS96A	SBS96B
TCGA-A2-A4S2-01A-12D-A25Q-09	25	7
TCGA-A2-A4S3-01A-21D-A25Q-09	68	13
TCGA-A7-A0CD-01A-11W-A019-09	33	0
TCGA-A7-A0CE-01A-11W-A019-09	103	28
TCGA-A7-A0CG-01A-11W-A019-09	49	15
TCGA-A7-A0CJ-01A-21W-A019-09	64	8
TCGA-A7-A0D9-01A-31W-A071-09	15	7
TCGA-A7-A0DA-01A-31D-A10Y-09	113	29
TCGA-A7-A0DB-01A-11D-A272-09	21	22
TCGA-A7-A13D-01A-13D-A272-09	72	27
TCGA-A7-A13E-01A-11D-A272-09	30	2
TCGA-A7-A13F-01A-11D-A12Q-09	30	5
TCGA-A7-A13G-01A-11D-A13L-09	14	8
TCGA-A7-A26E-01A-11D-A272-09	34	15
TCGA-A7-A26F-01A-21D-A167-09	39	5
TCGA-A7-A26G-01A-21D-A167-09	35	24
TCGA-A7-A26H-01A-11D-A167-09	52	59
TCGA-A7-A26I-01A-11D-A167-09	26	10
TCGA-A7-A26J-01A-11D-A272-09	27	4
TCGA-A7-A2KD-01A-31D-A21Q-09	41	4
TCGA-A7-A3RF-01A-11D-A228-09	32	1
TCGA-A7-A425-01A-11D-A243-09	33	0
TCGA-A7-A4SC-01A-12D-A25Q-09	26	3
TCGA-A7-A4SD-01A-11D-A25Q-09	44	3
TCGA-A7-A4SE-01A-11D-A25Q-09	50	61
TCGA-A7-A56D-01A-11D-A27P-09	55	73
TCGA-A7-A5ZW-01A-12D-A29N-09	22	8
TCGA-A7-A5ZX-01A-12D-A29N-09	21	7
TCGA-A7-A6VV-01A-22D-A33E-09	46	6
TCGA-A7-A6VW-01A-21D-A33E-09	54	9
TCGA-A7-A6VX-01A-12D-A33E-09	87	59
TCGA-A7-A6VY-01A-12D-A33E-09	76	29
TCGA-A8-A06O-01A-11W-A019-09	75	2
TCGA-A8-A06P-01A-11W-A019-09	45	17
TCGA-A8-A06Q-01A-11W-A050-09	37	216
TCGA-A8-A06R-01A-11D-A015-09	46	9
TCGA-A8-A06T-01A-11W-A019-09	26	5
TCGA-A8-A06U-01A-11W-A019-09	67	8
TCGA-A8-A06X-01A-21W-A019-09	235	29
TCGA-A8-A06Y-01A-21W-A019-09	24	7
TCGA-A8-A06Z-01A-11W-A019-09	78	2
TCGA-A8-A075-01A-11D-A099-09	46	26
TCGA-A8-A076-01A-21W-A019-09	70	11
TCGA-A8-A079-01A-21W-A019-09	79	9
TCGA-A8-A07B-01A-11W-A019-09	41	26
TCGA-A8-A07F-01A-11W-A019-09	24	2
TCGA-A8-A07G-01A-11W-A050-09	63	11
TCGA-A8-A07I-01A-11W-A019-09	45	3
TCGA-A8-A07J-01A-11W-A019-09	47	24
TCGA-A8-A07L-01A-11W-A019-09	85	15
TCGA-A8-A07O-01A-11W-A019-09	33	14
