Samples	SBS96A	SBS96B	SBS96C
TCGA-DK-A3IK-01A-32D-A21A-08	113	140	0
TCGA-DK-A3IL-01A-11D-A20D-08	27	187	3
TCGA-DK-A3IM-01A-11D-A20D-08	3	98	0
TCGA-DK-A3IN-01A-11D-A20D-08	344	14	104
TCGA-DK-A3IQ-01A-31D-A20D-08	123	37	59
TCGA-DK-A3IS-01A-21D-A21A-08	297	4	127
TCGA-DK-A3IT-01A-31D-A20D-08	459	43	0
TCGA-DK-A3IU-01A-11D-A20D-08	317	29	162
TCGA-DK-A3IV-01A-22D-A21A-08	33	35	21
TCGA-DK-A3WW-01A-22D-A23M-08	1088	0	445
TCGA-DK-A3WX-01A-22D-A22Z-08	10	36	7
TCGA-DK-A3WY-01A-11D-A22Z-08	16	0	3
TCGA-DK-A3X1-01A-12D-A22Z-08	693	0	424
TCGA-DK-A3X2-01A-11D-A22Z-08	34	108	5
TCGA-DK-A6AV-01A-12D-A30E-08	59	60	36
TCGA-DK-A6AW-01A-11D-A30E-08	0	1538	3428
TCGA-DK-A6B0-01A-11D-A31L-08	3	22	0
TCGA-DK-A6B1-01A-12D-A30E-08	51	85	44
TCGA-DK-A6B2-01A-11D-A30E-08	76	149	19
TCGA-DK-A6B5-01A-11D-A31L-08	100	40	29
TCGA-DK-A6B6-01A-11D-A30E-08	681	0	594
TCGA-DK-AA6L-01A-11D-A391-08	370	37	48
TCGA-DK-AA6M-01A-11D-A391-08	11	57	18
TCGA-DK-AA6P-01A-11D-A391-08	118	39	62
TCGA-DK-AA6Q-01A-11D-A391-08	82	50	13
TCGA-DK-AA6R-01A-11D-A42E-08	138	256	19
TCGA-DK-AA6S-01A-21D-A391-08	579	20	87
TCGA-DK-AA6T-01A-11D-A391-08	21	62	0
TCGA-DK-AA6U-01A-11D-A391-08	231	234	69
TCGA-DK-AA6W-01A-12D-A391-08	180	85	45
TCGA-DK-AA6X-01A-12D-A42E-08	81	31	15
TCGA-DK-AA71-01A-31D-A391-08	636	0	199
TCGA-DK-AA74-01A-11D-A391-08	184	38	25
TCGA-DK-AA75-01A-11D-A391-08	264	0	371
TCGA-DK-AA76-01A-11D-A391-08	143	98	51
TCGA-DK-AA77-01A-11D-A391-08	114	331	34
TCGA-E5-A2PC-01A-11D-A202-08	77	169	50
TCGA-E5-A4TZ-01A-11D-A31L-08	362	209	7
TCGA-E5-A4U1-01A-11D-A31L-08	575	50	123
TCGA-E7-A3X6-01A-12D-A22Z-08	73	24	19
TCGA-E7-A3Y1-01A-11D-A22Z-08	20	174	0
TCGA-E7-A4IJ-01A-31D-A26M-08	257	109	72
TCGA-E7-A4XJ-01A-11D-A26M-08	0	47	3
TCGA-E7-A519-01A-11D-A26M-08	21	60	3
TCGA-E7-A541-01A-11D-A26M-08	301	176	71
TCGA-E7-A5KE-01A-11D-A289-08	71	160	52
TCGA-E7-A5KF-01A-11D-A289-08	182	0	82
TCGA-E7-A677-01A-11D-A30E-08	40	243	4
TCGA-E7-A678-01A-11D-A30E-08	5	60	0
