Samples	SBS96A	SBS96B	SBS96C
TCGA-DK-A3IK-01A-32D-A21A-08	90	99	0
TCGA-DK-A3IL-01A-11D-A20D-08	13	148	10
TCGA-DK-A3IM-01A-11D-A20D-08	2	74	0
TCGA-DK-A3IN-01A-11D-A20D-08	282	35	52
TCGA-DK-A3IQ-01A-31D-A20D-08	94	33	54
TCGA-DK-A3IS-01A-21D-A21A-08	235	3	93
TCGA-DK-A3IT-01A-31D-A20D-08	353	28	5
TCGA-DK-A3IU-01A-11D-A20D-08	271	30	111
TCGA-DK-A3IV-01A-22D-A21A-08	24	27	21
TCGA-DK-A3WW-01A-22D-A23M-08	847	0	321
TCGA-DK-A3WX-01A-22D-A22Z-08	6	30	2
TCGA-DK-A3WY-01A-11D-A22Z-08	8	0	3
TCGA-DK-A3X1-01A-12D-A22Z-08	549	0	300
TCGA-DK-A3X2-01A-11D-A22Z-08	21	82	9
TCGA-DK-A6AV-01A-12D-A30E-08	41	51	26
TCGA-DK-A6AW-01A-11D-A30E-08	0	893	3224
TCGA-DK-A6B0-01A-11D-A31L-08	2	20	0
TCGA-DK-A6B1-01A-12D-A30E-08	40	76	24
TCGA-DK-A6B2-01A-11D-A30E-08	61	121	20
TCGA-DK-A6B5-01A-11D-A31L-08	65	32	20
TCGA-DK-A6B6-01A-11D-A30E-08	525	0	381
TCGA-DK-AA6L-01A-11D-A391-08	303	29	40
TCGA-DK-AA6M-01A-11D-A391-08	8	41	17
TCGA-DK-AA6P-01A-11D-A391-08	89	36	38
TCGA-DK-AA6Q-01A-11D-A391-08	57	46	15
TCGA-DK-AA6R-01A-11D-A42E-08	110	201	14
TCGA-DK-AA6S-01A-21D-A391-08	440	6	72
TCGA-DK-AA6T-01A-11D-A391-08	16	55	1
TCGA-DK-AA6U-01A-11D-A391-08	177	183	55
TCGA-DK-AA6W-01A-12D-A391-08	152	75	27
TCGA-DK-AA6X-01A-12D-A42E-08	68	24	15
TCGA-DK-AA71-01A-31D-A391-08	518	0	150
TCGA-DK-AA74-01A-11D-A391-08	139	40	12
TCGA-DK-AA75-01A-11D-A391-08	212	16	229
TCGA-DK-AA76-01A-11D-A391-08	109	82	38
TCGA-DK-AA77-01A-11D-A391-08	93	277	28
TCGA-E5-A2PC-01A-11D-A202-08	57	155	10
TCGA-E5-A4TZ-01A-11D-A31L-08	275	152	20
TCGA-E5-A4U1-01A-11D-A31L-08	433	54	84
TCGA-E7-A3X6-01A-12D-A22Z-08	55	28	7
TCGA-E7-A3Y1-01A-11D-A22Z-08	17	135	0
TCGA-E7-A4IJ-01A-31D-A26M-08	204	94	43
TCGA-E7-A4XJ-01A-11D-A26M-08	0	42	1
TCGA-E7-A519-01A-11D-A26M-08	15	52	2
TCGA-E7-A541-01A-11D-A26M-08	251	145	52
TCGA-E7-A5KE-01A-11D-A289-08	53	119	32
TCGA-E7-A5KF-01A-11D-A289-08	139	4	56
TCGA-E7-A677-01A-11D-A30E-08	32	177	8
TCGA-E7-A678-01A-11D-A30E-08	5	55	0
TCGA-E7-A6MD-01A-41D-A34U-08	317	34	99
TCGA-E7-A6ME-01A-22D-A32B-08	16	114	0
TCGA-E7-A6MF-01A-12D-A32B-08	31	0	14
TCGA-E7-A7DU-01A-11D-A32B-08	190	0	73
TCGA-E7-A7DV-01A-11D-A339-08	236	43	0
TCGA-E7-A7PW-01A-11D-A34U-08	33	25	21
TCGA-E7-A7XN-01A-11D-A34U-08	835	0	72
TCGA-E7-A85H-01A-11D-A34U-08	60	317	18
TCGA-E7-A8O7-01A-11D-A364-08	6	24	0
TCGA-E7-A8O8-01A-11D-A364-08	22	98	4
TCGA-E7-A97P-01A-11D-A38G-08	41	141	0
TCGA-E7-A97Q-01A-11D-A38G-08	16	26	7
TCGA-FD-A3B3-01A-12D-A202-08	66	63	21
TCGA-FD-A3B4-01A-12D-A202-08	0	68	9
TCGA-FD-A3B5-01A-11D-A20D-08	76	38	20
TCGA-FD-A3B6-01A-21D-A20D-08	160	95	7
TCGA-FD-A3B7-01A-31D-A20D-08	15	49	0
TCGA-FD-A3B8-01A-31D-A20D-08	24	3	0
TCGA-FD-A3N5-01A-11D-A21A-08	21	297	0
TCGA-FD-A3N6-01A-11D-A21A-08	16	68	31
TCGA-FD-A3NA-01A-11D-A21A-08	120	16	32
TCGA-FD-A3SJ-01A-12D-A22Z-08	124	115	0
TCGA-FD-A3SL-01A-21D-A22Z-08	66	153	0
TCGA-FD-A3SM-01A-11D-A22Z-08	110	47	10
TCGA-FD-A3SN-01A-12D-A22Z-08	187	7	205
TCGA-FD-A3SO-01A-11D-A22Z-08	255	0	101
TCGA-FD-A3SP-01A-31D-A22Z-08	33	55	22
TCGA-FD-A3SQ-01A-21D-A22Z-08	11	55	16
TCGA-FD-A3SR-01A-11D-A22Z-08	57	65	15
TCGA-FD-A3SS-01A-12D-A22Z-08	280	0	196
TCGA-FD-A43N-01A-11D-A23U-08	58	112	0
TCGA-FD-A43P-01A-31D-A23U-08	250	118	17
TCGA-FD-A43U-01A-11D-A23U-08	3	58	12
TCGA-FD-A43X-01A-11D-A23U-08	213	65	34
TCGA-FD-A43Y-01A-21D-A26M-08	5	53	0
TCGA-FD-A5BR-01A-11D-A26M-08	7	72	6
TCGA-FD-A5BS-01A-21D-A26M-08	8	2	17
TCGA-FD-A5BT-01A-11D-A26M-08	60	57	9
TCGA-FD-A5BU-01A-31D-A26M-08	6	57	0
TCGA-FD-A5BV-01A-11D-A26M-08	16	113	0
TCGA-FD-A5BX-01A-11D-A26M-08	248	0	60
TCGA-FD-A5BY-01A-31D-A289-08	14	28	3
TCGA-FD-A5BZ-01A-11D-A289-08	46	66	19
TCGA-FD-A5C0-01A-11D-A289-08	16	99	4
TCGA-FD-A5C1-01A-11D-A289-08	51	74	5
TCGA-FD-A62N-01A-11D-A30E-08	9	73	11
TCGA-FD-A62O-01A-11D-A30E-08	82	46	45
TCGA-FD-A62P-01A-32D-A30E-08	262	51	46
TCGA-FD-A62S-01A-11D-A30E-08	3	70	0
TCGA-FD-A6TA-01A-12D-A339-08	198	0	45
TCGA-FD-A6TB-01A-12D-A339-08	138	16	19
TCGA-FD-A6TC-01A-21D-A339-08	688	0	202
TCGA-FD-A6TD-01A-51D-A339-08	54	42	25
TCGA-FD-A6TE-01A-12D-A339-08	157	16	48
TCGA-FD-A6TF-01A-52D-A32B-08	81	53	2
TCGA-FD-A6TG-01A-11D-A32B-08	197	156	10
TCGA-FD-A6TH-01A-11D-A32B-08	72	56	38
TCGA-FD-A6TI-01A-11D-A32B-08	2	109	8
TCGA-FD-A6TK-01A-42D-A339-08	34	49	14
TCGA-FJ-A3Z7-01A-12D-A23M-08	204	60	53
TCGA-FJ-A3Z9-01A-11D-A26M-08	5	54	6
TCGA-FJ-A3ZE-01A-11D-A23M-08	52	386	0
TCGA-FJ-A3ZF-01A-11D-A23M-08	117	89	47
TCGA-FJ-A871-01A-11D-A34U-08	2	49	0
TCGA-FT-A3EE-01A-11D-A202-08	12	72	26
TCGA-FT-A61P-01A-11D-A30E-08	42	96	12
TCGA-G2-A2EC-01A-11D-A17V-08	89	54	13
TCGA-G2-A2EF-01A-12D-A18F-08	152	32	44
TCGA-G2-A2EJ-01A-11D-A17V-08	186	88	17
TCGA-G2-A2EK-01A-22D-A18F-08	21	37	0
TCGA-G2-A2EL-01A-12D-A18F-08	188	50	0
TCGA-G2-A2EO-01A-11D-A17V-08	669	0	156
TCGA-G2-A2ES-01A-11D-A17V-08	122	155	116
TCGA-G2-A3IB-01A-11D-A20D-08	24	63	19
TCGA-G2-A3IE-01A-11D-A20D-08	232	39	64
TCGA-G2-A3VY-01A-11D-A22Z-08	653	61	0
TCGA-G2-AA3B-01A-11D-A391-08	692	17	0
TCGA-G2-AA3C-01A-21D-A391-08	146	52	33
TCGA-G2-AA3D-01A-11D-A391-08	178	15	0
TCGA-G2-AA3F-01A-12D-A42E-08	52	82	8
TCGA-GC-A3BM-01A-11D-A22Z-08	20	81	16
TCGA-GC-A3I6-01A-11D-A20D-08	128	23	39
TCGA-GC-A3OO-01A-11D-A22Z-08	75	0	54
TCGA-GC-A3RB-01A-12D-A21Z-08	77	70	21
TCGA-GC-A3RC-01A-11D-A22Z-08	146	142	69
TCGA-GC-A3RD-01A-12D-A22Z-08	27	41	12
TCGA-GC-A3WC-01A-31D-A22Z-08	59	78	15
TCGA-GC-A3YS-01A-11D-A23M-08	142	71	29
TCGA-GC-A4ZW-01A-11D-A26M-08	580	58	17
TCGA-GC-A6I1-01A-12D-A31L-08	173	21	48
TCGA-GC-A6I3-01A-11D-A31L-08	125	105	14
TCGA-GD-A2C5-01A-12D-A17V-08	142	72	29
TCGA-GD-A3OP-01A-21D-A21Z-08	197	69	84
TCGA-GD-A3OQ-01A-32D-A21Z-08	43	38	8
TCGA-GD-A3OS-01A-12D-A21Z-08	21	70	5
TCGA-GD-A6C6-01A-21D-A31L-08	174	68	27
TCGA-GD-A76B-01A-11D-A32B-08	92	52	28
TCGA-GU-A42P-01A-11D-A23U-08	149	47	74
TCGA-GU-A42Q-01A-11D-A23U-08	105	61	16
TCGA-GU-A42R-01A-11D-A23M-08	96	52	18
TCGA-GU-A762-01A-11D-A339-08	29	61	0
TCGA-GU-A763-01A-11D-A32B-08	22	49	0
TCGA-GU-A764-01A-11D-A34U-08	54	44	11
TCGA-GU-A766-01A-11D-A32B-08	133	9	55
TCGA-GU-A767-01A-11D-A32B-08	170	211	0
TCGA-GU-AATO-01A-11D-A391-08	237	14	55
TCGA-GU-AATP-01A-11D-A391-08	175	49	75
TCGA-GU-AATQ-01A-11D-A391-08	99	64	1
TCGA-GV-A3JV-01A-11D-A21Z-08	11	94	11
TCGA-GV-A3JW-01A-11D-A20D-08	34	35	7
TCGA-GV-A3JX-01A-11D-A20D-08	207	40	13
TCGA-GV-A3JZ-01A-11D-A21A-08	277	50	94
TCGA-GV-A3QF-01A-31D-A22Z-08	13	110	0
TCGA-GV-A3QG-01A-11D-A21Z-08	24	70	0
TCGA-GV-A3QH-01A-11D-A21Z-08	82	66	0
TCGA-GV-A3QI-01A-11D-A21Z-08	128	338	0
TCGA-GV-A3QK-01B-11D-A23M-08	42	84	20
TCGA-GV-A40E-01A-12D-A23M-08	99	61	0
TCGA-GV-A40G-01A-11D-A23M-08	27	103	20
TCGA-GV-A6ZA-01A-12D-A339-08	204	36	49
TCGA-H4-A2HO-01A-11D-A17V-08	17	58	2
TCGA-H4-A2HQ-01A-11D-A17V-08	282	83	60
TCGA-HQ-A2OE-01A-11D-A202-08	53	71	18
TCGA-HQ-A2OF-01A-11D-A26M-08	6	98	4
TCGA-HQ-A5ND-01A-11D-A26M-08	14	72	6
TCGA-HQ-A5NE-01A-12D-A289-08	240	14	94
TCGA-K4-A3WS-01A-11D-A22Z-08	163	107	8
TCGA-K4-A3WU-01B-11D-A23M-08	99	68	8
TCGA-K4-A3WV-01A-11D-A22Z-08	2	57	1
TCGA-K4-A4AB-01B-12D-A289-08	17	70	5
TCGA-K4-A4AC-01A-21D-A26M-08	51	70	17
TCGA-K4-A54R-01A-11D-A26M-08	731	0	176
TCGA-K4-A5RH-01A-11D-A30E-08	60	40	74
TCGA-K4-A5RI-01A-11D-A289-08	36	99	1
TCGA-K4-A5RJ-01A-11D-A289-08	281	28	61
TCGA-K4-A6FZ-01A-11D-A31L-08	201	151	53
TCGA-K4-A6MB-01A-11D-A31L-08	202	77	59
TCGA-K4-A83P-01A-11D-A34U-08	135	74	30
TCGA-K4-AAQO-01A-11D-A38G-08	122	100	10
TCGA-KQ-A41N-01A-11D-A339-08	48	145	10
TCGA-KQ-A41O-01A-12D-A34U-08	177	70	0
TCGA-KQ-A41P-01A-12D-A339-08	211	22	69
TCGA-KQ-A41Q-01A-11D-A339-08	55	67	27
TCGA-KQ-A41R-01A-21D-A34U-08	254	188	290
TCGA-KQ-A41S-01A-12D-A339-08	161	19	36
TCGA-LC-A66R-01A-41D-A30E-08	61	45	22
TCGA-LT-A5Z6-01A-11D-A289-08	379	0	125
TCGA-LT-A8JT-01A-11D-A364-08	18	45	11
TCGA-MV-A51V-01A-11D-A26M-08	1585	0	0
TCGA-PQ-A6FI-01A-11D-A31L-08	78	70	4
TCGA-PQ-A6FN-01A-11D-A31L-08	26	52	4
TCGA-R3-A69X-01A-22D-A30E-08	163	43	0
TCGA-S5-A6DX-01A-11D-A31L-08	470	13	127
TCGA-S5-AA26-01A-11D-A38G-08	166	30	15
TCGA-SY-A9G0-01A-12D-A38G-08	21	31	0
TCGA-SY-A9G5-01A-11D-A38G-08	815	0	143
TCGA-UY-A78K-01A-11D-A339-08	300	504	23
TCGA-UY-A78L-01A-12D-A339-08	150	22	42
TCGA-UY-A78M-01A-21D-A34U-08	56	64	3
TCGA-UY-A78N-01A-12D-A339-08	11	198	5
TCGA-UY-A78O-01A-12D-A339-08	81	92	6
TCGA-UY-A78P-01A-12D-A364-08	257	8	13
TCGA-UY-A8OB-01A-12D-A42E-08	106	220	0
TCGA-UY-A8OC-01A-11D-A364-08	38	26	29
TCGA-UY-A8OD-01A-11D-A364-08	28	65	4
TCGA-UY-A9PA-01A-11D-A38G-08	44	121	0
TCGA-UY-A9PB-01A-11D-A38G-08	316	246	43
TCGA-UY-A9PD-01A-11D-A38G-08	68	203	26
TCGA-UY-A9PE-01A-11D-A38G-08	89	74	33
TCGA-UY-A9PF-01A-11D-A38G-08	153	0	275
TCGA-UY-A9PH-01A-11D-A38G-08	240	6	104
TCGA-XF-A8HB-01A-11D-A364-08	11	61	3
TCGA-XF-A8HC-01A-11D-A364-08	50	63	40
TCGA-XF-A8HD-01A-11D-A364-08	357	45	72
TCGA-XF-A8HE-01A-11D-A364-08	254	0	121
TCGA-XF-A8HF-01A-11D-A364-08	47	100	0
TCGA-XF-A8HG-01A-11D-A364-08	90	126	53
TCGA-XF-A8HH-01A-11D-A38G-08	50	40	21
TCGA-XF-A8HI-01A-11D-A38G-08	51	16	16
TCGA-XF-A9SG-01A-12D-A42E-08	104	30	47
TCGA-XF-A9SH-01A-11D-A391-08	19	21	0
TCGA-XF-A9SI-01A-11D-A391-08	304	0	33
TCGA-XF-A9SJ-01A-11D-A391-08	144	15	104
TCGA-XF-A9SK-01A-11D-A42E-08	78	36	23
TCGA-XF-A9SL-01A-11D-A391-08	57	9	0
TCGA-XF-A9SM-01A-11D-A42E-08	181	5	44
TCGA-XF-A9SP-01A-11D-A391-08	167	94	34
TCGA-XF-A9ST-01A-11D-A42E-08	257	236	22
TCGA-XF-A9SU-01A-31D-A391-08	6	36	4
TCGA-XF-A9SV-01A-21D-A42E-08	15	54	1
TCGA-XF-A9SW-01A-11D-A42E-08	14	34	16
TCGA-XF-A9SX-01A-21D-A391-08	22	90	4
TCGA-XF-A9SY-01A-21D-A42E-08	191	225	9
TCGA-XF-A9SZ-01A-11D-A391-08	95	72	31
TCGA-XF-A9T0-01A-11D-A391-08	290	14	434
TCGA-XF-A9T2-01A-11D-A42E-08	41	35	6
TCGA-XF-A9T3-01A-11D-A42E-08	76	319	7
TCGA-XF-A9T4-01A-11D-A391-08	10	21	2
TCGA-XF-A9T5-01A-11D-A42E-08	586	0	81
TCGA-XF-A9T6-01A-11D-A42E-08	42	161	61
TCGA-XF-A9T8-01A-11D-A391-08	660	0	57
TCGA-XF-AAME-01A-12D-A42E-08	0	19	0
TCGA-XF-AAMF-01A-21D-A42E-08	34	23	14
TCGA-XF-AAMG-01A-11D-A42E-08	727	155	54
TCGA-XF-AAMH-01A-11D-A42E-08	1	49	0
TCGA-XF-AAMJ-01A-11D-A42E-08	1	35	0
TCGA-XF-AAML-01A-11D-A42E-08	308	18	160
TCGA-XF-AAMQ-01A-11D-A42E-08	144	27	31
TCGA-XF-AAMR-01A-31D-A42E-08	47	21	27
TCGA-XF-AAMT-01A-11D-A42E-08	27	66	0
TCGA-XF-AAMW-01A-11D-A42E-08	1	33	0
TCGA-XF-AAMX-01A-11D-A42E-08	137	183	0
TCGA-XF-AAMY-01A-11D-A42E-08	60	41	14
TCGA-XF-AAMZ-01A-11D-A42E-08	144	95	4
TCGA-XF-AAN0-01A-11D-A42E-08	291	28	70
TCGA-XF-AAN1-01A-31D-A42E-08	16	74	0
TCGA-XF-AAN2-01A-11D-A42E-08	371	0	86
TCGA-XF-AAN3-01A-11D-A42E-08	117	25	30
TCGA-XF-AAN4-01A-11D-A42E-08	20	11	0
TCGA-XF-AAN5-01A-11D-A42E-08	237	66	0
TCGA-XF-AAN7-01A-11D-A42E-08	17	122	7
TCGA-XF-AAN8-01A-11D-A42E-08	0	1	0
TCGA-YC-A89H-01A-11D-A364-08	525	0	1005
TCGA-YC-A8S6-01A-31D-A38G-08	61	28	13
TCGA-YC-A9TC-01A-22D-A391-08	49	52	4
TCGA-YF-AA3L-01A-11D-A38G-08	89	231	0
TCGA-YF-AA3M-01A-11D-A42E-08	38	122	4
TCGA-ZF-A9R0-01A-11D-A38G-08	145	25	24
TCGA-ZF-A9R1-01A-11D-A391-08	42	52	6
TCGA-ZF-A9R2-01A-11D-A391-08	80	55	0
TCGA-ZF-A9R3-01A-11D-A38G-08	30	47	6
TCGA-ZF-A9R4-01A-11D-A38G-08	163	24	47
TCGA-ZF-A9R5-01A-12D-A42E-08	1	97	0
TCGA-ZF-A9R7-01A-11D-A38G-08	568	0	108
TCGA-ZF-A9R9-01A-11D-A38G-08	93	66	31
TCGA-ZF-A9RC-01A-11D-A38G-08	412	0	495
TCGA-ZF-A9RD-01A-11D-A42E-08	90	50	29
TCGA-ZF-A9RE-01A-11D-A38G-08	1	60	2
TCGA-ZF-A9RF-01A-11D-A38G-08	116	117	3
TCGA-ZF-A9RG-01A-21D-A42E-08	124	0	99
TCGA-ZF-A9RL-01A-11D-A38G-08	171	138	0
TCGA-ZF-A9RM-01A-11D-A38G-08	7	80	0
TCGA-ZF-A9RN-01A-11D-A42E-08	86	101	0
TCGA-ZF-AA4N-01A-11D-A38G-08	74	49	31
TCGA-ZF-AA4R-01A-11D-A38G-08	25	25	6
TCGA-ZF-AA4T-01A-11D-A38G-08	12	87	0
TCGA-ZF-AA4U-01A-11D-A38G-08	4	64	0
TCGA-ZF-AA4V-01A-11D-A38G-08	324	147	217
TCGA-ZF-AA4W-01A-12D-A38G-08	151	331	0
TCGA-ZF-AA4X-01A-11D-A38G-08	434	0	187
TCGA-ZF-AA51-01A-21D-A391-08	566	53	28
TCGA-ZF-AA52-01A-12D-A391-08	49	30	46
TCGA-ZF-AA53-01A-11D-A391-08	150	12	2
TCGA-ZF-AA54-01A-11D-A391-08	120	48	5
TCGA-ZF-AA56-01A-31D-A391-08	51	46	0
TCGA-ZF-AA58-01A-12D-A42E-08	129	83	0
TCGA-ZF-AA5H-01A-11D-A391-08	21	38	7
TCGA-ZF-AA5N-01A-11D-A42E-08	9	42	0
TCGA-ZF-AA5P-01A-11D-A391-08	18	26	1
