Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
1,1.0,1.0,YES,1.16e-04,67.88%,95.8%,199.3%,65.88%,137.55,1.1504,5.608,0.312,0.985,0.644,-0.03
2*,0.99,0.98,YES,Most Stab Sigs,53.19%,93.56%,198.1%,64.28%,100.37,1.0298,4.6393,0.266,0.94,0.688,-0.006
3,0.67,0.34,NO,N/A,42.82%,92.19%,198.5%,62.54%,101.64,1.0227,4.913,0.25,0.957,0.709,-0.022
4,0.76,0.57,NO,N/A,29.62%,90.48%,198.3%,58.08%,100.5,0.9745,5.3793,0.22,0.948,0.744,-0.016
5,0.7,0.22,NO,N/A,27.04%,87.89%,197.3%,55.72%,99.4,0.9521,9.3554,0.21,0.893,0.755,0.042
6,0.57,-0.26,NO,N/A,25.93%,86.33%,196.6%,53.86%,99.2,0.9458,9.193,0.2,0.87,0.767,0.081
7,0.48,-0.17,NO,N/A,24.41%,83.13%,196.1%,53.22%,99.2,0.9299,9.8216,0.191,0.872,0.778,0.081
