Samples	SBS96A
TCGA-3C-AAAU-01A-11D-A41F-09	0.00E+00
TCGA-3C-AALI-01A-11D-A41F-09	0.00E+00
TCGA-3C-AALJ-01A-31D-A41F-09	0.00E+00
TCGA-3C-AALK-01A-11D-A41F-09	0.00E+00
TCGA-4H-AAAK-01A-12D-A41F-09	0.00E+00
TCGA-5L-AAT0-01A-12D-A41F-09	0.00E+00
TCGA-5L-AAT1-01A-12D-A41F-09	0.00E+00
TCGA-5T-A9QA-01A-11D-A41F-09	0.00E+00
TCGA-A1-A0SE-01A-11D-A099-09	0.00E+00
TCGA-A1-A0SF-01A-11D-A142-09	0.00E+00
TCGA-A1-A0SH-01A-11D-A099-09	0.00E+00
TCGA-A1-A0SI-01A-11D-A142-09	0.00E+00
TCGA-A1-A0SK-01A-12D-A099-09	0.00E+00
TCGA-A1-A0SN-01A-11D-A142-09	0.00E+00
TCGA-A1-A0SO-01A-22D-A099-09	0.00E+00
TCGA-A1-A0SP-01A-11D-A099-09	0.00E+00
TCGA-A1-A0SQ-01A-21D-A142-09	0.00E+00
TCGA-A2-A04Q-01A-21W-A050-09	0.00E+00
TCGA-A2-A04R-01A-41D-A117-09	0.00E+00
TCGA-A2-A04T-01A-21W-A050-09	0.00E+00
TCGA-A2-A04U-01A-11D-A10Y-09	0.00E+00
TCGA-A2-A04W-01A-31D-A10Y-09	0.00E+00
TCGA-A2-A04X-01A-21W-A050-09	0.00E+00
TCGA-A2-A04Y-01A-21W-A050-09	0.00E+00
TCGA-A2-A0CK-01A-11D-A228-09	0.00E+00
TCGA-A2-A0CL-01A-11D-A10Y-09	0.00E+00
TCGA-A2-A0CM-01A-31W-A050-09	0.00E+00
TCGA-A2-A0CP-01A-11W-A050-09	0.00E+00
TCGA-A2-A0CQ-01A-21W-A050-09	0.00E+00
TCGA-A2-A0CR-01A-11D-A228-09	0.00E+00
TCGA-A2-A0CT-01A-31W-A071-09	0.00E+00
TCGA-A2-A0CU-01A-12W-A050-09	0.00E+00
TCGA-A2-A0CX-01A-21W-A019-09	0.00E+00
TCGA-A2-A0D0-01A-11W-A019-09	0.00E+00
TCGA-A2-A0D1-01A-11W-A050-09	0.00E+00
TCGA-A2-A0D2-01A-21W-A050-09	0.00E+00
TCGA-A2-A0EM-01A-11W-A050-09	0.00E+00
TCGA-A2-A0EO-01A-11W-A050-09	0.00E+00
TCGA-A2-A0EP-01A-52D-A22X-09	0.00E+00
TCGA-A2-A0EQ-01A-11W-A050-09	0.00E+00
TCGA-A2-A0ER-01A-21W-A050-09	0.00E+00
TCGA-A2-A0ET-01A-31D-A045-09	0.00E+00
TCGA-A2-A0EY-01A-11W-A050-09	0.00E+00
TCGA-A2-A0SW-01A-11D-A099-09	0.00E+00
TCGA-A2-A0SX-01A-12D-A099-09	0.00E+00
TCGA-A2-A0SY-01A-31D-A099-09	0.00E+00
TCGA-A2-A0T0-01A-22D-A099-09	0.00E+00
TCGA-A2-A0T2-01A-11W-A097-09	0.00E+00
TCGA-A2-A0T3-01A-21D-A10Y-09	0.00E+00
TCGA-A2-A0YD-01A-11D-A10G-09	0.00E+00
TCGA-A2-A0YI-01A-31D-A10M-09	0.00E+00
TCGA-A2-A0YJ-01A-11D-A10G-09	0.00E+00
TCGA-A2-A0YK-01A-22D-A117-09	0.00E+00
TCGA-A2-A0YM-01A-11D-A10G-09	0.00E+00
TCGA-A2-A0YT-01A-11D-A10G-09	0.00E+00
TCGA-A2-A1FV-01A-11D-A13L-09	0.00E+00
TCGA-A2-A1G0-01A-11D-A13L-09	0.00E+00
TCGA-A2-A1G6-01A-11D-A13L-09	0.00E+00
TCGA-A2-A259-01A-11D-A16D-09	0.00E+00
TCGA-A2-A25A-01A-12D-A16D-09	0.00E+00
TCGA-A2-A25B-01A-11D-A167-09	0.00E+00
TCGA-A2-A25C-01A-11D-A167-09	0.00E+00
TCGA-A2-A25D-01A-12D-A16D-09	0.00E+00
TCGA-A2-A25E-01A-11D-A167-09	0.00E+00
TCGA-A2-A25F-01A-11D-A167-09	0.00E+00
TCGA-A2-A3XT-01A-11D-A22X-09	0.00E+00
TCGA-A2-A3XV-01A-21D-A23C-09	0.00E+00
TCGA-A2-A3XZ-01A-42D-A23C-09	0.00E+00
TCGA-A2-A3Y0-01A-11D-A23C-09	0.00E+00
TCGA-A2-A4S1-01A-21D-A25Q-09	0.00E+00
TCGA-A2-A4S3-01A-21D-A25Q-09	0.00E+00
TCGA-A7-A0CE-01A-11W-A019-09	0.00E+00
TCGA-A7-A0CG-01A-11W-A019-09	0.00E+00
TCGA-A7-A0CJ-01A-21W-A019-09	0.00E+00
TCGA-A7-A0DA-01A-31D-A10Y-09	0.00E+00
TCGA-A7-A13D-01A-13D-A272-09	0.00E+00
TCGA-A7-A13F-01A-11D-A12Q-09	0.00E+00
TCGA-A7-A13G-01A-11D-A13L-09	0.00E+00
TCGA-A7-A26E-01A-11D-A272-09	0.00E+00
TCGA-A7-A26F-01A-21D-A167-09	0.00E+00
TCGA-A7-A26G-01A-21D-A167-09	0.00E+00
TCGA-A7-A26I-01A-11D-A167-09	0.00E+00
TCGA-A7-A3RF-01A-11D-A228-09	0.00E+00
TCGA-A7-A4SC-01A-12D-A25Q-09	0.00E+00
TCGA-A7-A4SD-01A-11D-A25Q-09	0.00E+00
TCGA-A7-A4SE-01A-11D-A25Q-09	0.00E+00
TCGA-A7-A56D-01A-11D-A27P-09	0.00E+00
TCGA-A7-A5ZW-01A-12D-A29N-09	0.00E+00
TCGA-A7-A5ZX-01A-12D-A29N-09	0.00E+00
TCGA-A7-A6VW-01A-21D-A33E-09	0.00E+00
TCGA-A7-A6VY-01A-12D-A33E-09	0.00E+00
TCGA-A8-A06P-01A-11W-A019-09	0.00E+00
TCGA-A8-A06Q-01A-11W-A050-09	0.00E+00
TCGA-A8-A06R-01A-11D-A015-09	0.00E+00
TCGA-A8-A06U-01A-11W-A019-09	0.00E+00
TCGA-A8-A06X-01A-21W-A019-09	0.00E+00
TCGA-A8-A06Y-01A-21W-A019-09	0.00E+00
TCGA-A8-A06Z-01A-11W-A019-09	0.00E+00
TCGA-A8-A075-01A-11D-A099-09	0.00E+00
TCGA-A8-A076-01A-21W-A019-09	0.00E+00
TCGA-A8-A079-01A-21W-A019-09	0.00E+00
TCGA-A8-A07B-01A-11W-A019-09	0.00E+00
TCGA-A8-A07G-01A-11W-A050-09	0.00E+00
TCGA-A8-A07I-01A-11W-A019-09	0.00E+00
TCGA-A8-A07J-01A-11W-A019-09	0.00E+00
TCGA-A8-A07L-01A-11W-A019-09	0.00E+00
TCGA-A8-A07O-01A-11W-A019-09	0.00E+00
TCGA-A8-A07P-01A-11W-A019-09	0.00E+00
TCGA-A8-A07U-01A-11W-A050-09	0.00E+00
TCGA-A8-A07W-01A-11W-A019-09	0.00E+00
TCGA-A8-A081-01A-11W-A019-09	0.00E+00
TCGA-A8-A082-01A-11W-A019-09	0.00E+00
TCGA-A8-A085-01A-11W-A019-09	0.00E+00
TCGA-A8-A08F-01A-11W-A019-09	0.00E+00
TCGA-A8-A08G-01A-11W-A019-09	0.00E+00
TCGA-A8-A08H-01A-21W-A019-09	0.00E+00
TCGA-A8-A08J-01A-11W-A019-09	0.00E+00
TCGA-A8-A08L-01A-11W-A019-09	0.00E+00
TCGA-A8-A08P-01A-11W-A019-09	0.00E+00
TCGA-A8-A08R-01A-11W-A050-09	0.00E+00
TCGA-A8-A08X-01A-21W-A019-09	0.00E+00
TCGA-A8-A08Z-01A-21W-A019-09	0.00E+00
TCGA-A8-A092-01A-11W-A019-09	0.00E+00
TCGA-A8-A093-01A-11W-A019-09	0.00E+00
TCGA-A8-A094-01A-11W-A019-09	0.00E+00
TCGA-A8-A095-01A-11W-A019-09	0.00E+00
TCGA-A8-A097-01A-11W-A050-09	0.00E+00
TCGA-A8-A099-01A-11W-A019-09	0.00E+00
TCGA-A8-A09A-01A-11W-A019-09	0.00E+00
TCGA-A8-A09B-01A-11W-A019-09	0.00E+00
TCGA-A8-A09D-01A-11W-A019-09	0.00E+00
TCGA-A8-A09E-01A-11W-A019-09	0.00E+00
TCGA-A8-A09G-01A-21W-A019-09	0.00E+00
TCGA-A8-A09I-01A-22W-A050-09	0.00E+00
TCGA-A8-A09M-01A-11W-A019-09	0.00E+00
TCGA-A8-A09N-01A-11W-A019-09	0.00E+00
TCGA-A8-A09Q-01A-11W-A019-09	0.00E+00
TCGA-A8-A09V-01A-11D-A045-09	0.00E+00
TCGA-A8-A09W-01A-11W-A019-09	0.00E+00
TCGA-A8-A09X-01A-11W-A019-09	0.00E+00
TCGA-A8-A09Z-01A-11W-A019-09	0.00E+00
TCGA-A8-A0A1-01A-11W-A019-09	0.00E+00
TCGA-A8-A0A2-01A-11W-A050-09	0.00E+00
TCGA-A8-A0A4-01A-11W-A019-09	0.00E+00
TCGA-A8-A0A6-01A-12W-A071-09	0.00E+00
TCGA-A8-A0A7-01A-11W-A019-09	0.00E+00
TCGA-A8-A0A9-01A-11W-A019-09	0.00E+00
TCGA-A8-A0AD-01A-11W-A071-09	0.00E+00
TCGA-AC-A23C-01A-12D-A167-09	0.00E+00
TCGA-AC-A23H-01A-11D-A159-09	0.00E+00
TCGA-AC-A2B8-01A-11D-A17D-09	0.00E+00
TCGA-AC-A2BK-01A-11D-A21Q-09	0.00E+00
TCGA-AC-A2BM-01A-11D-A21Q-09	0.00E+00
TCGA-AC-A2FB-01A-11D-A17D-09	0.00E+00
TCGA-AC-A2FF-01A-11D-A17D-09	0.00E+00
TCGA-AC-A2FG-01A-11D-A17D-09	0.00E+00
TCGA-AC-A2FO-01A-11D-A17W-09	0.00E+00
TCGA-AC-A2QH-01A-11D-A18P-09	0.00E+00
TCGA-AC-A3HN-01A-11D-A20S-09	0.00E+00
TCGA-AC-A3OD-01A-11D-A21Q-09	0.00E+00
