Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-CU-A72E-01A-12D-A339-08	52	26	8	0	26	0
TCGA-DK-A1A3-01A-11D-A13W-08	208	341	93	30	20	19
TCGA-DK-A1A5-01A-11D-A13W-08	162	90	12	0	22	12
TCGA-DK-A1A6-01A-11D-A13W-08	127	29	32	67	9	0
TCGA-DK-A1A7-01A-11D-A13W-08	14	32	126	25	49	0
TCGA-DK-A1AA-01A-11D-A13W-08	6	4	38	27	12	8
TCGA-DK-A1AB-01A-11D-A13W-08	130	87	0	0	13	0
TCGA-DK-A1AC-01A-11D-A13W-08	434	1214	33	46	20	42
TCGA-DK-A1AD-01A-11D-A13W-08	77	49	65	26	24	19
TCGA-DK-A1AE-01A-11D-A13W-08	48	35	6	19	21	0
TCGA-DK-A1AF-01A-11D-A13W-08	55	29	8	6	0	6
TCGA-DK-A1AG-01A-11D-A13W-08	63	42	8	4	24	12
TCGA-DK-A2HX-01A-12D-A18F-08	20	40	6	20	21	4
TCGA-DK-A2I1-01A-11D-A17V-08	126	59	0	9	15	15
TCGA-DK-A2I2-01A-11D-A17V-08	19	31	36	8	12	0
TCGA-DK-A2I4-01A-11D-A21A-08	471	542	0	13	11	25
TCGA-DK-A2I6-01A-12D-A18F-08	38	111	117	45	16	20
TCGA-DK-A3IK-01A-32D-A21A-08	79	16	3	76	44	15
TCGA-DK-A3IL-01A-11D-A20D-08	9	5	32	108	30	20
TCGA-DK-A3IM-01A-11D-A20D-08	0	4	23	28	34	1
TCGA-DK-A3IN-01A-11D-A20D-08	225	137	23	16	21	11
TCGA-DK-A3IQ-01A-31D-A20D-08	81	65	4	19	24	10
TCGA-DK-A3IS-01A-21D-A21A-08	194	150	0	14	38	4
TCGA-DK-A3IT-01A-31D-A20D-08	324	55	17	43	10	16
TCGA-DK-A3IU-01A-11D-A20D-08	179	188	43	43	18	2
TCGA-DK-A3IV-01A-22D-A21A-08	20	20	12	9	14	6
TCGA-DK-A3WW-01A-22D-A23M-08	740	571	15	12	1	68
TCGA-DK-A3WX-01A-22D-A22Z-08	4	14	5	8	19	0
TCGA-DK-A3WY-01A-11D-A22Z-08	11	4	1	0	2	0
TCGA-DK-A3X1-01A-12D-A22Z-08	461	409	0	54	0	99
TCGA-DK-A3X2-01A-11D-A22Z-08	26	21	13	19	54	5
TCGA-DK-A6AV-01A-12D-A30E-08	34	38	13	27	27	2
TCGA-DK-A6AW-01A-11D-A30E-08	0	7	23	0	2	4504
TCGA-DK-A6B0-01A-11D-A31L-08	1	1	10	6	7	0
TCGA-DK-A6B1-01A-12D-A30E-08	26	54	31	7	39	8
TCGA-DK-A6B2-01A-11D-A30E-08	47	30	36	48	48	10
TCGA-DK-A6B5-01A-11D-A31L-08	54	38	24	34	3	1
TCGA-DK-A6B6-01A-11D-A30E-08	369	812	0	11	14	0
TCGA-DK-AA6L-01A-11D-A391-08	242	110	21	32	20	2
TCGA-DK-AA6M-01A-11D-A391-08	6	14	0	15	27	13
TCGA-DK-AA6P-01A-11D-A391-08	63	70	30	26	9	6
TCGA-DK-AA6Q-01A-11D-A391-08	54	24	16	21	14	5
TCGA-DK-AA6R-01A-11D-A42E-08	48	51	12	227	23	14
TCGA-DK-AA6S-01A-21D-A391-08	374	179	6	87	8	0
TCGA-DK-AA6T-01A-11D-A391-08	18	0	20	3	20	14
TCGA-DK-AA6U-01A-11D-A391-08	109	98	13	216	34	22
TCGA-DK-AA6W-01A-12D-A391-08	128	77	0	17	59	5
TCGA-DK-AA6X-01A-12D-A42E-08	58	22	13	2	14	7
TCGA-DK-AA71-01A-31D-A391-08	437	326	0	11	10	0
TCGA-DK-AA74-01A-11D-A391-08	119	53	18	21	7	7
TCGA-DK-AA75-01A-11D-A391-08	122	309	54	24	38	55
TCGA-DK-AA76-01A-11D-A391-08	90	56	18	70	22	22
TCGA-DK-AA77-01A-11D-A391-08	27	75	35	240	61	0
TCGA-E5-A2PC-01A-11D-A202-08	22	59	78	84	17	12
TCGA-E5-A4TZ-01A-11D-A31L-08	284	89	6	46	117	6
TCGA-E5-A4U1-01A-11D-A31L-08	378	184	19	62	36	9
TCGA-E7-A3X6-01A-12D-A22Z-08	48	31	13	0	9	0
TCGA-E7-A3Y1-01A-11D-A22Z-08	5	12	55	56	44	0
TCGA-E7-A4IJ-01A-31D-A26M-08	148	85	43	96	9	26
TCGA-E7-A4XJ-01A-11D-A26M-08	0	4	1	1	36	6
TCGA-E7-A519-01A-11D-A26M-08	9	11	41	0	13	0
TCGA-E7-A541-01A-11D-A26M-08	177	112	151	25	38	4
TCGA-E7-A5KE-01A-11D-A289-08	33	66	45	39	66	10
TCGA-E7-A5KF-01A-11D-A289-08	102	97	10	31	0	6
TCGA-E7-A677-01A-11D-A30E-08	11	25	100	77	38	14
TCGA-E7-A678-01A-11D-A30E-08	4	2	27	5	19	2
TCGA-E7-A6MD-01A-41D-A34U-08	256	164	12	41	44	19
TCGA-E7-A6ME-01A-22D-A32B-08	10	0	63	43	25	0
TCGA-E7-A6MF-01A-12D-A32B-08	30	20	0	3	0	0
TCGA-E7-A7DU-01A-11D-A32B-08	141	138	0	19	16	5
TCGA-E7-A7DV-01A-11D-A339-08	234	33	10	2	17	17
TCGA-E7-A7PW-01A-11D-A34U-08	25	25	0	22	16	10
TCGA-E7-A7XN-01A-11D-A34U-08	726	307	26	0	0	0
TCGA-E7-A85H-01A-11D-A34U-08	25	56	256	77	55	12
TCGA-E7-A8O7-01A-11D-A364-08	7	4	7	4	14	2
TCGA-E7-A8O8-01A-11D-A364-08	12	20	40	17	41	6
TCGA-E7-A97P-01A-11D-A38G-08	28	13	113	43	26	7
TCGA-E7-A97Q-01A-11D-A38G-08	11	9	18	8	13	2
TCGA-FD-A3B3-01A-12D-A202-08	62	41	24	20	30	6
TCGA-FD-A3B4-01A-12D-A202-08	0	0	0	45	18	16
TCGA-FD-A3B5-01A-11D-A20D-08	63	33	9	23	19	17
TCGA-FD-A3B6-01A-21D-A20D-08	132	57	11	57	26	9
TCGA-FD-A3B7-01A-31D-A20D-08	13	1	32	0	17	1
TCGA-FD-A3B8-01A-31D-A20D-08	18	6	0	2	5	3
TCGA-FD-A3N5-01A-11D-A21A-08	0	19	195	129	34	9
TCGA-FD-A3N6-01A-11D-A21A-08	15	31	0	1	51	27
TCGA-FD-A3NA-01A-11D-A21A-08	97	55	16	7	15	5
TCGA-FD-A3SJ-01A-12D-A22Z-08	104	38	62	40	31	0
TCGA-FD-A3SL-01A-21D-A22Z-08	51	7	85	68	35	18
TCGA-FD-A3SM-01A-11D-A22Z-08	99	57	22	4	26	1
TCGA-FD-A3SN-01A-12D-A22Z-08	86	286	47	24	28	43
TCGA-FD-A3SO-01A-11D-A22Z-08	202	183	10	0	13	19
TCGA-FD-A3SP-01A-31D-A22Z-08	34	37	11	8	40	9
TCGA-FD-A3SQ-01A-21D-A22Z-08	9	20	10	8	24	10
TCGA-FD-A3SR-01A-11D-A22Z-08	53	15	17	16	30	21
TCGA-FD-A3SS-01A-12D-A22Z-08	218	275	0	15	1	52
TCGA-FD-A43N-01A-11D-A23U-08	74	6	12	27	77	2
TCGA-FD-A43P-01A-31D-A23U-08	204	87	41	75	40	18
TCGA-FD-A43S-01A-21D-A23U-08	0	0	1	0	0	0
TCGA-FD-A43U-01A-11D-A23U-08	0	13	15	22	34	6
TCGA-FD-A43X-01A-11D-A23U-08	170	94	30	26	39	8
TCGA-FD-A43Y-01A-21D-A26M-08	1	5	30	25	11	0
TCGA-FD-A5BR-01A-11D-A26M-08	1	6	3	44	38	5
TCGA-FD-A5BS-01A-21D-A26M-08	2	15	4	7	2	4
TCGA-FD-A5BT-01A-11D-A26M-08	78	18	26	0	25	10
TCGA-FD-A5BU-01A-31D-A26M-08	4	3	3	23	33	0
TCGA-FD-A5BV-01A-11D-A26M-08	9	2	25	70	30	0
TCGA-FD-A5BX-01A-11D-A26M-08	211	137	0	29	8	3
TCGA-FD-A5BY-01A-31D-A289-08	12	12	1	11	18	2
TCGA-FD-A5BZ-01A-11D-A289-08	43	24	5	27	33	19
TCGA-FD-A5C0-01A-11D-A289-08	4	20	53	25	31	6
TCGA-FD-A5C1-01A-11D-A289-08	64	25	13	7	53	0
TCGA-FD-A62N-01A-11D-A30E-08	2	8	20	43	16	12
TCGA-FD-A62O-01A-11D-A30E-08	83	51	13	0	31	23
TCGA-FD-A62P-01A-32D-A30E-08	227	115	6	20	42	14
TCGA-FD-A62S-01A-11D-A30E-08	0	2	16	31	25	0
TCGA-FD-A6TA-01A-12D-A339-08	185	84	0	12	9	8
TCGA-FD-A6TB-01A-12D-A339-08	129	48	0	0	16	15
TCGA-FD-A6TC-01A-21D-A339-08	650	357	21	47	13	32
TCGA-FD-A6TD-01A-51D-A339-08	40	47	19	17	32	0
TCGA-FD-A6TE-01A-12D-A339-08	151	71	3	13	25	8
TCGA-FD-A6TF-01A-52D-A32B-08	77	17	15	23	27	0
TCGA-FD-A6TG-01A-11D-A32B-08	156	66	67	115	18	7
TCGA-FD-A6TH-01A-11D-A32B-08	46	52	26	18	28	12
TCGA-FD-A6TI-01A-11D-A32B-08	3	7	29	36	44	13
TCGA-FD-A6TK-01A-42D-A339-08	26	32	25	15	20	0
TCGA-FJ-A3Z7-01A-12D-A23M-08	162	119	24	42	34	0
TCGA-FJ-A3Z9-01A-11D-A26M-08	9	8	0	0	51	7
TCGA-FJ-A3ZE-01A-11D-A23M-08	10	0	39	381	23	39
TCGA-FJ-A3ZF-01A-11D-A23M-08	90	85	6	69	54	1
TCGA-FJ-A871-01A-11D-A34U-08	1	3	25	0	24	1
TCGA-FT-A3EE-01A-11D-A202-08	6	38	41	19	32	4
TCGA-FT-A61P-01A-11D-A30E-08	27	37	66	11	37	8
TCGA-G2-A2EC-01A-11D-A17V-08	76	49	29	11	15	7
TCGA-G2-A2EF-01A-12D-A18F-08	139	103	26	1	23	0
TCGA-G2-A2EJ-01A-11D-A17V-08	171	55	17	32	37	13
TCGA-G2-A2EK-01A-22D-A18F-08	25	9	2	0	36	0
TCGA-G2-A2EL-01A-12D-A18F-08	163	56	7	21	26	12
TCGA-G2-A2EO-01A-11D-A17V-08	647	374	0	0	4	0
TCGA-G2-A2ES-01A-11D-A17V-08	47	149	138	93	25	25
TCGA-G2-A3IB-01A-11D-A20D-08	6	18	0	61	6	13
TCGA-G2-A3IE-01A-11D-A20D-08	201	117	32	39	16	0
TCGA-G2-A3VY-01A-11D-A22Z-08	589	96	57	123	12	0
TCGA-G2-AA3B-01A-11D-A391-08	611	136	67	3	0	16
TCGA-G2-AA3C-01A-21D-A391-08	141	56	0	32	33	3
TCGA-G2-AA3D-01A-11D-A391-08	173	43	14	14	0	0
TCGA-G2-AA3F-01A-12D-A42E-08	39	19	30	33	24	4
TCGA-GC-A3BM-01A-11D-A22Z-08	21	25	13	0	64	10
TCGA-GC-A3I6-01A-11D-A20D-08	85	73	15	33	12	0
TCGA-GC-A3OO-01A-11D-A22Z-08	45	75	9	18	4	0
TCGA-GC-A3RB-01A-12D-A21Z-08	72	52	9	13	41	4
TCGA-GC-A3RC-01A-11D-A22Z-08	80	109	154	57	22	22
TCGA-GC-A3RD-01A-12D-A22Z-08	23	23	0	20	29	1
TCGA-GC-A3WC-01A-31D-A22Z-08	56	33	45	14	29	5
TCGA-GC-A3YS-01A-11D-A23M-08	122	59	25	20	40	21
TCGA-GC-A4ZW-01A-11D-A26M-08	515	126	76	0	30	9
TCGA-GC-A6I1-01A-12D-A31L-08	130	95	20	2	20	0
TCGA-GC-A6I3-01A-11D-A31L-08	120	23	43	31	31	17
TCGA-GD-A2C5-01A-12D-A17V-08	123	70	26	23	24	24
TCGA-GD-A3OP-01A-21D-A21Z-08	120	153	11	59	38	0
TCGA-GD-A3OQ-01A-32D-A21Z-08	51	18	0	0	34	7
TCGA-GD-A3OS-01A-12D-A21Z-08	10	22	10	21	45	0
TCGA-GD-A6C6-01A-21D-A31L-08	155	72	30	26	34	10
TCGA-GD-A76B-01A-11D-A32B-08	75	50	17	23	24	9
TCGA-GU-A42P-01A-11D-A23U-08	112	111	14	36	26	22
TCGA-GU-A42Q-01A-11D-A23U-08	96	33	28	0	28	17
TCGA-GU-A42R-01A-11D-A23M-08	78	48	27	17	21	7
TCGA-GU-A762-01A-11D-A339-08	32	6	0	24	39	7
TCGA-GU-A763-01A-11D-A32B-08	16	2	5	33	14	0
TCGA-GU-A764-01A-11D-A34U-08	37	29	10	34	12	7
TCGA-GU-A766-01A-11D-A32B-08	113	70	8	14	6	15
TCGA-GU-A767-01A-11D-A32B-08	114	28	63	192	14	28
TCGA-GU-AATO-01A-11D-A391-08	184	121	0	24	28	0
TCGA-GU-AATP-01A-11D-A391-08	132	119	19	48	23	18
TCGA-GU-AATQ-01A-11D-A391-08	103	22	37	17	14	2
TCGA-GV-A3JV-01A-11D-A21Z-08	16	20	0	0	87	11
TCGA-GV-A3JW-01A-11D-A20D-08	32	13	0	19	22	6
TCGA-GV-A3JX-01A-11D-A20D-08	176	54	23	1	26	18
TCGA-GV-A3JZ-01A-11D-A21A-08	251	115	0	42	31	71
TCGA-GV-A3QF-01A-31D-A22Z-08	10	10	35	57	33	2
TCGA-GV-A3QG-01A-11D-A21Z-08	17	11	21	25	23	0
TCGA-GV-A3QH-01A-11D-A21Z-08	95	12	4	16	54	0
TCGA-GV-A3QI-01A-11D-A21Z-08	71	52	150	202	40	4
TCGA-GV-A3QK-01B-11D-A23M-08	40	39	15	20	41	12
TCGA-GV-A40E-01A-12D-A23M-08	109	0	21	22	31	5
TCGA-GV-A40G-01A-11D-A23M-08	16	38	11	36	64	3
TCGA-GV-A6ZA-01A-12D-A339-08	177	86	24	0	28	20
TCGA-H4-A2HO-01A-11D-A17V-08	19	12	15	9	43	0
TCGA-H4-A2HQ-01A-11D-A17V-08	214	118	88	56	14	23
TCGA-HQ-A2OE-01A-11D-A202-08	45	24	19	27	32	7
TCGA-HQ-A2OF-01A-11D-A26M-08	3	12	0	0	90	7
TCGA-HQ-A5ND-01A-11D-A26M-08	12	10	15	10	31	12
TCGA-HQ-A5NE-01A-12D-A289-08	207	149	10	26	22	9
TCGA-K4-A3WS-01A-11D-A22Z-08	107	46	50	115	0	2
TCGA-K4-A3WU-01B-11D-A23M-08	99	16	17	1	55	15
TCGA-K4-A3WV-01A-11D-A22Z-08	1	5	17	0	39	7
TCGA-K4-A4AB-01B-12D-A289-08	7	16	16	28	37	5
TCGA-K4-A4AC-01A-21D-A26M-08	42	26	23	24	29	22
TCGA-K4-A54R-01A-11D-A26M-08	635	362	0	23	0	70
TCGA-K4-A5RH-01A-11D-A30E-08	49	81	20	13	20	9
TCGA-K4-A5RI-01A-11D-A289-08	28	24	30	20	43	5
TCGA-K4-A5RJ-01A-11D-A289-08	209	125	19	56	13	10
TCGA-K4-A6FZ-01A-11D-A31L-08	121	95	225	0	0	0
TCGA-K4-A6MB-01A-11D-A31L-08	145	106	20	55	47	0
TCGA-K4-A83P-01A-11D-A34U-08	94	70	84	0	27	2
TCGA-K4-AAQO-01A-11D-A38G-08	102	53	41	49	33	4
TCGA-KQ-A41N-01A-11D-A339-08	20	33	98	53	22	17
TCGA-KQ-A41O-01A-12D-A34U-08	176	33	4	12	51	16
TCGA-KQ-A41P-01A-12D-A339-08	187	109	21	0	22	18
TCGA-KQ-A41Q-01A-11D-A339-08	60	36	9	9	44	18
TCGA-KQ-A41R-01A-21D-A34U-08	86	415	226	105	66	20
TCGA-KQ-A41S-01A-12D-A339-08	130	81	17	7	15	11
TCGA-LC-A66R-01A-41D-A30E-08	50	23	26	2	21	23
TCGA-LT-A5Z6-01A-11D-A289-08	322	226	17	60	0	0
TCGA-LT-A8JT-01A-11D-A364-08	18	20	9	7	26	3
TCGA-MV-A51V-01A-11D-A26M-08	1542	173	28	98	0	76
TCGA-PQ-A6FI-01A-11D-A31L-08	62	30	38	6	31	6
TCGA-PQ-A6FN-01A-11D-A31L-08	16	21	2	27	15	0
TCGA-R3-A69X-01A-22D-A30E-08	145	40	15	7	28	4
TCGA-S5-A6DX-01A-11D-A31L-08	456	223	2	8	48	53
TCGA-S5-AA26-01A-11D-A38G-08	155	58	0	1	37	10
TCGA-SY-A9G0-01A-12D-A38G-08	20	6	7	0	25	0
