Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-2F-A9KO-01A-11D-A38G-08	325	147	0	44	21	0
TCGA-2F-A9KP-01A-11D-A38G-08	29	30	29	0	37	9
TCGA-2F-A9KQ-01A-11D-A38G-08	8	9	18	0	25	1
TCGA-2F-A9KR-01A-11D-A38G-08	67	79	14	13	16	25
TCGA-2F-A9KT-01A-11D-A38G-08	163	93	15	2	31	25
TCGA-2F-A9KW-01A-11D-A38G-08	3	21	0	48	31	5
TCGA-4Z-AA7M-01A-11D-A391-08	225	131	67	16	43	0
TCGA-4Z-AA7N-01A-11D-A391-08	1	7	0	3	6	0
TCGA-4Z-AA7O-01A-31D-A391-08	48	40	38	27	34	12
TCGA-4Z-AA7Q-01A-11D-A391-08	125	32	33	21	26	5
TCGA-4Z-AA7R-01A-11D-A391-08	159	99	2	42	19	25
TCGA-4Z-AA7S-01A-11D-A391-08	0	5	0	0	43	10
TCGA-4Z-AA7W-01A-11D-A391-08	319	130	31	14	9	0
TCGA-4Z-AA7Y-01A-11D-A391-08	127	89	23	17	8	9
TCGA-4Z-AA80-01A-11D-A391-08	148	94	33	28	50	52
TCGA-4Z-AA81-01A-11D-A391-08	73	73	4	19	17	14
TCGA-4Z-AA82-01A-11D-A391-08	15	27	0	36	32	0
TCGA-4Z-AA83-01A-11D-A391-08	17	17	7	10	26	5
TCGA-4Z-AA84-01A-11D-A391-08	6	247	158	39	26	6
TCGA-4Z-AA86-01A-11D-A391-08	118	48	14	13	9	9
TCGA-4Z-AA87-01A-11D-A391-08	89	42	13	19	50	12
TCGA-4Z-AA89-01A-11D-A391-08	65	32	6	0	24	0
TCGA-5N-A9KI-01A-31D-A42E-08	31	53	22	29	27	18
TCGA-5N-A9KM-01A-11D-A42E-08	0	19	117	56	34	0
TCGA-BL-A0C8-01A-11D-A271-08	27	20	15	15	48	10
TCGA-BL-A13I-01A-11D-A271-08	40	9	44	15	16	0
TCGA-BL-A13J-01A-11D-A271-08	25	9	22	42	1	0
TCGA-BL-A3JM-01A-12D-A21A-08	51	36	46	20	37	3
TCGA-BL-A5ZZ-01A-31D-A30E-08	19	36	37	18	36	2
TCGA-BT-A0S7-01A-11D-A10S-08	0	0	19	10	6	5
TCGA-BT-A0YX-01A-11D-A10S-08	351	212	0	0	31	0
TCGA-BT-A20J-01A-11D-A14W-08	205	168	2	0	40	25
TCGA-BT-A20N-01A-11D-A14W-08	50	18	41	113	13	14
TCGA-BT-A20O-01A-21D-A14W-08	41	25	42	51	17	0
TCGA-BT-A20P-01A-11D-A14W-08	46	0	0	7	16	4
TCGA-BT-A20Q-01A-11D-A14W-08	30	25	2	0	14	10
TCGA-BT-A20R-01A-12D-A16O-08	125	61	0	0	30	24
TCGA-BT-A20T-01A-11D-A14W-08	103	105	25	0	16	6
TCGA-BT-A20U-01A-11D-A14W-08	44	26	0	3	11	5
TCGA-BT-A20V-01A-11D-A14W-08	21	11	1	9	38	20
TCGA-BT-A20W-01A-21D-A14W-08	19	2	0	23	20	7
TCGA-BT-A20X-01A-11D-A16O-08	9	3	22	19	8	8
TCGA-BT-A2LA-01A-11D-A18F-08	30	35	0	0	101	0
TCGA-BT-A2LB-01A-11D-A18F-08	37	238	244	3	27	22
TCGA-BT-A2LD-01A-12D-A20D-08	5	15	10	12	55	5
TCGA-BT-A3PH-01A-11D-A21Z-08	287	100	6	0	32	0
TCGA-BT-A3PJ-01A-21D-A21Z-08	129	186	105	23	26	22
TCGA-BT-A3PK-01A-21D-A21Z-08	74	34	151	71	14	4
TCGA-BT-A42B-01A-32D-A23M-08	2	11	0	7	41	1
TCGA-BT-A42C-01A-11D-A23M-08	84	62	63	102	31	10
TCGA-BT-A42E-01A-11D-A23U-08	81	30	22	1	24	0
TCGA-BT-A42F-01A-11D-A23U-08	83	51	4	20	0	0
TCGA-C4-A0EZ-01A-21D-A10S-08	30	37	43	26	52	13
TCGA-C4-A0F0-01A-12D-A10S-08	7	8	30	24	27	0
TCGA-C4-A0F1-01A-11D-A10S-08	51	44	0	19	34	16
TCGA-C4-A0F6-01A-11D-A10S-08	96	33	3	7	44	13
TCGA-C4-A0F7-01A-11D-A10S-08	0	4	0	12	42	10
TCGA-CF-A1HR-01A-11D-A13W-08	120	77	31	0	19	12
