Samples	SBS96A
TCGA-2F-A9KO-01A-11D-A38G-08	537
TCGA-2F-A9KP-01A-11D-A38G-08	134
TCGA-2F-A9KQ-01A-11D-A38G-08	61
TCGA-2F-A9KR-01A-11D-A38G-08	214
TCGA-2F-A9KT-01A-11D-A38G-08	329
TCGA-2F-A9KW-01A-11D-A38G-08	108
TCGA-4Z-AA7M-01A-11D-A391-08	482
TCGA-4Z-AA7N-01A-11D-A391-08	17
TCGA-4Z-AA7O-01A-31D-A391-08	199
TCGA-4Z-AA7Q-01A-11D-A391-08	242
TCGA-4Z-AA7R-01A-11D-A391-08	346
TCGA-4Z-AA7S-01A-11D-A391-08	58
TCGA-4Z-AA7W-01A-11D-A391-08	503
TCGA-4Z-AA7Y-01A-11D-A391-08	273
TCGA-4Z-AA80-01A-11D-A391-08	405
TCGA-4Z-AA81-01A-11D-A391-08	200
TCGA-4Z-AA82-01A-11D-A391-08	110
TCGA-4Z-AA83-01A-11D-A391-08	82
TCGA-4Z-AA84-01A-11D-A391-08	482
TCGA-4Z-AA86-01A-11D-A391-08	211
TCGA-4Z-AA87-01A-11D-A391-08	225
TCGA-4Z-AA89-01A-11D-A391-08	127
TCGA-5N-A9KI-01A-31D-A42E-08	180
TCGA-5N-A9KM-01A-11D-A42E-08	226
TCGA-BL-A0C8-01A-11D-A271-08	135
TCGA-BL-A13I-01A-11D-A271-08	124
TCGA-BL-A13J-01A-11D-A271-08	99
TCGA-BL-A3JM-01A-12D-A21A-08	193
TCGA-BL-A5ZZ-01A-31D-A30E-08	148
TCGA-BT-A0S7-01A-11D-A10S-08	40
TCGA-BT-A0YX-01A-11D-A10S-08	594
TCGA-BT-A20J-01A-11D-A14W-08	440
TCGA-BT-A20N-01A-11D-A14W-08	249
TCGA-BT-A20O-01A-21D-A14W-08	176
TCGA-BT-A20P-01A-11D-A14W-08	73
TCGA-BT-A20Q-01A-11D-A14W-08	81
TCGA-BT-A20R-01A-12D-A16O-08	240
TCGA-BT-A20T-01A-11D-A14W-08	255
TCGA-BT-A20U-01A-11D-A14W-08	89
TCGA-BT-A20V-01A-11D-A14W-08	100
TCGA-BT-A20W-01A-21D-A14W-08	71
TCGA-BT-A20X-01A-11D-A16O-08	69
TCGA-BT-A2LA-01A-11D-A18F-08	166
TCGA-BT-A2LB-01A-11D-A18F-08	571
TCGA-BT-A2LD-01A-12D-A20D-08	102
TCGA-BT-A3PH-01A-11D-A21Z-08	425
TCGA-BT-A3PJ-01A-21D-A21Z-08	491
TCGA-BT-A3PK-01A-21D-A21Z-08	348
TCGA-BT-A42B-01A-32D-A23M-08	62
TCGA-BT-A42C-01A-11D-A23M-08	352
TCGA-BT-A42E-01A-11D-A23U-08	158
TCGA-BT-A42F-01A-11D-A23U-08	158
TCGA-C4-A0EZ-01A-21D-A10S-08	201
TCGA-C4-A0F0-01A-12D-A10S-08	96
TCGA-C4-A0F1-01A-11D-A10S-08	164
TCGA-C4-A0F6-01A-11D-A10S-08	196
TCGA-C4-A0F7-01A-11D-A10S-08	68
TCGA-CF-A1HR-01A-11D-A13W-08	259
TCGA-CF-A1HS-01A-11D-A13W-08	231
TCGA-CF-A27C-01A-11D-A16O-08	153
TCGA-CF-A3MF-01A-12D-A21A-08	21
TCGA-CF-A3MG-01A-11D-A20D-08	139
TCGA-CF-A3MH-01A-11D-A20D-08	40
TCGA-CF-A3MI-01A-11D-A20D-08	69
TCGA-CF-A47S-01A-11D-A23U-08	21
TCGA-CF-A47T-01A-11D-A23U-08	24
TCGA-CF-A47V-01A-11D-A23U-08	98
TCGA-CF-A47W-01A-11D-A23U-08	30
TCGA-CF-A47X-01A-31D-A23U-08	310
TCGA-CF-A47Y-01A-11D-A23U-08	65
TCGA-CF-A5U8-01A-11D-A289-08	64
TCGA-CF-A5UA-01A-11D-A289-08	80
TCGA-CF-A7I0-01A-22D-A34U-08	49
TCGA-CF-A8HX-01A-11D-A364-08	60
TCGA-CF-A8HY-01A-11D-A364-08	76
TCGA-CF-A9FF-01A-11D-A38G-08	138
TCGA-CF-A9FH-01A-11D-A38G-08	38
TCGA-CF-A9FL-01A-11D-A38G-08	49
TCGA-CF-A9FM-01A-11D-A38G-08	23
TCGA-CU-A0YN-01A-21D-A10S-08	168
TCGA-CU-A0YO-01A-11D-A10S-08	88
TCGA-CU-A0YR-01A-12D-A10S-08	131
TCGA-CU-A3KJ-01A-11D-A21A-08	221
TCGA-CU-A3QU-01A-11D-A22Z-08	92
TCGA-CU-A3YL-01A-11D-A22Z-08	217
TCGA-CU-A5W6-01A-11D-A289-08	191
TCGA-CU-A72E-01A-12D-A339-08	87
TCGA-DK-A1A3-01A-11D-A13W-08	573
TCGA-DK-A1A5-01A-11D-A13W-08	245
TCGA-DK-A1A6-01A-11D-A13W-08	219
TCGA-DK-A1A7-01A-11D-A13W-08	206
TCGA-DK-A1AA-01A-11D-A13W-08	81
TCGA-DK-A1AB-01A-11D-A13W-08	195
TCGA-DK-A1AC-01A-11D-A13W-08	1329
TCGA-DK-A1AD-01A-11D-A13W-08	230
TCGA-DK-A1AE-01A-11D-A13W-08	105
TCGA-DK-A1AF-01A-11D-A13W-08	85
TCGA-DK-A1AG-01A-11D-A13W-08	129
TCGA-DK-A2HX-01A-12D-A18F-08	111
TCGA-DK-A2I1-01A-11D-A17V-08	182
TCGA-DK-A2I2-01A-11D-A17V-08	88
TCGA-DK-A2I4-01A-11D-A21A-08	812
TCGA-DK-A2I6-01A-12D-A18F-08	273
TCGA-DK-A3IK-01A-32D-A21A-08	189
TCGA-DK-A3IL-01A-11D-A20D-08	171
TCGA-DK-A3IM-01A-11D-A20D-08	76
TCGA-DK-A3IN-01A-11D-A20D-08	369
TCGA-DK-A3IQ-01A-31D-A20D-08	181
TCGA-DK-A3IS-01A-21D-A21A-08	331
TCGA-DK-A3IT-01A-31D-A20D-08	386
TCGA-DK-A3IU-01A-11D-A20D-08	412
TCGA-DK-A3IV-01A-22D-A21A-08	72
TCGA-DK-A3WW-01A-22D-A23M-08	1168
TCGA-DK-A3WX-01A-22D-A22Z-08	38
TCGA-DK-A3WY-01A-11D-A22Z-08	11
TCGA-DK-A3X1-01A-12D-A22Z-08	849
TCGA-DK-A3X2-01A-11D-A22Z-08	112
TCGA-DK-A6AV-01A-12D-A30E-08	118
TCGA-DK-A6AW-01A-11D-A30E-08	4117
TCGA-DK-A6B0-01A-11D-A31L-08	22
TCGA-DK-A6B1-01A-12D-A30E-08	140
TCGA-DK-A6B2-01A-11D-A30E-08	202
TCGA-DK-A6B5-01A-11D-A31L-08	117
TCGA-DK-A6B6-01A-11D-A30E-08	906
TCGA-DK-AA6L-01A-11D-A391-08	372
TCGA-DK-AA6M-01A-11D-A391-08	66
TCGA-DK-AA6P-01A-11D-A391-08	163
TCGA-DK-AA6Q-01A-11D-A391-08	118
TCGA-DK-AA6R-01A-11D-A42E-08	325
