	A	B	Mean_A	Mean_B	H-statistic	P-value	Decision
0	SBS1	SBS2	10.151269035532994	13.498477157360407	326.53047343951687	5.4760425432668433e-73	Rank medians are different
1	SBS1	SBS3	10.151269035532994	15.46497461928934	221.49896691356525	4.2601571115755126e-50	Rank medians are different
2	SBS1	SBS5	10.151269035532994	22.672081218274112	198.95816511420995	3.525222124383007e-45	Rank medians are different
3	SBS1	SBS6	10.151269035532994	5.559390862944163	662.7472374023419	3.774671895673392e-146	Rank medians are different
4	SBS1	SBS10a	10.151269035532994	1.9736040609137055	1442.809074474685	0.0	Rank medians are different
5	SBS1	SBS10b	10.151269035532994	5.781725888324873	962.0947881560857	3.1163922120753798e-211	Rank medians are different
6	SBS1	SBS13	10.151269035532994	13.543147208121827	438.42509614854947	2.383457286236644e-97	Rank medians are different
7	SBS1	SBS29	10.151269035532994	1.350253807106599	1259.6057956522861	6.7850869806027165e-276	Rank medians are different
8	SBS2	SBS3	13.498477157360407	15.46497461928934	0.6896319000606062	0.40628961336364344	Rank medians are similar
9	SBS2	SBS5	13.498477157360407	22.672081218274112	485.95067471049924	1.0836937426964675e-107	Rank medians are different
10	SBS2	SBS6	13.498477157360407	5.559390862944163	63.89542757615408	1.312018108951605e-15	Rank medians are different
11	SBS2	SBS10a	13.498477157360407	1.9736040609137055	394.91887482398533	7.03152004005808e-88	Rank medians are different
12	SBS2	SBS10b	13.498477157360407	5.781725888324873	145.40989880536674	1.747220592015291e-33	Rank medians are different
13	SBS2	SBS13	13.498477157360407	13.543147208121827	10.168864321285369	0.0014283222884989804	Rank medians are different
14	SBS2	SBS29	13.498477157360407	1.350253807106599	321.3196184927866	7.472425301992198e-72	Rank medians are different
15	SBS3	SBS5	15.46497461928934	22.672081218274112	255.5052812879702	1.6379091601591162e-57	Rank medians are different
16	SBS3	SBS6	15.46497461928934	5.559390862944163	47.54666349649186	5.371009553278401e-12	Rank medians are different
17	SBS3	SBS10a	15.46497461928934	1.9736040609137055	268.2913407373332	2.67490518632182e-60	Rank medians are different
18	SBS3	SBS10b	15.46497461928934	5.781725888324873	92.65785241607473	6.2163443981047445e-22	Rank medians are different
19	SBS3	SBS13	15.46497461928934	13.543147208121827	3.5472703863249593	0.059643490389452714	Rank medians are similar
20	SBS3	SBS29	15.46497461928934	1.350253807106599	226.9941210357758	2.697075151905845e-51	Rank medians are different
21	SBS5	SBS6	22.672081218274112	5.559390862944163	814.0251297046094	4.8170182153888574e-179	Rank medians are different
22	SBS5	SBS10a	22.672081218274112	1.9736040609137055	1314.0549320847197	9.974714340184279e-288	Rank medians are different
23	SBS5	SBS10b	22.672081218274112	5.781725888324873	1012.3419935365883	3.728873873032306e-222	Rank medians are different
24	SBS5	SBS13	22.672081218274112	13.543147208121827	554.5001644581482	1.3213829074291621e-122	Rank medians are different
25	SBS5	SBS29	22.672081218274112	1.350253807106599	1192.7650160725616	2.278593866610873e-261	Rank medians are different
26	SBS6	SBS10a	5.559390862944163	1.9736040609137055	158.48437260959284	2.4255164977592487e-36	Rank medians are different
27	SBS6	SBS10b	5.559390862944163	5.781725888324873	15.302759145684401	9.158264626340482e-05	Rank medians are different
28	SBS6	SBS13	5.559390862944163	13.543147208121827	23.749403118275584	1.0972939963102102e-06	Rank medians are different
29	SBS6	SBS29	5.559390862944163	1.350253807106599	110.93793080188888	6.105260772957711e-26	Rank medians are different
30	SBS10a	SBS10b	1.9736040609137055	5.781725888324873	91.88944289545431	9.165668688206822e-22	Rank medians are different
31	SBS10a	SBS13	1.9736040609137055	13.543147208121827	279.8482453858358	8.103378581899939e-63	Rank medians are different
32	SBS10a	SBS29	1.9736040609137055	1.350253807106599	4.5286990755954255	0.03333094616696148	Rank medians are different
33	SBS10b	SBS13	5.781725888324873	13.543147208121827	75.43290264610908	3.780375957037062e-18	Rank medians are different
34	SBS10b	SBS29	5.781725888324873	1.350253807106599	54.955641121767734	1.2328103778107038e-13	Rank medians are different
35	SBS13	SBS29	13.543147208121827	1.350253807106599	220.9007534056336	5.753181682274733e-50	Rank medians are different
