Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-CU-A72E-01A-12D-A339-08	31	16	17	7	13	3
TCGA-DK-A1A3-01A-11D-A13W-08	161	269	99	13	14	17
TCGA-DK-A1A5-01A-11D-A13W-08	123	82	7	0	16	17
TCGA-DK-A1A6-01A-11D-A13W-08	107	21	40	47	4	0
TCGA-DK-A1A7-01A-11D-A13W-08	10	21	118	21	36	0
TCGA-DK-A1AA-01A-11D-A13W-08	4	9	28	29	7	4
TCGA-DK-A1AB-01A-11D-A13W-08	100	85	0	4	6	0
TCGA-DK-A1AC-01A-11D-A13W-08	317	885	21	64	23	19
TCGA-DK-A1AD-01A-11D-A13W-08	60	48	62	24	25	11
TCGA-DK-A1AE-01A-11D-A13W-08	37	29	5	19	15	0
TCGA-DK-A1AF-01A-11D-A13W-08	42	27	0	14	0	2
TCGA-DK-A1AG-01A-11D-A13W-08	52	45	8	0	20	4
TCGA-DK-A2HX-01A-12D-A18F-08	18	35	10	19	19	10
TCGA-DK-A2I1-01A-11D-A17V-08	105	43	0	5	14	15
TCGA-DK-A2I2-01A-11D-A17V-08	17	21	39	1	10	0
TCGA-DK-A2I4-01A-11D-A21A-08	330	420	0	0	23	39
TCGA-DK-A2I6-01A-12D-A18F-08	22	78	127	26	9	11
TCGA-DK-A3IK-01A-32D-A21A-08	60	16	1	77	31	4
TCGA-DK-A3IL-01A-11D-A20D-08	0	2	20	103	23	23
TCGA-DK-A3IM-01A-11D-A20D-08	0	2	19	23	30	2
TCGA-DK-A3IN-01A-11D-A20D-08	192	111	21	15	26	4
TCGA-DK-A3IQ-01A-31D-A20D-08	51	70	6	27	19	8
TCGA-DK-A3IS-01A-21D-A21A-08	146	131	0	20	26	8
TCGA-DK-A3IT-01A-31D-A20D-08	239	82	16	45	2	2
TCGA-DK-A3IU-01A-11D-A20D-08	150	157	38	48	14	5
TCGA-DK-A3IV-01A-22D-A21A-08	14	19	11	8	11	9
TCGA-DK-A3WW-01A-22D-A23M-08	567	480	0	61	0	60
TCGA-DK-A3WX-01A-22D-A22Z-08	2	8	4	4	20	0
TCGA-DK-A3WY-01A-11D-A22Z-08	5	5	0	0	1	0
TCGA-DK-A3X1-01A-12D-A22Z-08	358	324	0	61	0	106
TCGA-DK-A3X2-01A-11D-A22Z-08	11	19	8	24	46	4
TCGA-DK-A6AV-01A-12D-A30E-08	24	29	11	23	21	10
TCGA-DK-A6AW-01A-11D-A30E-08	0	10	19	0	10	4078
TCGA-DK-A6B0-01A-11D-A31L-08	1	1	8	5	7	0
TCGA-DK-A6B1-01A-12D-A30E-08	23	35	30	6	40	6
TCGA-DK-A6B2-01A-11D-A30E-08	31	36	31	53	43	8
TCGA-DK-A6B5-01A-11D-A31L-08	39	30	19	17	7	5
TCGA-DK-A6B6-01A-11D-A30E-08	278	626	0	2	0	0
TCGA-DK-AA6L-01A-11D-A391-08	198	101	25	34	10	4
TCGA-DK-AA6M-01A-11D-A391-08	5	13	0	9	27	12
TCGA-DK-AA6P-01A-11D-A391-08	48	52	28	20	11	4
TCGA-DK-AA6Q-01A-11D-A391-08	34	27	17	23	13	4
TCGA-DK-AA6R-01A-11D-A42E-08	34	38	0	226	13	14
TCGA-DK-AA6S-01A-21D-A391-08	285	165	2	56	10	0
TCGA-DK-AA6T-01A-11D-A391-08	17	0	20	0	24	11
TCGA-DK-AA6U-01A-11D-A391-08	84	82	13	187	27	22
TCGA-DK-AA6W-01A-12D-A391-08	107	71	0	21	55	0
TCGA-DK-AA6X-01A-12D-A42E-08	51	21	14	1	9	11
TCGA-DK-AA71-01A-31D-A391-08	343	294	0	23	8	0
TCGA-DK-AA74-01A-11D-A391-08	98	40	14	15	17	7
TCGA-DK-AA75-01A-11D-A391-08	95	223	55	20	26	38
TCGA-DK-AA76-01A-11D-A391-08	64	43	18	66	15	23
TCGA-DK-AA77-01A-11D-A391-08	16	66	53	209	50	4
TCGA-E5-A2PC-01A-11D-A202-08	15	26	66	93	14	8
TCGA-E5-A4TZ-01A-11D-A31L-08	215	93	0	32	100	7
TCGA-E5-A4U1-01A-11D-A31L-08	275	161	24	79	17	15
TCGA-E7-A3X6-01A-12D-A22Z-08	41	23	8	0	18	0
TCGA-E7-A3Y1-01A-11D-A22Z-08	5	8	63	36	35	5
TCGA-E7-A4IJ-01A-31D-A26M-08	124	63	28	89	9	28
TCGA-E7-A4XJ-01A-11D-A26M-08	0	3	0	3	35	2
TCGA-E7-A519-01A-11D-A26M-08	6	10	43	0	10	0
TCGA-E7-A541-01A-11D-A26M-08	139	113	141	30	25	0
TCGA-E7-A5KE-01A-11D-A289-08	25	52	35	31	57	4
TCGA-E7-A5KF-01A-11D-A289-08	80	71	16	21	1	10
TCGA-E7-A677-01A-11D-A30E-08	9	21	81	54	42	10
TCGA-E7-A678-01A-11D-A30E-08	3	2	27	5	22	1
TCGA-E7-A6MD-01A-41D-A34U-08	214	147	9	20	37	23
TCGA-E7-A6ME-01A-22D-A32B-08	8	0	63	44	15	0
TCGA-E7-A6MF-01A-12D-A32B-08	20	23	0	0	0	2
TCGA-E7-A7DU-01A-11D-A32B-08	115	106	0	19	18	5
TCGA-E7-A7DV-01A-11D-A339-08	178	44	10	15	18	14
TCGA-E7-A7PW-01A-11D-A34U-08	19	20	0	22	8	10
TCGA-E7-A7XN-01A-11D-A34U-08	613	278	16	0	0	0
TCGA-E7-A85H-01A-11D-A34U-08	16	38	216	64	41	20
TCGA-E7-A8O7-01A-11D-A364-08	4	2	1	7	15	1
TCGA-E7-A8O8-01A-11D-A364-08	10	15	25	28	43	3
TCGA-E7-A97P-01A-11D-A38G-08	21	10	90	36	19	6
TCGA-E7-A97Q-01A-11D-A38G-08	10	8	17	4	5	5
TCGA-FD-A3B3-01A-12D-A202-08	41	37	25	17	26	4
TCGA-FD-A3B4-01A-12D-A202-08	0	0	0	50	11	16
TCGA-FD-A3B5-01A-11D-A20D-08	57	21	4	18	15	19
TCGA-FD-A3B6-01A-21D-A20D-08	110	38	10	63	27	14
TCGA-FD-A3B7-01A-31D-A20D-08	13	1	28	0	19	3
TCGA-FD-A3B8-01A-31D-A20D-08	15	4	0	7	1	0
TCGA-FD-A3N5-01A-11D-A21A-08	0	10	155	111	32	10
TCGA-FD-A3N6-01A-11D-A21A-08	12	21	0	12	45	25
TCGA-FD-A3NA-01A-11D-A21A-08	80	54	13	5	12	4
TCGA-FD-A3SJ-01A-12D-A22Z-08	74	36	69	36	24	0
TCGA-FD-A3SL-01A-21D-A22Z-08	38	14	77	56	26	8
TCGA-FD-A3SM-01A-11D-A22Z-08	83	36	3	12	29	4
TCGA-FD-A3SN-01A-12D-A22Z-08	70	222	48	21	26	12
TCGA-FD-A3SO-01A-11D-A22Z-08	174	144	7	0	11	20
TCGA-FD-A3SP-01A-31D-A22Z-08	23	32	4	3	41	7
TCGA-FD-A3SQ-01A-21D-A22Z-08	7	16	17	1	31	10
TCGA-FD-A3SR-01A-11D-A22Z-08	46	17	16	10	29	19
TCGA-FD-A3SS-01A-12D-A22Z-08	164	222	0	43	0	47
TCGA-FD-A43N-01A-11D-A23U-08	55	10	8	21	69	7
TCGA-FD-A43P-01A-31D-A23U-08	174	62	44	51	32	22
TCGA-FD-A43U-01A-11D-A23U-08	0	9	17	16	23	8
TCGA-FD-A43X-01A-11D-A23U-08	143	84	37	16	29	3
TCGA-FD-A43Y-01A-21D-A26M-08	0	3	29	21	5	0
TCGA-FD-A5BR-01A-11D-A26M-08	0	6	2	41	27	9
TCGA-FD-A5BS-01A-21D-A26M-08	3	12	3	4	0	5
TCGA-FD-A5BT-01A-11D-A26M-08	48	16	28	0	22	12
TCGA-FD-A5BU-01A-31D-A26M-08	4	1	6	20	32	0
TCGA-FD-A5BV-01A-11D-A26M-08	4	2	23	74	26	0
TCGA-FD-A5BX-01A-11D-A26M-08	158	98	0	38	0	14
TCGA-FD-A5BY-01A-31D-A289-08	11	6	0	8	17	3
TCGA-FD-A5BZ-01A-11D-A289-08	34	21	3	27	30	16
TCGA-FD-A5C0-01A-11D-A289-08	3	18	50	14	34	0
TCGA-FD-A5C1-01A-11D-A289-08	42	20	10	9	44	5
TCGA-FD-A62N-01A-11D-A30E-08	1	6	17	45	11	13
TCGA-FD-A62O-01A-11D-A30E-08	63	48	2	0	37	23
TCGA-FD-A62P-01A-32D-A30E-08	186	91	12	25	28	17
TCGA-FD-A62S-01A-11D-A30E-08	0	3	24	25	21	0
TCGA-FD-A6TA-01A-12D-A339-08	131	81	0	21	2	8
TCGA-FD-A6TB-01A-12D-A339-08	92	44	0	20	12	5
TCGA-FD-A6TC-01A-21D-A339-08	467	309	23	29	17	45
TCGA-FD-A6TD-01A-51D-A339-08	29	40	15	14	23	0
TCGA-FD-A6TE-01A-12D-A339-08	110	71	1	8	18	13
TCGA-FD-A6TF-01A-52D-A32B-08	56	25	9	26	20	0
TCGA-FD-A6TG-01A-11D-A32B-08	118	56	66	88	26	9
TCGA-FD-A6TH-01A-11D-A32B-08	44	52	29	6	27	8
TCGA-FD-A6TI-01A-11D-A32B-08	0	4	23	32	44	16
TCGA-FD-A6TK-01A-42D-A339-08	16	30	22	6	23	0
TCGA-FJ-A3Z7-01A-12D-A23M-08	124	99	24	44	26	0
TCGA-FJ-A3Z9-01A-11D-A26M-08	6	6	0	0	46	7
TCGA-FJ-A3ZE-01A-11D-A23M-08	0	0	18	365	17	38
TCGA-FJ-A3ZF-01A-11D-A23M-08	65	74	8	58	41	7
TCGA-FJ-A871-01A-11D-A34U-08	0	3	26	0	22	0
TCGA-FT-A3EE-01A-11D-A202-08	1	22	33	22	20	12
TCGA-FT-A61P-01A-11D-A30E-08	24	23	55	14	28	6
TCGA-G2-A2EC-01A-11D-A17V-08	67	29	15	11	24	10
TCGA-G2-A2EF-01A-12D-A18F-08	97	80	25	0	25	1
TCGA-G2-A2EJ-01A-11D-A17V-08	136	55	11	37	39	13
TCGA-G2-A2EK-01A-22D-A18F-08	19	7	2	0	30	0
TCGA-G2-A2EL-01A-12D-A18F-08	145	36	6	15	25	11
TCGA-G2-A2EO-01A-11D-A17V-08	472	342	0	0	11	0
TCGA-G2-A2ES-01A-11D-A17V-08	36	117	109	86	23	22
TCGA-G2-A3IB-01A-11D-A20D-08	2	14	0	77	2	11
TCGA-G2-A3IE-01A-11D-A20D-08	146	106	11	43	20	9
TCGA-G2-A3VY-01A-11D-A22Z-08	432	107	35	140	0	0
TCGA-G2-AA3B-01A-11D-A391-08	487	134	62	15	0	11
TCGA-G2-AA3C-01A-21D-A391-08	101	66	0	26	33	5
TCGA-G2-AA3D-01A-11D-A391-08	125	26	25	15	2	0
TCGA-G2-AA3F-01A-12D-A42E-08	29	24	19	40	27	3
TCGA-GC-A3BM-01A-11D-A22Z-08	13	28	8	0	63	5
TCGA-GC-A3I6-01A-11D-A20D-08	71	66	16	29	8	0
TCGA-GC-A3OO-01A-11D-A22Z-08	32	70	10	13	4	0
TCGA-GC-A3RB-01A-12D-A21Z-08	51	46	3	22	44	2
TCGA-GC-A3RC-01A-11D-A22Z-08	71	83	136	34	14	19
TCGA-GC-A3RD-01A-12D-A22Z-08	17	19	0	16	24	4
TCGA-GC-A3WC-01A-31D-A22Z-08	33	32	44	18	23	2
TCGA-GC-A3YS-01A-11D-A23M-08	103	56	26	11	35	11
TCGA-GC-A4ZW-01A-11D-A26M-08	417	130	67	0	26	15
TCGA-GC-A6I1-01A-12D-A31L-08	108	88	22	5	19	0
TCGA-GC-A6I3-01A-11D-A31L-08	82	39	41	41	29	12
TCGA-GD-A2C5-01A-12D-A17V-08	103	44	22	26	25	23
TCGA-GD-A3OP-01A-21D-A21Z-08	100	132	19	70	29	0
TCGA-GD-A3OQ-01A-32D-A21Z-08	36	19	0	0	31	3
TCGA-GD-A3OS-01A-12D-A21Z-08	10	15	5	31	33	2
TCGA-GD-A6C6-01A-21D-A31L-08	119	66	14	34	29	7
TCGA-GD-A76B-01A-11D-A32B-08	56	47	10	30	23	6
TCGA-GU-A42P-01A-11D-A23U-08	92	89	28	20	24	17
TCGA-GU-A42Q-01A-11D-A23U-08	77	34	17	16	25	13
TCGA-GU-A42R-01A-11D-A23M-08	56	44	32	17	17	0
TCGA-GU-A762-01A-11D-A339-08	21	4	0	35	27	3
TCGA-GU-A763-01A-11D-A32B-08	15	2	7	32	15	0
TCGA-GU-A764-01A-11D-A34U-08	30	19	14	34	7	5
TCGA-GU-A766-01A-11D-A32B-08	86	69	14	6	9	13
TCGA-GU-A767-01A-11D-A32B-08	94	30	65	155	12	25
TCGA-GU-AATO-01A-11D-A391-08	150	111	0	24	21	0
TCGA-GU-AATP-01A-11D-A391-08	103	100	14	45	24	13
TCGA-GU-AATQ-01A-11D-A391-08	68	26	39	12	17	2
TCGA-GV-A3JV-01A-11D-A21Z-08	9	19	0	0	82	6
TCGA-GV-A3JW-01A-11D-A20D-08	25	15	0	13	20	3
TCGA-GV-A3JX-01A-11D-A20D-08	148	55	22	11	17	7
TCGA-GV-A3JZ-01A-11D-A21A-08	195	107	6	42	21	50
TCGA-GV-A3QF-01A-31D-A22Z-08	3	6	35	45	32	2
TCGA-GV-A3QG-01A-11D-A21Z-08	12	13	22	21	26	0
TCGA-GV-A3QH-01A-11D-A21Z-08	63	24	0	22	39	0
TCGA-GV-A3QI-01A-11D-A21Z-08	54	31	155	184	37	5
TCGA-GV-A3QK-01B-11D-A23M-08	25	29	18	28	37	9
TCGA-GV-A40E-01A-12D-A23M-08	79	5	18	32	22	4
TCGA-GV-A40G-01A-11D-A23M-08	9	35	20	30	53	3
TCGA-GV-A6ZA-01A-12D-A339-08	144	80	22	0	29	14
TCGA-H4-A2HO-01A-11D-A17V-08	11	13	13	5	35	0
TCGA-H4-A2HQ-01A-11D-A17V-08	172	100	78	49	6	20
TCGA-HQ-A2OE-01A-11D-A202-08	33	29	24	23	26	7
TCGA-HQ-A2OF-01A-11D-A26M-08	6	9	0	0	88	5
TCGA-HQ-A5ND-01A-11D-A26M-08	8	10	16	19	32	7
TCGA-HQ-A5NE-01A-12D-A289-08	147	126	12	32	14	17
TCGA-K4-A3WS-01A-11D-A22Z-08	82	47	42	105	0	2
TCGA-K4-A3WU-01B-11D-A23M-08	79	27	12	10	35	12
TCGA-K4-A3WV-01A-11D-A22Z-08	2	4	10	1	39	4
TCGA-K4-A4AB-01B-12D-A289-08	8	14	17	18	33	2
TCGA-K4-A4AC-01A-21D-A26M-08	39	25	28	0	33	13
TCGA-K4-A54R-01A-11D-A26M-08	515	334	26	1	8	23
TCGA-K4-A5RH-01A-11D-A30E-08	26	69	20	18	21	20
TCGA-K4-A5RI-01A-11D-A289-08	20	17	34	27	37	1
TCGA-K4-A5RJ-01A-11D-A289-08	165	115	21	62	6	1
TCGA-K4-A6FZ-01A-11D-A31L-08	95	92	215	0	0	3
TCGA-K4-A6MB-01A-11D-A31L-08	125	105	18	46	40	4
TCGA-K4-A83P-01A-11D-A34U-08	81	61	75	0	20	2
TCGA-K4-AAQO-01A-11D-A38G-08	80	41	51	24	31	5
TCGA-KQ-A41N-01A-11D-A339-08	19	22	95	42	16	9
TCGA-KQ-A41O-01A-12D-A34U-08	142	35	16	8	33	13
TCGA-KQ-A41P-01A-12D-A339-08	143	92	27	0	19	21
TCGA-KQ-A41Q-01A-11D-A339-08	45	32	2	7	45	18
TCGA-KQ-A41R-01A-21D-A34U-08	70	321	201	56	69	15
TCGA-KQ-A41S-01A-12D-A339-08	109	73	8	6	19	1
TCGA-LC-A66R-01A-41D-A30E-08	46	23	25	0	18	16
TCGA-LT-A5Z6-01A-11D-A289-08	233	210	0	58	0	3
TCGA-LT-A8JT-01A-11D-A364-08	14	13	9	3	26	9
TCGA-MV-A51V-01A-11D-A26M-08	1237	190	59	44	0	55
TCGA-PQ-A6FI-01A-11D-A31L-08	54	24	41	4	24	5
TCGA-PQ-A6FN-01A-11D-A31L-08	13	14	8	28	18	1
TCGA-R3-A69X-01A-22D-A30E-08	136	24	12	0	29	5
TCGA-S5-A6DX-01A-11D-A31L-08	332	183	20	1	29	45
TCGA-S5-AA26-01A-11D-A38G-08	130	47	0	0	25	9
TCGA-SY-A9G0-01A-12D-A38G-08	17	7	6	4	18	0
TCGA-SY-A9G5-01A-11D-A38G-08	579	322	0	25	15	17
TCGA-UY-A78K-01A-11D-A339-08	131	84	329	241	0	42
TCGA-UY-A78L-01A-12D-A339-08	94	70	27	11	8	4
TCGA-UY-A78M-01A-21D-A34U-08	43	26	0	9	45	0
TCGA-UY-A78N-01A-12D-A339-08	0	16	140	11	39	8
TCGA-UY-A78O-01A-12D-A339-08	74	20	0	9	60	16
TCGA-UY-A78P-01A-12D-A364-08	188	64	6	0	14	6
TCGA-UY-A8OB-01A-12D-A42E-08	61	11	242	0	1	11
TCGA-UY-A8OC-01A-11D-A364-08	25	31	10	0	19	8
TCGA-UY-A8OD-01A-11D-A364-08	19	18	17	6	37	0
TCGA-UY-A9PA-01A-11D-A38G-08	16	22	63	42	22	0
TCGA-UY-A9PB-01A-11D-A38G-08	175	135	149	91	55	0
TCGA-UY-A9PD-01A-11D-A38G-08	24	53	87	68	60	5
TCGA-UY-A9PE-01A-11D-A38G-08	56	39	0	55	25	21
TCGA-UY-A9PF-01A-11D-A38G-08	11	304	39	53	12	9
TCGA-UY-A9PH-01A-11D-A38G-08	159	132	0	8	26	25
TCGA-XF-A8HB-01A-11D-A364-08	15	2	0	1	45	12
TCGA-XF-A8HC-01A-11D-A364-08	25	53	7	23	38	7
TCGA-XF-A8HD-01A-11D-A364-08	249	123	0	42	31	29
TCGA-XF-A8HE-01A-11D-A364-08	171	169	10	0	2	23
TCGA-XF-A8HF-01A-11D-A364-08	18	17	19	77	15	1
TCGA-XF-A8HG-01A-11D-A364-08	47	80	63	14	59	6
TCGA-XF-A8HH-01A-11D-A38G-08	38	33	1	2	30	7
TCGA-XF-A8HI-01A-11D-A38G-08	33	30	5	0	15	0
TCGA-XF-A9SG-01A-12D-A42E-08	64	63	8	17	20	9
TCGA-XF-A9SH-01A-11D-A391-08	15	4	0	9	9	3
TCGA-XF-A9SI-01A-11D-A391-08	203	104	0	30	0	0
TCGA-XF-A9SJ-01A-11D-A391-08	65	130	53	0	15	0
TCGA-XF-A9SK-01A-11D-A42E-08	55	31	15	9	15	12
TCGA-XF-A9SL-01A-11D-A391-08	41	3	20	0	0	2
TCGA-XF-A9SM-01A-11D-A42E-08	109	81	13	24	3	0
TCGA-XF-A9SP-01A-11D-A391-08	118	64	30	24	42	17
TCGA-XF-A9ST-01A-11D-A42E-08	149	73	160	86	24	23
TCGA-XF-A9SU-01A-31D-A391-08	7	4	8	0	21	6
TCGA-XF-A9SV-01A-21D-A42E-08	12	6	0	18	30	4
TCGA-XF-A9SW-01A-11D-A42E-08	5	19	6	12	18	4
TCGA-XF-A9SX-01A-21D-A391-08	9	13	54	18	17	5
TCGA-XF-A9SY-01A-21D-A42E-08	82	27	0	281	0	35
TCGA-XF-A9SZ-01A-11D-A391-08	50	45	46	35	13	9
TCGA-XF-A9T0-01A-11D-A391-08	47	441	160	63	20	7
TCGA-XF-A9T2-01A-11D-A42E-08	26	23	5	7	21	0
TCGA-XF-A9T3-01A-11D-A42E-08	26	40	286	14	25	11
TCGA-XF-A9T4-01A-11D-A391-08	8	5	0	3	15	2
TCGA-XF-A9T5-01A-11D-A42E-08	405	216	1	25	20	0
TCGA-XF-A9T6-01A-11D-A42E-08	0	68	115	42	31	8
TCGA-XF-A9T8-01A-11D-A391-08	478	215	0	0	24	0
TCGA-XF-AAME-01A-12D-A42E-08	0	0	12	5	2	0
TCGA-XF-AAMF-01A-21D-A42E-08	25	21	2	0	18	5
TCGA-XF-AAMG-01A-11D-A42E-08	508	176	20	141	40	51
TCGA-XF-AAMH-01A-11D-A42E-08	0	2	14	9	25	0
TCGA-XF-AAMJ-01A-11D-A42E-08	1	0	0	6	27	2
TCGA-XF-AAML-01A-11D-A42E-08	184	183	35	30	18	36
TCGA-XF-AAMQ-01A-11D-A42E-08	97	61	0	20	21	3
TCGA-XF-AAMR-01A-31D-A42E-08	31	35	5	0	18	6
TCGA-XF-AAMT-01A-11D-A42E-08	15	1	4	53	11	9
TCGA-XF-AAMW-01A-11D-A42E-08	0	0	15	14	4	1
TCGA-XF-AAMX-01A-11D-A42E-08	86	27	55	96	36	20
TCGA-XF-AAMY-01A-11D-A42E-08	47	32	0	0	35	1
TCGA-XF-AAMZ-01A-11D-A42E-08	114	32	1	37	43	16
TCGA-XF-AAN0-01A-11D-A42E-08	199	114	6	27	21	22
TCGA-XF-AAN1-01A-31D-A42E-08	14	7	22	3	41	3
TCGA-XF-AAN2-01A-11D-A42E-08	238	153	14	37	6	9
TCGA-XF-AAN3-01A-11D-A42E-08	80	50	19	0	17	6
TCGA-XF-AAN4-01A-11D-A42E-08	15	0	13	0	3	0
TCGA-XF-AAN5-01A-11D-A42E-08	189	39	6	25	36	8
TCGA-XF-AAN7-01A-11D-A42E-08	2	19	57	25	40	3
TCGA-XF-AAN8-01A-11D-A42E-08	0	0	0	0	1	0
TCGA-YC-A89H-01A-11D-A364-08	8	1222	167	72	61	0
TCGA-YC-A8S6-01A-31D-A38G-08	47	20	0	10	15	10
TCGA-YC-A9TC-01A-22D-A391-08	35	17	4	23	23	3
TCGA-YF-AA3L-01A-11D-A38G-08	44	29	121	77	39	10
