Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-3C-AAAU-01A-11D-A41F-09	3	22	2	3
TCGA-3C-AALI-01A-11D-A41F-09	428	8	71	40
TCGA-3C-AALJ-01A-31D-A41F-09	5	18	16	3
TCGA-3C-AALK-01A-11D-A41F-09	11	31	8	4
TCGA-4H-AAAK-01A-12D-A41F-09	0	15	6	6
TCGA-5L-AAT0-01A-12D-A41F-09	159	16	0	14
TCGA-5L-AAT1-01A-12D-A41F-09	1260	18	0	99
TCGA-5T-A9QA-01A-11D-A41F-09	2	27	17	0
TCGA-A1-A0SD-01A-11D-A10Y-09	3	22	6	2
TCGA-A1-A0SE-01A-11D-A099-09	5	8	12	4
TCGA-A1-A0SF-01A-11D-A142-09	34	12	0	2
TCGA-A1-A0SG-01A-11D-A142-09	3	12	2	5
TCGA-A1-A0SH-01A-11D-A099-09	68	11	23	3
TCGA-A1-A0SI-01A-11D-A142-09	177	0	17	10
TCGA-A1-A0SJ-01A-11D-A099-09	4	15	1	0
TCGA-A1-A0SK-01A-12D-A099-09	2	21	38	6
TCGA-A1-A0SM-01A-11D-A099-09	0	14	8	7
TCGA-A1-A0SN-01A-11D-A142-09	16	25	25	3
TCGA-A1-A0SO-01A-22D-A099-09	23	35	230	15
TCGA-A1-A0SP-01A-11D-A099-09	4	25	17	0
TCGA-A1-A0SQ-01A-21D-A142-09	5	19	1	4
TCGA-A2-A04N-01A-11D-A10Y-09	7	14	15	8
TCGA-A2-A04P-01A-31D-A128-09	12	26	96	2
TCGA-A2-A04Q-01A-21W-A050-09	8	17	29	2
TCGA-A2-A04R-01A-41D-A117-09	9	12	56	6
TCGA-A2-A04T-01A-21W-A050-09	11	16	60	2
TCGA-A2-A04U-01A-11D-A10Y-09	3	20	24	4
TCGA-A2-A04V-01A-21W-A050-09	5	13	16	4
TCGA-A2-A04W-01A-31D-A10Y-09	96	28	17	14
TCGA-A2-A04X-01A-21W-A050-09	16	12	7	0
TCGA-A2-A04Y-01A-21W-A050-09	10	6	32	7
TCGA-A2-A0CK-01A-11D-A228-09	4	19	2	1
TCGA-A2-A0CL-01A-11D-A10Y-09	101	20	9	8
TCGA-A2-A0CM-01A-31W-A050-09	30	11	22	2
TCGA-A2-A0CP-01A-11W-A050-09	3	16	98	4
TCGA-A2-A0CQ-01A-21W-A050-09	2	26	18	3
TCGA-A2-A0CR-01A-11D-A228-09	135	4	13	3
TCGA-A2-A0CS-01A-11D-A10Y-09	1	24	11	3
TCGA-A2-A0CT-01A-31W-A071-09	34	48	21	7
TCGA-A2-A0CU-01A-12W-A050-09	7	20	19	4
TCGA-A2-A0CV-01A-31D-A10Y-09	0	17	0	2
TCGA-A2-A0CW-01A-21D-A10Y-09	16	14	15	5
TCGA-A2-A0CX-01A-21W-A019-09	222	33	14	30
TCGA-A2-A0D0-01A-11W-A019-09	9	24	40	4
TCGA-A2-A0D1-01A-11W-A050-09	19	33	34	6
TCGA-A2-A0D2-01A-21W-A050-09	11	19	54	3
TCGA-A2-A0D3-01A-11D-A10Y-09	1	25	0	2
TCGA-A2-A0D4-01A-11W-A019-09	4	12	15	5
TCGA-A2-A0EM-01A-11W-A050-09	2	19	19	1
TCGA-A2-A0EN-01A-13D-A099-09	1	12	14	3
TCGA-A2-A0EO-01A-11W-A050-09	6	19	17	0
TCGA-A2-A0EP-01A-52D-A22X-09	6	4	4	1
TCGA-A2-A0EQ-01A-11W-A050-09	171	32	45	0
TCGA-A2-A0ER-01A-21W-A050-09	2	21	15	1
TCGA-A2-A0ES-01A-11D-A10Y-09	1	6	5	0
TCGA-A2-A0ET-01A-31D-A045-09	5	31	6	7
TCGA-A2-A0EU-01A-22W-A071-09	3	33	2	4
TCGA-A2-A0EV-01A-11W-A050-09	9	23	25	11
TCGA-A2-A0EW-01A-21D-A10Y-09	1	9	4	3
TCGA-A2-A0EX-01A-21W-A050-09	5	10	14	0
TCGA-A2-A0EY-01A-11W-A050-09	162	41	26	25
TCGA-A2-A0ST-01A-12D-A099-09	4	8	6	1
TCGA-A2-A0SU-01A-11D-A099-09	2	17	7	0
TCGA-A2-A0SV-01A-11D-A099-09	0	23	12	3
TCGA-A2-A0SW-01A-11D-A099-09	18	20	15	4
TCGA-A2-A0SX-01A-12D-A099-09	9	17	10	3
TCGA-A2-A0SY-01A-31D-A099-09	93	14	9	14
TCGA-A2-A0T0-01A-22D-A099-09	16	26	118	14
TCGA-A2-A0T1-01A-21D-A099-09	0	12	8	3
TCGA-A2-A0T2-01A-11W-A097-09	5	14	7	0
TCGA-A2-A0T3-01A-21D-A10Y-09	2	14	16	1
TCGA-A2-A0T4-01A-31D-A099-09	1	18	8	0
TCGA-A2-A0T5-01A-21D-A099-09	1	5	1	1
TCGA-A2-A0T6-01A-11D-A099-09	2	18	0	0
TCGA-A2-A0T7-01A-21D-A099-09	2	17	0	2
TCGA-A2-A0YC-01A-11D-A117-09	4	7	12	1
TCGA-A2-A0YD-01A-11D-A10G-09	32	16	8	9
TCGA-A2-A0YE-01A-11D-A10G-09	3	17	5	5
TCGA-A2-A0YF-01A-21D-A10G-09	0	6	16	7
TCGA-A2-A0YG-01A-21D-A10G-09	6	30	22	4
TCGA-A2-A0YH-01A-11D-A10G-09	37	20	26	6
TCGA-A2-A0YI-01A-31D-A10M-09	1	2	9	2
TCGA-A2-A0YJ-01A-11D-A10G-09	1	38	32	3
TCGA-A2-A0YK-01A-22D-A117-09	368	1	4	17
TCGA-A2-A0YL-01A-21D-A10G-09	18	8	7	0
TCGA-A2-A0YM-01A-11D-A10G-09	14	34	15	6
TCGA-A2-A0YT-01A-11D-A10G-09	7	34	6	16
TCGA-A2-A1FV-01A-11D-A13L-09	5	25	3	2
TCGA-A2-A1FW-01A-11D-A13L-09	3	37	26	6
TCGA-A2-A1FX-01A-11D-A13L-09	1	8	10	7
TCGA-A2-A1FZ-01A-51D-A17G-09	1	12	11	0
TCGA-A2-A1G0-01A-11D-A13L-09	4	6	10	1
TCGA-A2-A1G1-01A-21D-A13L-09	2	8	23	0
TCGA-A2-A1G4-01A-11D-A13L-09	1	13	11	2
TCGA-A2-A1G6-01A-11D-A13L-09	1	3	6	0
TCGA-A2-A259-01A-11D-A16D-09	5	9	6	0
TCGA-A2-A25A-01A-12D-A16D-09	34	0	346	35
TCGA-A2-A25B-01A-11D-A167-09	10	26	65	10
TCGA-A2-A25C-01A-11D-A167-09	5	7	20	5
TCGA-A2-A25D-01A-12D-A16D-09	8	21	22	1
TCGA-A2-A25E-01A-11D-A167-09	7	15	29	5
TCGA-A2-A25F-01A-11D-A167-09	0	0	6	0
TCGA-A2-A3KD-01A-12D-A20S-09	2	9	1	0
TCGA-A2-A3XT-01A-11D-A22X-09	19	13	48	4
TCGA-A2-A3XU-01A-12D-A22X-09	0	16	5	1
TCGA-A2-A3XV-01A-21D-A23C-09	0	23	12	1
TCGA-A2-A3XW-01A-11D-A23C-09	2	4	1	4
