Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-A2-A25B-01A-11D-A167-09	1.44E-01	1.06E-01	1.61E-01	1.43E-01
TCGA-A2-A25C-01A-11D-A167-09	4.69E-02	4.29E-02	4.51E-02	3.68E-02
TCGA-A2-A25D-01A-12D-A16D-09	1.21E-01	1.13E-01	1.07E-01	1.07E-01
TCGA-A2-A25E-01A-11D-A167-09	8.53E-02	8.32E-02	7.82E-02	7.52E-02
TCGA-A2-A25F-01A-11D-A167-09	4.51E-02	4.73E-02	4.29E-02	3.59E-02
TCGA-A2-A3XT-01A-11D-A22X-09	7.18E-02	7.34E-02	5.63E-02	5.84E-02
TCGA-A2-A3XV-01A-21D-A23C-09	4.90E-02	3.27E-02	4.41E-02	4.23E-02
TCGA-A2-A3XZ-01A-42D-A23C-09	2.39E-02	4.02E-02	2.73E-02	2.39E-02
TCGA-A2-A3Y0-01A-11D-A23C-09	2.17E-01	1.81E-01	2.21E-01	2.12E-01
TCGA-A2-A4S1-01A-21D-A25Q-09	1.16E-01	9.26E-02	1.08E-01	1.16E-01
TCGA-A2-A4S3-01A-21D-A25Q-09	3.78E-02	2.39E-02	4.94E-02	3.86E-02
TCGA-A7-A0CE-01A-11W-A019-09	4.69E-02	4.29E-02	4.51E-02	3.68E-02
TCGA-A7-A0CG-01A-11W-A019-09	5.01E-02	3.49E-02	3.59E-02	4.35E-02
TCGA-A7-A0CJ-01A-21W-A019-09	4.69E-02	4.23E-02	3.86E-02	4.46E-02
TCGA-A7-A0DA-01A-31D-A10Y-09	1.01E-01	9.03E-02	1.44E-01	1.42E-01
TCGA-A7-A13D-01A-13D-A272-09	9.48E-02	1.14E-01	9.05E-02	8.20E-02
TCGA-A7-A13F-01A-11D-A12Q-09	5.01E-02	3.49E-02	3.59E-02	4.35E-02
TCGA-A7-A13G-01A-11D-A13L-09	5.01E-02	3.49E-02	3.59E-02	4.35E-02
TCGA-A7-A26E-01A-11D-A272-09	0.00E+00	2.19E-02	1.97E-02	2.88E-02
TCGA-A7-A26F-01A-21D-A167-09	8.08E-02	5.32E-02	7.15E-02	8.21E-02
TCGA-A7-A26G-01A-21D-A167-09	0.00E+00	2.19E-02	1.97E-02	2.88E-02
TCGA-A7-A26I-01A-11D-A167-09	4.51E-02	3.49E-02	4.46E-02	4.65E-02
TCGA-A7-A3RF-01A-11D-A228-09	4.46E-02	3.94E-02	4.23E-02	4.65E-02
TCGA-A7-A4SC-01A-12D-A25Q-09	4.69E-02	4.09E-02	4.02E-02	4.46E-02
TCGA-A7-A4SD-01A-11D-A25Q-09	1.31E-01	9.14E-02	1.04E-01	1.15E-01
TCGA-A7-A4SE-01A-11D-A25Q-09	2.06E-01	2.12E-01	2.05E-01	1.89E-01
TCGA-A7-A56D-01A-11D-A27P-09	2.39E-02	4.02E-02	2.73E-02	2.39E-02
TCGA-A7-A5ZW-01A-12D-A29N-09	9.43E-02	1.17E-01	1.03E-01	9.15E-02
TCGA-A7-A5ZX-01A-12D-A29N-09	4.82E-02	3.59E-02	4.09E-02	4.51E-02
TCGA-A7-A6VW-01A-21D-A33E-09	1.13E-01	1.07E-01	1.03E-01	1.05E-01
TCGA-A7-A6VY-01A-12D-A33E-09	4.46E-02	3.94E-02	4.23E-02	4.65E-02
TCGA-A8-A06P-01A-11W-A019-09	4.23E-02	4.16E-02	4.41E-02	4.56E-02
TCGA-A8-A06Q-01A-11W-A050-09	1.52E-01	2.73E-01	2.49E-01	2.00E-01
TCGA-A8-A06R-01A-11D-A015-09	2.39E-02	4.02E-02	2.73E-02	2.39E-02
TCGA-A8-A06U-01A-11W-A019-09	1.08E-01	8.68E-02	9.80E-02	8.43E-02
TCGA-A8-A06X-01A-21W-A019-09	1.99E-01	1.42E-01	1.72E-01	1.93E-01
TCGA-A8-A06Y-01A-21W-A019-09	1.41E-02	3.27E-02	4.23E-02	2.88E-02
TCGA-A8-A06Z-01A-11W-A019-09	7.52E-02	7.67E-02	8.33E-02	8.25E-02
TCGA-A8-A075-01A-11D-A099-09	4.51E-02	3.02E-02	4.23E-02	4.90E-02
TCGA-A8-A076-01A-21W-A019-09	1.00E-01	6.97E-02	7.18E-02	8.70E-02
TCGA-A8-A079-01A-21W-A019-09	9.03E-02	6.03E-02	8.46E-02	9.80E-02
TCGA-A8-A07B-01A-11W-A019-09	4.61E-02	4.16E-02	4.51E-02	4.02E-02
TCGA-A8-A07G-01A-11W-A050-09	8.45E-02	6.18E-02	7.72E-02	7.84E-02
TCGA-A8-A07I-01A-11W-A019-09	4.51E-02	3.02E-02	4.23E-02	4.90E-02
TCGA-A8-A07J-01A-11W-A019-09	4.61E-02	3.78E-02	4.23E-02	4.61E-02
TCGA-A8-A07L-01A-11W-A019-09	7.97E-02	7.25E-02	8.07E-02	8.33E-02
TCGA-A8-A07O-01A-11W-A019-09	8.76E-02	7.97E-02	7.43E-02	7.85E-02
TCGA-A8-A07P-01A-11W-A019-09	9.00E-02	6.42E-02	7.56E-02	9.54E-02
TCGA-A8-A07U-01A-11W-A050-09	8.23E-02	5.07E-02	6.96E-02	8.65E-02
TCGA-A8-A07W-01A-11W-A019-09	1.03E-01	1.06E-01	9.25E-02	1.09E-01
