Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-2F-A9KO-01A-11D-A38G-08	297	135	1	35	20	0
TCGA-2F-A9KP-01A-11D-A38G-08	25	29	17	0	33	7
TCGA-2F-A9KQ-01A-11D-A38G-08	6	8	15	0	27	1
TCGA-2F-A9KR-01A-11D-A38G-08	63	74	22	9	9	12
TCGA-2F-A9KT-01A-11D-A38G-08	157	88	10	0	28	25
TCGA-2F-A9KW-01A-11D-A38G-08	0	16	0	50	25	6
TCGA-4Z-AA7M-01A-11D-A391-08	215	114	64	0	44	0
TCGA-4Z-AA7N-01A-11D-A391-08	1	7	0	2	6	0
TCGA-4Z-AA7O-01A-31D-A391-08	44	35	41	20	30	12
TCGA-4Z-AA7Q-01A-11D-A391-08	118	29	32	15	27	4
TCGA-4Z-AA7R-01A-11D-A391-08	147	98	9	22	15	25
TCGA-4Z-AA7S-01A-11D-A391-08	0	4	0	0	34	9
TCGA-4Z-AA7W-01A-11D-A391-08	288	122	34	15	8	0
TCGA-4Z-AA7Y-01A-11D-A391-08	111	90	14	24	4	6
TCGA-4Z-AA80-01A-11D-A391-08	137	83	33	12	49	51
TCGA-4Z-AA81-01A-11D-A391-08	64	66	0	19	18	16
TCGA-4Z-AA82-01A-11D-A391-08	12	28	1	31	30	0
TCGA-4Z-AA83-01A-11D-A391-08	16	18	9	2	28	4
TCGA-4Z-AA84-01A-11D-A391-08	5	222	151	29	28	5
TCGA-4Z-AA86-01A-11D-A391-08	110	45	9	16	9	9
TCGA-4Z-AA87-01A-11D-A391-08	82	39	14	14	41	13
TCGA-4Z-AA89-01A-11D-A391-08	61	31	3	0	23	0
TCGA-5N-A9KI-01A-31D-A42E-08	27	49	12	34	21	14
TCGA-5N-A9KM-01A-11D-A42E-08	0	18	99	52	28	0
TCGA-BL-A0C8-01A-11D-A271-08	24	20	15	21	29	10
TCGA-BL-A13I-01A-11D-A271-08	35	10	39	12	12	0
TCGA-BL-A13J-01A-11D-A271-08	24	9	23	24	3	0
TCGA-BL-A3JM-01A-12D-A21A-08	42	36	41	18	28	4
TCGA-BL-A5ZZ-01A-31D-A30E-08	20	36	34	13	31	1
TCGA-BT-A0S7-01A-11D-A10S-08	0	0	20	7	6	5
TCGA-BT-A0YX-01A-11D-A10S-08	328	201	0	0	26	0
TCGA-BT-A20J-01A-11D-A14W-08	192	153	0	7	33	24
TCGA-BT-A20N-01A-11D-A14W-08	42	16	45	89	16	9
TCGA-BT-A20O-01A-21D-A14W-08	36	19	44	49	15	1
TCGA-BT-A20P-01A-11D-A14W-08	41	0	0	7	15	3
TCGA-BT-A20Q-01A-11D-A14W-08	26	23	6	0	14	7
TCGA-BT-A20R-01A-12D-A16O-08	105	57	0	0	27	19
TCGA-BT-A20T-01A-11D-A14W-08	96	92	20	0	17	9
TCGA-BT-A20U-01A-11D-A14W-08	40	25	0	3	12	6
TCGA-BT-A20V-01A-11D-A14W-08	18	11	9	3	31	13
TCGA-BT-A20W-01A-21D-A14W-08	16	3	0	21	17	8
TCGA-BT-A20X-01A-11D-A16O-08	9	2	28	9	6	9
TCGA-BT-A2LA-01A-11D-A18F-08	30	32	0	0	88	0
TCGA-BT-A2LB-01A-11D-A18F-08	34	218	233	0	24	13
