Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-2F-A9KO-01A-11D-A38G-08	287	129	212	0	0	0	6
TCGA-2F-A9KP-01A-11D-A38G-08	35	35	4	22	36	0	7
TCGA-2F-A9KQ-01A-11D-A38G-08	0	8	17	17	26	0	4
TCGA-2F-A9KR-01A-11D-A38G-08	91	96	0	12	15	27	16
TCGA-2F-A9KT-01A-11D-A38G-08	213	113	0	9	24	19	16
TCGA-2F-A9KW-01A-11D-A38G-08	9	22	15	0	24	43	13
TCGA-4Z-AA7M-01A-11D-A391-08	302	152	0	55	49	25	5
TCGA-4Z-AA7N-01A-11D-A391-08	1	6	12	0	4	0	0
TCGA-4Z-AA7O-01A-31D-A391-08	63	43	16	28	38	22	16
TCGA-4Z-AA7Q-01A-11D-A391-08	162	25	0	23	26	33	6
TCGA-4Z-AA7R-01A-11D-A391-08	193	127	0	15	18	34	18
TCGA-4Z-AA7S-01A-11D-A391-08	0	4	0	0	42	3	10
TCGA-4Z-AA7W-01A-11D-A391-08	383	132	77	21	0	14	0
TCGA-4Z-AA7Y-01A-11D-A391-08	107	110	100	0	3	1	2
TCGA-4Z-AA80-01A-11D-A391-08	182	106	0	28	43	43	56
TCGA-4Z-AA81-01A-11D-A391-08	61	74	72	0	16	0	15
TCGA-4Z-AA82-01A-11D-A391-08	23	27	0	3	30	38	0
TCGA-4Z-AA83-01A-11D-A391-08	23	23	0	11	32	11	1
TCGA-4Z-AA84-01A-11D-A391-08	6	328	42	157	33	38	13
TCGA-4Z-AA86-01A-11D-A391-08	106	54	76	0	4	0	12
TCGA-4Z-AA87-01A-11D-A391-08	78	50	81	0	41	4	11
TCGA-4Z-AA89-01A-11D-A391-08	78	38	1	13	19	0	0
TCGA-5N-A9KI-01A-31D-A42E-08	32	59	14	20	24	31	10
TCGA-5N-A9KM-01A-11D-A42E-08	7	24	0	110	23	79	0
TCGA-BL-A0C8-01A-11D-A271-08	17	10	78	0	37	4	14
TCGA-BL-A13I-01A-11D-A271-08	26	7	47	31	13	2	5
TCGA-BL-A13J-01A-11D-A271-08	27	9	21	14	1	42	0
TCGA-BL-A3JM-01A-12D-A21A-08	38	46	53	32	31	23	4
TCGA-BL-A5ZZ-01A-31D-A30E-08	16	42	42	34	41	11	0
TCGA-BT-A0S7-01A-11D-A10S-08	0	0	0	19	6	13	5
TCGA-BT-A0YX-01A-11D-A10S-08	473	245	0	0	26	0	0
TCGA-BT-A20J-01A-11D-A14W-08	191	156	125	0	32	0	29
TCGA-BT-A20N-01A-11D-A14W-08	43	13	86	23	21	88	6
TCGA-BT-A20O-01A-21D-A14W-08	31	28	53	34	15	41	0
TCGA-BT-A20P-01A-11D-A14W-08	58	0	0	0	18	10	9
TCGA-BT-A20Q-01A-11D-A14W-08	41	24	0	10	15	0	15
TCGA-BT-A20R-01A-12D-A16O-08	139	87	0	0	34	0	28
TCGA-BT-A20T-01A-11D-A14W-08	112	115	41	14	12	6	10
TCGA-BT-A20U-01A-11D-A14W-08	50	24	10	0	9	4	6
TCGA-BT-A20V-01A-11D-A14W-08	20	14	0	14	39	10	14
TCGA-BT-A20W-01A-21D-A14W-08	20	5	1	0	22	22	7
TCGA-BT-A20X-01A-11D-A16O-08	7	0	10	22	5	23	11
TCGA-BT-A2LA-01A-11D-A18F-08	47	42	0	0	106	0	0
TCGA-BT-A2LB-01A-11D-A18F-08	62	323	0	267	33	26	26
TCGA-BT-A2LD-01A-12D-A20D-08	9	17	0	16	50	16	6
TCGA-BT-A3PH-01A-11D-A21Z-08	320	97	100	0	16	0	0
TCGA-BT-A3PJ-01A-21D-A21Z-08	159	232	0	119	20	46	23
TCGA-BT-A3PK-01A-21D-A21Z-08	72	40	32	155	18	88	0
TCGA-BT-A42B-01A-32D-A23M-08	4	10	0	1	46	15	0
TCGA-BT-A42C-01A-11D-A23M-08	89	55	119	46	13	61	29
TCGA-BT-A42E-01A-11D-A23U-08	59	17	94	0	11	0	2
TCGA-BT-A42F-01A-11D-A23U-08	58	43	86	0	0	0	0
