Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-2F-A9KO-01A-11D-A38G-08	291	127	0	38	18	0
TCGA-2F-A9KP-01A-11D-A38G-08	25	28	20	0	29	6
TCGA-2F-A9KQ-01A-11D-A38G-08	6	8	16	0	24	1
TCGA-2F-A9KR-01A-11D-A38G-08	62	68	19	10	9	14
TCGA-2F-A9KT-01A-11D-A38G-08	155	77	3	5	28	28
TCGA-2F-A9KW-01A-11D-A38G-08	3	18	0	46	24	5
TCGA-4Z-AA7M-01A-11D-A391-08	213	101	56	13	40	0
TCGA-4Z-AA7N-01A-11D-A391-08	1	7	0	2	6	0
TCGA-4Z-AA7O-01A-31D-A391-08	42	36	35	24	27	11
TCGA-4Z-AA7Q-01A-11D-A391-08	114	25	20	30	24	4
TCGA-4Z-AA7R-01A-11D-A391-08	143	95	2	33	14	26
TCGA-4Z-AA7S-01A-11D-A391-08	0	3	0	0	35	7
TCGA-4Z-AA7W-01A-11D-A391-08	290	117	29	17	9	0
TCGA-4Z-AA7Y-01A-11D-A391-08	113	87	15	18	0	7
TCGA-4Z-AA80-01A-11D-A391-08	135	76	26	18	50	49
TCGA-4Z-AA81-01A-11D-A391-08	68	59	0	13	17	18
TCGA-4Z-AA82-01A-11D-A391-08	12	26	0	28	31	0
TCGA-4Z-AA83-01A-11D-A391-08	12	18	2	10	26	5
TCGA-4Z-AA84-01A-11D-A391-08	7	213	134	37	27	6
TCGA-4Z-AA86-01A-11D-A391-08	113	36	13	7	11	11
TCGA-4Z-AA87-01A-11D-A391-08	81	37	4	21	38	14
TCGA-4Z-AA89-01A-11D-A391-08	61	30	4	0	23	0
TCGA-5N-A9KI-01A-31D-A42E-08	30	48	16	29	19	13
TCGA-5N-A9KM-01A-11D-A42E-08	0	20	86	58	28	0
TCGA-BL-A0C8-01A-11D-A271-08	27	20	19	11	29	8
TCGA-BL-A13I-01A-11D-A271-08	36	10	33	13	13	0
TCGA-BL-A13J-01A-11D-A271-08	22	9	17	31	2	0
TCGA-BL-A3JM-01A-12D-A21A-08	40	35	37	25	26	1
TCGA-BL-A5ZZ-01A-31D-A30E-08	20	36	28	16	30	0
TCGA-BT-A0S7-01A-11D-A10S-08	0	0	17	10	6	3
TCGA-BT-A0YX-01A-11D-A10S-08	314	191	0	0	23	0
TCGA-BT-A20J-01A-11D-A14W-08	192	149	2	0	31	24
TCGA-BT-A20N-01A-11D-A14W-08	44	18	38	92	13	8
TCGA-BT-A20O-01A-21D-A14W-08	37	20	37	48	16	1
TCGA-BT-A20P-01A-11D-A14W-08	38	0	0	8	15	3
TCGA-BT-A20Q-01A-11D-A14W-08	25	22	6	0	14	8
TCGA-BT-A20R-01A-12D-A16O-08	104	50	0	0	27	19
TCGA-BT-A20T-01A-11D-A14W-08	92	87	20	0	18	10
TCGA-BT-A20U-01A-11D-A14W-08	41	24	0	4	9	7
TCGA-BT-A20V-01A-11D-A14W-08	18	11	8	5	26	13
TCGA-BT-A20W-01A-21D-A14W-08	17	3	0	20	17	8
TCGA-BT-A20X-01A-11D-A16O-08	9	0	26	13	4	9
TCGA-BT-A2LA-01A-11D-A18F-08	30	32	0	0	85	0
TCGA-BT-A2LB-01A-11D-A18F-08	36	210	219	0	25	15
TCGA-BT-A2LD-01A-12D-A20D-08	6	15	13	4	47	6
TCGA-BT-A3PH-01A-11D-A21Z-08	262	90	8	0	26	0
TCGA-BT-A3PJ-01A-21D-A21Z-08	122	170	103	3	22	16
TCGA-BT-A3PK-01A-21D-A21Z-08	63	35	124	75	13	0
TCGA-BT-A42B-01A-32D-A23M-08	2	10	0	4	41	2
TCGA-BT-A42C-01A-11D-A23M-08	81	63	59	75	22	10
TCGA-BT-A42E-01A-11D-A23U-08	77	23	21	0	20	0
TCGA-BT-A42F-01A-11D-A23U-08	81	46	4	10	2	0
TCGA-C4-A0EZ-01A-21D-A10S-08	24	32	28	29	43	17
TCGA-C4-A0F0-01A-12D-A10S-08	6	6	28	17	24	0
TCGA-C4-A0F1-01A-11D-A10S-08	43	42	0	16	26	17
TCGA-C4-A0F6-01A-11D-A10S-08	81	26	3	10	39	14
TCGA-C4-A0F7-01A-11D-A10S-08	0	4	0	14	34	11
TCGA-CF-A1HR-01A-11D-A13W-08	111	66	27	0	15	8
TCGA-CF-A1HS-01A-11D-A13W-08	136	0	32	18	12	7
TCGA-CF-A27C-01A-11D-A16O-08	77	33	5	8	15	0
TCGA-CF-A3MF-01A-12D-A21A-08	0	2	1	2	14	0
TCGA-CF-A3MG-01A-11D-A20D-08	55	24	8	11	20	5
TCGA-CF-A3MH-01A-11D-A20D-08	9	3	2	0	19	1
TCGA-CF-A3MI-01A-11D-A20D-08	18	11	8	0	16	5
TCGA-CF-A47S-01A-11D-A23U-08	0	5	0	0	12	2
TCGA-CF-A47T-01A-11D-A23U-08	1	5	4	0	7	5
TCGA-CF-A47V-01A-11D-A23U-08	24	6	9	38	6	2
TCGA-CF-A47W-01A-11D-A23U-08	0	4	5	6	9	2
TCGA-CF-A47X-01A-31D-A23U-08	131	85	22	2	22	14
TCGA-CF-A47Y-01A-11D-A23U-08	16	3	16	12	8	0
TCGA-CF-A5U8-01A-11D-A289-08	0	1	16	18	12	5
TCGA-CF-A5UA-01A-11D-A289-08	15	1	0	9	36	10
TCGA-CF-A7I0-01A-22D-A34U-08	9	13	5	9	3	3
TCGA-CF-A8HX-01A-11D-A364-08	13	19	0	9	7	6
TCGA-CF-A8HY-01A-11D-A364-08	13	0	0	38	12	5
TCGA-CF-A9FF-01A-11D-A38G-08	52	50	12	0	7	4
TCGA-CF-A9FH-01A-11D-A38G-08	1	1	7	1	17	8
TCGA-CF-A9FL-01A-11D-A38G-08	0	2	6	18	17	4
TCGA-CF-A9FM-01A-11D-A38G-08	0	0	8	7	7	0
TCGA-CU-A0YN-01A-21D-A10S-08	1	11	50	44	35	3
TCGA-CU-A0YO-01A-11D-A10S-08	21	14	12	0	19	7
TCGA-CU-A0YR-01A-12D-A10S-08	5	10	71	12	16	0
TCGA-CU-A3KJ-01A-11D-A21A-08	95	29	27	7	36	5
TCGA-CU-A3QU-01A-11D-A22Z-08	24	19	16	0	12	13
TCGA-CU-A3YL-01A-11D-A22Z-08	106	55	6	0	23	7
TCGA-CU-A5W6-01A-11D-A289-08	60	51	8	26	12	4
TCGA-CU-A72E-01A-12D-A339-08	28	16	9	8	12	3
TCGA-DK-A1A3-01A-11D-A13W-08	141	233	83	27	12	20
TCGA-DK-A1A5-01A-11D-A13W-08	108	77	1	0	18	15
TCGA-DK-A1A6-01A-11D-A13W-08	95	18	28	50	1	0
TCGA-DK-A1A7-01A-11D-A13W-08	11	21	99	21	29	1
TCGA-DK-A1AA-01A-11D-A13W-08	5	5	20	29	8	5
TCGA-DK-A1AB-01A-11D-A13W-08	91	79	0	0	9	0
TCGA-DK-A1AC-01A-11D-A13W-08	278	774	24	50	25	26
TCGA-DK-A1AD-01A-11D-A13W-08	53	41	55	17	16	15
TCGA-DK-A1AE-01A-11D-A13W-08	37	26	6	6	15	0
TCGA-DK-A1AF-01A-11D-A13W-08	36	25	1	8	0	4
TCGA-DK-A1AG-01A-11D-A13W-08	40	39	9	0	16	4
TCGA-DK-A2HX-01A-12D-A18F-08	11	35	3	19	12	9
TCGA-DK-A2I1-01A-11D-A17V-08	100	33	0	3	11	17
TCGA-DK-A2I2-01A-11D-A17V-08	17	16	31	7	9	0
TCGA-DK-A2I4-01A-11D-A21A-08	299	379	0	0	16	37
TCGA-DK-A2I6-01A-12D-A18F-08	17	78	103	31	9	10
TCGA-DK-A3IK-01A-32D-A21A-08	57	18	0	64	25	3
TCGA-DK-A3IL-01A-11D-A20D-08	1	5	17	92	22	16
TCGA-DK-A3IM-01A-11D-A20D-08	0	2	16	22	22	2
TCGA-DK-A3IN-01A-11D-A20D-08	171	97	15	22	23	2
TCGA-DK-A3IQ-01A-31D-A20D-08	48	62	6	16	19	5
TCGA-DK-A3IS-01A-21D-A21A-08	138	109	0	18	22	7
TCGA-DK-A3IT-01A-31D-A20D-08	219	62	16	36	7	4
TCGA-DK-A3IU-01A-11D-A20D-08	142	144	35	36	10	0
TCGA-DK-A3IV-01A-22D-A21A-08	14	16	6	4	13	9
TCGA-DK-A3WW-01A-22D-A23M-08	499	439	1	24	0	55
TCGA-DK-A3WX-01A-22D-A22Z-08	3	7	7	3	15	0
TCGA-DK-A3WY-01A-11D-A22Z-08	4	4	0	0	1	0
TCGA-DK-A3X1-01A-12D-A22Z-08	328	264	0	44	4	92
TCGA-DK-A3X2-01A-11D-A22Z-08	10	19	6	22	33	7
TCGA-DK-A6AV-01A-12D-A30E-08	22	24	9	24	18	4
TCGA-DK-A6AW-01A-11D-A30E-08	0	3	22	0	0	3576
TCGA-DK-A6B0-01A-11D-A31L-08	1	1	8	4	8	0
TCGA-DK-A6B1-01A-12D-A30E-08	19	32	27	5	30	5
TCGA-DK-A6B2-01A-11D-A30E-08	29	33	27	41	39	5
TCGA-DK-A6B5-01A-11D-A31L-08	35	22	14	20	4	5
TCGA-DK-A6B6-01A-11D-A30E-08	234	571	0	0	0	0
TCGA-DK-AA6L-01A-11D-A391-08	178	94	17	32	10	6
TCGA-DK-AA6M-01A-11D-A391-08	5	9	0	10	17	13
TCGA-DK-AA6P-01A-11D-A391-08	44	48	23	14	9	5
TCGA-DK-AA6Q-01A-11D-A391-08	30	25	14	20	12	4
TCGA-DK-AA6R-01A-11D-A42E-08	32	41	0	183	13	11
TCGA-DK-AA6S-01A-21D-A391-08	255	154	0	53	11	0
TCGA-DK-AA6T-01A-11D-A391-08	12	0	18	3	18	13
TCGA-DK-AA6U-01A-11D-A391-08	77	73	6	162	18	26
TCGA-DK-AA6W-01A-12D-A391-08	102	60	0	12	50	0
TCGA-DK-AA6X-01A-12D-A42E-08	46	19	13	0	8	9
TCGA-DK-AA71-01A-31D-A391-08	315	270	0	0	14	0
TCGA-DK-AA74-01A-11D-A391-08	91	36	16	4	13	7
TCGA-DK-AA75-01A-11D-A391-08	82	200	57	16	29	28
TCGA-DK-AA76-01A-11D-A391-08	60	41	18	55	13	21
TCGA-DK-AA77-01A-11D-A391-08	16	64	18	203	40	0
TCGA-E5-A2PC-01A-11D-A202-08	16	26	58	82	5	7
TCGA-E5-A4TZ-01A-11D-A31L-08	202	84	3	20	90	6
TCGA-E5-A4U1-01A-11D-A31L-08	249	143	28	51	19	8
TCGA-E7-A3X6-01A-12D-A22Z-08	37	18	5	1	11	0
TCGA-E7-A3Y1-01A-11D-A22Z-08	5	10	43	33	27	4
TCGA-E7-A4IJ-01A-31D-A26M-08	108	57	23	86	8	20
TCGA-E7-A4XJ-01A-11D-A26M-08	0	3	0	4	32	2
TCGA-E7-A519-01A-11D-A26M-08	5	11	32	0	11	0
TCGA-E7-A541-01A-11D-A26M-08	124	97	126	22	19	0
TCGA-E7-A5KE-01A-11D-A289-08	21	49	25	25	52	2
TCGA-E7-A5KF-01A-11D-A289-08	67	71	8	24	0	3
TCGA-E7-A677-01A-11D-A30E-08	10	25	67	47	33	10
TCGA-E7-A678-01A-11D-A30E-08	3	2	26	3	18	2
TCGA-E7-A6MD-01A-41D-A34U-08	196	126	12	10	28	20
TCGA-E7-A6ME-01A-22D-A32B-08	7	0	46	43	14	0
TCGA-E7-A6MF-01A-12D-A32B-08	17	18	0	0	1	2
TCGA-E7-A7DU-01A-11D-A32B-08	105	105	0	9	18	1
TCGA-E7-A7DV-01A-11D-A339-08	169	36	15	0	15	15
TCGA-E7-A7PW-01A-11D-A34U-08	20	15	3	14	7	11
TCGA-E7-A7XN-01A-11D-A34U-08	546	249	11	0	0	0
TCGA-E7-A85H-01A-11D-A34U-08	16	38	187	62	26	20
TCGA-E7-A8O7-01A-11D-A364-08	4	3	1	7	12	1
