	Hugo_Symbol
0	TOPAZ1
1	RBP3
2	TCHH
3	ACCSL
4	MYLK2
5	ABRA
6	KIR3DL2
7	KRT25
8	KRT28
9	SPATA31D1
10	PRSS38
11	ADCY8
12	AKAP17A
13	AOC2
14	ATP4A
15	BARHL2
16	BRS3
17	CTCFL
18	CYP11B1
19	CYP11B2
20	DDX43
21	FLG2
22	GPR149
23	KIR3DL1
24	KRT74
25	KRT84
26	KRT9
27	NEFL
28	NPAS4
29	PAGE1
30	PKDREJ
31	PM20D1
32	PSG1
33	SLC39A5
34	SSX7
35	UGT2B10
36	NMUR1
37	ARMC12
38	ASB17
39	BIRC7
40	BPIFB3
41	CBLN4
42	CLEC18C
43	CLRN2
44	CLRN3
45	CST8
46	CYP1A2
47	EPX
48	FAM205A
49	FAM47C
50	GHSR
51	GRXCR1
52	HAO1
53	KCNH7
54	KCNK18
55	KIAA1210
56	KRT27
57	KRT3
58	KRT82
59	KRT85
60	LIPN
61	LTK
62	LUZP4
63	MAGEC1
64	MEFV
65	MEP1A
66	METTL11B
67	MOGAT3
68	OTOP2
69	PAGE3
70	PANX3
71	PRAMEF1
72	PRAMEF11
73	PRAMEF4
74	PROC
75	PRODH2
76	PRRT4
77	PSG2
78	PSG7
79	RPTN
80	SLC10A6
81	SLC1A7
82	SLC25A41
83	SPANXN2
84	SPATA31A6
85	SPTA1
86	TAS1R2
87	TINAG
88	SSX1
89	A4GNT
90	AADAC
91	AADACL4
92	ACR
93	ACRV1
94	ADGRD2
95	AHSG
96	ALDH8A1
97	ALOX12B
98	ALS2CR11
99	AMHR2
100	AMPD1
101	AMY2A
102	ANKRD20A2
103	APOL5
104	ASZ1
105	ATP4B
106	AWAT1
107	BEST2
108	BMP15
109	BTBD18
110	BTNL2
111	C10orf99
112	C9orf131
113	CCDC105
114	CCDC108
115	CCDC67
116	CD1B
117	CDH16
118	CDHR4
119	CLCA4
120	CLEC4F
121	CPNE6
122	CREB3L3
123	CRYBA1
124	CXorf58
125	CYP17A1
126	CYP1A1
127	DBX2
128	DHDH
129	DLX6
130	DMRTC2
131	DNASE2B
132	DUSP26
133	DUSP27
134	FAM187B
135	FAM71B
136	FBXO24
137	FCAR
138	FOXA2
139	FSHR
140	GAS2L2
141	GIP
142	GLRA2
143	GPR142
144	GUCA1C
145	HRH3
146	HRNR
147	HS3ST4
148	IFNG
149	IL22
150	IL22RA1
151	IL9R
152	INSL5
153	IQCF1
154	IZUMO1
155	KIR3DL3
156	KRT24
157	KRT31
158	KRT32
159	KRT72
160	KRT73
161	KRT78
162	LCN1
163	LCT
164	LDHC
165	LMX1A
166	LRIT1
167	LRIT2
168	LRRC52
169	LRRC66
170	LYZL2
171	MAGEA11
172	MAGEC3
173	MBOAT4
174	MORC1
175	MPO
176	MYH1
177	MYH6
178	NCR2
179	NEFM
180	NLRP12
181	NMS
182	NOTO
183	NRG3
184	OTOF
185	PDX1
186	PKD1L3
187	PNLIPRP1
188	PRAMEF20
189	PRDM14
190	PRKAG3
191	PROZ
192	PSG4
193	PTGDR
194	RESP18
195	RFPL1
196	RIMBP3
197	SEPT12
198	SERPINA7
199	SHCBP1L
200	SHD
201	SLC22A9
202	SLC36A2
203	SLC36A3
204	SLC5A4
205	SLC5A5
206	SLC7A3
207	SLCO4C1
208	SMIM24
209	SPACA1
210	SPACA7
211	SPINK2
212	STAR
213	T
214	TAAR2
215	TAS1R1
216	TBC1D3F
217	TCHHL1
218	TFAP2D
219	TM6SF2
220	TMC2
221	TRIM51
222	TRIML1
223	TRPV5
224	TSGA10IP
225	TSKS
226	TULP2
227	USH2A
228	WFDC5
229	WFIKKN2
230	XKR5
231	XKRX
232	ZNF157
233	ZP1
