Samples	SBS96A	SBS96B
TCGA-3C-AAAU-01A-11D-A41F-09	39	5
TCGA-3C-AALI-01A-11D-A41F-09	81	655
TCGA-3C-AALJ-01A-31D-A41F-09	43	6
TCGA-3C-AALK-01A-11D-A41F-09	49	11
TCGA-4H-AAAK-01A-12D-A41F-09	32	0
TCGA-5L-AAT0-01A-12D-A41F-09	39	203
TCGA-5L-AAT1-01A-12D-A41F-09	28	1769
TCGA-5T-A9QA-01A-11D-A41F-09	57	1
TCGA-A1-A0SD-01A-11D-A10Y-09	33	2
TCGA-A1-A0SE-01A-11D-A099-09	27	6
TCGA-A1-A0SF-01A-11D-A142-09	15	34
TCGA-A1-A0SG-01A-11D-A142-09	25	4
TCGA-A1-A0SH-01A-11D-A099-09	29	92
TCGA-A1-A0SI-01A-11D-A142-09	0	242
TCGA-A1-A0SJ-01A-11D-A099-09	24	4
TCGA-A1-A0SK-01A-12D-A099-09	73	5
TCGA-A1-A0SM-01A-11D-A099-09	37	1
TCGA-A1-A0SN-01A-11D-A142-09	53	24
TCGA-A1-A0SO-01A-22D-A099-09	294	55
TCGA-A1-A0SP-01A-11D-A099-09	55	2
TCGA-A1-A0SQ-01A-21D-A142-09	28	2
TCGA-A2-A04N-01A-11D-A10Y-09	37	8
TCGA-A2-A04P-01A-31D-A128-09	124	28
TCGA-A2-A04Q-01A-21W-A050-09	51	10
TCGA-A2-A04R-01A-41D-A117-09	77	11
TCGA-A2-A04T-01A-21W-A050-09	91	17
TCGA-A2-A04U-01A-11D-A10Y-09	57	2
TCGA-A2-A04V-01A-21W-A050-09	38	6
TCGA-A2-A04W-01A-31D-A10Y-09	36	130
TCGA-A2-A04X-01A-21W-A050-09	17	30
TCGA-A2-A04Y-01A-21W-A050-09	40	14
TCGA-A2-A0CK-01A-11D-A228-09	25	3
TCGA-A2-A0CL-01A-11D-A10Y-09	29	133
TCGA-A2-A0CM-01A-31W-A050-09	31	47
TCGA-A2-A0CP-01A-11W-A050-09	135	9
TCGA-A2-A0CQ-01A-21W-A050-09	56	3
TCGA-A2-A0CR-01A-11D-A228-09	3	177
TCGA-A2-A0CS-01A-11D-A10Y-09	44	0
TCGA-A2-A0CT-01A-31W-A071-09	83	41
TCGA-A2-A0CU-01A-12W-A050-09	46	10
TCGA-A2-A0CV-01A-31D-A10Y-09	23	1
TCGA-A2-A0CW-01A-21D-A10Y-09	41	28
TCGA-A2-A0CX-01A-21W-A019-09	62	286
TCGA-A2-A0D0-01A-11W-A019-09	70	21
TCGA-A2-A0D1-01A-11W-A050-09	79	28
TCGA-A2-A0D2-01A-21W-A050-09	73	25
TCGA-A2-A0D3-01A-11D-A10Y-09	27	0
TCGA-A2-A0D4-01A-11W-A019-09	36	7
TCGA-A2-A0EM-01A-11W-A050-09	41	4
TCGA-A2-A0EN-01A-13D-A099-09	34	2
TCGA-A2-A0EO-01A-11W-A050-09	42	7
TCGA-A2-A0EP-01A-52D-A22X-09	9	8
TCGA-A2-A0EQ-01A-11W-A050-09	43	238
TCGA-A2-A0ER-01A-21W-A050-09	42	3
TCGA-A2-A0ES-01A-11D-A10Y-09	14	0
TCGA-A2-A0ET-01A-31D-A045-09	53	5
TCGA-A2-A0EU-01A-22W-A071-09	41	4
TCGA-A2-A0EV-01A-11W-A050-09	64	13
