Samples	SBS1	SBS2	SBS3	SBS5	SBS6	SBS10a	SBS10b	SBS13	SBS29
TCGA-3C-AAAU-01A-11D-A41F-09	2	0	0	28	14	0	0	0	0
TCGA-3C-AALI-01A-11D-A41F-09	39	247	0	0	0	0	108	342	0
TCGA-3C-AALJ-01A-31D-A41F-09	12	0	0	37	0	0	0	0	0
TCGA-3C-AALK-01A-11D-A41F-09	6	6	0	27	16	0	0	5	0
TCGA-4H-AAAK-01A-12D-A41F-09	8	0	0	19	0	0	5	0	0
TCGA-5L-AAT0-01A-12D-A41F-09	6	95	0	40	0	0	35	66	0
TCGA-5L-AAT1-01A-12D-A41F-09	42	735	0	82	0	0	203	735	0
TCGA-5T-A9QA-01A-11D-A41F-09	12	0	0	17	0	0	0	0	29
TCGA-A1-A0SD-01A-11D-A10Y-09	13	0	0	22	0	0	0	0	0
TCGA-A1-A0SE-01A-11D-A099-09	2	0	0	31	0	0	0	0	0
TCGA-A1-A0SF-01A-11D-A142-09	7	26	0	10	0	0	0	6	0
TCGA-A1-A0SG-01A-11D-A142-09	5	0	0	17	0	0	7	0	0
TCGA-A1-A0SH-01A-11D-A099-09	5	36	0	44	0	0	0	36	0
TCGA-A1-A0SI-01A-11D-A142-09	10	82	0	30	0	0	0	120	0
TCGA-A1-A0SJ-01A-11D-A099-09	4	5	0	6	13	0	0	0	0
TCGA-A1-A0SK-01A-12D-A099-09	19	0	59	0	0	0	0	0	0
TCGA-A1-A0SM-01A-11D-A099-09	5	0	0	27	0	0	6	0	0
TCGA-A1-A0SN-01A-11D-A142-09	10	4	0	38	0	0	9	16	0
TCGA-A1-A0SO-01A-22D-A099-09	27	0	219	34	0	0	0	0	69
TCGA-A1-A0SP-01A-11D-A099-09	3	0	19	15	20	0	0	0	0
TCGA-A1-A0SQ-01A-21D-A142-09	8	0	0	10	12	0	0	0	0
TCGA-A2-A04N-01A-11D-A10Y-09	5	0	0	29	0	0	11	0	0
TCGA-A2-A04P-01A-31D-A128-09	12	0	115	25	0	0	0	0	0
TCGA-A2-A04Q-01A-21W-A050-09	9	0	52	0	0	0	0	0	0
TCGA-A2-A04R-01A-41D-A117-09	13	0	75	0	0	0	0	0	0
TCGA-A2-A04T-01A-21W-A050-09	10	0	74	24	0	0	0	0	0
TCGA-A2-A04U-01A-11D-A10Y-09	18	0	39	2	0	0	0	0	0
TCGA-A2-A04V-01A-21W-A050-09	11	0	0	33	0	0	0	0	0
TCGA-A2-A04W-01A-31D-A10Y-09	12	40	0	41	0	0	0	73	0
TCGA-A2-A04X-01A-21W-A050-09	6	16	0	16	0	0	0	9	0
TCGA-A2-A04Y-01A-21W-A050-09	5	0	0	24	0	2	6	0	17
TCGA-A2-A0CK-01A-11D-A228-09	9	4	0	8	0	0	0	0	7
TCGA-A2-A0CL-01A-11D-A10Y-09	21	58	0	18	0	0	0	65	0
TCGA-A2-A0CM-01A-31W-A050-09	3	15	46	0	0	0	0	14	0
TCGA-A2-A0CP-01A-11W-A050-09	5	0	101	38	0	0	0	0	0
TCGA-A2-A0CQ-01A-21W-A050-09	3	0	27	13	16	0	0	0	0
TCGA-A2-A0CR-01A-11D-A228-09	11	73	0	22	0	0	0	74	0
TCGA-A2-A0CS-01A-11D-A10Y-09	13	0	0	31	0	0	0	0	0
TCGA-A2-A0CT-01A-31W-A071-09	28	25	0	57	0	0	0	14	0
TCGA-A2-A0CU-01A-12W-A050-09	2	0	29	9	16	0	0	0	0
TCGA-A2-A0CV-01A-31D-A10Y-09	4	0	0	9	11	0	0	0	0
TCGA-A2-A0CW-01A-21D-A10Y-09	11	15	39	0	0	0	0	4	0
TCGA-A2-A0CX-01A-21W-A019-09	17	136	0	56	0	0	38	101	0
TCGA-A2-A0D0-01A-11W-A019-09	10	0	0	67	0	0	0	14	0
TCGA-A2-A0D1-01A-11W-A050-09	15	13	60	19	0	0	0	0	0
TCGA-A2-A0D2-01A-21W-A050-09	5	0	55	29	0	0	0	9	0
TCGA-A2-A0D3-01A-11D-A10Y-09	14	0	0	13	0	0	0	0	0
TCGA-A2-A0D4-01A-11W-A019-09	3	0	0	31	9	0	0	0	0
TCGA-A2-A0EM-01A-11W-A050-09	0	0	30	0	15	0	0	0	0
TCGA-A2-A0EN-01A-13D-A099-09	11	0	0	25	0	0	0	0	0
TCGA-A2-A0EO-01A-11W-A050-09	5	0	21	15	8	0	0	0	0
TCGA-A2-A0EP-01A-52D-A22X-09	2	2	0	8	0	0	0	5	0
TCGA-A2-A0EQ-01A-11W-A050-09	18	60	0	77	0	0	0	126	0
TCGA-A2-A0ER-01A-21W-A050-09	10	0	22	13	0	0	0	0	0
TCGA-A2-A0ES-01A-11D-A10Y-09	0	0	0	10	4	0	0	0	0
TCGA-A2-A0ET-01A-31D-A045-09	10	0	0	21	18	0	9	0	0
TCGA-A2-A0EU-01A-22W-A071-09	22	0	0	23	0	0	0	0	0
TCGA-A2-A0EV-01A-11W-A050-09	9	0	0	50	0	0	18	0	0
TCGA-A2-A0EW-01A-21D-A10Y-09	5	0	0	15	0	0	0	0	0
TCGA-A2-A0EX-01A-21W-A050-09	7	4	24	0	0	0	0	0	0
TCGA-A2-A0EY-01A-11W-A050-09	30	112	0	40	0	0	43	65	0
TCGA-A2-A0ST-01A-12D-A099-09	5	3	0	14	0	0	0	0	0
