	A	B	Mean_A	Mean_B	H-statistic	P-value	Decision
0	SBS1	SBS2	0.7436182019977803	1.0277469478357382	22.316719416327693	2.3118498584906873e-06	Rank medians are different
1	SBS1	SBS5	0.7436182019977803	2.5338512763596004	169.7721032408792	8.297391913385979e-39	Rank medians are different
2	SBS1	SBS10b	0.7436182019977803	0.6958934517203108	69.3384051170452	8.293877127172371e-17	Rank medians are different
3	SBS1	SBS13	0.7436182019977803	1.0621531631520533	37.098159717887285	1.1232968414529076e-09	Rank medians are different
4	SBS1	SBS15	0.7436182019977803	0.5982241953385128	58.747051308120156	1.7930205603949325e-14	Rank medians are different
5	SBS1	SBS35	0.7436182019977803	0.34295227524972255	117.41962967733457	2.3232613328538583e-27	Rank medians are different
6	SBS2	SBS5	1.0277469478357382	2.5338512763596004	258.95568494148506	2.8983685864383985e-58	Rank medians are different
7	SBS2	SBS10b	1.0277469478357382	0.6958934517203108	12.96565688686486	0.00031725712686969144	Rank medians are different
8	SBS2	SBS13	1.0277469478357382	1.0621531631520533	1.7692407741886718	0.1834760671221808	Rank medians are similar
9	SBS2	SBS15	1.0277469478357382	0.5982241953385128	8.446626828486027	0.003657211374997176	Rank medians are different
10	SBS2	SBS35	1.0277469478357382	0.34295227524972255	34.93196433519972	3.414294256361388e-09	Rank medians are different
11	SBS5	SBS10b	2.5338512763596004	0.6958934517203108	368.69382985303236	3.602377100963939e-82	Rank medians are different
12	SBS5	SBS13	2.5338512763596004	1.0621531631520533	291.8065657068469	2.0087511641480374e-65	Rank medians are different
13	SBS5	SBS15	2.5338512763596004	0.5982241953385128	349.10688463049394	6.631760434588156e-78	Rank medians are different
14	SBS5	SBS35	2.5338512763596004	0.34295227524972255	452.9249568386625	1.6655917828655104e-100	Rank medians are different
15	SBS10b	SBS13	0.6958934517203108	1.0621531631520533	5.190663508657449	0.022708544786849125	Rank medians are different
16	SBS10b	SBS15	0.6958934517203108	0.5982241953385128	0.5092991074612828	0.4754424245943444	Rank medians are similar
17	SBS10b	SBS35	0.6958934517203108	0.34295227524972255	5.306622994858397	0.021244497671101502	Rank medians are different
18	SBS13	SBS15	1.0621531631520533	0.5982241953385128	2.4847010689423574	0.11495818837859269	Rank medians are similar
19	SBS13	SBS35	1.0621531631520533	0.34295227524972255	20.669080305434516	5.459045439321866e-06	Rank medians are different
20	SBS15	SBS35	0.5982241953385128	0.34295227524972255	9.134466411206244	0.0025083860584459708	Rank medians are different
