Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-2F-A9KO-01A-11D-A38G-08	246	122	115	0	0	0	5
TCGA-2F-A9KP-01A-11D-A38G-08	25	29	0	20	0	6	31
TCGA-2F-A9KQ-01A-11D-A38G-08	0	6	18	12	0	1	20
TCGA-2F-A9KR-01A-11D-A38G-08	64	74	0	16	16	11	8
TCGA-2F-A9KT-01A-11D-A38G-08	159	89	0	3	11	23	23
TCGA-2F-A9KW-01A-11D-A38G-08	0	15	20	0	35	6	21
TCGA-4Z-AA7M-01A-11D-A391-08	214	115	0	51	20	0	37
TCGA-4Z-AA7N-01A-11D-A391-08	0	6	5	0	0	0	5
TCGA-4Z-AA7O-01A-31D-A391-08	45	36	4	34	25	12	26
TCGA-4Z-AA7Q-01A-11D-A391-08	120	31	0	20	28	3	23
TCGA-4Z-AA7R-01A-11D-A391-08	149	99	0	2	30	23	13
TCGA-4Z-AA7S-01A-11D-A391-08	0	4	0	0	2	9	32
TCGA-4Z-AA7W-01A-11D-A391-08	250	115	102	0	0	0	0
TCGA-4Z-AA7Y-01A-11D-A391-08	107	89	25	6	15	5	2
TCGA-4Z-AA80-01A-11D-A391-08	138	84	0	22	30	48	43
TCGA-4Z-AA81-01A-11D-A391-08	38	55	67	0	0	15	8
TCGA-4Z-AA82-01A-11D-A391-08	16	28	0	1	31	0	26
TCGA-4Z-AA83-01A-11D-A391-08	17	17	0	6	11	4	22
TCGA-4Z-AA84-01A-11D-A391-08	0	211	39	128	35	5	22
TCGA-4Z-AA86-01A-11D-A391-08	74	35	80	0	0	9	0
TCGA-4Z-AA87-01A-11D-A391-08	78	38	13	9	19	12	34
TCGA-4Z-AA89-01A-11D-A391-08	48	28	26	0	0	0	16
TCGA-5N-A9KI-01A-31D-A42E-08	25	46	22	9	24	14	17
TCGA-5N-A9KM-01A-11D-A42E-08	0	18	15	81	61	0	22
TCGA-BL-A0C8-01A-11D-A271-08	0	12	76	1	0	10	20
TCGA-BL-A13I-01A-11D-A271-08	16	5	56	24	0	0	7
TCGA-BL-A13J-01A-11D-A271-08	27	10	0	16	28	0	2
TCGA-BL-A3JM-01A-12D-A21A-08	35	34	23	31	20	3	23
TCGA-BL-A5ZZ-01A-31D-A30E-08	22	36	0	30	20	1	26
TCGA-BT-A0S7-01A-11D-A10S-08	0	0	0	15	13	5	5
TCGA-BT-A0YX-01A-11D-A10S-08	314	197	24	0	0	0	20
TCGA-BT-A20J-01A-11D-A14W-08	145	133	92	0	0	21	18
TCGA-BT-A20N-01A-11D-A14W-08	45	17	23	34	77	8	13
TCGA-BT-A20O-01A-21D-A14W-08	28	17	41	31	35	1	11
TCGA-BT-A20P-01A-11D-A14W-08	40	0	3	0	7	3	13
TCGA-BT-A20Q-01A-11D-A14W-08	26	23	0	7	0	7	13
TCGA-BT-A20R-01A-12D-A16O-08	107	58	0	0	0	18	25
TCGA-BT-A20T-01A-11D-A14W-08	85	88	30	9	0	9	13
