Samples	SBS96A	SBS96B	SBS96C
TCGA-2F-A9KO-01A-11D-A38G-08	413	61	0
TCGA-2F-A9KP-01A-11D-A38G-08	34	58	16
TCGA-2F-A9KQ-01A-11D-A38G-08	6	39	10
TCGA-2F-A9KR-01A-11D-A38G-08	82	86	14
TCGA-2F-A9KT-01A-11D-A38G-08	206	51	39
TCGA-2F-A9KW-01A-11D-A38G-08	8	69	19
TCGA-4Z-AA7M-01A-11D-A391-08	317	106	0
TCGA-4Z-AA7N-01A-11D-A391-08	2	14	0
TCGA-4Z-AA7O-01A-31D-A391-08	67	82	26
TCGA-4Z-AA7Q-01A-11D-A391-08	199	0	18
TCGA-4Z-AA7R-01A-11D-A391-08	195	86	32
TCGA-4Z-AA7S-01A-11D-A391-08	0	23	22
TCGA-4Z-AA7W-01A-11D-A391-08	418	44	0
TCGA-4Z-AA7Y-01A-11D-A391-08	150	87	3
TCGA-4Z-AA80-01A-11D-A391-08	193	81	80
TCGA-4Z-AA81-01A-11D-A391-08	88	66	21
TCGA-4Z-AA82-01A-11D-A391-08	19	70	8
TCGA-4Z-AA83-01A-11D-A391-08	15	45	13
TCGA-4Z-AA84-01A-11D-A391-08	38	386	0
TCGA-4Z-AA86-01A-11D-A391-08	172	1	18
TCGA-4Z-AA87-01A-11D-A391-08	118	46	31
TCGA-4Z-AA89-01A-11D-A391-08	84	33	1
TCGA-5N-A9KI-01A-31D-A42E-08	47	88	20
TCGA-5N-A9KM-01A-11D-A42E-08	0	174	18
TCGA-BL-A0C8-01A-11D-A271-08	41	50	23
TCGA-BL-A13I-01A-11D-A271-08	71	26	8
TCGA-BL-A13J-01A-11D-A271-08	52	29	0
TCGA-BL-A3JM-01A-12D-A21A-08	66	88	10
TCGA-BL-A5ZZ-01A-31D-A30E-08	30	92	8
TCGA-BT-A0S7-01A-11D-A10S-08	0	20	16
TCGA-BT-A0YX-01A-11D-A10S-08	394	134	0
TCGA-BT-A20J-01A-11D-A14W-08	235	138	25
TCGA-BT-A20N-01A-11D-A14W-08	106	74	33
TCGA-BT-A20O-01A-21D-A14W-08	77	69	13
TCGA-BT-A20P-01A-11D-A14W-08	54	0	10
TCGA-BT-A20Q-01A-11D-A14W-08	35	28	12
TCGA-BT-A20R-01A-12D-A16O-08	141	28	31
TCGA-BT-A20T-01A-11D-A14W-08	116	101	10
TCGA-BT-A20U-01A-11D-A14W-08	54	20	11
TCGA-BT-A20V-01A-11D-A14W-08	24	29	28
TCGA-BT-A20W-01A-21D-A14W-08	32	7	26
TCGA-BT-A20X-01A-11D-A16O-08	21	10	30
TCGA-BT-A2LA-01A-11D-A18F-08	33	94	20
TCGA-BT-A2LB-01A-11D-A18F-08	70	423	12
TCGA-BT-A2LD-01A-12D-A20D-08	3	63	25
TCGA-BT-A3PH-01A-11D-A21Z-08	374	12	0
TCGA-BT-A3PJ-01A-21D-A21Z-08	168	253	15
TCGA-BT-A3PK-01A-21D-A21Z-08	143	154	13
TCGA-BT-A42B-01A-32D-A23M-08	0	44	15
TCGA-BT-A42C-01A-11D-A23M-08	143	143	24
TCGA-BT-A42E-01A-11D-A23U-08	128	12	1
TCGA-BT-A42F-01A-11D-A23U-08	109	34	0
TCGA-C4-A0EZ-01A-21D-A10S-08	37	96	40
TCGA-C4-A0F0-01A-12D-A10S-08	7	65	9
TCGA-C4-A0F1-01A-11D-A10S-08	60	59	25
TCGA-C4-A0F6-01A-11D-A10S-08	122	16	35
TCGA-C4-A0F7-01A-11D-A10S-08	0	32	31
TCGA-CF-A1HR-01A-11D-A13W-08	151	64	12
TCGA-CF-A1HS-01A-11D-A13W-08	194	0	11
TCGA-CF-A27C-01A-11D-A16O-08	115	22	1
TCGA-CF-A3MF-01A-12D-A21A-08	0	17	2
TCGA-CF-A3MG-01A-11D-A20D-08	84	25	14
TCGA-CF-A3MH-01A-11D-A20D-08	12	12	10
TCGA-CF-A3MI-01A-11D-A20D-08	23	23	12
TCGA-CF-A47S-01A-11D-A23U-08	0	13	6
TCGA-CF-A47T-01A-11D-A23U-08	2	12	8
TCGA-CF-A47V-01A-11D-A23U-08	56	17	12
TCGA-CF-A47W-01A-11D-A23U-08	0	18	8
TCGA-CF-A47X-01A-31D-A23U-08	173	85	18
TCGA-CF-A47Y-01A-11D-A23U-08	36	15	4
TCGA-CF-A5U8-01A-11D-A289-08	0	30	22
TCGA-CF-A5UA-01A-11D-A289-08	20	18	33
TCGA-CF-A7I0-01A-22D-A34U-08	15	22	5
TCGA-CF-A8HX-01A-11D-A364-08	19	28	7
TCGA-CF-A8HY-01A-11D-A364-08	35	8	25
TCGA-CF-A9FF-01A-11D-A38G-08	65	56	4
TCGA-CF-A9FH-01A-11D-A38G-08	0	14	21
TCGA-CF-A9FL-01A-11D-A38G-08	0	27	20
TCGA-CF-A9FM-01A-11D-A38G-08	0	17	5
TCGA-CU-A0YN-01A-21D-A10S-08	0	112	32
TCGA-CU-A0YO-01A-11D-A10S-08	29	28	16
TCGA-CU-A0YR-01A-12D-A10S-08	2	100	12
TCGA-CU-A3KJ-01A-11D-A21A-08	151	25	23
TCGA-CU-A3QU-01A-11D-A22Z-08	33	30	21
TCGA-CU-A3YL-01A-11D-A22Z-08	143	42	12
TCGA-CU-A5W6-01A-11D-A289-08	86	69	6
TCGA-CU-A72E-01A-12D-A339-08	45	23	8
TCGA-DK-A1A3-01A-11D-A13W-08	189	319	8
TCGA-DK-A1A5-01A-11D-A13W-08	136	67	16
TCGA-DK-A1A6-01A-11D-A13W-08	192	0	0
TCGA-DK-A1A7-01A-11D-A13W-08	13	149	20
TCGA-DK-A1AA-01A-11D-A13W-08	12	39	21
TCGA-DK-A1AB-01A-11D-A13W-08	106	73	0
TCGA-DK-A1AC-01A-11D-A13W-08	344	833	0
TCGA-DK-A1AD-01A-11D-A13W-08	85	83	29
TCGA-DK-A1AE-01A-11D-A13W-08	51	38	1
TCGA-DK-A1AF-01A-11D-A13W-08	50	21	3
TCGA-DK-A1AG-01A-11D-A13W-08	50	52	6
TCGA-DK-A2HX-01A-12D-A18F-08	18	60	11
TCGA-DK-A2I1-01A-11D-A17V-08	139	0	25
TCGA-DK-A2I2-01A-11D-A17V-08	29	47	4
TCGA-DK-A2I4-01A-11D-A21A-08	345	373	13
TCGA-DK-A2I6-01A-12D-A18F-08	37	197	14
TCGA-DK-A3IK-01A-32D-A21A-08	113	32	22
TCGA-DK-A3IL-01A-11D-A20D-08	8	84	61
TCGA-DK-A3IM-01A-11D-A20D-08	0	45	19
TCGA-DK-A3IN-01A-11D-A20D-08	238	87	5
TCGA-DK-A3IQ-01A-31D-A20D-08	63	88	5
TCGA-DK-A3IS-01A-21D-A21A-08	176	110	8
TCGA-DK-A3IT-01A-31D-A20D-08	338	0	6
TCGA-DK-A3IU-01A-11D-A20D-08	191	176	0
TCGA-DK-A3IV-01A-22D-A21A-08	20	28	14
TCGA-DK-A3WW-01A-22D-A23M-08	602	388	28
TCGA-DK-A3WX-01A-22D-A22Z-08	2	30	3
TCGA-DK-A3WY-01A-11D-A22Z-08	5	4	0
TCGA-DK-A3X1-01A-12D-A22Z-08	419	228	85
TCGA-DK-A3X2-01A-11D-A22Z-08	14	60	23
TCGA-DK-A6AV-01A-12D-A30E-08	35	55	11
TCGA-DK-A6AW-01A-11D-A30E-08	0	0	3601
TCGA-DK-A6B0-01A-11D-A31L-08	0	20	2
TCGA-DK-A6B1-01A-12D-A30E-08	27	76	15
TCGA-DK-A6B2-01A-11D-A30E-08	48	104	22
TCGA-DK-A6B5-01A-11D-A31L-08	59	33	8
TCGA-DK-A6B6-01A-11D-A30E-08	260	545	0
TCGA-DK-AA6L-01A-11D-A391-08	255	73	9
TCGA-DK-AA6M-01A-11D-A391-08	8	23	23
TCGA-DK-AA6P-01A-11D-A391-08	63	75	5
TCGA-DK-AA6Q-01A-11D-A391-08	48	47	10
TCGA-DK-AA6R-01A-11D-A42E-08	91	153	36
TCGA-DK-AA6S-01A-21D-A391-08	349	124	0
TCGA-DK-AA6T-01A-11D-A391-08	19	9	36
TCGA-DK-AA6U-01A-11D-A391-08	150	161	51
TCGA-DK-AA6W-01A-12D-A391-08	138	74	12
TCGA-DK-AA6X-01A-12D-A42E-08	68	13	14
TCGA-DK-AA71-01A-31D-A391-08	365	234	0
TCGA-DK-AA74-01A-11D-A391-08	133	20	14
TCGA-DK-AA75-01A-11D-A391-08	113	276	23
TCGA-DK-AA76-01A-11D-A391-08	102	67	39
TCGA-DK-AA77-01A-11D-A391-08	54	271	16
TCGA-E5-A2PC-01A-11D-A202-08	44	128	22
TCGA-E5-A4TZ-01A-11D-A31L-08	288	82	35
TCGA-E5-A4U1-01A-11D-A31L-08	356	131	11
TCGA-E7-A3X6-01A-12D-A22Z-08	51	19	2
TCGA-E7-A3Y1-01A-11D-A22Z-08	4	93	25
TCGA-E7-A4IJ-01A-31D-A26M-08	190	74	38
TCGA-E7-A4XJ-01A-11D-A26M-08	0	25	16
TCGA-E7-A519-01A-11D-A26M-08	6	53	0
TCGA-E7-A541-01A-11D-A26M-08	202	186	0
TCGA-E7-A5KE-01A-11D-A289-08	30	127	17
TCGA-E7-A5KF-01A-11D-A289-08	90	83	0
TCGA-E7-A677-01A-11D-A30E-08	18	135	39
TCGA-E7-A678-01A-11D-A30E-08	1	36	17
TCGA-E7-A6MD-01A-41D-A34U-08	257	111	24
TCGA-E7-A6ME-01A-22D-A32B-08	15	85	10
