Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
TCGA-AO-A12D-01A-11D-A10Y-09	27	8	0	10	0	17	2	5	2
TCGA-AO-A12F-01A-11D-A10Y-09	0	0	10	13	7	0	5	4	1
TCGA-AO-A12H-01A-11D-A10Y-09	0	0	8	11	1	6	1	5	0
TCGA-AO-A1KO-01A-31D-A188-09	0	0	0	0	2	3	1	2	0
TCGA-AO-A1KP-01A-11D-A13L-09	0	0	4	8	2	3	0	4	2
TCGA-AO-A1KR-01A-12D-A142-09	6	9	38	7	5	0	4	11	7
TCGA-AO-A1KS-01A-11D-A13L-09	21	3	11	16	4	0	5	1	0
TCGA-AO-A1KT-01A-11D-A13L-09	4	1	11	16	9	0	2	0	9
TCGA-AQ-A04H-01B-11D-A10M-09	2	3	5	40	8	5	7	7	8
TCGA-AQ-A04J-01A-02W-A050-09	10	1	32	3	18	0	0	26	21
TCGA-AQ-A0Y5-01A-11D-A14K-09	15	10	11	20	6	0	4	0	2
TCGA-AQ-A1H2-01A-11D-A13L-09	2	0	9	11	8	0	3	1	3
TCGA-AQ-A1H3-01A-31D-A13L-09	0	0	7	19	0	0	0	1	0
TCGA-AQ-A54O-01A-11D-A25Q-09	4	0	4	9	2	0	0	5	6
TCGA-AQ-A7U7-01A-22D-A351-09	33	31	0	7	9	15	3	5	0
TCGA-AR-A0TP-01A-11D-A099-09	4	5	32	7	6	0	0	9	14
TCGA-AR-A0TQ-01A-11D-A099-09	9	0	1	10	2	3	0	4	14
TCGA-AR-A0TR-01A-11D-A099-09	2	1	2	12	11	5	3	6	1
TCGA-AR-A0TS-01A-11D-A10Y-09	7	11	25	17	5	0	0	10	22
TCGA-AR-A0TT-01A-31D-A099-09	8	10	18	13	9	0	2	12	0
TCGA-AR-A0TU-01A-31D-A10G-09	6	12	70	6	13	35	2	20	37
TCGA-AR-A0TV-01A-21D-A099-09	5	3	14	19	5	14	0	15	6
TCGA-AR-A0TW-01A-11D-A099-09	1	2	5	19	4	12	5	4	8
TCGA-AR-A0TX-01A-11D-A099-09	191	173	0	7	0	3	17	6	6
TCGA-AR-A0TY-01A-12W-A12T-09	6	11	95	18	34	13	8	8	45
TCGA-AR-A0TZ-01A-12D-A099-09	13	15	0	12	6	0	8	1	4
TCGA-AR-A0U0-01A-11D-A10G-09	13	10	23	0	20	93	1	19	66
TCGA-AR-A0U1-01A-11D-A10Y-09	0	7	45	2	17	11	3	2	14
TCGA-AR-A0U2-01A-11D-A10G-09	4	1	30	17	14	12	1	15	14
TCGA-AR-A0U3-01A-11D-A10G-09	0	1	1	10	4	10	5	6	1
TCGA-AR-A1AH-01A-11D-A12B-09	3	9	25	9	28	0	9	4	30
TCGA-AR-A1AI-01A-11D-A12Q-09	3	13	1	13	3	20	12	17	3
TCGA-AR-A1AJ-01A-21D-A12Q-09	15	9	5	15	3	0	3	0	0
TCGA-AR-A1AK-01A-21D-A12Q-09	20	17	0	13	0	4	6	9	9
TCGA-AR-A1AL-01A-21D-A12Q-09	5	3	1	7	5	3	0	3	3
TCGA-AR-A1AN-01A-11D-A12Q-09	0	4	4	14	4	2	1	2	0
TCGA-AR-A1AO-01A-11D-A12Q-09	12	15	30	12	0	10	7	12	15
TCGA-AR-A1AP-01A-11D-A12Q-09	4	3	0	15	3	13	3	0	0
TCGA-AR-A1AQ-01A-11D-A12Q-09	2	1	9	8	8	0	0	8	3
TCGA-AR-A1AR-01A-31D-A135-09	3	8	11	14	1	8	0	12	8
TCGA-AR-A1AS-01A-11D-A12Q-09	12	4	1	4	12	0	5	2	2
TCGA-AR-A1AT-01A-11D-A12Q-09	1	1	13	6	6	0	0	3	1
TCGA-AR-A1AU-01A-11D-A12Q-09	0	0	0	6	3	16	0	0	0
TCGA-AR-A1AV-01A-21D-A12Q-09	3	0	0	18	2	16	4	4	8
TCGA-AR-A1AW-01A-21D-A12Q-09	2	0	6	8	7	13	0	6	3
TCGA-AR-A1AX-01A-11D-A12Q-09	1	0	1	5	0	17	4	2	0
TCGA-AR-A1AY-01A-21D-A12Q-09	6	4	10	16	1	5	3	11	11
TCGA-AR-A24H-01A-11D-A167-09	7	20	67	13	0	13	5	24	15
TCGA-AR-A24K-01A-11D-A167-09	0	0	15	5	4	0	3	7	3
TCGA-AR-A24L-01A-11D-A167-09	3	6	17	2	2	0	0	7	12
TCGA-AR-A24M-01A-11D-A167-09	1	0	6	6	8	0	0	2	7
TCGA-AR-A24N-01A-11D-A167-09	5	0	1	13	5	4	0	8	8
TCGA-AR-A24O-01A-11D-A167-09	0	1	5	8	1	3	0	5	0
TCGA-AR-A24P-01A-11D-A167-09	0	1	6	7	2	0	4	5	2
TCGA-AR-A24Q-01A-12D-A167-09	17	20	59	1	27	19	8	23	46
TCGA-AR-A24R-01A-11D-A167-09	3	0	3	9	8	0	0	5	0
TCGA-AR-A24S-01A-11D-A167-09	7	4	14	19	8	2	0	3	0
TCGA-AR-A24T-01A-11D-A167-09	2	1	0	10	0	2	1	1	8
TCGA-AR-A24U-01A-11D-A167-09	9	10	3	9	1	0	2	4	6
TCGA-AR-A24V-01A-21D-A167-09	2	3	5	8	4	0	4	0	4
TCGA-AR-A24W-01A-11D-A17G-09	0	0	0	1	1	0	1	8	4
TCGA-AR-A24X-01A-11D-A167-09	0	0	3	4	8	17	5	0	11
TCGA-AR-A24Z-01A-11D-A167-09	4	3	16	9	5	0	1	6	9
TCGA-AR-A250-01A-31D-A167-09	21	43	7	20	10	6	13	12	11
TCGA-AR-A251-01A-12D-A167-09	7	28	84	10	10	0	2	24	26
TCGA-AR-A252-01A-11D-A167-09	0	0	0	7	2	4	0	1	0
TCGA-AR-A254-01A-21D-A167-09	4	0	5	12	0	5	4	4	7
TCGA-AR-A255-01A-11D-A167-09	10	13	1	8	11	3	14	5	21
TCGA-AR-A256-01A-11D-A167-09	11	13	79	5	12	52	10	24	35
TCGA-AR-A2LE-01A-11D-A17W-09	177	98	0	0	0	80	22	4	0
TCGA-AR-A2LH-01A-31D-A18P-09	20	11	0	4	0	22	4	0	0
TCGA-AR-A2LK-01A-11D-A17W-09	5	0	0	19	7	10	1	4	3
TCGA-AR-A2LL-01A-11D-A17W-09	0	0	4	17	0	6	3	3	5
TCGA-AR-A2LM-01A-11D-A17W-09	2	0	8	1	1	0	3	0	2
TCGA-AR-A2LN-01A-21D-A18P-09	15	3	0	4	2	20	3	3	0
TCGA-AR-A2LO-01A-31D-A18P-09	0	1	5	4	0	6	1	0	2
TCGA-AR-A2LQ-01A-22D-A18P-09	0	0	5	5	0	0	0	2	2
TCGA-AR-A2LR-01A-12D-A18P-09	1	4	16	14	3	0	6	16	12
TCGA-AR-A5QM-01A-11D-A27P-09	0	0	2	13	1	3	1	8	9
TCGA-AR-A5QN-01A-12D-A28B-09	6	0	0	14	8	1	5	10	8
TCGA-AR-A5QP-01A-11D-A28B-09	4	0	0	7	6	6	2	4	0
TCGA-AR-A5QQ-01A-11D-A28B-09	5	11	40	7	18	0	2	10	7
TCGA-B6-A0I1-01A-11D-A21Q-09	8	1	31	20	2	3	2	3	7
TCGA-B6-A0I2-01A-11W-A050-09	8	26	4	16	1	0	5	10	7
TCGA-B6-A0I5-01A-11W-A100-09	0	0	4	12	4	8	0	7	0
TCGA-B6-A0I6-01A-11D-A128-09	2	7	36	7	13	11	1	13	18
TCGA-B6-A0I8-01A-11W-A050-09	13	14	55	13	18	0	3	13	23
TCGA-B6-A0I9-01A-11W-A050-09	2	4	11	37	3	5	5	20	14
TCGA-B6-A0IA-01A-11W-A050-09	3	4	45	0	18	10	1	15	7
TCGA-B6-A0IB-01A-11W-A050-09	6	6	1	10	28	8	9	7	13
TCGA-B6-A0IC-01A-11W-A050-09	3	3	4	8	13	0	1	5	15
TCGA-B6-A0IE-01A-11W-A050-09	2	3	12	7	17	0	3	8	11
TCGA-B6-A0IH-01A-11D-A10Y-09	2	0	0	10	6	12	3	7	3
TCGA-B6-A0IJ-01A-11W-A050-09	8	27	59	3	13	19	7	10	17
TCGA-B6-A0IK-01A-12W-A071-09	103	40	26	17	17	0	9	11	19
TCGA-B6-A0IM-01A-11W-A050-09	2	0	24	12	3	0	3	2	9
TCGA-B6-A0IN-01A-11W-A050-09	2	1	4	11	4	26	0	10	5
TCGA-B6-A0RE-01A-11W-A071-09	22	29	50	15	24	18	8	10	27
TCGA-B6-A0RG-01A-11W-A071-09	6	13	37	7	5	0	2	7	5
TCGA-B6-A0RH-01A-21D-A10Y-09	11	4	12	8	1	0	2	2	0
TCGA-B6-A0RI-01A-11W-A071-09	5	7	11	2	0	0	6	2	0
TCGA-B6-A0RL-01A-11D-A099-09	12	3	3	21	4	0	4	17	6
TCGA-B6-A0RM-01A-11D-A099-09	7	0	0	13	6	0	0	3	9
TCGA-B6-A0RN-01A-12D-A099-09	2	0	4	15	9	0	1	2	3
TCGA-B6-A0RO-01A-22D-A099-09	0	1	12	2	6	0	8	11	2
TCGA-B6-A0RP-01A-21D-A099-09	0	0	0	7	3	7	2	5	6
TCGA-B6-A0RQ-01A-11D-A10Y-09	14	3	0	8	1	16	1	10	0
TCGA-B6-A0RS-01A-11D-A099-09	11	14	68	10	16	24	2	20	20
TCGA-B6-A0RT-01A-21D-A099-09	1	12	18	5	1	5	4	3	13
TCGA-B6-A0RU-01A-11D-A099-09	5	2	19	10	10	0	8	1	7
TCGA-B6-A0RV-01A-11D-A099-09	26	22	3	9	0	0	2	0	0
TCGA-B6-A0WS-01A-11D-A10Y-09	2	2	1	2	5	2	1	4	1
TCGA-B6-A0WT-01A-11D-A10G-09	0	0	0	9	4	11	2	0	0
TCGA-B6-A0WV-01A-11D-A10G-09	0	5	10	5	4	3	0	10	0
TCGA-B6-A0WW-01A-11D-A10G-09	7	7	10	8	4	0	4	2	1
TCGA-B6-A0WX-01A-11D-A10G-09	0	2	9	10	7	0	3	2	10
TCGA-B6-A0WY-01A-11D-A10G-09	4	1	7	4	12	0	4	2	2
TCGA-B6-A0WZ-01A-11D-A10G-09	46	18	0	2	2	21	1	1	1
TCGA-B6-A0X0-01A-21D-A10Y-09	0	0	9	4	0	3	5	0	5
TCGA-B6-A0X1-01A-11D-A10G-09	3	15	23	5	6	17	7	15	0
TCGA-B6-A0X4-01A-11D-A10G-09	0	0	5	5	0	2	10	3	3
TCGA-B6-A0X5-01A-21D-A10G-09	4	2	7	2	11	0	18	4	1
TCGA-B6-A1KC-01B-11D-A159-09	0	4	1	13	2	0	5	3	5
TCGA-B6-A1KF-01A-11D-A13L-09	7	2	12	13	6	14	4	6	2
TCGA-B6-A1KI-01A-11D-A14K-09	0	2	7	9	0	2	1	3	0
TCGA-B6-A1KN-01A-11D-A13L-09	0	2	0	11	10	27	5	9	9
TCGA-B6-A2IU-01A-32D-A19T-09	16	0	0	10	13	0	4	5	0
TCGA-B6-A401-01A-11D-A23C-09	0	2	1	7	6	0	2	7	5
TCGA-B6-A409-01A-11D-A243-09	6	4	4	16	4	15	1	6	7
TCGA-B6-A40B-01A-11D-A23C-09	10	5	4	10	3	16	0	9	11
TCGA-B6-A40C-01A-11D-A23C-09	3	1	5	20	2	14	0	5	2
TCGA-BH-A0AU-01A-11D-A12Q-09	1	1	0	6	3	0	0	4	8
TCGA-BH-A0AV-01A-31D-A10Y-09	2	10	22	1	12	4	3	20	5
TCGA-BH-A0AW-01A-11W-A071-09	58	44	23	16	15	7	11	23	2
TCGA-BH-A0AY-01A-21W-A019-09	13	3	27	10	12	0	12	18	6
TCGA-BH-A0AZ-01A-21D-A12Q-09	7	6	19	2	7	5	1	6	15
TCGA-BH-A0B0-01A-21D-A10Y-09	50	16	0	4	1	8	9	0	0
TCGA-BH-A0B1-01A-12W-A071-09	2	2	34	15	17	11	1	15	13
TCGA-BH-A0B3-01A-11W-A071-09	2	5	3	9	3	28	0	1	6
TCGA-BH-A0B4-01A-11W-A019-09	5	6	24	4	5	22	3	14	15
TCGA-BH-A0B5-01A-11D-A12Q-09	31	26	0	4	8	0	1	4	0
TCGA-BH-A0B6-01A-11D-A19Y-09	570	480	0	1	0	241	16	16	0
TCGA-BH-A0B7-01A-12D-A10Y-09	2	6	7	11	0	0	7	8	3
TCGA-BH-A0B8-01A-21W-A071-09	11	0	12	12	0	13	0	42	11
TCGA-BH-A0B9-01A-11W-A071-09	2	8	0	6	5	11	3	7	6
TCGA-BH-A0BA-01A-11W-A071-09	7	7	9	9	9	8	1	13	2
TCGA-BH-A0BC-01A-22D-A099-09	8	3	6	12	0	0	4	8	0
TCGA-BH-A0BD-01A-11W-A050-09	5	0	11	5	5	0	0	3	3
TCGA-BH-A0BF-01A-21D-A12Q-09	2	6	7	6	3	0	2	7	3
TCGA-BH-A0BG-01A-11D-A10Y-09	6	3	18	7	5	0	0	2	3
TCGA-BH-A0BJ-01A-11W-A071-09	2	0	0	3	5	22	1	5	9
TCGA-BH-A0BL-01A-11D-A10Y-09	4	3	24	13	1	0	5	2	18
TCGA-BH-A0BM-01A-11W-A071-09	7	5	20	1	14	0	0	15	7
TCGA-BH-A0BO-01A-23D-A12B-09	0	4	0	6	12	5	0	3	0
TCGA-BH-A0BP-01A-11D-A10Y-09	24	36	25	29	4	0	13	29	23
TCGA-BH-A0BQ-01A-21D-A10Y-09	3	0	4	8	2	0	3	6	2
TCGA-BH-A0BR-01A-21W-A12T-09	23	4	11	14	6	0	9	2	0
TCGA-BH-A0BS-01A-11D-A12Q-09	1	0	11	3	0	0	0	6	0
TCGA-BH-A0BT-01A-11D-A12Q-09	5	1	8	14	7	5	3	1	0
TCGA-BH-A0BV-01A-11W-A019-09	6	0	4	5	2	10	0	7	5
TCGA-BH-A0BW-01A-11D-A10Y-09	9	6	25	9	22	0	2	9	18
TCGA-BH-A0BZ-01A-31D-A12Q-09	9	34	117	10	29	0	13	39	29
TCGA-BH-A0C0-01A-21W-A071-09	6	5	34	2	21	13	5	2	26
TCGA-BH-A0C1-01B-11D-A12B-09	8	1	0	14	11	0	0	11	2
TCGA-BH-A0C3-01A-21D-A12Q-09	0	0	4	3	4	0	1	4	1
TCGA-BH-A0C7-01B-11D-A10Y-09	1	3	9	20	7	0	2	11	11
TCGA-BH-A0DD-01A-31D-A12Q-09	4	1	0	14	6	0	1	3	0
TCGA-BH-A0DE-01A-11D-A10Y-09	2	0	1	9	0	6	1	11	7
TCGA-BH-A0DG-01A-21D-A12Q-09	5	6	5	1	5	0	6	4	5
TCGA-BH-A0DH-01A-11D-A099-09	13	2	4	16	7	0	2	5	3
TCGA-BH-A0DI-01A-21D-A12Q-09	9	9	11	8	5	4	0	0	3
TCGA-BH-A0DK-01A-21W-A071-09	5	9	34	13	7	17	3	4	20
TCGA-BH-A0DL-01A-11D-A10Y-09	14	5	10	19	15	0	2	0	2
TCGA-BH-A0DO-01B-11D-A12B-09	4	3	3	3	7	0	4	6	0
TCGA-BH-A0DP-01A-21W-A071-09	8	3	24	3	0	0	4	14	2
TCGA-BH-A0DQ-01A-11D-A099-09	1	2	0	10	4	0	0	10	9
TCGA-BH-A0DS-01A-11W-A071-09	3	1	14	17	3	25	4	6	0
TCGA-BH-A0DT-01A-21D-A12B-09	3	0	3	6	0	0	0	3	0
TCGA-BH-A0DV-01A-21D-A12Q-09	3	0	4	0	1	0	0	3	3
TCGA-BH-A0DX-01A-11D-A10Y-09	31	10	4	15	0	5	0	2	7
TCGA-BH-A0DZ-01A-11W-A019-09	138	161	0	0	0	88	13	3	0
TCGA-BH-A0E0-01A-11W-A071-09	0	2	16	18	2	0	5	1	3
TCGA-BH-A0E1-01A-11W-A071-09	6	10	1	8	3	12	2	3	0
TCGA-BH-A0E2-01A-11W-A071-09	3	2	18	10	2	0	6	25	4
TCGA-BH-A0E7-01A-11W-A050-09	3	0	4	14	16	0	1	3	8
TCGA-BH-A0E9-01B-11D-A10Y-09	2	2	3	12	3	0	0	4	5
TCGA-BH-A0EA-01A-11D-A10Y-09	2	1	2	7	6	0	2	5	2
TCGA-BH-A0EB-01A-11W-A050-09	5	4	17	16	2	0	0	13	8
TCGA-BH-A0EE-01A-11W-A050-09	43	14	11	22	11	36	22	12	8
TCGA-BH-A0EI-01A-11D-A10Y-09	0	0	3	10	0	4	0	7	0
TCGA-BH-A0GY-01A-11W-A071-09	2	0	17	11	9	30	0	2	3
TCGA-BH-A0GZ-01A-11W-A071-09	7	0	6	11	0	0	1	12	8
TCGA-BH-A0H0-01A-11W-A071-09	2	1	8	3	3	0	1	9	7
TCGA-BH-A0H3-01A-11D-A12Q-09	1	0	3	5	0	5	0	2	0
TCGA-BH-A0H5-01A-21D-A10Y-09	54	54	0	1	0	30	16	4	0
TCGA-BH-A0H6-01A-21W-A071-09	0	0	1	11	1	14	0	1	3
TCGA-BH-A0H7-01A-13W-A071-09	11	8	4	20	17	18	3	8	4
TCGA-BH-A0H9-01A-11W-A071-09	9	4	18	5	9	0	4	3	7
TCGA-BH-A0HA-01A-11D-A12Q-09	20	14	8	104	182	4	6	17	0
TCGA-BH-A0HB-01A-11W-A071-09	3	4	11	13	0	0	8	12	1
TCGA-BH-A0HF-01A-11W-A071-09	188	0	0	49	24	166	15	1181	0
TCGA-BH-A0HI-01A-11D-A099-09	6	1	3	9	1	5	4	4	0
TCGA-BH-A0HK-01A-11W-A071-09	55	28	4	23	4	28	0	26	0
TCGA-BH-A0HL-01A-11W-A050-09	4	1	14	14	3	0	3	7	4
TCGA-BH-A0HN-01A-11D-A099-09	3	1	4	11	0	3	4	3	1
TCGA-BH-A0HO-01A-11W-A050-09	0	0	0	3	4	11	3	5	2
TCGA-BH-A0HP-01A-12D-A099-09	133	119	0	3	0	70	13	0	0
TCGA-BH-A0HQ-01A-11W-A050-09	14	0	5	11	5	3	2	13	5
TCGA-BH-A0HU-01A-11W-A050-09	3	3	17	4	3	0	2	8	10
TCGA-BH-A0HW-01A-11W-A050-09	0	2	0	17	14	0	1	9	0
TCGA-BH-A0HX-01A-21W-A071-09	10	6	24	4	12	13	1	12	16
TCGA-BH-A0HY-01A-11W-A071-09	1	2	0	11	17	30	10	6	6
TCGA-BH-A0RX-01A-21D-A099-09	4	1	2	25	4	0	7	3	2
TCGA-BH-A0W3-01A-11D-A10G-09	1	2	4	4	0	2	0	8	1
TCGA-BH-A0W4-01A-11D-A10G-09	4	4	6	8	4	3	6	0	2
TCGA-BH-A0W5-01A-11D-A10G-09	0	1	5	8	7	0	5	1	1
TCGA-BH-A0W7-01A-11D-A10Y-09	112	117	0	1	8	13	4	5	0
TCGA-BH-A0WA-01A-11D-A10G-09	13	3	44	6	9	22	0	17	3
TCGA-BH-A18F-01A-11D-A12B-09	18	2	2	15	0	2	8	11	3
TCGA-BH-A18G-01A-11D-A12B-09	0	7	0	328	992	0	50	164	0
TCGA-BH-A18H-01A-11D-A12B-09	6	4	1	6	9	19	0	9	3
TCGA-BH-A18I-01A-11D-A12B-09	3	2	1	11	3	0	5	0	1
TCGA-BH-A18J-01A-11D-A12B-09	55	24	2	4	18	0	0	0	6
TCGA-BH-A18K-01A-11D-A12B-09	15	13	15	8	1	0	1	10	1
TCGA-BH-A18L-01A-32D-A12B-09	0	1	3	21	7	15	5	6	6
TCGA-BH-A18M-01A-11D-A12B-09	0	2	1	6	0	3	1	0	3
TCGA-BH-A18N-01A-11D-A12B-09	0	1	12	14	12	0	1	0	0
TCGA-BH-A18P-01A-11D-A12B-09	176	148	0	15	0	28	15	15	0
TCGA-BH-A18Q-01A-12D-A12B-09	2	6	35	2	5	13	1	17	19
TCGA-BH-A18R-01A-11D-A12B-09	2	1	12	2	1	16	1	0	0
TCGA-BH-A18S-01A-11D-A12B-09	0	4	9	1	10	0	5	4	2
TCGA-BH-A18T-01A-11D-A12B-09	4	13	36	7	10	0	2	8	17
TCGA-BH-A18U-01A-21D-A12B-09	54	27	14	24	7	12	0	19	0
TCGA-BH-A18V-01A-11D-A12B-09	24	65	67	0	5	66	4	3	6
TCGA-BH-A1EN-01A-11D-A17G-09	6	2	14	21	8	8	4	11	4
TCGA-BH-A1EO-01A-11D-A135-09	3	0	6	21	0	0	3	5	4
TCGA-BH-A1ES-01A-11D-A135-09	2	2	3	1	1	0	3	0	5
TCGA-BH-A1ET-01A-11D-A135-09	1	0	8	7	6	0	3	6	4
TCGA-BH-A1EU-01A-11D-A135-09	0	0	0	3	4	15	0	0	0
TCGA-BH-A1EV-01A-11D-A135-09	29	24	19	15	2	4	19	2	0
TCGA-BH-A1EW-01A-11D-A135-09	3	0	0	0	0	7	0	4	0
TCGA-BH-A1EX-01A-11D-A13L-09	0	0	9	7	4	0	5	0	0
TCGA-BH-A1EY-01A-11D-A13L-09	6	9	9	8	5	0	8	6	2
TCGA-BH-A1F0-01A-11D-A135-09	1	11	14	8	5	21	4	16	8
TCGA-BH-A1F2-01A-31D-A13L-09	9	6	7	23	4	1	3	6	5
TCGA-BH-A1F5-01A-12D-A13L-09	5	0	10	10	0	4	4	11	2
TCGA-BH-A1F6-01A-11D-A13L-09	2	3	15	11	4	13	0	2	0
TCGA-BH-A1F8-01A-11D-A13L-09	84	46	0	14	0	23	7	13	2
TCGA-BH-A1FC-01A-11D-A13L-09	14	18	21	24	16	0	7	4	11
TCGA-BH-A1FD-01A-11W-A14Q-09	1	1	15	11	7	3	0	3	4
TCGA-BH-A1FE-01A-11D-A13L-09	7	1	3	1	1	0	3	5	4
TCGA-BH-A1FG-01A-11D-A13L-09	0	1	6	7	5	6	1	1	0
TCGA-BH-A1FH-01A-12D-A13L-09	1	0	1	9	0	12	0	4	1
TCGA-BH-A1FJ-01A-11D-A13L-09	3	0	0	14	0	7	0	10	6
TCGA-BH-A1FL-01A-11D-A13L-09	2	0	4	5	0	3	1	8	2
TCGA-BH-A1FM-01A-11D-A13L-09	10	8	6	17	1	0	7	7	7
TCGA-BH-A1FN-01A-11D-A13L-09	34	46	19	6	6	0	1	14	19
TCGA-BH-A1FR-01A-11D-A13L-09	0	1	5	6	1	0	1	0	3
TCGA-BH-A1FU-01A-11D-A14G-09	3	13	25	6	21	26	11	10	6
TCGA-BH-A201-01A-11D-A14K-09	2	0	3	1	11	2	5	0	0
TCGA-BH-A202-01A-11D-A14K-09	4	0	9	6	3	0	3	1	4
TCGA-BH-A203-01A-12D-A167-09	9	9	7	28	16	0	12	7	4
TCGA-BH-A204-01A-11D-A159-09	2	3	5	10	4	9	6	6	9
TCGA-BH-A208-01A-11D-A159-09	19	26	15	11	0	2	2	11	4
TCGA-BH-A209-01A-11D-A17G-09	36	41	0	3	0	34	4	7	3
TCGA-BH-A28Q-01A-11D-A16D-09	2	1	0	14	1	0	0	5	6
TCGA-BH-A2L8-01A-11D-A18P-09	275	230	0	0	0	72	0	2	0
TCGA-BH-A42U-01A-12D-A243-09	7	2	0	2	0	7	2	1	8
TCGA-BH-A42V-01A-11D-A243-09	20	14	0	6	0	0	7	2	9
TCGA-BH-A5IZ-01A-11D-A27P-09	4	5	15	11	3	40	0	6	15
TCGA-BH-A5J0-01A-11D-A27P-09	37	9	0	12	3	24	8	4	3
TCGA-BH-A6R8-01A-21D-A33E-09	3	2	9	11	3	6	4	2	0
TCGA-BH-A6R9-01A-21D-A32I-09	0	0	13	2	0	2	4	3	0
TCGA-BH-A8FY-01A-11D-A36J-09	2	1	6	4	4	21	0	12	6
TCGA-BH-A8FZ-01A-11D-A351-09	5	5	38	9	13	5	5	0	12
TCGA-BH-A8G0-01A-11D-A351-09	0	0	1	5	7	0	3	1	7
TCGA-BH-AB28-01A-31D-A41F-09	6	0	2	10	14	2	1	1	5
TCGA-C8-A12K-01A-21D-A10Y-09	11	50	59	8	8	0	1	26	7
TCGA-C8-A12L-01A-11D-A10Y-09	1	3	25	9	8	0	3	16	16
TCGA-C8-A12M-01A-11D-A135-09	1	0	14	19	16	0	11	11	8
TCGA-C8-A12N-01A-11D-A10Y-09	1	4	3	8	4	0	2	4	1
TCGA-C8-A12O-01A-11D-A10Y-09	3	0	7	20	0	3	6	2	0
TCGA-C8-A12P-01A-11D-A10Y-09	60	57	8	21	10	16	12	11	15
TCGA-C8-A12Q-01A-11D-A10Y-09	43	25	0	5	7	27	12	0	9
TCGA-C8-A12T-01A-11D-A10Y-09	77	82	0	9	5	9	8	12	0
TCGA-C8-A12U-01A-11D-A10Y-09	4	6	13	20	0	0	0	10	6
TCGA-C8-A12V-01A-11D-A10Y-09	2	4	17	3	11	0	3	6	6
TCGA-C8-A12W-01A-11D-A10Y-09	2	0	10	34	2	0	10	5	9
TCGA-C8-A12X-01A-11D-A10Y-09	0	2	7	23	2	9	6	8	8
TCGA-C8-A12Y-01A-11D-A12B-09	6	0	0	15	20	0	2	1	5
TCGA-C8-A12Z-01A-11D-A10Y-09	11	11	3	12	4	8	2	7	0
TCGA-C8-A130-01A-31D-A10Y-09	4	3	9	23	5	0	6	0	1
TCGA-C8-A131-01A-11D-A10Y-09	9	0	6	9	8	0	10	7	18
TCGA-C8-A132-01A-31D-A10Y-09	13	25	16	8	2	4	0	11	2
TCGA-C8-A133-01A-32D-A12B-09	3	0	4	0	3	8	2	7	6
TCGA-C8-A134-01A-11D-A10Y-09	0	9	43	7	9	0	9	18	16
TCGA-C8-A135-01A-11D-A10Y-09	4	8	5	30	14	0	6	5	8
TCGA-C8-A137-01A-11D-A10Y-09	11	10	0	11	0	18	8	1	3
TCGA-C8-A138-01A-11D-A10Y-09	0	0	0	14	0	20	4	5	8
TCGA-C8-A1HE-01A-11D-A188-09	23	8	8	7	0	3	2	12	3
TCGA-C8-A1HF-01A-11D-A135-09	9	5	5	5	4	7	2	4	0
TCGA-C8-A1HG-01A-11D-A135-09	5	2	5	19	4	21	0	4	0
TCGA-C8-A1HI-01A-11D-A135-09	7	3	13	21	7	0	0	6	6
TCGA-C8-A1HJ-01A-11D-A13L-09	3	11	67	3	21	0	4	3	20
TCGA-C8-A1HK-01A-21D-A13L-09	7	22	8	6	10	0	9	6	1
TCGA-C8-A1HL-01A-11D-A135-09	0	0	0	8	7	0	1	9	7
TCGA-C8-A1HM-01A-12D-A135-09	123	223	0	16	0	75	7	14	0
TCGA-C8-A1HN-01A-11D-A135-09	1	2	11	21	4	0	1	11	11
TCGA-C8-A1HO-01A-11D-A13L-09	6	1	8	8	4	2	2	5	6
TCGA-C8-A26V-01A-11D-A16D-09	22	33	14	12	8	0	7	1	0
TCGA-C8-A26W-01A-11D-A16D-09	17	9	11	3	8	3	8	7	0
TCGA-C8-A26X-01A-31D-A16D-09	4	1	16	19	2	1	5	16	14
TCGA-C8-A26Y-01A-11D-A16D-09	339	339	0	0	18	104	23	1	41
TCGA-C8-A26Z-01A-11D-A16D-09	2	0	8	22	1	3	3	5	9
TCGA-C8-A273-01A-11D-A16D-09	0	2	2	6	0	0	3	4	3
TCGA-C8-A274-01A-11D-A16D-09	124	85	0	12	20	0	6	0	12
TCGA-C8-A275-01A-21D-A16D-09	32	46	0	7	0	47	2	6	0
TCGA-C8-A278-01A-11D-A167-09	7	7	9	12	4	0	5	4	2
TCGA-C8-A27A-01A-11D-A167-09	5	3	10	9	1	0	5	3	1
TCGA-C8-A27B-01A-11D-A167-09	13	76	45	3	8	0	7	12	7
TCGA-C8-A3M7-01A-12D-A21Q-09	102	29	0	16	2	62	10	0	2
TCGA-C8-A3M8-01A-11D-A20S-09	5	5	17	14	11	0	2	3	2
TCGA-C8-A8HP-01A-11D-A36J-09	102	107	0	12	5	9	21	10	0
TCGA-C8-A8HQ-01A-11D-A36J-09	169	134	1	18	7	0	26	3	1
TCGA-C8-A8HR-01A-11D-A36J-09	1	4	16	10	7	20	0	0	0
TCGA-C8-A9FZ-01A-11D-A41F-09	2	0	0	12	12	0	0	1	4
TCGA-D8-A13Y-01A-11D-A10Y-09	11	8	4	8	2	32	1	10	3
