Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-2F-A9KO-01A-11D-A38G-08	30	53	7	0	19
TCGA-2F-A9KP-01A-11D-A38G-08	3	4	1	8	7
TCGA-2F-A9KQ-01A-11D-A38G-08	0	1	0	7	1
TCGA-2F-A9KR-01A-11D-A38G-08	17	14	0	1	11
TCGA-2F-A9KT-01A-11D-A38G-08	24	16	8	4	0
TCGA-2F-A9KW-01A-11D-A38G-08	2	3	2	6	5
TCGA-4Z-AA7M-01A-11D-A391-08	54	42	8	11	2
TCGA-4Z-AA7N-01A-11D-A391-08	1	4	1	0	0
TCGA-4Z-AA7O-01A-31D-A391-08	9	15	0	8	10
TCGA-4Z-AA7Q-01A-11D-A391-08	11	26	2	4	3
TCGA-4Z-AA7R-01A-11D-A391-08	24	19	5	11	3
TCGA-4Z-AA7S-01A-11D-A391-08	0	0	0	10	2
TCGA-4Z-AA7W-01A-11D-A391-08	35	67	0	2	0
TCGA-4Z-AA7Y-01A-11D-A391-08	21	19	0	20	1
TCGA-4Z-AA80-01A-11D-A391-08	23	33	8	3	5
TCGA-4Z-AA81-01A-11D-A391-08	17	15	0	9	6
TCGA-4Z-AA82-01A-11D-A391-08	0	1	11	4	0
TCGA-4Z-AA83-01A-11D-A391-08	3	3	0	6	0
TCGA-4Z-AA84-01A-11D-A391-08	105	4	11	23	7
TCGA-4Z-AA86-01A-11D-A391-08	23	8	10	0	0
TCGA-4Z-AA87-01A-11D-A391-08	12	10	0	17	9
TCGA-4Z-AA89-01A-11D-A391-08	6	3	5	0	1
TCGA-5N-A9KI-01A-31D-A42E-08	10	4	17	0	7
TCGA-5N-A9KM-01A-11D-A42E-08	4	0	27	5	4
TCGA-BL-A0C8-01A-11D-A271-08	0	7	0	18	10
TCGA-BL-A13I-01A-11D-A271-08	7	3	5	8	3
TCGA-BL-A13J-01A-11D-A271-08	0	7	21	0	0
TCGA-BL-A3JM-01A-12D-A21A-08	13	15	3	12	3
TCGA-BL-A5ZZ-01A-31D-A30E-08	9	2	15	6	0
TCGA-BT-A0S7-01A-11D-A10S-08	0	0	2	0	2
TCGA-BT-A0YX-01A-11D-A10S-08	55	63	0	10	17
TCGA-BT-A20J-01A-11D-A14W-08	28	33	0	15	10
TCGA-BT-A20N-01A-11D-A14W-08	1	12	23	14	7
TCGA-BT-A20O-01A-21D-A14W-08	7	2	13	0	2
TCGA-BT-A20P-01A-11D-A14W-08	1	8	0	0	5
TCGA-BT-A20Q-01A-11D-A14W-08	7	4	5	0	5
TCGA-BT-A20R-01A-12D-A16O-08	21	20	0	6	15
TCGA-BT-A20T-01A-11D-A14W-08	22	17	3	0	8
TCGA-BT-A20U-01A-11D-A14W-08	3	5	0	0	1
TCGA-BT-A20V-01A-11D-A14W-08	2	0	0	14	5
TCGA-BT-A20W-01A-21D-A14W-08	1	3	0	9	0
TCGA-BT-A20X-01A-11D-A16O-08	3	0	0	10	0
TCGA-BT-A2LA-01A-11D-A18F-08	5	5	0	15	4
TCGA-BT-A2LB-01A-11D-A18F-08	102	13	34	26	1
TCGA-BT-A2LD-01A-12D-A20D-08	2	0	3	8	2
TCGA-BT-A3PH-01A-11D-A21Z-08	23	64	0	8	5
TCGA-BT-A3PJ-01A-21D-A21Z-08	51	20	36	10	6
TCGA-BT-A3PK-01A-21D-A21Z-08	8	10	50	0	2
TCGA-BT-A42B-01A-32D-A23M-08	1	0	0	10	0
TCGA-BT-A42C-01A-11D-A23M-08	7	19	34	0	6
TCGA-BT-A42E-01A-11D-A23U-08	11	8	5	1	5
TCGA-BT-A42F-01A-11D-A23U-08	6	10	9	0	0
TCGA-C4-A0EZ-01A-21D-A10S-08	7	12	0	16	3
TCGA-C4-A0F0-01A-12D-A10S-08	3	5	2	11	0
TCGA-C4-A0F1-01A-11D-A10S-08	11	8	2	7	3
TCGA-C4-A0F6-01A-11D-A10S-08	11	12	0	9	0
TCGA-C4-A0F7-01A-11D-A10S-08	4	2	0	14	0
TCGA-CF-A1HR-01A-11D-A13W-08	21	19	0	7	2
TCGA-CF-A1HS-01A-11D-A13W-08	7	20	16	2	0
TCGA-CF-A27C-01A-11D-A16O-08	14	9	2	0	0
TCGA-CF-A3MG-01A-11D-A20D-08	8	9	0	4	0
TCGA-CF-A3MH-01A-11D-A20D-08	0	1	1	1	3
TCGA-CF-A3MI-01A-11D-A20D-08	0	4	0	11	1
TCGA-CF-A47S-01A-11D-A23U-08	0	0	4	2	1
TCGA-CF-A47V-01A-11D-A23U-08	7	6	8	2	0
TCGA-CF-A47W-01A-11D-A23U-08	1	0	0	1	2
TCGA-CF-A47X-01A-31D-A23U-08	21	30	0	15	1
TCGA-CF-A47Y-01A-11D-A23U-08	0	4	0	0	7
TCGA-CF-A5U8-01A-11D-A289-08	1	0	0	10	0
TCGA-CF-A5UA-01A-11D-A289-08	0	1	2	7	0
TCGA-CF-A7I0-01A-22D-A34U-08	0	0	0	11	2
TCGA-CF-A8HX-01A-11D-A364-08	5	4	2	3	2
TCGA-CF-A8HY-01A-11D-A364-08	1	2	5	4	1
TCGA-CF-A9FF-01A-11D-A38G-08	5	4	4	7	8
TCGA-CF-A9FH-01A-11D-A38G-08	0	0	0	2	2
TCGA-CF-A9FL-01A-11D-A38G-08	1	0	6	0	1
TCGA-CF-A9FM-01A-11D-A38G-08	0	0	0	1	1
TCGA-CU-A0YN-01A-21D-A10S-08	0	0	24	10	0
TCGA-CU-A0YO-01A-11D-A10S-08	7	3	3	7	0
TCGA-CU-A0YR-01A-12D-A10S-08	3	0	23	8	0
TCGA-CU-A3KJ-01A-11D-A21A-08	13	13	13	0	2
TCGA-CU-A3QU-01A-11D-A22Z-08	4	6	4	15	0
TCGA-CU-A3YL-01A-11D-A22Z-08	18	19	0	0	1
TCGA-CU-A5W6-01A-11D-A289-08	28	7	7	14	0
TCGA-CU-A72E-01A-12D-A339-08	6	10	0	9	0
TCGA-DK-A1A3-01A-11D-A13W-08	101	31	10	5	0
TCGA-DK-A1A5-01A-11D-A13W-08	20	30	0	3	1
TCGA-DK-A1A6-01A-11D-A13W-08	18	21	6	7	0
TCGA-DK-A1A7-01A-11D-A13W-08	5	2	6	32	2
TCGA-DK-A1AA-01A-11D-A13W-08	3	0	9	3	0
TCGA-DK-A1AB-01A-11D-A13W-08	11	16	0	3	0
TCGA-DK-A1AC-01A-11D-A13W-08	305	70	13	0	30
TCGA-DK-A1AD-01A-11D-A13W-08	12	13	7	18	8
TCGA-DK-A1AE-01A-11D-A13W-08	8	5	0	8	6
TCGA-DK-A1AF-01A-11D-A13W-08	6	6	0	1	0
TCGA-DK-A1AG-01A-11D-A13W-08	2	9	2	0	10
TCGA-DK-A2HX-01A-12D-A18F-08	6	6	0	11	0
TCGA-DK-A2I1-01A-11D-A17V-08	26	13	1	8	0
TCGA-DK-A2I2-01A-11D-A17V-08	9	0	2	4	0
TCGA-DK-A2I4-01A-11D-A21A-08	116	83	0	15	5
TCGA-DK-A2I6-01A-12D-A18F-08	35	10	3	5	18
TCGA-DK-A3IK-01A-32D-A21A-08	1	8	8	10	15
TCGA-DK-A3IL-01A-11D-A20D-08	1	1	29	0	4
TCGA-DK-A3IM-01A-11D-A20D-08	0	0	6	15	1
TCGA-DK-A3IN-01A-11D-A20D-08	40	13	2	0	12
TCGA-DK-A3IQ-01A-31D-A20D-08	5	11	0	1	11
TCGA-DK-A3IS-01A-21D-A21A-08	40	24	0	13	1
TCGA-DK-A3IT-01A-31D-A20D-08	32	40	12	0	8
TCGA-DK-A3IU-01A-11D-A20D-08	31	19	0	10	10
TCGA-DK-A3IV-01A-22D-A21A-08	3	1	10	4	0
TCGA-DK-A3WW-01A-22D-A23M-08	112	135	8	3	26
TCGA-DK-A3WX-01A-22D-A22Z-08	4	1	0	2	2
TCGA-DK-A3WY-01A-11D-A22Z-08	1	1	0	1	0
TCGA-DK-A3X1-01A-12D-A22Z-08	133	56	17	0	3
TCGA-DK-A3X2-01A-11D-A22Z-08	0	7	0	19	1
TCGA-DK-A6AV-01A-12D-A30E-08	5	5	2	12	5
TCGA-DK-A6AW-01A-11D-A30E-08	0	0	0	0	627
TCGA-DK-A6B0-01A-11D-A31L-08	0	0	2	0	0
TCGA-DK-A6B1-01A-12D-A30E-08	5	2	0	13	3
TCGA-DK-A6B2-01A-11D-A30E-08	9	3	7	10	10
TCGA-DK-A6B5-01A-11D-A31L-08	12	10	6	7	0
TCGA-DK-A6B6-01A-11D-A30E-08	152	47	0	22	37
TCGA-DK-AA6L-01A-11D-A391-08	22	34	0	8	0
TCGA-DK-AA6M-01A-11D-A391-08	5	1	0	16	2
TCGA-DK-AA6P-01A-11D-A391-08	14	6	13	7	0
TCGA-DK-AA6Q-01A-11D-A391-08	4	8	1	0	5
TCGA-DK-AA6R-01A-11D-A42E-08	11	10	51	0	0
TCGA-DK-AA6S-01A-21D-A391-08	38	49	29	1	0
TCGA-DK-AA6T-01A-11D-A391-08	0	2	4	3	0
TCGA-DK-AA6U-01A-11D-A391-08	11	12	36	26	1
TCGA-DK-AA6W-01A-12D-A391-08	15	10	0	9	4
TCGA-DK-AA6X-01A-12D-A42E-08	8	6	0	6	3
TCGA-DK-AA71-01A-31D-A391-08	61	63	0	0	4
TCGA-DK-AA74-01A-11D-A391-08	14	17	8	5	0
TCGA-DK-AA75-01A-11D-A391-08	87	22	0	7	27
TCGA-DK-AA76-01A-11D-A391-08	13	8	2	10	1
TCGA-DK-AA77-01A-11D-A391-08	15	4	40	13	1
TCGA-E5-A2PC-01A-11D-A202-08	22	2	10	7	11
TCGA-E5-A4TZ-01A-11D-A31L-08	13	40	13	17	8
TCGA-E5-A4U1-01A-11D-A31L-08	51	64	10	5	6
TCGA-E7-A3X6-01A-12D-A22Z-08	6	10	0	8	2
TCGA-E7-A3Y1-01A-11D-A22Z-08	0	2	20	17	1
TCGA-E7-A4IJ-01A-31D-A26M-08	14	21	17	0	12
TCGA-E7-A4XJ-01A-11D-A26M-08	1	0	0	1	5
TCGA-E7-A519-01A-11D-A26M-08	0	4	1	4	5
TCGA-E7-A541-01A-11D-A26M-08	24	24	9	17	10
TCGA-E7-A5KE-01A-11D-A289-08	15	9	28	2	9
TCGA-E7-A5KF-01A-11D-A289-08	18	19	2	6	6
TCGA-E7-A677-01A-11D-A30E-08	0	0	49	0	9
TCGA-E7-A678-01A-11D-A30E-08	0	0	2	5	0
TCGA-E7-A6MD-01A-41D-A34U-08	36	30	2	21	9
TCGA-E7-A6ME-01A-22D-A32B-08	0	0	8	12	6
TCGA-E7-A6MF-01A-12D-A32B-08	3	4	0	0	0
TCGA-E7-A7DU-01A-11D-A32B-08	24	15	0	3	9
TCGA-E7-A7DV-01A-11D-A339-08	14	25	0	6	0
TCGA-E7-A7PW-01A-11D-A34U-08	5	3	0	11	0
TCGA-E7-A7XN-01A-11D-A34U-08	69	97	2	10	0
TCGA-E7-A85H-01A-11D-A34U-08	13	4	35	33	0
TCGA-E7-A8O7-01A-11D-A364-08	0	0	0	5	0
TCGA-E7-A8O8-01A-11D-A364-08	3	0	3	9	4
TCGA-E7-A97P-01A-11D-A38G-08	2	0	29	9	5
TCGA-E7-A97Q-01A-11D-A38G-08	2	2	0	13	0
TCGA-FD-A3B3-01A-12D-A202-08	5	10	9	0	5
TCGA-FD-A3B4-01A-12D-A202-08	1	2	3	3	9
TCGA-FD-A3B5-01A-11D-A20D-08	12	2	10	1	1
TCGA-FD-A3B6-01A-21D-A20D-08	19	13	8	4	0
TCGA-FD-A3B7-01A-31D-A20D-08	0	2	6	4	2
TCGA-FD-A3B8-01A-31D-A20D-08	1	0	0	1	4
TCGA-FD-A3N5-01A-11D-A21A-08	9	0	51	9	0
TCGA-FD-A3N6-01A-11D-A21A-08	4	0	0	7	6
TCGA-FD-A3NA-01A-11D-A21A-08	10	1	7	3	0
TCGA-FD-A3SJ-01A-12D-A22Z-08	8	11	16	13	1
TCGA-FD-A3SL-01A-21D-A22Z-08	4	11	10	20	11
TCGA-FD-A3SM-01A-11D-A22Z-08	9	13	2	10	2
TCGA-FD-A3SN-01A-12D-A22Z-08	74	7	0	0	29
TCGA-FD-A3SO-01A-11D-A22Z-08	22	24	6	11	7
TCGA-FD-A3SP-01A-31D-A22Z-08	5	8	0	2	2
TCGA-FD-A3SQ-01A-21D-A22Z-08	3	0	0	7	0
TCGA-FD-A3SR-01A-11D-A22Z-08	6	6	17	2	2
TCGA-FD-A3SS-01A-12D-A22Z-08	41	22	0	0	33
TCGA-FD-A43N-01A-11D-A23U-08	3	18	0	16	9
TCGA-FD-A43P-01A-31D-A23U-08	22	34	21	6	12
TCGA-FD-A43U-01A-11D-A23U-08	0	0	0	12	0
TCGA-FD-A43X-01A-11D-A23U-08	35	16	2	13	3
TCGA-FD-A43Y-01A-21D-A26M-08	1	2	7	5	1
TCGA-FD-A5BR-01A-11D-A26M-08	1	0	8	0	5
TCGA-FD-A5BS-01A-21D-A26M-08	1	1	1	0	0
TCGA-FD-A5BT-01A-11D-A26M-08	1	18	0	8	5
TCGA-FD-A5BU-01A-31D-A26M-08	1	4	0	10	0
TCGA-FD-A5BV-01A-11D-A26M-08	0	0	2	11	0
TCGA-FD-A5BX-01A-11D-A26M-08	35	34	6	3	6
TCGA-FD-A5BY-01A-31D-A289-08	2	0	0	10	0
TCGA-FD-A5BZ-01A-11D-A289-08	7	4	4	10	2
TCGA-FD-A5C0-01A-11D-A289-08	4	1	4	11	8
TCGA-FD-A5C1-01A-11D-A289-08	12	13	0	19	1
TCGA-FD-A62N-01A-11D-A30E-08	0	0	14	2	0
TCGA-FD-A62O-01A-11D-A30E-08	14	12	0	8	9
TCGA-FD-A62P-01A-32D-A30E-08	36	33	5	1	14
TCGA-FD-A62S-01A-11D-A30E-08	1	1	0	16	0
TCGA-FD-A6TA-01A-12D-A339-08	21	25	0	0	6
TCGA-FD-A6TB-01A-12D-A339-08	8	18	0	1	10
TCGA-FD-A6TC-01A-21D-A339-08	92	101	6	0	13
TCGA-FD-A6TD-01A-51D-A339-08	11	2	1	10	0
TCGA-FD-A6TE-01A-12D-A339-08	28	28	3	2	0
TCGA-FD-A6TF-01A-52D-A32B-08	9	7	5	15	0
TCGA-FD-A6TG-01A-11D-A32B-08	10	19	42	0	6
TCGA-FD-A6TH-01A-11D-A32B-08	10	10	0	11	0
TCGA-FD-A6TI-01A-11D-A32B-08	0	2	0	15	13
TCGA-FD-A6TK-01A-42D-A339-08	5	0	7	4	2
TCGA-FJ-A3Z7-01A-12D-A23M-08	22	25	8	0	3
TCGA-FJ-A3Z9-01A-11D-A26M-08	0	4	0	6	1
TCGA-FJ-A3ZE-01A-11D-A23M-08	0	5	60	0	11
TCGA-FJ-A3ZF-01A-11D-A23M-08	18	11	6	13	12
TCGA-FJ-A871-01A-11D-A34U-08	0	0	0	7	0
TCGA-FT-A3EE-01A-11D-A202-08	12	1	0	21	2
TCGA-FT-A61P-01A-11D-A30E-08	14	3	14	8	6
TCGA-G2-A2EC-01A-11D-A17V-08	20	14	6	0	0
TCGA-G2-A2EF-01A-12D-A18F-08	27	23	9	0	0
TCGA-G2-A2EJ-01A-11D-A17V-08	12	32	0	10	0
TCGA-G2-A2EK-01A-22D-A18F-08	2	1	0	15	0
TCGA-G2-A2EL-01A-12D-A18F-08	21	24	3	6	0
TCGA-G2-A2EO-01A-11D-A17V-08	86	111	0	6	2
TCGA-G2-A2ES-01A-11D-A17V-08	48	6	47	8	0
TCGA-G2-A3IB-01A-11D-A20D-08	9	0	12	0	0
TCGA-G2-A3IE-01A-11D-A20D-08	26	41	4	5	9
TCGA-G2-A3VY-01A-11D-A22Z-08	35	72	35	3	12
TCGA-G2-AA3B-01A-11D-A391-08	45	58	25	0	0
TCGA-G2-AA3C-01A-21D-A391-08	11	17	4	10	10
TCGA-G2-AA3D-01A-11D-A391-08	17	27	2	0	4
TCGA-G2-AA3F-01A-12D-A42E-08	1	2	7	4	5
TCGA-GC-A3BM-01A-11D-A22Z-08	2	4	0	5	8
TCGA-GC-A3I6-01A-11D-A20D-08	11	8	7	6	3
TCGA-GC-A3OO-01A-11D-A22Z-08	20	4	10	0	0
TCGA-GC-A3RB-01A-12D-A21Z-08	12	4	6	8	4
TCGA-GC-A3RC-01A-11D-A22Z-08	34	6	31	1	13
TCGA-GC-A3RD-01A-12D-A22Z-08	2	3	0	10	2
TCGA-GC-A3WC-01A-31D-A22Z-08	8	9	8	1	8
TCGA-GC-A3YS-01A-11D-A23M-08	25	10	0	14	0
TCGA-GC-A4ZW-01A-11D-A26M-08	33	82	18	0	0
TCGA-GC-A6I1-01A-12D-A31L-08	14	14	6	3	12
TCGA-GC-A6I3-01A-11D-A31L-08	5	15	7	12	0
TCGA-GD-A2C5-01A-12D-A17V-08	27	12	3	15	3
TCGA-GD-A3OP-01A-21D-A21Z-08	20	17	10	11	0
TCGA-GD-A3OQ-01A-32D-A21Z-08	4	6	0	7	2
TCGA-GD-A3OS-01A-12D-A21Z-08	4	0	6	1	0
TCGA-GD-A6C6-01A-21D-A31L-08	23	15	10	8	0
TCGA-GD-A76B-01A-11D-A32B-08	5	10	1	12	5
TCGA-GU-A42P-01A-11D-A23U-08	26	11	10	5	8
TCGA-GU-A42Q-01A-11D-A23U-08	8	16	3	0	11
TCGA-GU-A42R-01A-11D-A23M-08	9	18	0	4	8
TCGA-GU-A762-01A-11D-A339-08	3	3	4	3	4
TCGA-GU-A763-01A-11D-A32B-08	0	3	0	6	1
TCGA-GU-A764-01A-11D-A34U-08	4	5	2	2	3
TCGA-GU-A766-01A-11D-A32B-08	13	13	0	0	0
TCGA-GU-A767-01A-11D-A32B-08	19	9	49	0	1
TCGA-GU-AATO-01A-11D-A391-08	19	31	3	0	1
TCGA-GU-AATP-01A-11D-A391-08	28	19	14	1	4
TCGA-GU-AATQ-01A-11D-A391-08	9	17	3	7	2
TCGA-GV-A3JV-01A-11D-A21Z-08	3	1	0	20	3
TCGA-GV-A3JW-01A-11D-A20D-08	1	1	0	13	4
TCGA-GV-A3JX-01A-11D-A20D-08	18	27	0	7	5
TCGA-GV-A3JZ-01A-11D-A21A-08	41	36	0	0	25
TCGA-GV-A3QF-01A-31D-A22Z-08	5	5	18	1	0
TCGA-GV-A3QG-01A-11D-A21Z-08	3	2	3	6	1
TCGA-GV-A3QH-01A-11D-A21Z-08	4	11	0	16	2
TCGA-GV-A3QI-01A-11D-A21Z-08	16	5	65	10	0
TCGA-GV-A3QK-01B-11D-A23M-08	4	10	0	9	9
TCGA-GV-A40E-01A-12D-A23M-08	1	15	0	8	0
TCGA-GV-A40G-01A-11D-A23M-08	7	3	0	16	5
TCGA-GV-A6ZA-01A-12D-A339-08	20	29	5	1	0
TCGA-H4-A2HO-01A-11D-A17V-08	5	5	0	6	2
TCGA-H4-A2HQ-01A-11D-A17V-08	31	31	36	0	0
TCGA-HQ-A2OE-01A-11D-A202-08	10	3	13	5	1
TCGA-HQ-A2OF-01A-11D-A26M-08	2	1	0	17	3
TCGA-HQ-A5ND-01A-11D-A26M-08	5	0	5	0	5
TCGA-HQ-A5NE-01A-12D-A289-08	30	29	0	16	1
TCGA-K4-A3WS-01A-11D-A22Z-08	17	11	33	0	3
TCGA-K4-A3WU-01B-11D-A23M-08	6	16	0	14	8
TCGA-K4-A3WV-01A-11D-A22Z-08	4	0	0	7	0
TCGA-K4-A4AB-01B-12D-A289-08	5	4	0	15	0
TCGA-K4-A4AC-01A-21D-A26M-08	12	10	12	7	4
TCGA-K4-A54R-01A-11D-A26M-08	109	81	0	0	8
TCGA-K4-A5RH-01A-11D-A30E-08	9	8	13	0	1
TCGA-K4-A5RI-01A-11D-A289-08	1	4	11	5	9
TCGA-K4-A5RJ-01A-11D-A289-08	26	36	6	7	0
TCGA-K4-A6FZ-01A-11D-A31L-08	28	16	37	0	0
TCGA-K4-A6MB-01A-11D-A31L-08	17	23	9	2	15
TCGA-K4-A83P-01A-11D-A34U-08	16	9	0	14	7
TCGA-K4-AAQO-01A-11D-A38G-08	13	16	7	16	1
TCGA-KQ-A41N-01A-11D-A339-08	12	1	14	11	4
TCGA-KQ-A41O-01A-12D-A34U-08	4	28	4	7	0
TCGA-KQ-A41P-01A-12D-A339-08	25	25	0	6	7
TCGA-KQ-A41Q-01A-11D-A339-08	3	11	2	0	11
TCGA-KQ-A41R-01A-21D-A34U-08	101	17	55	24	9
TCGA-KQ-A41S-01A-12D-A339-08	12	14	6	0	8
TCGA-LC-A66R-01A-41D-A30E-08	5	13	0	7	4
TCGA-LT-A5Z6-01A-11D-A289-08	53	55	13	1	5
TCGA-LT-A8JT-01A-11D-A364-08	1	3	0	5	3
TCGA-MV-A51V-01A-11D-A26M-08	103	204	4	0	28
TCGA-PQ-A6FI-01A-11D-A31L-08	6	0	7	0	7
TCGA-PQ-A6FN-01A-11D-A31L-08	5	0	9	0	3
TCGA-R3-A69X-01A-22D-A30E-08	15	16	5	0	0
TCGA-S5-A6DX-01A-11D-A31L-08	43	70	0	16	21
TCGA-S5-AA26-01A-11D-A38G-08	22	25	0	11	0
TCGA-SY-A9G0-01A-12D-A38G-08	0	0	0	7	1
TCGA-SY-A9G5-01A-11D-A38G-08	86	107	1	0	0
TCGA-UY-A78K-01A-11D-A339-08	12	37	89	3	18
TCGA-UY-A78L-01A-12D-A339-08	13	13	1	8	1
TCGA-UY-A78M-01A-21D-A34U-08	14	7	5	5	0
TCGA-UY-A78N-01A-12D-A339-08	7	0	15	25	3
TCGA-UY-A78O-01A-12D-A339-08	6	9	0	17	0
TCGA-UY-A78P-01A-12D-A364-08	25	30	0	3	3
TCGA-UY-A8OB-01A-12D-A42E-08	5	11	18	19	4
TCGA-UY-A8OC-01A-11D-A364-08	3	4	3	7	0
TCGA-UY-A8OD-01A-11D-A364-08	5	2	0	6	2
TCGA-UY-A9PA-01A-11D-A38G-08	6	4	21	3	0
TCGA-UY-A9PB-01A-11D-A38G-08	34	35	40	18	2
TCGA-UY-A9PD-01A-11D-A38G-08	16	9	7	22	3
TCGA-UY-A9PE-01A-11D-A38G-08	15	10	16	0	6
TCGA-UY-A9PF-01A-11D-A38G-08	138	2	14	0	12
TCGA-UY-A9PH-01A-11D-A38G-08	40	32	1	8	9
TCGA-XF-A8HB-01A-11D-A364-08	1	1	3	0	11
TCGA-XF-A8HC-01A-11D-A364-08	13	2	3	10	0
TCGA-XF-A8HD-01A-11D-A364-08	26	35	5	0	9
TCGA-XF-A8HE-01A-11D-A364-08	46	33	0	0	0
TCGA-XF-A8HF-01A-11D-A364-08	3	2	17	0	7
TCGA-XF-A8HG-01A-11D-A364-08	13	7	5	24	6
TCGA-XF-A8HH-01A-11D-A38G-08	4	5	0	0	10
TCGA-XF-A8HI-01A-11D-A38G-08	2	1	0	5	0
TCGA-XF-A9SG-01A-12D-A42E-08	15	2	0	11	4
TCGA-XF-A9SH-01A-11D-A391-08	2	1	0	6	1
TCGA-XF-A9SI-01A-11D-A391-08	20	31	0	0	1
TCGA-XF-A9SJ-01A-11D-A391-08	47	17	2	14	0
TCGA-XF-A9SK-01A-11D-A42E-08	8	4	13	1	3
TCGA-XF-A9SL-01A-11D-A391-08	5	11	0	0	0
TCGA-XF-A9SM-01A-11D-A42E-08	12	20	0	2	3
TCGA-XF-A9SP-01A-11D-A391-08	10	15	9	12	6
TCGA-XF-A9ST-01A-11D-A42E-08	28	30	58	2	0
TCGA-XF-A9SU-01A-31D-A391-08	1	0	0	8	1
TCGA-XF-A9SV-01A-21D-A42E-08	3	1	4	3	3
TCGA-XF-A9SW-01A-11D-A42E-08	2	0	3	0	1
TCGA-XF-A9SX-01A-21D-A391-08	0	3	8	11	0
TCGA-XF-A9SY-01A-21D-A42E-08	12	15	55	0	10
TCGA-XF-A9SZ-01A-11D-A391-08	13	8	1	2	2
TCGA-XF-A9T0-01A-11D-A391-08	127	6	54	8	34
TCGA-XF-A9T2-01A-11D-A42E-08	6	3	2	0	0
TCGA-XF-A9T3-01A-11D-A42E-08	7	5	59	3	6
TCGA-XF-A9T4-01A-11D-A391-08	0	0	0	5	0
TCGA-XF-A9T5-01A-11D-A42E-08	73	60	0	0	0
TCGA-XF-A9T6-01A-11D-A42E-08	37	0	33	0	10
TCGA-XF-A9T8-01A-11D-A391-08	34	82	5	10	0
TCGA-XF-AAME-01A-12D-A42E-08	0	0	2	0	0
TCGA-XF-AAMF-01A-21D-A42E-08	6	5	3	2	0
TCGA-XF-AAMG-01A-11D-A42E-08	76	73	13	22	19
TCGA-XF-AAMH-01A-11D-A42E-08	1	2	5	5	0
TCGA-XF-AAMJ-01A-11D-A42E-08	0	0	2	4	1
TCGA-XF-AAML-01A-11D-A42E-08	69	29	0	7	5
TCGA-XF-AAMQ-01A-11D-A42E-08	11	15	3	1	7
TCGA-XF-AAMR-01A-31D-A42E-08	8	2	7	0	0
TCGA-XF-AAMT-01A-11D-A42E-08	2	5	7	4	0
TCGA-XF-AAMW-01A-11D-A42E-08	0	0	6	0	4
TCGA-XF-AAMX-01A-11D-A42E-08	18	12	27	0	0
TCGA-XF-AAMY-01A-11D-A42E-08	7	4	0	1	5
TCGA-XF-AAMZ-01A-11D-A42E-08	5	17	0	17	10
TCGA-XF-AAN0-01A-11D-A42E-08	25	35	0	8	0
TCGA-XF-AAN1-01A-31D-A42E-08	3	0	6	4	2
TCGA-XF-AAN2-01A-11D-A42E-08	49	26	3	11	4
TCGA-XF-AAN3-01A-11D-A42E-08	13	5	2	3	5
TCGA-XF-AAN4-01A-11D-A42E-08	1	0	2	0	0
TCGA-XF-AAN5-01A-11D-A42E-08	19	28	0	8	5
TCGA-XF-AAN7-01A-11D-A42E-08	2	0	0	19	0
TCGA-XF-AAN8-01A-11D-A42E-08	0	0	1	0	0
TCGA-YC-A89H-01A-11D-A364-08	428	6	2	29	25
TCGA-YC-A8S6-01A-31D-A38G-08	3	10	0	7	1
TCGA-YC-A9TC-01A-22D-A391-08	1	9	7	3	3
TCGA-YF-AA3L-01A-11D-A38G-08	6	9	36	2	1
TCGA-YF-AA3M-01A-11D-A42E-08	4	4	22	10	0
TCGA-ZF-A9R0-01A-11D-A38G-08	9	12	2	2	6
TCGA-ZF-A9R1-01A-11D-A391-08	4	3	0	4	5
TCGA-ZF-A9R2-01A-11D-A391-08	3	6	15	0	0
TCGA-ZF-A9R3-01A-11D-A38G-08	4	5	0	9	3
TCGA-ZF-A9R4-01A-11D-A38G-08	18	16	3	5	2
TCGA-ZF-A9R5-01A-12D-A42E-08	3	0	7	9	0
TCGA-ZF-A9R7-01A-11D-A38G-08	52	70	0	0	16
TCGA-ZF-A9R9-01A-11D-A38G-08	17	10	1	5	5
TCGA-ZF-A9RC-01A-11D-A38G-08	171	30	5	46	0
TCGA-ZF-A9RD-01A-11D-A42E-08	13	8	10	3	0
TCGA-ZF-A9RE-01A-11D-A38G-08	0	1	1	4	3
TCGA-ZF-A9RF-01A-11D-A38G-08	4	10	10	13	11
TCGA-ZF-A9RG-01A-21D-A42E-08	29	13	0	5	12
TCGA-ZF-A9RL-01A-11D-A38G-08	3	31	0	17	13
TCGA-ZF-A9RM-01A-11D-A38G-08	3	0	3	9	0
