Samples	SBS96A	SBS96B
TCGA-3C-AAAU-01A-11D-A41F-09	15	5
TCGA-3C-AALI-01A-11D-A41F-09	20	216
TCGA-3C-AALJ-01A-31D-A41F-09	16	2
TCGA-3C-AALK-01A-11D-A41F-09	10	1
TCGA-4H-AAAK-01A-12D-A41F-09	11	1
TCGA-5L-AAT0-01A-12D-A41F-09	12	63
TCGA-5L-AAT1-01A-12D-A41F-09	0	475
TCGA-5T-A9QA-01A-11D-A41F-09	17	0
TCGA-A1-A0SD-01A-11D-A10Y-09	14	0
TCGA-A1-A0SE-01A-11D-A099-09	8	1
TCGA-A1-A0SF-01A-11D-A142-09	5	9
TCGA-A1-A0SG-01A-11D-A142-09	9	0
TCGA-A1-A0SH-01A-11D-A099-09	1	31
TCGA-A1-A0SI-01A-11D-A142-09	0	64
TCGA-A1-A0SJ-01A-11D-A099-09	8	1
TCGA-A1-A0SK-01A-12D-A099-09	30	0
TCGA-A1-A0SM-01A-11D-A099-09	16	0
TCGA-A1-A0SN-01A-11D-A142-09	6	17
TCGA-A1-A0SO-01A-22D-A099-09	81	17
TCGA-A1-A0SP-01A-11D-A099-09	14	2
TCGA-A1-A0SQ-01A-21D-A142-09	7	0
TCGA-A2-A04N-01A-11D-A10Y-09	10	1
TCGA-A2-A04P-01A-31D-A128-09	32	5
TCGA-A2-A04Q-01A-21W-A050-09	10	0
TCGA-A2-A04R-01A-41D-A117-09	19	3
TCGA-A2-A04T-01A-21W-A050-09	33	3
TCGA-A2-A04U-01A-11D-A10Y-09	10	0
TCGA-A2-A04V-01A-21W-A050-09	6	5
TCGA-A2-A04W-01A-31D-A10Y-09	13	40
TCGA-A2-A04X-01A-21W-A050-09	5	11
TCGA-A2-A04Y-01A-21W-A050-09	12	4
TCGA-A2-A0CK-01A-11D-A228-09	4	2
TCGA-A2-A0CL-01A-11D-A10Y-09	14	23
TCGA-A2-A0CM-01A-31W-A050-09	17	11
TCGA-A2-A0CP-01A-11W-A050-09	40	7
TCGA-A2-A0CQ-01A-21W-A050-09	13	3
TCGA-A2-A0CR-01A-11D-A228-09	0	66
TCGA-A2-A0CS-01A-11D-A10Y-09	10	1
TCGA-A2-A0CT-01A-31W-A071-09	21	14
TCGA-A2-A0CU-01A-12W-A050-09	14	6
TCGA-A2-A0CV-01A-31D-A10Y-09	3	0
