Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-2F-A9KO-01A-11D-A38G-08	307	140	180	0	0	0	7
TCGA-2F-A9KP-01A-11D-A38G-08	30	34	15	17	36	0	7
TCGA-2F-A9KQ-01A-11D-A38G-08	0	8	20	14	25	0	5
TCGA-2F-A9KR-01A-11D-A38G-08	91	96	0	14	15	26	15
TCGA-2F-A9KT-01A-11D-A38G-08	214	116	0	9	22	19	14
TCGA-2F-A9KW-01A-11D-A38G-08	13	24	4	0	24	49	12
TCGA-4Z-AA7M-01A-11D-A391-08	300	155	0	59	47	25	2
TCGA-4Z-AA7N-01A-11D-A391-08	3	6	10	0	4	0	0
TCGA-4Z-AA7O-01A-31D-A391-08	57	43	28	24	38	20	16
TCGA-4Z-AA7Q-01A-11D-A391-08	163	27	0	23	25	33	4
TCGA-4Z-AA7R-01A-11D-A391-08	191	129	4	12	17	35	17
TCGA-4Z-AA7S-01A-11D-A391-08	0	4	0	1	41	3	10
TCGA-4Z-AA7W-01A-11D-A391-08	366	133	124	0	0	4	0
TCGA-4Z-AA7Y-01A-11D-A391-08	107	112	101	0	0	0	3
TCGA-4Z-AA80-01A-11D-A391-08	183	109	0	27	42	44	53
TCGA-4Z-AA81-01A-11D-A391-08	62	75	71	0	14	0	16
TCGA-4Z-AA82-01A-11D-A391-08	22	27	0	5	29	38	0
TCGA-4Z-AA83-01A-11D-A391-08	23	24	0	11	33	10	0
TCGA-4Z-AA84-01A-11D-A391-08	0	326	57	148	34	39	13
TCGA-4Z-AA86-01A-11D-A391-08	107	57	74	0	2	0	12
TCGA-4Z-AA87-01A-11D-A391-08	84	53	69	0	40	7	12
TCGA-4Z-AA89-01A-11D-A391-08	71	37	16	8	17	0	0
TCGA-5N-A9KI-01A-31D-A42E-08	29	58	25	16	23	29	10
TCGA-5N-A9KM-01A-11D-A42E-08	0	21	23	99	23	77	0
TCGA-BL-A0C8-01A-11D-A271-08	20	12	73	0	37	3	15
TCGA-BL-A13I-01A-11D-A271-08	35	10	22	39	14	6	5
TCGA-BL-A13J-01A-11D-A271-08	27	10	21	14	1	41	0
TCGA-BL-A3JM-01A-12D-A21A-08	40	48	49	30	31	25	4
TCGA-BL-A5ZZ-01A-31D-A30E-08	18	43	40	31	41	13	0
TCGA-BT-A0S7-01A-11D-A10S-08	0	0	0	19	6	13	5
TCGA-BT-A0YX-01A-11D-A10S-08	471	251	0	0	22	0	0
TCGA-BT-A20J-01A-11D-A14W-08	197	161	116	0	30	0	29
