	Hugo_Symbol
0	ERCC2
1	TAF1L
2	PCDH8
3	RAD51AP2
4	RBP3
5	FAM179B
6	FAT4
7	EIF4A2
8	PCDH9
9	CNNM4
10	DNAAF2
11	SAMD15
12	TCHH
13	SIGLEC10
14	AMY2A
15	CASP1
16	DCAF12
17	EIF2B4
18	FAM83G
19	KERA
20	PTGER2
21	SLC22A12
22	SLC32A1
23	UBA52
24	UGT2B15
25	CATSPER1
26	FANCM
27	FASTKD3
28	NPAS4
29	ICAM5
30	KDM3A
31	KLHL40
32	MAPK3
33	MCM4
34	MST1R
35	MYCN
36	TOR1AIP1
37	HRC
38	ALG10
39	ANGPTL4
40	ANKZF1
41	ATAD5
42	CDK9
43	CEBPZ
44	CES2
45	CYP11B2
46	CYP26A1
47	EPHX3
48	ESPL1
49	ESX1
50	GHSR
51	GPR142
52	GYS1
53	KEL
54	KRT5
55	KRT83
56	MPND
57	MRPL44
58	NEURL4
59	POLM
60	PSG7
61	RAD23A
62	RBP1
63	SIGLEC12
64	SIX3
65	SMG8
66	SPATA31A3
67	SPOCD1
68	TAF11
69	TRIM51
70	TSR1
71	ZC3H12A
72	ZC3HC1
73	ZNF671
74	ARHGEF17
75	KRT36
76	MCM3AP
77	PDSS2
78	ABHD15
79	ABRA
80	ACCSL
81	ALG2
82	ALK
83	ALKBH5
84	ANXA9
85	ARID2
86	ATP8B3
87	BAP1
88	BOP1
89	BTN1A1
90	C9orf50
91	CD1E
92	CHRD
93	CIAO1
94	COL7A1
95	CPA1
96	CST8
97	CYP2A13
98	CYP2A6
99	CYP2F1
100	DMRTB1
101	ERP29
102	EXOSC9
103	FGB
104	FLAD1
105	FST
106	GATB
107	GLTP
108	GPR149
109	GPR37
110	GPR39
111	GRIA4
112	GRXCR1
113	HACL1
114	HDAC11
115	HTR2B
116	IFI44
117	IRF2BP2
118	IRX2
119	ITIH1
120	KAT2A
121	KIFC2
122	KIR3DL1
123	KNSTRN
124	KPNA2
125	KRT20
126	KRT24
127	KRT71
128	KRT77
129	KRT79
130	KRT9
131	LEMD3
132	LETMD1
133	LILRA6
134	LILRB5
135	MAGEC1
136	MN1
137	MOGAT3
138	MPHOSPH10
139	MRPS31
140	MYPOP
141	NOA1
142	NR0B1
143	NUDT22
144	ODF1
145	OTOL1
146	PABPC4
147	PKDREJ
148	PLK3
149	PLTP
150	PNN
151	PRPH
152	PRR14
153	PTGER4
154	RABGGTA
155	RANBP6
156	RBP4
157	RND1
158	RNF128
159	RPUSD3
160	RSPH4A
161	SBDS
162	SDPR
163	SLC10A2
164	SLC27A2
165	SLC39A12
166	SLC5A4
167	SLCO4C1
168	SMPD1
169	SPATA31A7
170	SPATA31D1
171	TBC1D10C
172	TFPT
173	THG1L
174	TRIM10
175	TRIM8
176	TRIP13
177	TRMT2A
178	TRMT61B
179	TST
180	UGT2A3
181	ULK1
182	WDR66
183	WNK1
184	WRAP53
185	ZNF622
186	ANAPC2
187	HSPA5
188	LSG1
189	MFRP
190	MSTN
191	NFS1
192	ABHD10
193	ACADS
194	ADRM1
195	AHSG
196	ALKBH1
197	ALX1
198	AQP1
199	ARSJ
200	ASIC1
201	ASIC5
202	ATF6B
203	ATG4D
204	ATHL1
205	ATP5B
206	B4GALT3
207	BARHL2
208	BDP1
209	BEST2
210	BIRC7
211	BPIFA3
212	BPIFB3
213	BPIFB6
214	BRS3
215	BTBD11
216	C19orf26
217	C1orf131
218	C6orf136
219	C7orf33
220	C9orf172
221	CA9
222	CAMLG
223	CAMSAP2
224	CCDC116
225	CCDC151
226	CCKBR
227	CCNL2
228	CD300C
229	CDAN1
230	CDC20
231	CDC6
232	CDK11A
233	CHPF2
234	CILP2
235	CLEC4E
236	CLEC4M
237	CNNM1
238	CNNM3
239	CNTROB
240	COMP
241	CPA3
242	CREB3
243	CRYBA4
244	CSMD3
245	CST1
246	CYP27A1
247	CYP2C8
248	DBR1
249	DHX16
250	DLL4
251	DMRT1
252	DNAH11
253	DNAJC28
254	DUOX2
255	EAF2
256	ECE2
257	ECI2
258	EEF2
259	EEPD1
260	EIF2B5
261	EIF4A3
262	ELANE
263	EN1
264	EP300
265	EQTN
266	EXOC4
267	EXOSC5
268	FADD
269	FAM102A
270	FAM209B
271	FAM219B
272	FAM21C
273	FANCG
274	FBXO4
275	FCAR
276	FGA
277	FGG
278	FLG2
279	FOLH1
280	FSCN2
281	GCSAM
282	GDF6
283	GPR179
284	GPR89B
285	GPS1
286	GTF3C1
287	HCN3
288	HIPK4
289	HMCN1
290	HMGN1
291	HRNR
292	HS3ST2
293	HSD3B2
294	HSP90AB1
295	IKBIP
296	IZUMO2
297	JPH4
298	KAT5
299	KCNH3
300	KCNH7
301	KCNU1
302	KCTD8
303	KIAA1407
304	KIF14
305	KIF3C
306	KIF4B
307	KLB
308	KLK6
309	KMT2B
310	KRT10
311	KRT17
312	KRT2
313	KRT25
314	KRT33B
315	KRT39
316	KRT4
317	KRT6A
318	KRT73
319	KRT80
320	KRT85
321	LAMP5
322	LGR5
323	LILRB3
324	LMAN2
325	LMAN2L
326	LPA
327	LRIF1
328	LRIT2
329	LRRC31
330	LRRC66
331	LRRCC1
332	LRWD1
333	LSM14B
334	MAGED2
335	MALSU1
336	MAN1B1
337	MAN2A1
338	MARCH11
339	MAT2A
340	MCM7
341	METTL5
342	MGME1
343	MLST8
344	MMP10
345	MOV10
346	MPO
347	MS4A2
348	MS4A8
349	MSH4
350	MST1
351	MTRF1
352	MYH1
353	NAT10
354	NEFM
355	NES
356	NISCH
357	NOC2L
358	NUAK2
359	NUCB1
360	ODAM
361	OLFML1
362	OR1C1
363	OTOP2
364	PAK1IP1
365	PATZ1
366	PEX6
367	PHB2
368	PIGB
369	PIGO
370	PITHD1
371	PKLR
372	PLK4
373	PLRG1
374	PNPT1
375	PNRC1
376	POLQ
377	PPIL4
378	PPM1D
379	PRAM1
380	PRDM13
381	PRF1
382	PRSS16
383	PRSS58
384	PSAT1
385	PSG2
386	PSMD2
387	PTGER3
388	PYGO2
389	QARS
390	RBL1
391	RBPJL
392	RGS18
393	RNF112
394	ROBO4
395	RPL26
396	RPP40
397	RPTN
398	SART3
399	SECISBP2
400	SERHL2
401	SEZ6L2
402	SFRP2
403	SH3RF1
404	SHC4
405	SHOX2
406	SIGLEC7
407	SIGLEC8
408	SKIV2L
409	SLC17A6
410	SLC20A1
411	SLC22A9
412	SLC4A9
413	SLC7A3
414	SLCO6A1
415	SMC4
416	SOX8
417	SP100
418	SPATA31A1
419	SPATA31A6
420	SPATA31E1
421	SRMS
422	SRP68
423	STK19
424	SUPT7L
425	TAGLN3
426	TARS
427	TBC1D10A
428	TBC1D8B
429	TBX19
430	TCHHL1
431	TELO2
432	TFPI2
433	TGFB1I1
434	THEM5
435	TIMP4
436	TMC8
437	TMEM106C
438	TMEM132A
439	TMEM143
440	TMEM202
441	TMEM79
442	TRIB2
443	TRIM15
444	TRIM45
445	TRIML1
446	TRMT1L
447	TROAP
448	TSHR
449	TUBB4A
450	TUBG1
451	TYW3
452	UFL1
453	UGT2B28
454	UNCX
455	VAT1
456	VCAM1
457	VIM
458	VSTM2A
459	WDR45B
460	ZNF572
461	ZSCAN9
462	ZSWIM2
463	ZXDC
464	C9orf78
465	CCDC88B
466	DCLRE1A
467	AADACL4
468	AAGAB
469	AAMP
470	AARD
471	ABCB8
472	ABCG4
473	ABHD1
474	ABHD3
475	ACCS
476	ACOT2
477	ACOT8
478	ACPT
479	ADAD1
480	ADAM15
481	ADAMTS14
482	ADCY4
483	ADORA3
484	ADRA1D
485	AEBP1
486	AES
487	AGA
488	AGL
