	A	B	Mean_A	Mean_B	H-statistic	P-value	Decision
0	SBS1	SBS2	0.5683709869203329	0.6896551724137931	23.344317215020155	1.3544307152638752e-06	Rank medians are different
1	SBS1	SBS5	0.5683709869203329	1.7288941736028538	167.51186117090512	2.585971772502349e-38	Rank medians are different
2	SBS1	SBS7a	0.5683709869203329	0.3103448275862069	62.95154028886234	2.1185531489755177e-15	Rank medians are different
3	SBS1	SBS10b	0.5683709869203329	0.4708680142687277	51.18352195078435	8.412180999982889e-13	Rank medians are different
4	SBS1	SBS13	0.5683709869203329	0.8608799048751486	8.503671599433424	0.003544305700030088	Rank medians are different
5	SBS1	SBS15	0.5683709869203329	0.4875148632580262	31.68557764972101	1.8126331096104037e-08	Rank medians are different
6	SBS2	SBS5	0.6896551724137931	1.7288941736028538	273.1373105353801	2.3505009874456288e-61	Rank medians are different
7	SBS2	SBS7a	0.6896551724137931	0.3103448275862069	10.198794154062353	0.001405325174066639	Rank medians are different
8	SBS2	SBS10b	0.6896551724137931	0.4708680142687277	5.231852968764261	0.0221768945789683	Rank medians are different
9	SBS2	SBS13	0.6896551724137931	0.8608799048751486	3.2656006018160824	0.07074711172382658	Rank medians are similar
10	SBS2	SBS15	0.6896551724137931	0.4875148632580262	0.6663921807771738	0.41431229196653574	Rank medians are similar
11	SBS5	SBS7a	1.7288941736028538	0.3103448275862069	364.15365390408954	3.5087462642796623e-81	Rank medians are different
12	SBS5	SBS10b	1.7288941736028538	0.4708680142687277	349.0064911758956	6.974146929561936e-78	Rank medians are different
13	SBS5	SBS13	1.7288941736028538	0.8608799048751486	218.27013703336047	2.1563410059681592e-49	Rank medians are different
14	SBS5	SBS15	1.7288941736028538	0.4875148632580262	299.3837363130041	4.4878147703143654e-67	Rank medians are different
15	SBS7a	SBS10b	0.3103448275862069	0.4708680142687277	0.8678222292742171	0.3515589139476356	Rank medians are similar
16	SBS7a	SBS13	0.3103448275862069	0.8608799048751486	24.47857547039531	7.514074778972832e-07	Rank medians are different
17	SBS7a	SBS15	0.3103448275862069	0.4875148632580262	5.640446020954608	0.017550741726740194	Rank medians are different
18	SBS10b	SBS13	0.4708680142687277	0.8608799048751486	16.780944522972696	4.195247805226799e-05	Rank medians are different
19	SBS10b	SBS15	0.4708680142687277	0.4875148632580262	2.19137823790316	0.13878508113387103	Rank medians are similar
20	SBS13	SBS15	0.8608799048751486	0.4875148632580262	6.93252005639281	0.008464234215354173	Rank medians are different
