Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-2F-A9KO-01A-11D-A38G-08	26	50	72	0	0	2	3
TCGA-2F-A9KP-01A-11D-A38G-08	7	9	3	0	12	2	5
TCGA-2F-A9KQ-01A-11D-A38G-08	1	0	6	3	0	2	3
TCGA-2F-A9KR-01A-11D-A38G-08	20	8	39	0	13	0	5
TCGA-2F-A9KT-01A-11D-A38G-08	28	33	12	18	2	0	0
TCGA-2F-A9KW-01A-11D-A38G-08	7	3	16	1	1	3	5
TCGA-4Z-AA7M-01A-11D-A391-08	36	40	46	0	7	0	10
TCGA-4Z-AA7N-01A-11D-A391-08	1	4	0	0	0	0	0
TCGA-4Z-AA7O-01A-31D-A391-08	15	17	0	0	13	4	4
TCGA-4Z-AA7Q-01A-11D-A391-08	2	13	35	0	1	0	2
TCGA-4Z-AA7R-01A-11D-A391-08	25	34	0	13	8	5	2
TCGA-4Z-AA7S-01A-11D-A391-08	2	0	0	0	11	6	3
TCGA-4Z-AA7W-01A-11D-A391-08	43	79	0	8	0	16	0
TCGA-4Z-AA7Y-01A-11D-A391-08	29	22	0	9	6	0	3
TCGA-4Z-AA80-01A-11D-A391-08	24	20	35	9	3	12	7
TCGA-4Z-AA81-01A-11D-A391-08	22	19	0	15	2	0	0
TCGA-4Z-AA82-01A-11D-A391-08	2	6	0	9	7	0	0
TCGA-4Z-AA83-01A-11D-A391-08	5	8	1	10	4	0	0
TCGA-4Z-AA84-01A-11D-A391-08	82	5	0	0	13	28	5
TCGA-4Z-AA86-01A-11D-A391-08	18	13	18	0	1	2	1
TCGA-4Z-AA87-01A-11D-A391-08	21	17	14	3	13	0	0
TCGA-4Z-AA89-01A-11D-A391-08	7	13	2	0	2	1	2
TCGA-5N-A9KI-01A-31D-A42E-08	11	1	4	4	14	3	5
TCGA-5N-A9KM-01A-11D-A42E-08	3	3	0	23	0	27	2
TCGA-BL-A0C8-01A-11D-A271-08	1	11	0	0	21	4	4
TCGA-BL-A13I-01A-11D-A271-08	0	4	6	15	4	0	2
TCGA-BL-A13J-01A-11D-A271-08	6	2	0	14	0	14	0
TCGA-BL-A3JM-01A-12D-A21A-08	11	4	20	5	16	0	5
TCGA-BL-A5ZZ-01A-31D-A30E-08	8	5	0	22	20	0	0
TCGA-BT-A0S7-01A-11D-A10S-08	0	0	0	1	2	3	0
TCGA-BT-A0YX-01A-11D-A10S-08	42	100	5	0	9	0	5
TCGA-BT-A20J-01A-11D-A14W-08	27	29	47	0	9	0	10
TCGA-BT-A20N-01A-11D-A14W-08	9	14	6	0	3	43	0
TCGA-BT-A20O-01A-21D-A14W-08	16	6	0	6	4	8	0
TCGA-BT-A20P-01A-11D-A14W-08	0	8	14	2	2	0	4
TCGA-BT-A20Q-01A-11D-A14W-08	0	5	8	0	1	0	6
TCGA-BT-A20R-01A-12D-A16O-08	27	24	21	2	4	0	9
TCGA-BT-A20T-01A-11D-A14W-08	34	24	0	15	0	1	3
TCGA-BT-A20U-01A-11D-A14W-08	1	7	2	3	1	0	0
TCGA-BT-A20V-01A-11D-A14W-08	1	2	6	4	15	3	7
TCGA-BT-A20W-01A-21D-A14W-08	0	1	0	2	2	3	1
