Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-2F-A9KO-01A-11D-A38G-08	431	160	38	5
TCGA-2F-A9KP-01A-11D-A38G-08	34	32	61	12
TCGA-2F-A9KQ-01A-11D-A38G-08	6	9	50	7
TCGA-2F-A9KR-01A-11D-A38G-08	96	99	44	18
TCGA-2F-A9KT-01A-11D-A38G-08	222	109	45	18
TCGA-2F-A9KW-01A-11D-A38G-08	16	24	70	16
TCGA-4Z-AA7M-01A-11D-A391-08	312	150	116	10
TCGA-4Z-AA7N-01A-11D-A391-08	7	7	9	0
TCGA-4Z-AA7O-01A-31D-A391-08	69	43	93	21
TCGA-4Z-AA7Q-01A-11D-A391-08	173	21	73	8
TCGA-4Z-AA7R-01A-11D-A391-08	207	128	50	20
TCGA-4Z-AA7S-01A-11D-A391-08	0	2	46	11
TCGA-4Z-AA7W-01A-11D-A391-08	457	138	32	0
TCGA-4Z-AA7Y-01A-11D-A391-08	157	126	40	0
TCGA-4Z-AA80-01A-11D-A391-08	195	104	96	63
TCGA-4Z-AA81-01A-11D-A391-08	96	84	41	17
TCGA-4Z-AA82-01A-11D-A391-08	22	26	73	0
TCGA-4Z-AA83-01A-11D-A391-08	20	21	56	4
TCGA-4Z-AA84-01A-11D-A391-08	17	376	210	14
TCGA-4Z-AA86-01A-11D-A391-08	153	64	23	12
TCGA-4Z-AA87-01A-11D-A391-08	110	54	85	16
TCGA-4Z-AA89-01A-11D-A391-08	79	36	34	0
TCGA-5N-A9KI-01A-31D-A42E-08	40	63	74	13
TCGA-5N-A9KM-01A-11D-A42E-08	10	33	200	0
TCGA-BL-A0C8-01A-11D-A271-08	48	17	76	19
TCGA-BL-A13I-01A-11D-A271-08	50	13	62	6
TCGA-BL-A13J-01A-11D-A271-08	45	13	56	0
TCGA-BL-A3JM-01A-12D-A21A-08	61	53	106	7
TCGA-BL-A5ZZ-01A-31D-A30E-08	32	46	108	0
TCGA-BT-A0S7-01A-11D-A10S-08	0	0	37	6
TCGA-BT-A0YX-01A-11D-A10S-08	500	240	4	0
TCGA-BT-A20J-01A-11D-A14W-08	270	178	46	39
TCGA-BT-A20N-01A-11D-A14W-08	93	24	156	7
TCGA-BT-A20O-01A-21D-A14W-08	61	38	102	1
TCGA-BT-A20P-01A-11D-A14W-08	56	0	28	11
TCGA-BT-A20Q-01A-11D-A14W-08	42	23	22	18
TCGA-BT-A20R-01A-12D-A16O-08	140	84	30	34
TCGA-BT-A20T-01A-11D-A14W-08	136	124	39	11
TCGA-BT-A20U-01A-11D-A14W-08	57	24	14	8
TCGA-BT-A20V-01A-11D-A14W-08	18	12	64	17
TCGA-BT-A20W-01A-21D-A14W-08	21	4	42	10
TCGA-BT-A20X-01A-11D-A16O-08	15	1	49	13
TCGA-BT-A2LA-01A-11D-A18F-08	34	30	122	9
TCGA-BT-A2LB-01A-11D-A18F-08	63	380	266	28
TCGA-BT-A2LD-01A-12D-A20D-08	7	14	82	11
TCGA-BT-A3PH-01A-11D-A21Z-08	392	101	40	0
TCGA-BT-A3PJ-01A-21D-A21Z-08	174	258	143	24
TCGA-BT-A3PK-01A-21D-A21Z-08	109	55	241	0
TCGA-BT-A42B-01A-32D-A23M-08	3	8	61	4
TCGA-BT-A42C-01A-11D-A23M-08	161	75	145	31
TCGA-BT-A42E-01A-11D-A23U-08	111	27	41	4
TCGA-BT-A42F-01A-11D-A23U-08	116	61	10	0
TCGA-C4-A0EZ-01A-21D-A10S-08	37	40	120	23
TCGA-C4-A0F0-01A-12D-A10S-08	16	7	80	0
TCGA-C4-A0F1-01A-11D-A10S-08	61	53	53	25
TCGA-C4-A0F6-01A-11D-A10S-08	111	32	68	18
TCGA-C4-A0F7-01A-11D-A10S-08	6	10	66	10
TCGA-CF-A1HR-01A-11D-A13W-08	160	85	34	8
TCGA-CF-A1HS-01A-11D-A13W-08	201	0	65	11
TCGA-CF-A27C-01A-11D-A16O-08	102	41	31	0
TCGA-CF-A3MF-01A-12D-A21A-08	0	3	21	0
TCGA-CF-A3MG-01A-11D-A20D-08	73	36	45	1
