	Hugo_Symbol
0	TAF1L
1	CDH1
2	TOPAZ1
3	LILRA1
4	MUC16
5	PCK1
6	SMG8
7	CELSR2
8	KCND2
9	PCDH18
10	RBP3
11	TCHH
12	ACCSL
13	CD19
14	CHI3L1
15	EIF4A2
16	KRT6B
17	LILRA5
18	MCM7
19	MYLK2
20	SLITRK1
21	PARP3
22	ABRA
23	ACRBP
24	BAP1
25	CA9
26	ENTPD2
27	FAM124B
28	FGG
29	HSPA5
30	KIR3DL2
31	KRT1
32	KRT25
33	KRT28
34	MED12
35	PTGER2
36	SPATA31D1
37	TSPYL2
38	ZFYVE19
39	SRPR
40	FAT4
41	PRSS38
42	SDPR
43	ADCY8
44	AKAP17A
45	APEX2
46	APOBR
47	ATHL1
48	ATP1A4
49	ATP4A
50	BARHL2
51	BRS3
52	BTBD19
53	C10orf2
54	CAV1
55	CTCFL
56	CYB5R1
57	CYP11B1
58	CYP11B2
59	CYP2A13
60	DDX43
61	EEPD1
62	EXOC4
63	FAM96A
64	FASTKD3
65	FLG2
66	GPR149
67	HNRNPK
68	HYOU1
69	ITPKC
70	KIF14
71	KIR3DL1
72	KRT4
73	KRT74
74	KRT84
75	KRT9
76	LILRB2
77	LYSMD1
78	MAML2
79	MAT2A
80	NAB2
81	NEFL
82	NEIL1
83	NOA1
84	NPAS4
85	PAGE1
86	PBDC1
87	PKDREJ
88	PM20D1
89	PSG1
90	PTGS2
91	RCOR2
92	RECQL4
93	RNFT1
94	RPS6
95	SSX7
96	TACR2
97	TBX3
98	UGT2B10
99	NMUR1
100	ABCF3
101	AGAP5
102	ALKBH1
103	ALOXE3
104	AMBP
105	AP4B1
106	ARHGEF26
107	ARL6IP6
108	ARMC12
109	ASB17
110	B4GALT3
111	BIRC7
112	BPIFB3
113	C19orf40
114	CBLN4
115	CCR7
116	CD2
117	CDCA2
118	CDK11A
119	CHRD
120	CLEC18C
121	CLRN2
122	CLRN3
123	COA6
124	CSMD3
125	CST8
126	CTSF
127	CYP1A2
128	DCST2
129	DFNB59
130	DLX5
131	EEF2
132	EIF3L
133	EME1
134	EMILIN1
135	EMILIN3
136	EPHX3
137	EPX
138	EXOSC9
139	FAM155B
140	FAM205A
141	FAM47C
142	FCGR1A
143	FIBP
144	FN1
145	FOXA1
146	GDF9
147	GHSR
148	GLDC
149	GORAB
150	GPKOW
151	GRID1
152	GRXCR1
153	GYLTL1B
154	H3F3A
155	HAO1
156	HEATR1
157	HSPA8
158	IBSP
159	IDH3B
160	IGBP1
161	ITPR3
162	KBTBD4
163	KCNH3
164	KCNH7
165	KCNK18
166	KIAA1210
167	KIF17
168	KNSTRN
169	KRT27
170	KRT3
171	KRT6C
172	KRT79
173	KRT82
174	KRT85
175	LDB2
176	LIPN
177	LRIF1
178	LTK
179	LUZP4
180	MAGEC1
181	MAGEE1
182	MAPK15
183	MEFV
184	MEP1A
185	METTL11B
186	MKS1
187	MMP3
188	MMP9
189	MOGAT3
190	MPHOSPH10
191	MRPL45
192	MRPL9
193	MST1R
194	MYOC
195	NAIF1
