Samples	SBS96A	SBS96B
TCGA-2F-A9KO-01A-11D-A38G-08	524	13
TCGA-2F-A9KP-01A-11D-A38G-08	56	78
TCGA-2F-A9KQ-01A-11D-A38G-08	16	45
TCGA-2F-A9KR-01A-11D-A38G-08	137	77
TCGA-2F-A9KT-01A-11D-A38G-08	250	79
TCGA-2F-A9KW-01A-11D-A38G-08	29	79
TCGA-4Z-AA7M-01A-11D-A391-08	412	70
TCGA-4Z-AA7N-01A-11D-A391-08	9	8
TCGA-4Z-AA7O-01A-31D-A391-08	96	103
TCGA-4Z-AA7Q-01A-11D-A391-08	185	57
TCGA-4Z-AA7R-01A-11D-A391-08	261	85
TCGA-4Z-AA7S-01A-11D-A391-08	2	56
TCGA-4Z-AA7W-01A-11D-A391-08	503	0
TCGA-4Z-AA7Y-01A-11D-A391-08	230	43
TCGA-4Z-AA80-01A-11D-A391-08	227	178
TCGA-4Z-AA81-01A-11D-A391-08	142	58
TCGA-4Z-AA82-01A-11D-A391-08	48	62
TCGA-4Z-AA83-01A-11D-A391-08	31	51
TCGA-4Z-AA84-01A-11D-A391-08	276	206
TCGA-4Z-AA86-01A-11D-A391-08	183	28
TCGA-4Z-AA87-01A-11D-A391-08	131	94
TCGA-4Z-AA89-01A-11D-A391-08	100	27
TCGA-5N-A9KI-01A-31D-A42E-08	83	97
TCGA-5N-A9KM-01A-11D-A42E-08	35	191
TCGA-BL-A0C8-01A-11D-A271-08	44	91
TCGA-BL-A13I-01A-11D-A271-08	67	57
TCGA-BL-A13J-01A-11D-A271-08	60	39
TCGA-BL-A3JM-01A-12D-A21A-08	97	96
TCGA-BL-A5ZZ-01A-31D-A30E-08	59	89
TCGA-BT-A0S7-01A-11D-A10S-08	0	40
TCGA-BT-A0YX-01A-11D-A10S-08	576	18
TCGA-BT-A20J-01A-11D-A14W-08	345	95
TCGA-BT-A20N-01A-11D-A14W-08	111	138
TCGA-BT-A20O-01A-21D-A14W-08	93	83
TCGA-BT-A20P-01A-11D-A14W-08	46	27
TCGA-BT-A20Q-01A-11D-A14W-08	47	34
TCGA-BT-A20R-01A-12D-A16O-08	178	62
TCGA-BT-A20T-01A-11D-A14W-08	206	49
TCGA-BT-A20U-01A-11D-A14W-08	65	24
TCGA-BT-A20V-01A-11D-A14W-08	25	75
TCGA-BT-A20W-01A-21D-A14W-08	22	49
TCGA-BT-A20X-01A-11D-A16O-08	17	52
TCGA-BT-A2LA-01A-11D-A18F-08	51	115
TCGA-BT-A2LB-01A-11D-A18F-08	305	266
TCGA-BT-A2LD-01A-12D-A20D-08	16	86
TCGA-BT-A3PH-01A-11D-A21Z-08	425	0
TCGA-BT-A3PJ-01A-21D-A21Z-08	332	159
TCGA-BT-A3PK-01A-21D-A21Z-08	175	173
TCGA-BT-A42B-01A-32D-A23M-08	9	53
TCGA-BT-A42C-01A-11D-A23M-08	197	155
TCGA-BT-A42E-01A-11D-A23U-08	123	35
TCGA-BT-A42F-01A-11D-A23U-08	158	0
TCGA-C4-A0EZ-01A-21D-A10S-08	68	133
TCGA-C4-A0F0-01A-12D-A10S-08	22	74
TCGA-C4-A0F1-01A-11D-A10S-08	88	76
TCGA-C4-A0F6-01A-11D-A10S-08	123	73
TCGA-C4-A0F7-01A-11D-A10S-08	1	67
TCGA-CF-A1HR-01A-11D-A13W-08	200	59
TCGA-CF-A1HS-01A-11D-A13W-08	194	37
TCGA-CF-A27C-01A-11D-A16O-08	139	14
TCGA-CF-A3MF-01A-12D-A21A-08	3	18
TCGA-CF-A3MG-01A-11D-A20D-08	94	45
TCGA-CF-A3MH-01A-11D-A20D-08	9	31
TCGA-CF-A3MI-01A-11D-A20D-08	28	41
TCGA-CF-A47S-01A-11D-A23U-08	3	18
TCGA-CF-A47T-01A-11D-A23U-08	5	19
TCGA-CF-A47V-01A-11D-A23U-08	47	51
TCGA-CF-A47W-01A-11D-A23U-08	3	27
TCGA-CF-A47X-01A-31D-A23U-08	240	70
TCGA-CF-A47Y-01A-11D-A23U-08	35	30
TCGA-CF-A5U8-01A-11D-A289-08	3	61
TCGA-CF-A5UA-01A-11D-A289-08	13	67
TCGA-CF-A7I0-01A-22D-A34U-08	26	23
TCGA-CF-A8HX-01A-11D-A364-08	34	26
TCGA-CF-A8HY-01A-11D-A364-08	20	56
TCGA-CF-A9FF-01A-11D-A38G-08	111	27
TCGA-CF-A9FH-01A-11D-A38G-08	1	37
TCGA-CF-A9FL-01A-11D-A38G-08	1	48
TCGA-CF-A9FM-01A-11D-A38G-08	0	23
TCGA-CU-A0YN-01A-21D-A10S-08	19	149
TCGA-CU-A0YO-01A-11D-A10S-08	37	51
TCGA-CU-A0YR-01A-12D-A10S-08	28	103
TCGA-CU-A3KJ-01A-11D-A21A-08	154	67
TCGA-CU-A3QU-01A-11D-A22Z-08	43	49
TCGA-CU-A3YL-01A-11D-A22Z-08	174	43
TCGA-CU-A5W6-01A-11D-A289-08	136	55
