	TSS-DRIP	TTS-DRIP	Mean_TSS-DRIP	Mean_TTS-DRIP	H-statistic	P-value	Decision
0	SBS1	SBS1	0.5164051355206848	0.5546318289786223	0.09773363168733361	0.7545665045601598	Rank medians are similar
1	SBS2	SBS2	0.5420827389443652	0.7945368171021377	0.1895168868636691	0.6633190128494426	Rank medians are similar
2	SBS5	SBS5	1.2339514978601998	1.7387173396674585	1.9724646069718215	0.1601865006806777	Rank medians are similar
3	SBS10b	SBS10b	0.5492154065620543	0.4643705463182898	3.9581081925949073	0.046646098826916456	Rank medians are different
4	SBS13	SBS13	0.6019971469329529	0.850356294536817	4.0453503651966995	0.04429318346580878	Rank medians are different
