Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-2F-A9KO-01A-11D-A38G-08	41	74	24	0	14
TCGA-2F-A9KP-01A-11D-A38G-08	7	10	0	16	5
TCGA-2F-A9KQ-01A-11D-A38G-08	3	0	8	0	4
TCGA-2F-A9KR-01A-11D-A38G-08	29	20	5	20	11
TCGA-2F-A9KT-01A-11D-A38G-08	35	43	9	6	0
TCGA-2F-A9KW-01A-11D-A38G-08	10	8	9	2	7
TCGA-4Z-AA7M-01A-11D-A391-08	46	57	11	9	16
TCGA-4Z-AA7N-01A-11D-A391-08	1	4	0	0	0
TCGA-4Z-AA7O-01A-31D-A391-08	15	18	0	17	3
TCGA-4Z-AA7Q-01A-11D-A391-08	10	24	8	3	8
TCGA-4Z-AA7R-01A-11D-A391-08	26	38	11	12	0
TCGA-4Z-AA7S-01A-11D-A391-08	2	0	0	16	4
TCGA-4Z-AA7W-01A-11D-A391-08	42	88	16	0	0
TCGA-4Z-AA7Y-01A-11D-A391-08	32	25	2	9	1
TCGA-4Z-AA80-01A-11D-A391-08	32	30	31	6	11
TCGA-4Z-AA81-01A-11D-A391-08	25	22	7	4	0
TCGA-4Z-AA82-01A-11D-A391-08	2	8	1	13	0
TCGA-4Z-AA83-01A-11D-A391-08	6	9	7	6	0
TCGA-4Z-AA84-01A-11D-A391-08	90	4	22	15	2
TCGA-4Z-AA86-01A-11D-A391-08	24	19	6	1	3
TCGA-4Z-AA87-01A-11D-A391-08	24	23	1	19	1
TCGA-4Z-AA89-01A-11D-A391-08	7	15	1	2	2
TCGA-5N-A9KI-01A-31D-A42E-08	13	1	2	21	5
TCGA-5N-A9KM-01A-11D-A42E-08	3	2	52	0	1
TCGA-BL-A0C8-01A-11D-A271-08	0	11	0	26	4
TCGA-BL-A13I-01A-11D-A271-08	1	6	13	7	4
TCGA-BL-A13J-01A-11D-A271-08	5	1	30	0	0
TCGA-BL-A3JM-01A-12D-A21A-08	17	11	0	25	8
TCGA-BL-A5ZZ-01A-31D-A30E-08	10	5	7	33	0
TCGA-BT-A0S7-01A-11D-A10S-08	0	0	4	2	0
TCGA-BT-A0YX-01A-11D-A10S-08	41	110	0	7	3
TCGA-BT-A20J-01A-11D-A14W-08	40	47	0	17	18
TCGA-BT-A20N-01A-11D-A14W-08	8	15	51	1	0
TCGA-BT-A20O-01A-21D-A14W-08	17	6	11	6	0
TCGA-BT-A20P-01A-11D-A14W-08	1	13	5	4	7
TCGA-BT-A20Q-01A-11D-A14W-08	2	8	0	1	9
TCGA-BT-A20R-01A-12D-A16O-08	34	33	1	7	12
TCGA-BT-A20T-01A-11D-A14W-08	38	27	10	1	1
TCGA-BT-A20U-01A-11D-A14W-08	2	8	1	3	0
TCGA-BT-A20V-01A-11D-A14W-08	2	4	0	24	8
TCGA-BT-A20W-01A-21D-A14W-08	0	1	5	2	1
TCGA-BT-A20X-01A-11D-A16O-08	3	0	12	1	1
TCGA-BT-A2LA-01A-11D-A18F-08	7	3	0	29	4
TCGA-BT-A2LB-01A-11D-A18F-08	70	8	47	17	17
TCGA-BT-A2LD-01A-12D-A20D-08	1	1	5	16	1
TCGA-BT-A3PH-01A-11D-A21Z-08	40	63	9	13	0
TCGA-BT-A3PJ-01A-21D-A21Z-08	48	22	32	5	18
TCGA-BT-A3PK-01A-21D-A21Z-08	5	9	47	12	10
TCGA-BT-A42B-01A-32D-A23M-08	0	1	10	2	0
TCGA-BT-A42C-01A-11D-A23M-08	9	28	33	10	17
TCGA-BT-A42E-01A-11D-A23U-08	11	16	9	1	6
TCGA-BT-A42F-01A-11D-A23U-08	14	14	9	0	2
TCGA-C4-A0EZ-01A-21D-A10S-08	10	7	2	32	0
TCGA-C4-A0F0-01A-12D-A10S-08	0	4	11	5	0
TCGA-C4-A0F1-01A-11D-A10S-08	12	14	0	16	5
TCGA-C4-A0F6-01A-11D-A10S-08	15	27	0	11	2
TCGA-C4-A0F7-01A-11D-A10S-08	2	3	0	17	0
TCGA-CF-A1HR-01A-11D-A13W-08	19	32	0	9	6
TCGA-CF-A1HS-01A-11D-A13W-08	7	38	20	2	5
TCGA-CF-A27C-01A-11D-A16O-08	8	14	7	6	0
TCGA-CF-A3MF-01A-12D-A21A-08	1	0	0	5	0
TCGA-CF-A3MG-01A-11D-A20D-08	9	16	0	12	0
TCGA-CF-A3MH-01A-11D-A20D-08	1	3	5	6	1
TCGA-CF-A3MI-01A-11D-A20D-08	0	5	0	13	3
