Samples	SBS96A	SBS96B	SBS96C
TCGA-2F-A9KO-01A-11D-A38G-08	126	7	20
TCGA-2F-A9KP-01A-11D-A38G-08	14	18	6
TCGA-2F-A9KQ-01A-11D-A38G-08	1	5	9
TCGA-2F-A9KR-01A-11D-A38G-08	37	24	24
TCGA-2F-A9KT-01A-11D-A38G-08	78	10	5
TCGA-2F-A9KW-01A-11D-A38G-08	16	7	13
TCGA-4Z-AA7M-01A-11D-A391-08	97	13	29
TCGA-4Z-AA7N-01A-11D-A391-08	5	0	0
TCGA-4Z-AA7O-01A-31D-A391-08	28	20	5
TCGA-4Z-AA7Q-01A-11D-A391-08	38	9	6
TCGA-4Z-AA7R-01A-11D-A391-08	64	22	1
TCGA-4Z-AA7S-01A-11D-A391-08	0	19	3
TCGA-4Z-AA7W-01A-11D-A391-08	146	0	0
TCGA-4Z-AA7Y-01A-11D-A391-08	49	8	12
TCGA-4Z-AA80-01A-11D-A391-08	61	25	24
TCGA-4Z-AA81-01A-11D-A391-08	45	8	5
TCGA-4Z-AA82-01A-11D-A391-08	8	16	0
TCGA-4Z-AA83-01A-11D-A391-08	16	12	0
TCGA-4Z-AA84-01A-11D-A391-08	60	11	62
TCGA-4Z-AA86-01A-11D-A391-08	38	1	14
TCGA-4Z-AA87-01A-11D-A391-08	40	21	7
TCGA-4Z-AA89-01A-11D-A391-08	23	2	2
TCGA-5N-A9KI-01A-31D-A42E-08	7	24	11
TCGA-5N-A9KM-01A-11D-A42E-08	12	46	0
TCGA-BL-A0C8-01A-11D-A271-08	11	30	0
TCGA-BL-A13I-01A-11D-A271-08	9	21	1
TCGA-BL-A13J-01A-11D-A271-08	11	25	0
TCGA-BL-A3JM-01A-12D-A21A-08	19	29	13
TCGA-BL-A5ZZ-01A-31D-A30E-08	12	43	0
TCGA-BT-A0S7-01A-11D-A10S-08	0	6	0
TCGA-BT-A0YX-01A-11D-A10S-08	161	0	0
TCGA-BT-A20J-01A-11D-A14W-08	76	15	31
TCGA-BT-A20N-01A-11D-A14W-08	34	41	0
TCGA-BT-A20O-01A-21D-A14W-08	20	13	7
TCGA-BT-A20P-01A-11D-A14W-08	16	11	3
TCGA-BT-A20Q-01A-11D-A14W-08	9	1	10
TCGA-BT-A20R-01A-12D-A16O-08	58	4	25
TCGA-BT-A20T-01A-11D-A14W-08	59	0	18
TCGA-BT-A20U-01A-11D-A14W-08	11	3	0
TCGA-BT-A20V-01A-11D-A14W-08	4	28	6
TCGA-BT-A20W-01A-21D-A14W-08	2	7	0
TCGA-BT-A20X-01A-11D-A16O-08	3	12	2
TCGA-BT-A2LA-01A-11D-A18F-08	7	30	6
TCGA-BT-A2LB-01A-11D-A18F-08	53	39	67
TCGA-BT-A2LD-01A-12D-A20D-08	2	22	0
TCGA-BT-A3PH-01A-11D-A21Z-08	107	18	0
TCGA-BT-A3PJ-01A-21D-A21Z-08	57	19	49
TCGA-BT-A3PK-01A-21D-A21Z-08	18	56	9
TCGA-BT-A42B-01A-32D-A23M-08	1	12	0
TCGA-BT-A42C-01A-11D-A23M-08	42	42	13
TCGA-BT-A42E-01A-11D-A23U-08	27	6	10
TCGA-BT-A42F-01A-11D-A23U-08	28	3	8
TCGA-C4-A0EZ-01A-21D-A10S-08	13	38	0
TCGA-C4-A0F0-01A-12D-A10S-08	6	14	0
TCGA-C4-A0F1-01A-11D-A10S-08	21	18	8
TCGA-C4-A0F6-01A-11D-A10S-08	40	13	2
TCGA-C4-A0F7-01A-11D-A10S-08	5	17	0
TCGA-CF-A1HR-01A-11D-A13W-08	48	11	7
TCGA-CF-A1HS-01A-11D-A13W-08	56	16	0
TCGA-CF-A27C-01A-11D-A16O-08	22	13	0
TCGA-CF-A3MF-01A-12D-A21A-08	1	5	0
TCGA-CF-A3MG-01A-11D-A20D-08	24	13	0
TCGA-CF-A3MH-01A-11D-A20D-08	4	12	0
TCGA-CF-A3MI-01A-11D-A20D-08	5	16	0
TCGA-CF-A47S-01A-11D-A23U-08	0	7	0
TCGA-CF-A47T-01A-11D-A23U-08	0	9	1
TCGA-CF-A47V-01A-11D-A23U-08	13	19	1
TCGA-CF-A47W-01A-11D-A23U-08	0	7	0
TCGA-CF-A47X-01A-31D-A23U-08	74	18	3
TCGA-CF-A47Y-01A-11D-A23U-08	13	5	1
TCGA-CF-A5U8-01A-11D-A289-08	2	12	2
TCGA-CF-A5UA-01A-11D-A289-08	2	13	0
TCGA-CF-A7I0-01A-22D-A34U-08	5	12	2
TCGA-CF-A8HX-01A-11D-A364-08	7	3	6
TCGA-CF-A8HY-01A-11D-A364-08	2	20	0
TCGA-CF-A9FF-01A-11D-A38G-08	12	5	12
TCGA-CF-A9FH-01A-11D-A38G-08	0	2	2
TCGA-CF-A9FL-01A-11D-A38G-08	0	8	4
TCGA-CF-A9FM-01A-11D-A38G-08	0	7	0
TCGA-CU-A0YN-01A-21D-A10S-08	8	31	0
TCGA-CU-A0YO-01A-11D-A10S-08	2	19	7
