Samples	SBS96A	SBS96B
TCGA-2F-A9KO-01A-11D-A38G-08	81	22
TCGA-2F-A9KP-01A-11D-A38G-08	15	13
TCGA-2F-A9KQ-01A-11D-A38G-08	2	10
TCGA-2F-A9KR-01A-11D-A38G-08	25	31
TCGA-2F-A9KT-01A-11D-A38G-08	58	2
TCGA-2F-A9KW-01A-11D-A38G-08	14	10
TCGA-4Z-AA7M-01A-11D-A391-08	64	26
TCGA-4Z-AA7N-01A-11D-A391-08	2	0
TCGA-4Z-AA7O-01A-31D-A391-08	12	14
TCGA-4Z-AA7Q-01A-11D-A391-08	26	4
TCGA-4Z-AA7R-01A-11D-A391-08	54	9
TCGA-4Z-AA7S-01A-11D-A391-08	1	10
TCGA-4Z-AA7W-01A-11D-A391-08	101	0
TCGA-4Z-AA7Y-01A-11D-A391-08	41	5
TCGA-4Z-AA80-01A-11D-A391-08	39	29
TCGA-4Z-AA81-01A-11D-A391-08	30	3
TCGA-4Z-AA82-01A-11D-A391-08	5	8
TCGA-4Z-AA83-01A-11D-A391-08	9	10
TCGA-4Z-AA84-01A-11D-A391-08	51	32
TCGA-4Z-AA86-01A-11D-A391-08	30	2
TCGA-4Z-AA87-01A-11D-A391-08	38	4
TCGA-4Z-AA89-01A-11D-A391-08	22	4
TCGA-5N-A9KI-01A-31D-A42E-08	8	15
TCGA-5N-A9KM-01A-11D-A42E-08	9	30
TCGA-BL-A0C8-01A-11D-A271-08	11	16
TCGA-BL-A13I-01A-11D-A271-08	6	9
TCGA-BL-A13J-01A-11D-A271-08	13	9
TCGA-BL-A3JM-01A-12D-A21A-08	13	25
TCGA-BL-A5ZZ-01A-31D-A30E-08	10	26
TCGA-BT-A0S7-01A-11D-A10S-08	0	4
TCGA-BT-A0YX-01A-11D-A10S-08	104	0
TCGA-BT-A20J-01A-11D-A14W-08	54	26
TCGA-BT-A20N-01A-11D-A14W-08	28	15
TCGA-BT-A20O-01A-21D-A14W-08	22	5
TCGA-BT-A20P-01A-11D-A14W-08	9	14
TCGA-BT-A20Q-01A-11D-A14W-08	5	8
TCGA-BT-A20R-01A-12D-A16O-08	44	10
TCGA-BT-A20T-01A-11D-A14W-08	52	3
TCGA-BT-A20U-01A-11D-A14W-08	11	0
TCGA-BT-A20V-01A-11D-A14W-08	4	20
TCGA-BT-A20W-01A-21D-A14W-08	0	5
TCGA-BT-A20X-01A-11D-A16O-08	0	10
TCGA-BT-A2LA-01A-11D-A18F-08	8	27
TCGA-BT-A2LB-01A-11D-A18F-08	53	55
TCGA-BT-A2LD-01A-12D-A20D-08	1	15
TCGA-BT-A3PH-01A-11D-A21Z-08	73	0
TCGA-BT-A3PJ-01A-21D-A21Z-08	35	41
TCGA-BT-A3PK-01A-21D-A21Z-08	14	39
TCGA-BT-A42B-01A-32D-A23M-08	2	7
TCGA-BT-A42C-01A-11D-A23M-08	31	36
TCGA-BT-A42E-01A-11D-A23U-08	22	6
TCGA-BT-A42F-01A-11D-A23U-08	15	8
TCGA-C4-A0EZ-01A-21D-A10S-08	6	28
TCGA-C4-A0F0-01A-12D-A10S-08	3	10
TCGA-C4-A0F1-01A-11D-A10S-08	20	13
TCGA-C4-A0F6-01A-11D-A10S-08	26	12
TCGA-C4-A0F7-01A-11D-A10S-08	5	9
TCGA-CF-A1HR-01A-11D-A13W-08	34	5
TCGA-CF-A1HS-01A-11D-A13W-08	32	17
TCGA-CF-A27C-01A-11D-A16O-08	15	5
TCGA-CF-A3MF-01A-12D-A21A-08	0	5
TCGA-CF-A3MG-01A-11D-A20D-08	14	12
TCGA-CF-A3MH-01A-11D-A20D-08	5	8
TCGA-CF-A3MI-01A-11D-A20D-08	1	8
TCGA-CF-A47S-01A-11D-A23U-08	0	3
TCGA-CF-A47T-01A-11D-A23U-08	0	9
TCGA-CF-A47V-01A-11D-A23U-08	8	12
TCGA-CF-A47W-01A-11D-A23U-08	0	6
TCGA-CF-A47X-01A-31D-A23U-08	47	10
TCGA-CF-A47Y-01A-11D-A23U-08	10	0
TCGA-CF-A5U8-01A-11D-A289-08	3	6
TCGA-CF-A5UA-01A-11D-A289-08	1	12
TCGA-CF-A7I0-01A-22D-A34U-08	9	4
TCGA-CF-A8HX-01A-11D-A364-08	8	2
TCGA-CF-A8HY-01A-11D-A364-08	1	13
TCGA-CF-A9FF-01A-11D-A38G-08	9	4
TCGA-CF-A9FH-01A-11D-A38G-08	0	2
TCGA-CF-A9FL-01A-11D-A38G-08	0	7
TCGA-CF-A9FM-01A-11D-A38G-08	0	5
TCGA-CU-A0YN-01A-21D-A10S-08	13	10
TCGA-CU-A0YO-01A-11D-A10S-08	2	18
TCGA-CU-A0YR-01A-12D-A10S-08	5	22
TCGA-CU-A3KJ-01A-11D-A21A-08	32	7
TCGA-CU-A3QU-01A-11D-A22Z-08	11	4
TCGA-CU-A3YL-01A-11D-A22Z-08	26	17
TCGA-CU-A5W6-01A-11D-A289-08	24	17
TCGA-CU-A72E-01A-12D-A339-08	13	8
TCGA-DK-A1A3-01A-11D-A13W-08	65	19
TCGA-DK-A1A5-01A-11D-A13W-08	33	9
TCGA-DK-A1A6-01A-11D-A13W-08	35	3
TCGA-DK-A1A7-01A-11D-A13W-08	10	21
TCGA-DK-A1AA-01A-11D-A13W-08	4	11
TCGA-DK-A1AB-01A-11D-A13W-08	35	0
TCGA-DK-A1AC-01A-11D-A13W-08	271	34
TCGA-DK-A1AD-01A-11D-A13W-08	21	13
TCGA-DK-A1AE-01A-11D-A13W-08	17	7
TCGA-DK-A1AF-01A-11D-A13W-08	21	5
TCGA-DK-A1AG-01A-11D-A13W-08	24	11
TCGA-DK-A2HX-01A-12D-A18F-08	7	11
TCGA-DK-A2I1-01A-11D-A17V-08	23	4
TCGA-DK-A2I2-01A-11D-A17V-08	11	4
TCGA-DK-A2I4-01A-11D-A21A-08	164	10
TCGA-DK-A2I6-01A-12D-A18F-08	36	10
TCGA-DK-A3IK-01A-32D-A21A-08	19	24
TCGA-DK-A3IL-01A-11D-A20D-08	7	19
TCGA-DK-A3IM-01A-11D-A20D-08	2	12
TCGA-DK-A3IN-01A-11D-A20D-08	62	0
TCGA-DK-A3IQ-01A-31D-A20D-08	26	7
TCGA-DK-A3IS-01A-21D-A21A-08	43	11
TCGA-DK-A3IT-01A-31D-A20D-08	67	0
TCGA-DK-A3IU-01A-11D-A20D-08	44	25
TCGA-DK-A3IV-01A-22D-A21A-08	8	0
TCGA-DK-A3WW-01A-22D-A23M-08	193	37
TCGA-DK-A3WX-01A-22D-A22Z-08	3	6
TCGA-DK-A3WY-01A-11D-A22Z-08	7	0
TCGA-DK-A3X1-01A-12D-A22Z-08	149	25
TCGA-DK-A3X2-01A-11D-A22Z-08	7	14
TCGA-DK-A6AV-01A-12D-A30E-08	18	7
TCGA-DK-A6AW-01A-11D-A30E-08	11	701
TCGA-DK-A6B0-01A-11D-A31L-08	0	1
TCGA-DK-A6B1-01A-12D-A30E-08	20	17
TCGA-DK-A6B2-01A-11D-A30E-08	12	17
TCGA-DK-A6B5-01A-11D-A31L-08	28	5
TCGA-DK-A6B6-01A-11D-A30E-08	189	16
TCGA-DK-AA6L-01A-11D-A391-08	47	7
TCGA-DK-AA6M-01A-11D-A391-08	2	6
TCGA-DK-AA6P-01A-11D-A391-08	25	13
TCGA-DK-AA6Q-01A-11D-A391-08	20	1
TCGA-DK-AA6R-01A-11D-A42E-08	15	40
TCGA-DK-AA6S-01A-21D-A391-08	97	0
TCGA-DK-AA6T-01A-11D-A391-08	4	6
TCGA-DK-AA6U-01A-11D-A391-08	67	14
TCGA-DK-AA6W-01A-12D-A391-08	26	19
TCGA-DK-AA6X-01A-12D-A42E-08	9	0
TCGA-DK-AA71-01A-31D-A391-08	94	12
TCGA-DK-AA74-01A-11D-A391-08	26	8
TCGA-DK-AA75-01A-11D-A391-08	48	28
TCGA-DK-AA76-01A-11D-A391-08	35	13
TCGA-DK-AA77-01A-11D-A391-08	12	49
TCGA-E5-A2PC-01A-11D-A202-08	29	21
TCGA-E5-A4TZ-01A-11D-A31L-08	53	26
TCGA-E5-A4U1-01A-11D-A31L-08	96	11
TCGA-E7-A3X6-01A-12D-A22Z-08	15	4
TCGA-E7-A3Y1-01A-11D-A22Z-08	3	28
TCGA-E7-A4IJ-01A-31D-A26M-08	62	6
TCGA-E7-A4XJ-01A-11D-A26M-08	0	2
TCGA-E7-A519-01A-11D-A26M-08	4	7
TCGA-E7-A541-01A-11D-A26M-08	40	33
TCGA-E7-A5KE-01A-11D-A289-08	14	34
TCGA-E7-A5KF-01A-11D-A289-08	38	1
TCGA-E7-A677-01A-11D-A30E-08	5	30
TCGA-E7-A678-01A-11D-A30E-08	0	4
TCGA-E7-A6MD-01A-41D-A34U-08	59	26
TCGA-E7-A6ME-01A-22D-A32B-08	5	16
TCGA-E7-A6MF-01A-12D-A32B-08	12	0
TCGA-E7-A7DU-01A-11D-A32B-08	42	3
TCGA-E7-A7DV-01A-11D-A339-08	39	7
TCGA-E7-A7PW-01A-11D-A34U-08	10	5
TCGA-E7-A7XN-01A-11D-A34U-08	134	21
TCGA-E7-A85H-01A-11D-A34U-08	20	63
TCGA-E7-A8O7-01A-11D-A364-08	3	4
TCGA-E7-A8O8-01A-11D-A364-08	4	16
TCGA-E7-A97P-01A-11D-A38G-08	11	26
TCGA-E7-A97Q-01A-11D-A38G-08	2	9
TCGA-FD-A3B3-01A-12D-A202-08	17	10
TCGA-FD-A3B4-01A-12D-A202-08	3	8
TCGA-FD-A3B5-01A-11D-A20D-08	12	15
TCGA-FD-A3B6-01A-21D-A20D-08	27	6
TCGA-FD-A3B7-01A-31D-A20D-08	0	7
TCGA-FD-A3B8-01A-31D-A20D-08	3	1
TCGA-FD-A3N5-01A-11D-A21A-08	4	54
TCGA-FD-A3N6-01A-11D-A21A-08	9	13
TCGA-FD-A3NA-01A-11D-A21A-08	27	0
TCGA-FD-A3SJ-01A-12D-A22Z-08	29	20
TCGA-FD-A3SL-01A-21D-A22Z-08	12	27
TCGA-FD-A3SM-01A-11D-A22Z-08	32	0
TCGA-FD-A3SN-01A-12D-A22Z-08	38	19
TCGA-FD-A3SO-01A-11D-A22Z-08	58	18
TCGA-FD-A3SP-01A-31D-A22Z-08	10	16
TCGA-FD-A3SQ-01A-21D-A22Z-08	6	8
TCGA-FD-A3SR-01A-11D-A22Z-08	10	11
TCGA-FD-A3SS-01A-12D-A22Z-08	92	13
TCGA-FD-A43N-01A-11D-A23U-08	21	13
TCGA-FD-A43P-01A-31D-A23U-08	53	18
TCGA-FD-A43S-01A-21D-A23U-08	0	1
TCGA-FD-A43U-01A-11D-A23U-08	2	10
TCGA-FD-A43X-01A-11D-A23U-08	37	16
TCGA-FD-A43Y-01A-21D-A26M-08	0	12
TCGA-FD-A5BR-01A-11D-A26M-08	0	10
TCGA-FD-A5BS-01A-21D-A26M-08	3	3
TCGA-FD-A5BT-01A-11D-A26M-08	25	0
TCGA-FD-A5BU-01A-31D-A26M-08	1	13
TCGA-FD-A5BV-01A-11D-A26M-08	3	18
TCGA-FD-A5BX-01A-11D-A26M-08	76	0
TCGA-FD-A5BY-01A-31D-A289-08	5	5
TCGA-FD-A5BZ-01A-11D-A289-08	9	14
TCGA-FD-A5C0-01A-11D-A289-08	9	23
TCGA-FD-A5C1-01A-11D-A289-08	13	12
TCGA-FD-A62N-01A-11D-A30E-08	0	15
TCGA-FD-A62O-01A-11D-A30E-08	22	14
