Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-3C-AAAU-01A-11D-A41F-09	4	1	10	13	10	3	2	4
TCGA-3C-AALI-01A-11D-A41F-09	301	374	0	24	0	67	26	0
TCGA-3C-AALJ-01A-31D-A41F-09	1	5	18	15	1	2	5	9
TCGA-3C-AALK-01A-11D-A41F-09	7	5	2	19	14	5	4	10
TCGA-4H-AAAK-01A-12D-A41F-09	0	0	0	9	8	7	8	3
TCGA-5L-AAT0-01A-12D-A41F-09	124	63	30	5	0	10	0	25
TCGA-5L-AAT1-01A-12D-A41F-09	977	778	0	16	0	113	3	49
TCGA-5T-A9QA-01A-11D-A41F-09	2	0	0	21	1	0	31	10
TCGA-A1-A0SD-01A-11D-A10Y-09	2	1	15	18	1	0	0	3
TCGA-A1-A0SE-01A-11D-A099-09	4	0	9	3	1	4	5	9
TCGA-A1-A0SF-01A-11D-A142-09	32	2	4	8	6	0	0	4
TCGA-A1-A0SG-01A-11D-A142-09	2	1	6	9	1	6	0	5
TCGA-A1-A0SH-01A-11D-A099-09	41	37	26	5	2	2	8	9
TCGA-A1-A0SI-01A-11D-A142-09	100	140	0	5	0	12	0	2
TCGA-A1-A0SJ-01A-11D-A099-09	5	0	1	11	5	0	7	2
TCGA-A1-A0SK-01A-12D-A099-09	1	2	36	20	0	2	16	9
TCGA-A1-A0SM-01A-11D-A099-09	0	0	15	8	3	7	2	4
TCGA-A1-A0SN-01A-11D-A142-09	7	20	19	16	0	8	6	10
TCGA-A1-A0SO-01A-22D-A099-09	13	16	108	20	23	12	131	50
TCGA-A1-A0SP-01A-11D-A099-09	2	0	10	15	7	0	9	17
TCGA-A1-A0SQ-01A-21D-A142-09	5	2	2	18	5	2	1	1
TCGA-A2-A04N-01A-11D-A10Y-09	7	0	4	13	4	10	8	8
TCGA-A2-A04P-01A-31D-A128-09	2	17	79	11	15	0	29	12
TCGA-A2-A04Q-01A-21W-A050-09	4	4	17	8	5	2	16	12
TCGA-A2-A04R-01A-41D-A117-09	2	9	15	8	15	7	36	9
TCGA-A2-A04T-01A-21W-A050-09	6	7	48	12	5	0	31	10
TCGA-A2-A04U-01A-11D-A10Y-09	1	1	30	17	3	4	8	1
TCGA-A2-A04V-01A-21W-A050-09	4	2	16	12	0	2	7	7
TCGA-A2-A04W-01A-31D-A10Y-09	53	80	0	12	10	13	7	10
TCGA-A2-A04X-01A-21W-A050-09	20	11	0	7	3	0	8	1
TCGA-A2-A04Y-01A-21W-A050-09	4	7	5	9	0	7	21	8
TCGA-A2-A0CK-01A-11D-A228-09	5	0	0	12	6	0	7	1
TCGA-A2-A0CL-01A-11D-A10Y-09	69	74	0	19	1	6	0	0
TCGA-A2-A0CM-01A-31W-A050-09	18	16	13	0	7	0	13	17
