Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-2F-A9KO-01A-11D-A38G-08	54	34	0	15
TCGA-2F-A9KP-01A-11D-A38G-08	9	7	7	5
TCGA-2F-A9KQ-01A-11D-A38G-08	0	4	1	7
TCGA-2F-A9KR-01A-11D-A38G-08	12	19	9	16
TCGA-2F-A9KT-01A-11D-A38G-08	37	19	0	4
TCGA-2F-A9KW-01A-11D-A38G-08	6	12	0	6
TCGA-4Z-AA7M-01A-11D-A391-08	41	30	3	16
TCGA-4Z-AA7N-01A-11D-A391-08	1	1	0	0
TCGA-4Z-AA7O-01A-31D-A391-08	6	6	11	3
TCGA-4Z-AA7Q-01A-11D-A391-08	23	1	1	5
TCGA-4Z-AA7R-01A-11D-A391-08	33	18	12	0
TCGA-4Z-AA7S-01A-11D-A391-08	0	1	7	3
TCGA-4Z-AA7W-01A-11D-A391-08	75	25	1	0
TCGA-4Z-AA7Y-01A-11D-A391-08	23	17	3	3
TCGA-4Z-AA80-01A-11D-A391-08	19	25	15	9
TCGA-4Z-AA81-01A-11D-A391-08	14	16	3	0
TCGA-4Z-AA82-01A-11D-A391-08	4	0	8	1
TCGA-4Z-AA83-01A-11D-A391-08	4	5	10	0
TCGA-4Z-AA84-01A-11D-A391-08	1	68	6	8
TCGA-4Z-AA86-01A-11D-A391-08	18	11	3	0
TCGA-4Z-AA87-01A-11D-A391-08	18	20	4	0
TCGA-4Z-AA89-01A-11D-A391-08	17	6	0	3
TCGA-5N-A9KI-01A-31D-A42E-08	1	6	15	1
TCGA-5N-A9KM-01A-11D-A42E-08	8	1	29	1
TCGA-BL-A0C8-01A-11D-A271-08	11	0	9	7
TCGA-BL-A13I-01A-11D-A271-08	7	0	6	2
TCGA-BL-A13J-01A-11D-A271-08	4	9	9	0
TCGA-BL-A3JM-01A-12D-A21A-08	4	9	22	3
TCGA-BL-A5ZZ-01A-31D-A30E-08	5	4	27	0
TCGA-BT-A0S7-01A-11D-A10S-08	0	0	3	1
TCGA-BT-A0YX-01A-11D-A10S-08	76	28	0	0
TCGA-BT-A20J-01A-11D-A14W-08	37	26	0	17
TCGA-BT-A20N-01A-11D-A14W-08	14	14	15	0
TCGA-BT-A20O-01A-21D-A14W-08	5	16	6	0
TCGA-BT-A20P-01A-11D-A14W-08	8	2	6	7
TCGA-BT-A20Q-01A-11D-A14W-08	7	0	0	6
TCGA-BT-A20R-01A-12D-A16O-08	23	23	0	8
TCGA-BT-A20T-01A-11D-A14W-08	21	31	3	0
TCGA-BT-A20U-01A-11D-A14W-08	8	2	1	0
TCGA-BT-A20V-01A-11D-A14W-08	4	1	12	7
TCGA-BT-A20W-01A-21D-A14W-08	0	0	3	2
TCGA-BT-A20X-01A-11D-A16O-08	0	0	6	4
TCGA-BT-A2LA-01A-11D-A18F-08	3	4	24	4
TCGA-BT-A2LB-01A-11D-A18F-08	9	59	18	22
TCGA-BT-A2LD-01A-12D-A20D-08	1	1	12	2
TCGA-BT-A3PH-01A-11D-A21Z-08	42	25	6	0
TCGA-BT-A3PJ-01A-21D-A21Z-08	15	31	7	23
TCGA-BT-A3PK-01A-21D-A21Z-08	6	10	32	5
TCGA-BT-A42B-01A-32D-A23M-08	2	0	7	0
