Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-2F-A9KO-01A-11D-A38G-08	29	43	0	12
TCGA-2F-A9KP-01A-11D-A38G-08	6	6	3	2
TCGA-2F-A9KQ-01A-11D-A38G-08	2	0	1	7
TCGA-2F-A9KR-01A-11D-A38G-08	19	14	6	6
TCGA-2F-A9KT-01A-11D-A38G-08	17	30	0	0
TCGA-2F-A9KW-01A-11D-A38G-08	6	8	0	8
TCGA-4Z-AA7M-01A-11D-A391-08	21	34	0	14
TCGA-4Z-AA7N-01A-11D-A391-08	1	1	0	0
TCGA-4Z-AA7O-01A-31D-A391-08	6	6	6	2
TCGA-4Z-AA7Q-01A-11D-A391-08	1	21	0	4
TCGA-4Z-AA7R-01A-11D-A391-08	19	21	8	2
TCGA-4Z-AA7S-01A-11D-A391-08	0	0	4	2
TCGA-4Z-AA7W-01A-11D-A391-08	25	60	0	1
TCGA-4Z-AA7Y-01A-11D-A391-08	18	15	0	2
TCGA-4Z-AA80-01A-11D-A391-08	21	16	10	5
TCGA-4Z-AA81-01A-11D-A391-08	12	11	4	1
TCGA-4Z-AA82-01A-11D-A391-08	0	3	7	0
TCGA-4Z-AA83-01A-11D-A391-08	4	1	10	0
TCGA-4Z-AA84-01A-11D-A391-08	52	3	0	9
TCGA-4Z-AA86-01A-11D-A391-08	11	14	2	1
TCGA-4Z-AA87-01A-11D-A391-08	17	15	4	1
TCGA-4Z-AA89-01A-11D-A391-08	7	13	0	1
TCGA-5N-A9KI-01A-31D-A42E-08	5	1	12	0
TCGA-5N-A9KM-01A-11D-A42E-08	1	6	19	0
TCGA-BL-A0C8-01A-11D-A271-08	1	11	6	6
TCGA-BL-A13I-01A-11D-A271-08	0	5	3	2
TCGA-BL-A13J-01A-11D-A271-08	8	3	6	0
TCGA-BL-A3JM-01A-12D-A21A-08	8	3	11	6
TCGA-BL-A5ZZ-01A-31D-A30E-08	4	4	19	0
TCGA-BT-A0S7-01A-11D-A10S-08	0	0	3	1
TCGA-BT-A0YX-01A-11D-A10S-08	30	55	0	0
TCGA-BT-A20J-01A-11D-A14W-08	19	28	0	17
TCGA-BT-A20N-01A-11D-A14W-08	11	9	12	2
TCGA-BT-A20O-01A-21D-A14W-08	10	3	6	0
TCGA-BT-A20P-01A-11D-A14W-08	2	7	4	5
TCGA-BT-A20Q-01A-11D-A14W-08	0	6	0	5
TCGA-BT-A20R-01A-12D-A16O-08	20	13	0	7
TCGA-BT-A20T-01A-11D-A14W-08	21	19	5	0
TCGA-BT-A20U-01A-11D-A14W-08	2	7	1	0
TCGA-BT-A20V-01A-11D-A14W-08	1	1	13	2
TCGA-BT-A20W-01A-21D-A14W-08	0	0	3	1
TCGA-BT-A20X-01A-11D-A16O-08	0	0	5	3
TCGA-BT-A2LA-01A-11D-A18F-08	4	3	18	1
TCGA-BT-A2LB-01A-11D-A18F-08	47	7	10	22
TCGA-BT-A2LD-01A-12D-A20D-08	0	1	8	2
TCGA-BT-A3PH-01A-11D-A21Z-08	26	33	6	0
