Samples	SBS96A
TCGA-3C-AAAU-01A-11D-A41F-09	44
TCGA-3C-AALI-01A-11D-A41F-09	736
TCGA-3C-AALJ-01A-31D-A41F-09	49
TCGA-3C-AALK-01A-11D-A41F-09	60
TCGA-4H-AAAK-01A-12D-A41F-09	32
TCGA-5L-AAT0-01A-12D-A41F-09	242
TCGA-5L-AAT1-01A-12D-A41F-09	1797
TCGA-5T-A9QA-01A-11D-A41F-09	58
TCGA-A1-A0SD-01A-11D-A10Y-09	35
TCGA-A1-A0SE-01A-11D-A099-09	33
TCGA-A1-A0SF-01A-11D-A142-09	49
TCGA-A1-A0SG-01A-11D-A142-09	29
TCGA-A1-A0SH-01A-11D-A099-09	121
TCGA-A1-A0SI-01A-11D-A142-09	242
TCGA-A1-A0SJ-01A-11D-A099-09	28
TCGA-A1-A0SK-01A-12D-A099-09	78
TCGA-A1-A0SM-01A-11D-A099-09	38
TCGA-A1-A0SN-01A-11D-A142-09	77
TCGA-A1-A0SO-01A-22D-A099-09	349
TCGA-A1-A0SP-01A-11D-A099-09	57
TCGA-A1-A0SQ-01A-21D-A142-09	30
TCGA-A2-A04N-01A-11D-A10Y-09	45
TCGA-A2-A04P-01A-31D-A128-09	152
TCGA-A2-A04Q-01A-21W-A050-09	61
TCGA-A2-A04R-01A-41D-A117-09	88
TCGA-A2-A04T-01A-21W-A050-09	108
TCGA-A2-A04U-01A-11D-A10Y-09	59
TCGA-A2-A04V-01A-21W-A050-09	44
TCGA-A2-A04W-01A-31D-A10Y-09	166
TCGA-A2-A04X-01A-21W-A050-09	47
TCGA-A2-A04Y-01A-21W-A050-09	54
TCGA-A2-A0CK-01A-11D-A228-09	28
TCGA-A2-A0CL-01A-11D-A10Y-09	162
TCGA-A2-A0CM-01A-31W-A050-09	78
TCGA-A2-A0CP-01A-11W-A050-09	144
TCGA-A2-A0CQ-01A-21W-A050-09	59
TCGA-A2-A0CR-01A-11D-A228-09	180
TCGA-A2-A0CS-01A-11D-A10Y-09	44
TCGA-A2-A0CT-01A-31W-A071-09	124
TCGA-A2-A0CU-01A-12W-A050-09	56
TCGA-A2-A0CV-01A-31D-A10Y-09	24
TCGA-A2-A0CW-01A-21D-A10Y-09	69
TCGA-A2-A0CX-01A-21W-A019-09	348
TCGA-A2-A0D0-01A-11W-A019-09	91
TCGA-A2-A0D1-01A-11W-A050-09	107
TCGA-A2-A0D2-01A-21W-A050-09	98
TCGA-A2-A0D3-01A-11D-A10Y-09	27
TCGA-A2-A0D4-01A-11W-A019-09	43
TCGA-A2-A0EM-01A-11W-A050-09	45
TCGA-A2-A0EN-01A-13D-A099-09	36
TCGA-A2-A0EO-01A-11W-A050-09	49
TCGA-A2-A0EP-01A-52D-A22X-09	17
TCGA-A2-A0EQ-01A-11W-A050-09	281
TCGA-A2-A0ER-01A-21W-A050-09	45
TCGA-A2-A0ES-01A-11D-A10Y-09	14
TCGA-A2-A0ET-01A-31D-A045-09	58
TCGA-A2-A0EU-01A-22W-A071-09	45
TCGA-A2-A0EV-01A-11W-A050-09	77
TCGA-A2-A0EW-01A-21D-A10Y-09	20
TCGA-A2-A0EX-01A-21W-A050-09	35
