Samples	SBS96A	SBS96B	SBS96C
TCGA-2F-A9KO-01A-11D-A38G-08	77	29	3
TCGA-2F-A9KP-01A-11D-A38G-08	4	6	13
TCGA-2F-A9KQ-01A-11D-A38G-08	1	0	8
TCGA-2F-A9KR-01A-11D-A38G-08	19	22	2
TCGA-2F-A9KT-01A-11D-A38G-08	28	24	0
TCGA-2F-A9KW-01A-11D-A38G-08	4	4	10
TCGA-4Z-AA7M-01A-11D-A391-08	64	53	0
TCGA-4Z-AA7N-01A-11D-A391-08	6	0	0
TCGA-4Z-AA7O-01A-31D-A391-08	19	9	14
TCGA-4Z-AA7Q-01A-11D-A391-08	36	5	5
TCGA-4Z-AA7R-01A-11D-A391-08	28	22	12
TCGA-4Z-AA7S-01A-11D-A391-08	0	1	11
TCGA-4Z-AA7W-01A-11D-A391-08	95	9	0
TCGA-4Z-AA7Y-01A-11D-A391-08	27	18	16
TCGA-4Z-AA80-01A-11D-A391-08	47	17	8
TCGA-4Z-AA81-01A-11D-A391-08	22	17	8
TCGA-4Z-AA82-01A-11D-A391-08	2	0	14
TCGA-4Z-AA83-01A-11D-A391-08	4	2	6
TCGA-4Z-AA84-01A-11D-A391-08	15	135	0
TCGA-4Z-AA86-01A-11D-A391-08	15	26	0
TCGA-4Z-AA87-01A-11D-A391-08	13	16	19
TCGA-4Z-AA89-01A-11D-A391-08	6	9	0
TCGA-5N-A9KI-01A-31D-A42E-08	8	19	11
TCGA-5N-A9KM-01A-11D-A42E-08	2	6	32
TCGA-BL-A0C8-01A-11D-A271-08	8	1	26
TCGA-BL-A13I-01A-11D-A271-08	5	10	11
TCGA-BL-A13J-01A-11D-A271-08	12	0	16
TCGA-BL-A3JM-01A-12D-A21A-08	21	10	15
TCGA-BL-A5ZZ-01A-31D-A30E-08	6	10	16
TCGA-BT-A0S7-01A-11D-A10S-08	0	0	4
TCGA-BT-A0YX-01A-11D-A10S-08	90	55	0
TCGA-BT-A20J-01A-11D-A14W-08	46	28	12
TCGA-BT-A20N-01A-11D-A14W-08	17	0	40
TCGA-BT-A20O-01A-21D-A14W-08	4	12	8
TCGA-BT-A20P-01A-11D-A14W-08	10	1	3
TCGA-BT-A20Q-01A-11D-A14W-08	7	11	3
TCGA-BT-A20R-01A-12D-A16O-08	27	28	7
TCGA-BT-A20T-01A-11D-A14W-08	24	26	0
TCGA-BT-A20U-01A-11D-A14W-08	6	3	0
TCGA-BT-A20V-01A-11D-A14W-08	0	4	17
TCGA-BT-A20W-01A-21D-A14W-08	4	0	9
TCGA-BT-A20X-01A-11D-A16O-08	1	2	10
TCGA-BT-A2LA-01A-11D-A18F-08	7	7	15
TCGA-BT-A2LB-01A-11D-A18F-08	30	132	14
TCGA-BT-A2LD-01A-12D-A20D-08	0	2	13
TCGA-BT-A3PH-01A-11D-A21Z-08	88	3	9
TCGA-BT-A3PJ-01A-21D-A21Z-08	38	63	22
TCGA-BT-A3PK-01A-21D-A21Z-08	23	4	43
TCGA-BT-A42B-01A-32D-A23M-08	0	0	11
TCGA-BT-A42C-01A-11D-A23M-08	32	3	31
TCGA-BT-A42E-01A-11D-A23U-08	12	14	4
TCGA-BT-A42F-01A-11D-A23U-08	20	5	0
TCGA-C4-A0EZ-01A-21D-A10S-08	16	4	18
TCGA-C4-A0F0-01A-12D-A10S-08	7	0	14
TCGA-C4-A0F1-01A-11D-A10S-08	11	14	6
TCGA-C4-A0F6-01A-11D-A10S-08	18	6	8
TCGA-C4-A0F7-01A-11D-A10S-08	4	2	14
TCGA-CF-A1HR-01A-11D-A13W-08	28	19	2
TCGA-CF-A1HS-01A-11D-A13W-08	34	0	11
TCGA-CF-A27C-01A-11D-A16O-08	14	11	0
TCGA-CF-A3MG-01A-11D-A20D-08	15	5	1
TCGA-CF-A3MH-01A-11D-A20D-08	1	1	4
TCGA-CF-A3MI-01A-11D-A20D-08	4	0	12
TCGA-CF-A47S-01A-11D-A23U-08	0	0	7
TCGA-CF-A47V-01A-11D-A23U-08	11	6	6
TCGA-CF-A47W-01A-11D-A23U-08	0	1	3
TCGA-CF-A47X-01A-31D-A23U-08	41	15	11
TCGA-CF-A47Y-01A-11D-A23U-08	4	1	6
TCGA-CF-A5U8-01A-11D-A289-08	0	0	11
TCGA-CF-A5UA-01A-11D-A289-08	1	0	9
TCGA-CF-A7I0-01A-22D-A34U-08	0	0	13
TCGA-CF-A8HX-01A-11D-A364-08	7	5	4
TCGA-CF-A8HY-01A-11D-A364-08	3	1	9
TCGA-CF-A9FF-01A-11D-A38G-08	5	8	15
TCGA-CF-A9FH-01A-11D-A38G-08	0	0	4
TCGA-CF-A9FL-01A-11D-A38G-08	1	1	6
TCGA-CF-A9FM-01A-11D-A38G-08	0	0	2
TCGA-CU-A0YN-01A-21D-A10S-08	1	0	33
TCGA-CU-A0YO-01A-11D-A10S-08	7	6	7
TCGA-CU-A0YR-01A-12D-A10S-08	1	4	29
TCGA-CU-A3KJ-01A-11D-A21A-08	23	15	3
TCGA-CU-A3QU-01A-11D-A22Z-08	9	1	19
TCGA-CU-A3YL-01A-11D-A22Z-08	24	14	0
TCGA-CU-A5W6-01A-11D-A289-08	15	32	9
TCGA-CU-A72E-01A-12D-A339-08	14	3	8
TCGA-DK-A1A3-01A-11D-A13W-08	48	99	0
TCGA-DK-A1A5-01A-11D-A13W-08	41	13	0
TCGA-DK-A1A6-01A-11D-A13W-08	33	13	6
TCGA-DK-A1A7-01A-11D-A13W-08	4	2	41
TCGA-DK-A1AA-01A-11D-A13W-08	2	4	9
TCGA-DK-A1AB-01A-11D-A13W-08	24	6	0
TCGA-DK-A1AC-01A-11D-A13W-08	100	318	0
TCGA-DK-A1AD-01A-11D-A13W-08	18	11	29
TCGA-DK-A1AE-01A-11D-A13W-08	6	12	9
TCGA-DK-A1AF-01A-11D-A13W-08	9	4	0
TCGA-DK-A1AG-01A-11D-A13W-08	11	5	7
TCGA-DK-A2HX-01A-12D-A18F-08	9	4	10
TCGA-DK-A2I1-01A-11D-A17V-08	22	25	1
TCGA-DK-A2I2-01A-11D-A17V-08	2	11	2
TCGA-DK-A2I4-01A-11D-A21A-08	113	106	0
TCGA-DK-A2I6-01A-12D-A18F-08	14	55	2
TCGA-DK-A3IK-01A-32D-A21A-08	11	4	27
TCGA-DK-A3IL-01A-11D-A20D-08	5	2	28
TCGA-DK-A3IM-01A-11D-A20D-08	0	0	22
TCGA-DK-A3IN-01A-11D-A20D-08	19	48	0
TCGA-DK-A3IQ-01A-31D-A20D-08	13	8	7
TCGA-DK-A3IS-01A-21D-A21A-08	37	41	0
TCGA-DK-A3IT-01A-31D-A20D-08	61	31	0
TCGA-DK-A3IU-01A-11D-A20D-08	28	39	3
TCGA-DK-A3IV-01A-22D-A21A-08	3	3	12
TCGA-DK-A3WW-01A-22D-A23M-08	188	96	0
TCGA-DK-A3WX-01A-22D-A22Z-08	2	7	0
TCGA-DK-A3WY-01A-11D-A22Z-08	1	1	1
TCGA-DK-A3X1-01A-12D-A22Z-08	81	128	0
TCGA-DK-A3X2-01A-11D-A22Z-08	8	0	19
TCGA-DK-A6AV-01A-12D-A30E-08	6	5	18
TCGA-DK-A6AW-01A-11D-A30E-08	0	267	360
TCGA-DK-A6B0-01A-11D-A31L-08	0	0	2
TCGA-DK-A6B1-01A-12D-A30E-08	2	6	15
TCGA-DK-A6B2-01A-11D-A30E-08	5	14	20
TCGA-DK-A6B5-01A-11D-A31L-08	16	11	8
TCGA-DK-A6B6-01A-11D-A30E-08	69	189	0
TCGA-DK-AA6L-01A-11D-A391-08	50	11	3
TCGA-DK-AA6M-01A-11D-A391-08	2	5	17
TCGA-DK-AA6P-01A-11D-A391-08	12	16	12
TCGA-DK-AA6Q-01A-11D-A391-08	11	4	3
TCGA-DK-AA6R-01A-11D-A42E-08	26	7	39
TCGA-DK-AA6S-01A-21D-A391-08	79	30	8
TCGA-DK-AA6T-01A-11D-A391-08	3	0	6
TCGA-DK-AA6U-01A-11D-A391-08	21	7	58
TCGA-DK-AA6W-01A-12D-A391-08	14	17	7
TCGA-DK-AA6X-01A-12D-A42E-08	9	8	6
TCGA-DK-AA71-01A-31D-A391-08	82	46	0
TCGA-DK-AA74-01A-11D-A391-08	28	9	7
TCGA-DK-AA75-01A-11D-A391-08	31	112	0
TCGA-DK-AA76-01A-11D-A391-08	12	14	8
TCGA-DK-AA77-01A-11D-A391-08	11	18	44
TCGA-E5-A2PC-01A-11D-A202-08	5	33	14
TCGA-E5-A4TZ-01A-11D-A31L-08	55	1	35
TCGA-E5-A4U1-01A-11D-A31L-08	93	43	0
TCGA-E7-A3X6-01A-12D-A22Z-08	13	3	10
TCGA-E7-A3Y1-01A-11D-A22Z-08	3	0	37
TCGA-E7-A4IJ-01A-31D-A26M-08	33	21	10
TCGA-E7-A4XJ-01A-11D-A26M-08	0	4	3
TCGA-E7-A519-01A-11D-A26M-08	4	1	9
TCGA-E7-A541-01A-11D-A26M-08	35	26	23
TCGA-E7-A5KE-01A-11D-A289-08	15	23	25
TCGA-E7-A5KF-01A-11D-A289-08	26	18	7
TCGA-E7-A677-01A-11D-A30E-08	1	2	55
TCGA-E7-A678-01A-11D-A30E-08	0	0	7
TCGA-E7-A6MD-01A-41D-A34U-08	42	35	21
TCGA-E7-A6ME-01A-22D-A32B-08	0	1	25
TCGA-E7-A6MF-01A-12D-A32B-08	5	2	0
TCGA-E7-A7DU-01A-11D-A32B-08	21	30	0
TCGA-E7-A7DV-01A-11D-A339-08	35	6	4
TCGA-E7-A7PW-01A-11D-A34U-08	4	5	10
TCGA-E7-A7XN-01A-11D-A34U-08	139	39	0
TCGA-E7-A85H-01A-11D-A34U-08	12	9	64
TCGA-E7-A8O7-01A-11D-A364-08	0	0	5
TCGA-E7-A8O8-01A-11D-A364-08	0	5	14
TCGA-E7-A97P-01A-11D-A38G-08	2	4	39
TCGA-E7-A97Q-01A-11D-A38G-08	4	1	12
TCGA-FD-A3B3-01A-12D-A202-08	17	4	8
TCGA-FD-A3B4-01A-12D-A202-08	2	6	10
TCGA-FD-A3B5-01A-11D-A20D-08	5	17	4
TCGA-FD-A3B6-01A-21D-A20D-08	24	17	3
TCGA-FD-A3B7-01A-31D-A20D-08	3	0	11
TCGA-FD-A3B8-01A-31D-A20D-08	0	4	2
TCGA-FD-A3N5-01A-11D-A21A-08	5	10	54
TCGA-FD-A3N6-01A-11D-A21A-08	0	8	9
TCGA-FD-A3NA-01A-11D-A21A-08	3	15	3
TCGA-FD-A3SJ-01A-12D-A22Z-08	18	4	27
TCGA-FD-A3SL-01A-21D-A22Z-08	15	5	36
TCGA-FD-A3SM-01A-11D-A22Z-08	17	7	12
TCGA-FD-A3SN-01A-12D-A22Z-08	10	100	0
TCGA-FD-A3SO-01A-11D-A22Z-08	35	24	11
TCGA-FD-A3SP-01A-31D-A22Z-08	12	3	2
TCGA-FD-A3SQ-01A-21D-A22Z-08	0	3	7
TCGA-FD-A3SR-01A-11D-A22Z-08	11	8	14
TCGA-FD-A3SS-01A-12D-A22Z-08	29	67	0
TCGA-FD-A43N-01A-11D-A23U-08	21	1	24
TCGA-FD-A43P-01A-31D-A23U-08	49	20	26
TCGA-FD-A43U-01A-11D-A23U-08	0	0	12
TCGA-FD-A43X-01A-11D-A23U-08	25	39	5
TCGA-FD-A43Y-01A-21D-A26M-08	3	0	13
TCGA-FD-A5BR-01A-11D-A26M-08	0	4	10
TCGA-FD-A5BS-01A-21D-A26M-08	2	0	1
TCGA-FD-A5BT-01A-11D-A26M-08	20	0	12
TCGA-FD-A5BU-01A-31D-A26M-08	5	0	10
TCGA-FD-A5BV-01A-11D-A26M-08	0	0	13
TCGA-FD-A5BX-01A-11D-A26M-08	49	35	0
TCGA-FD-A5BY-01A-31D-A289-08	1	1	10
TCGA-FD-A5BZ-01A-11D-A289-08	6	9	12
