Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-A2-A25B-01A-11D-A167-09	7	25	58	8
TCGA-A2-A25C-01A-11D-A167-09	4	7	19	5
TCGA-A2-A25D-01A-12D-A16D-09	8	16	18	1
TCGA-A2-A25E-01A-11D-A167-09	6	14	29	5
TCGA-A2-A25F-01A-11D-A167-09	0	0	5	0
TCGA-A2-A3KD-01A-12D-A20S-09	0	10	1	0
TCGA-A2-A3XT-01A-11D-A22X-09	20	16	37	4
TCGA-A2-A3XU-01A-12D-A22X-09	0	11	6	1
TCGA-A2-A3XV-01A-21D-A23C-09	0	22	9	1
TCGA-A2-A3XW-01A-11D-A23C-09	0	1	4	4
TCGA-A2-A3XX-01A-21D-A23C-09	3	12	16	8
TCGA-A2-A3XZ-01A-42D-A23C-09	18	13	1	7
TCGA-A2-A3Y0-01A-11D-A23C-09	28	45	87	0
TCGA-A2-A4S1-01A-21D-A25Q-09	6	24	26	3
TCGA-A2-A4S2-01A-12D-A25Q-09	5	9	15	0
TCGA-A2-A4S3-01A-21D-A25Q-09	9	26	27	6
TCGA-A7-A0CD-01A-11W-A019-09	0	21	10	1
TCGA-A7-A0CE-01A-11W-A019-09	13	20	78	10
TCGA-A7-A0CG-01A-11W-A019-09	15	33	0	8
TCGA-A7-A0CJ-01A-21W-A019-09	6	21	34	4
TCGA-A7-A0D9-01A-31W-A071-09	7	7	4	1
TCGA-A7-A0DA-01A-31D-A10Y-09	12	18	84	7
TCGA-A7-A0DB-01A-11D-A272-09	13	5	16	3
TCGA-A7-A13D-01A-13D-A272-09	15	17	51	5
TCGA-A7-A13E-01A-11D-A272-09	1	10	17	2
TCGA-A7-A13F-01A-11D-A12Q-09	3	9	9	8
TCGA-A7-A13G-01A-11D-A13L-09	7	6	7	0
TCGA-A7-A26E-01A-11D-A272-09	13	13	12	4
TCGA-A7-A26F-01A-21D-A167-09	4	18	10	6
TCGA-A7-A26G-01A-21D-A167-09	15	9	26	2
TCGA-A7-A26H-01A-11D-A167-09	47	29	23	3
TCGA-A7-A26I-01A-11D-A167-09	6	9	17	2
TCGA-A7-A26J-01A-11D-A272-09	2	10	16	1
TCGA-A7-A2KD-01A-31D-A21Q-09	4	24	9	4
TCGA-A7-A3RF-01A-11D-A228-09	1	13	16	0
TCGA-A7-A425-01A-11D-A243-09	0	17	13	0
TCGA-A7-A4SC-01A-12D-A25Q-09	1	7	13	4
TCGA-A7-A4SD-01A-11D-A25Q-09	4	31	2	5
TCGA-A7-A4SE-01A-11D-A25Q-09	32	8	50	0
TCGA-A7-A56D-01A-11D-A27P-09	57	34	15	12
TCGA-A7-A5ZW-01A-12D-A29N-09	8	13	0	5
TCGA-A7-A5ZX-01A-12D-A29N-09	3	2	16	3
TCGA-A7-A6VV-01A-22D-A33E-09	6	19	18	3
