Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-2F-A9KO-01A-11D-A38G-08	226	115	132	0	0	0	1
TCGA-2F-A9KP-01A-11D-A38G-08	26	28	0	23	0	5	26
TCGA-2F-A9KQ-01A-11D-A38G-08	0	7	17	12	0	1	18
TCGA-2F-A9KR-01A-11D-A38G-08	64	68	0	17	13	12	8
TCGA-2F-A9KT-01A-11D-A38G-08	160	78	0	1	9	23	25
TCGA-2F-A9KW-01A-11D-A38G-08	0	16	19	0	34	6	21
TCGA-4Z-AA7M-01A-11D-A391-08	213	102	7	48	20	0	33
TCGA-4Z-AA7N-01A-11D-A391-08	0	6	5	0	0	0	5
TCGA-4Z-AA7O-01A-31D-A391-08	45	35	3	34	24	9	25
TCGA-4Z-AA7Q-01A-11D-A391-08	119	27	0	21	27	1	22
TCGA-4Z-AA7R-01A-11D-A391-08	146	96	5	1	30	22	13
TCGA-4Z-AA7S-01A-11D-A391-08	0	3	0	0	1	7	34
TCGA-4Z-AA7W-01A-11D-A391-08	239	110	113	0	0	0	0
TCGA-4Z-AA7Y-01A-11D-A391-08	107	86	26	6	10	5	0
TCGA-4Z-AA80-01A-11D-A391-08	142	77	0	23	24	43	45
TCGA-4Z-AA81-01A-11D-A391-08	44	54	52	0	0	16	9
TCGA-4Z-AA82-01A-11D-A391-08	14	26	2	0	28	0	27
TCGA-4Z-AA83-01A-11D-A391-08	14	18	0	4	10	4	23
TCGA-4Z-AA84-01A-11D-A391-08	0	204	35	123	33	7	22
TCGA-4Z-AA86-01A-11D-A391-08	70	29	82	0	0	10	0
TCGA-4Z-AA87-01A-11D-A391-08	77	37	14	4	17	12	34
TCGA-4Z-AA89-01A-11D-A391-08	49	27	26	0	0	0	16
TCGA-5N-A9KI-01A-31D-A42E-08	28	47	13	12	26	12	17
TCGA-5N-A9KM-01A-11D-A42E-08	0	19	12	81	56	0	24
TCGA-BL-A0C8-01A-11D-A271-08	6	16	55	6	0	9	22
TCGA-BL-A13I-01A-11D-A271-08	16	8	52	19	2	0	8
TCGA-BL-A13J-01A-11D-A271-08	26	9	0	15	29	0	2
TCGA-BL-A3JM-01A-12D-A21A-08	35	34	24	32	18	0	21
TCGA-BL-A5ZZ-01A-31D-A30E-08	22	34	3	28	16	0	27
TCGA-BT-A0S7-01A-11D-A10S-08	0	0	0	15	13	3	5
TCGA-BT-A0YX-01A-11D-A10S-08	258	175	88	0	0	0	7
TCGA-BT-A20J-01A-11D-A14W-08	134	129	103	0	0	19	13
TCGA-BT-A20N-01A-11D-A14W-08	45	18	20	32	79	8	11
TCGA-BT-A20O-01A-21D-A14W-08	23	17	49	26	32	1	11
TCGA-BT-A20P-01A-11D-A14W-08	31	0	19	0	1	2	11
TCGA-BT-A20Q-01A-11D-A14W-08	27	22	0	7	0	6	13
TCGA-BT-A20R-01A-12D-A16O-08	108	51	0	0	0	15	26
TCGA-BT-A20T-01A-11D-A14W-08	82	84	28	11	0	8	14
TCGA-BT-A20U-01A-11D-A14W-08	40	24	3	0	4	6	8
