	0
-4000	1
-3900	0
-3800	2
-3700	6
-3600	5
-3500	6
-3400	6
-3300	8
-3200	6
-3100	8
-3000	5
-2900	14
-2800	16
-2700	7
-2600	14
-2500	13
-2400	22
-2300	20
-2200	20
-2100	20
-2000	21
-1900	36
-1800	25
-1700	29
-1600	28
-1500	36
-1400	34
-1300	39
-1200	51
-1100	64
-1000	52
-900	62
-800	56
-700	76
-600	73
-500	75
-400	85
-300	75
-200	79
-100	81
0	102
100	82
200	84
300	75
400	86
500	80
600	67
700	66
800	55
900	47
1000	51
1100	42
1200	44
1300	44
1400	39
1500	24
1600	32
1700	30
1800	28
1900	25
2000	29
2100	25
2200	16
2300	20
2400	17
2500	13
2600	5
2700	13
2800	2
2900	5
3000	9
3100	4
3200	1
3300	3
3400	3
3500	0
3600	0
3700	0
3800	0
3900	0
