	0
-4000	2
-3900	0
-3800	3
-3700	6
-3600	8
-3500	12
-3400	9
-3300	14
-3200	16
-3100	15
-3000	20
-2900	29
-2800	23
-2700	23
-2600	23
-2500	28
-2400	39
-2300	41
-2200	30
-2100	41
-2000	48
-1900	51
-1800	44
-1700	57
-1600	58
-1500	62
-1400	71
-1300	65
-1200	90
-1100	89
-1000	109
-900	107
-800	110
-700	130
-600	123
-500	126
-400	131
-300	149
-200	142
-100	130
0	132
100	129
200	152
300	124
400	158
500	143
600	139
700	140
800	103
900	66
1000	105
1100	63
1200	69
1300	67
1400	58
1500	57
1600	59
1700	40
1800	60
1900	49
2000	48
2100	45
2200	30
2300	26
2400	32
2500	22
2600	14
2700	25
2800	3
2900	4
3000	18
3100	10
3200	4
3300	4
3400	2
3500	1
3600	2
3700	1
3800	1
3900	0
