	0
-4000	2
-3900	2
-3800	4
-3700	8
-3600	12
-3500	15
-3400	17
-3300	20
-3200	22
-3100	20
-3000	32
-2900	36
-2800	38
-2700	37
-2600	46
-2500	46
-2400	71
-2300	69
-2200	58
-2100	78
-2000	86
-1900	91
-1800	102
-1700	105
-1600	108
-1500	120
-1400	135
-1300	153
-1200	181
-1100	213
-1000	227
-900	239
-800	234
-700	273
-600	300
-500	302
-400	313
-300	335
-200	344
-100	323
0	338
100	302
200	341
300	303
400	330
500	309
600	297
700	281
800	243
900	179
1000	202
1100	161
1200	170
1300	161
1400	135
1500	108
1600	103
1700	87
1800	99
1900	78
2000	78
2100	70
2200	57
2300	41
2400	46
2500	38
2600	22
2700	31
2800	12
2900	12
3000	27
3100	19
3200	12
3300	13
3400	6
3500	3
3600	5
3700	3
3800	1
3900	1
