Samples	SBS96A	SBS96B
TCGA-3C-AAAU-01A-11D-A41F-09	24	2
TCGA-3C-AALI-01A-11D-A41F-09	39	428
TCGA-3C-AALJ-01A-31D-A41F-09	28	5
TCGA-3C-AALK-01A-11D-A41F-09	35	9
TCGA-4H-AAAK-01A-12D-A41F-09	23	0
TCGA-5L-AAT0-01A-12D-A41F-09	22	146
TCGA-5L-AAT1-01A-12D-A41F-09	0	1202
TCGA-5T-A9QA-01A-11D-A41F-09	36	2
TCGA-A1-A0SD-01A-11D-A10Y-09	26	2
TCGA-A1-A0SE-01A-11D-A099-09	20	6
TCGA-A1-A0SF-01A-11D-A142-09	8	32
TCGA-A1-A0SG-01A-11D-A142-09	17	3
TCGA-A1-A0SH-01A-11D-A099-09	20	71
TCGA-A1-A0SI-01A-11D-A142-09	0	185
TCGA-A1-A0SJ-01A-11D-A099-09	14	3
TCGA-A1-A0SK-01A-12D-A099-09	52	4
TCGA-A1-A0SM-01A-11D-A099-09	27	1
TCGA-A1-A0SN-01A-11D-A142-09	42	17
TCGA-A1-A0SO-01A-22D-A099-09	226	47
TCGA-A1-A0SP-01A-11D-A099-09	38	4
TCGA-A1-A0SQ-01A-21D-A142-09	20	1
TCGA-A2-A04N-01A-11D-A10Y-09	26	9
TCGA-A2-A04P-01A-31D-A128-09	100	18
TCGA-A2-A04Q-01A-21W-A050-09	40	9
TCGA-A2-A04R-01A-41D-A117-09	59	9
TCGA-A2-A04T-01A-21W-A050-09	63	13
TCGA-A2-A04U-01A-11D-A10Y-09	42	2
TCGA-A2-A04V-01A-21W-A050-09	28	4
TCGA-A2-A04W-01A-31D-A10Y-09	34	98
TCGA-A2-A04X-01A-21W-A050-09	17	14
TCGA-A2-A04Y-01A-21W-A050-09	30	14
TCGA-A2-A0CK-01A-11D-A228-09	18	2
TCGA-A2-A0CL-01A-11D-A10Y-09	24	106
TCGA-A2-A0CM-01A-31W-A050-09	21	36
TCGA-A2-A0CP-01A-11W-A050-09	99	8
TCGA-A2-A0CQ-01A-21W-A050-09	42	3
TCGA-A2-A0CR-01A-11D-A228-09	0	132
TCGA-A2-A0CS-01A-11D-A10Y-09	33	0
TCGA-A2-A0CT-01A-31W-A071-09	62	32
TCGA-A2-A0CU-01A-12W-A050-09	32	7
TCGA-A2-A0CV-01A-31D-A10Y-09	17	0
TCGA-A2-A0CW-01A-21D-A10Y-09	30	17
TCGA-A2-A0CX-01A-21W-A019-09	52	210
TCGA-A2-A0D0-01A-11W-A019-09	61	8
TCGA-A2-A0D1-01A-11W-A050-09	60	19
TCGA-A2-A0D2-01A-21W-A050-09	58	16
TCGA-A2-A0D3-01A-11D-A10Y-09	20	1
TCGA-A2-A0D4-01A-11W-A019-09	26	5
TCGA-A2-A0EM-01A-11W-A050-09	31	2
TCGA-A2-A0EN-01A-13D-A099-09	25	2
TCGA-A2-A0EO-01A-11W-A050-09	33	6
TCGA-A2-A0EP-01A-52D-A22X-09	5	7
TCGA-A2-A0EQ-01A-11W-A050-09	41	176
TCGA-A2-A0ER-01A-21W-A050-09	33	2
TCGA-A2-A0ES-01A-11D-A10Y-09	9	1
TCGA-A2-A0ET-01A-31D-A045-09	38	5
TCGA-A2-A0EU-01A-22W-A071-09	30	3
TCGA-A2-A0EV-01A-11W-A050-09	47	11
TCGA-A2-A0EW-01A-21D-A10Y-09	16	1
TCGA-A2-A0EX-01A-21W-A050-09	19	5
TCGA-A2-A0EY-01A-11W-A050-09	70	156
TCGA-A2-A0ST-01A-12D-A099-09	13	4
TCGA-A2-A0SU-01A-11D-A099-09	22	1
TCGA-A2-A0SV-01A-11D-A099-09	33	0
TCGA-A2-A0SW-01A-11D-A099-09	32	17
TCGA-A2-A0SX-01A-12D-A099-09	26	9
TCGA-A2-A0SY-01A-31D-A099-09	26	91
TCGA-A2-A0T0-01A-22D-A099-09	118	28
TCGA-A2-A0T1-01A-21D-A099-09	22	0
TCGA-A2-A0T2-01A-11W-A097-09	19	4
TCGA-A2-A0T3-01A-21D-A10Y-09	28	3
TCGA-A2-A0T4-01A-31D-A099-09	24	0
TCGA-A2-A0T5-01A-21D-A099-09	6	1
TCGA-A2-A0T6-01A-11D-A099-09	18	2
TCGA-A2-A0T7-01A-21D-A099-09	18	1
TCGA-A2-A0YC-01A-11D-A117-09	15	6
TCGA-A2-A0YD-01A-11D-A10G-09	26	30
TCGA-A2-A0YE-01A-11D-A10G-09	24	3
TCGA-A2-A0YF-01A-21D-A10G-09	22	1
TCGA-A2-A0YG-01A-21D-A10G-09	55	6
TCGA-A2-A0YH-01A-11D-A10G-09	44	39
TCGA-A2-A0YI-01A-31D-A10M-09	11	2
TCGA-A2-A0YJ-01A-11D-A10G-09	64	1
TCGA-A2-A0YK-01A-22D-A117-09	0	346
TCGA-A2-A0YL-01A-21D-A10G-09	9	21
TCGA-A2-A0YM-01A-11D-A10G-09	42	14
TCGA-A2-A0YT-01A-11D-A10G-09	48	6
TCGA-A2-A1FV-01A-11D-A13L-09	26	4
TCGA-A2-A1FW-01A-11D-A13L-09	62	3
TCGA-A2-A1FX-01A-11D-A13L-09	19	2
TCGA-A2-A1FZ-01A-51D-A17G-09	22	1
TCGA-A2-A1G0-01A-11D-A13L-09	13	4
TCGA-A2-A1G1-01A-21D-A13L-09	28	3
TCGA-A2-A1G4-01A-11D-A13L-09	25	0
TCGA-A2-A1G6-01A-11D-A13L-09	8	0
TCGA-A2-A259-01A-11D-A16D-09	15	5
TCGA-A2-A25A-01A-12D-A16D-09	277	93
TCGA-A2-A25B-01A-11D-A167-09	85	12
TCGA-A2-A25C-01A-11D-A167-09	27	7
TCGA-A2-A25D-01A-12D-A16D-09	31	10
TCGA-A2-A25E-01A-11D-A167-09	43	9
TCGA-A2-A25F-01A-11D-A167-09	5	0
TCGA-A2-A3KD-01A-12D-A20S-09	11	0
TCGA-A2-A3XT-01A-11D-A22X-09	48	27
TCGA-A2-A3XU-01A-12D-A22X-09	18	0
TCGA-A2-A3XV-01A-21D-A23C-09	32	0
TCGA-A2-A3XW-01A-11D-A23C-09	8	1
TCGA-A2-A3XX-01A-21D-A23C-09	32	5
TCGA-A2-A3XZ-01A-42D-A23C-09	21	17
TCGA-A2-A3Y0-01A-11D-A23C-09	116	38
TCGA-A2-A4S1-01A-21D-A25Q-09	49	8
TCGA-A2-A4S2-01A-12D-A25Q-09	21	8
TCGA-A2-A4S3-01A-21D-A25Q-09	56	12
TCGA-A7-A0CD-01A-11W-A019-09	31	0
TCGA-A7-A0CE-01A-11W-A019-09	95	24
TCGA-A7-A0CG-01A-11W-A019-09	40	13
TCGA-A7-A0CJ-01A-21W-A019-09	55	9
TCGA-A7-A0D9-01A-31W-A071-09	10	8
TCGA-A7-A0DA-01A-31D-A10Y-09	90	26
