Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-DK-A1AF-01A-11D-A13W-08	40	28	2	4
TCGA-DK-A1AG-01A-11D-A13W-08	38	38	26	6
TCGA-DK-A2HX-01A-12D-A18F-08	12	36	31	10
TCGA-DK-A2I1-01A-11D-A17V-08	104	36	6	18
TCGA-DK-A2I2-01A-11D-A17V-08	20	18	42	0
TCGA-DK-A2I4-01A-11D-A21A-08	304	394	0	33
TCGA-DK-A2I6-01A-12D-A18F-08	24	94	119	11
TCGA-DK-A3IK-01A-32D-A21A-08	66	19	76	6
TCGA-DK-A3IL-01A-11D-A20D-08	13	7	112	21
TCGA-DK-A3IM-01A-11D-A20D-08	1	3	56	4
TCGA-DK-A3IN-01A-11D-A20D-08	179	102	46	3
TCGA-DK-A3IQ-01A-31D-A20D-08	48	62	41	5
TCGA-DK-A3IS-01A-21D-A21A-08	142	112	31	9
TCGA-DK-A3IT-01A-31D-A20D-08	241	71	30	2
TCGA-DK-A3IU-01A-11D-A20D-08	155	157	55	0
TCGA-DK-A3IV-01A-22D-A21A-08	14	16	22	10
TCGA-DK-A3WW-01A-22D-A23M-08	514	460	0	44
TCGA-DK-A3WX-01A-22D-A22Z-08	3	6	25	1
TCGA-DK-A3WY-01A-11D-A22Z-08	4	4	1	0
TCGA-DK-A3X1-01A-12D-A22Z-08	354	286	0	92
TCGA-DK-A3X2-01A-11D-A22Z-08	11	16	59	11
TCGA-DK-A6AV-01A-12D-A30E-08	25	25	45	6
TCGA-DK-A6AW-01A-11D-A30E-08	0	0	0	3601
TCGA-DK-A6B0-01A-11D-A31L-08	1	2	19	0
TCGA-DK-A6B1-01A-12D-A30E-08	19	30	60	9
TCGA-DK-A6B2-01A-11D-A30E-08	33	33	99	9
TCGA-DK-A6B5-01A-11D-A31L-08	41	25	29	5
TCGA-DK-A6B6-01A-11D-A30E-08	228	577	0	0
TCGA-DK-AA6L-01A-11D-A391-08	194	104	33	6
TCGA-DK-AA6M-01A-11D-A391-08	6	8	25	15
TCGA-DK-AA6P-01A-11D-A391-08	48	53	37	5
TCGA-DK-AA6Q-01A-11D-A391-08	34	26	40	5
TCGA-DK-AA6R-01A-11D-A42E-08	61	49	156	14
TCGA-DK-AA6S-01A-21D-A391-08	275	166	32	0
TCGA-DK-AA6T-01A-11D-A391-08	13	1	35	15
TCGA-DK-AA6U-01A-11D-A391-08	104	84	144	30
TCGA-DK-AA6W-01A-12D-A391-08	96	58	64	6
TCGA-DK-AA6X-01A-12D-A42E-08	48	20	18	9
TCGA-DK-AA71-01A-31D-A391-08	320	279	0	0
TCGA-DK-AA74-01A-11D-A391-08	95	39	25	8
TCGA-DK-AA75-01A-11D-A391-08	86	211	83	32
TCGA-DK-AA76-01A-11D-A391-08	72	46	65	25
TCGA-DK-AA77-01A-11D-A391-08	42	72	227	0
TCGA-E5-A2PC-01A-11D-A202-08	31	34	122	7
TCGA-E5-A4TZ-01A-11D-A31L-08	189	79	122	15
TCGA-E5-A4U1-01A-11D-A31L-08	269	157	64	8
TCGA-E7-A3X6-01A-12D-A22Z-08	36	18	17	1
TCGA-E7-A3Y1-01A-11D-A22Z-08	9	12	94	7
TCGA-E7-A4IJ-01A-31D-A26M-08	131	67	82	22
TCGA-E7-A4XJ-01A-11D-A26M-08	0	2	34	5
TCGA-E7-A519-01A-11D-A26M-08	5	12	42	0
TCGA-E7-A541-01A-11D-A26M-08	142	112	134	0
TCGA-E7-A5KE-01A-11D-A289-08	22	45	99	8
TCGA-E7-A5KF-01A-11D-A289-08	75	79	17	2
TCGA-E7-A677-01A-11D-A30E-08	17	28	132	15
TCGA-E7-A678-01A-11D-A30E-08	4	3	42	5
TCGA-E7-A6MD-01A-41D-A34U-08	202	131	38	21
TCGA-E7-A6ME-01A-22D-A32B-08	14	2	94	0
TCGA-E7-A6MF-01A-12D-A32B-08	18	19	0	1
TCGA-E7-A7DU-01A-11D-A32B-08	107	106	25	0
TCGA-E7-A7DV-01A-11D-A339-08	177	40	17	16
TCGA-E7-A7PW-01A-11D-A34U-08	21	16	20	13
TCGA-E7-A7XN-01A-11D-A34U-08	548	258	0	0
TCGA-E7-A85H-01A-11D-A34U-08	29	50	245	25
TCGA-E7-A8O7-01A-11D-A364-08	4	2	19	3
TCGA-E7-A8O8-01A-11D-A364-08	10	17	73	9
TCGA-E7-A97P-01A-11D-A38G-08	31	15	112	4
