Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-2F-A9KO-01A-11D-A38G-08	312	142	220	0	0	0	10
TCGA-2F-A9KP-01A-11D-A38G-08	34	35	18	24	39	0	10
TCGA-2F-A9KQ-01A-11D-A38G-08	0	8	21	17	26	0	4
TCGA-2F-A9KR-01A-11D-A38G-08	98	100	0	11	22	23	28
TCGA-2F-A9KT-01A-11D-A38G-08	224	117	0	13	27	18	15
TCGA-2F-A9KW-01A-11D-A38G-08	6	25	29	0	27	40	11
TCGA-4Z-AA7M-01A-11D-A391-08	315	167	0	68	50	29	1
TCGA-4Z-AA7N-01A-11D-A391-08	0	6	15	0	3	0	0
TCGA-4Z-AA7O-01A-31D-A391-08	56	45	45	22	40	20	16
TCGA-4Z-AA7Q-01A-11D-A391-08	173	30	0	30	25	29	7
TCGA-4Z-AA7R-01A-11D-A391-08	174	118	82	0	17	24	20
TCGA-4Z-AA7S-01A-11D-A391-08	0	5	0	0	48	7	10
TCGA-4Z-AA7W-01A-11D-A391-08	394	134	132	0	0	6	0
TCGA-4Z-AA7Y-01A-11D-A391-08	120	110	110	0	4	0	5
TCGA-4Z-AA80-01A-11D-A391-08	185	115	27	27	46	45	54
TCGA-4Z-AA81-01A-11D-A391-08	72	80	77	0	15	0	13
TCGA-4Z-AA82-01A-11D-A391-08	25	26	0	6	33	39	0
TCGA-4Z-AA83-01A-11D-A391-08	26	23	0	11	32	12	2
TCGA-4Z-AA84-01A-11D-A391-08	2	358	53	163	34	40	11
TCGA-4Z-AA86-01A-11D-A391-08	111	57	85	0	3	0	11
TCGA-4Z-AA87-01A-11D-A391-08	83	54	86	0	48	5	12
TCGA-4Z-AA89-01A-11D-A391-08	73	37	24	5	19	0	0
TCGA-5N-A9KI-01A-31D-A42E-08	28	63	30	23	28	27	14
TCGA-5N-A9KM-01A-11D-A42E-08	2	23	14	127	29	75	0
TCGA-BL-A0C8-01A-11D-A271-08	19	11	75	0	50	6	14
TCGA-BL-A13I-01A-11D-A271-08	33	9	35	43	16	8	4
TCGA-BL-A13J-01A-11D-A271-08	25	9	31	16	0	50	0
TCGA-BL-A3JM-01A-12D-A21A-08	30	45	95	28	37	14	3
TCGA-BL-A5ZZ-01A-31D-A30E-08	9	41	60	32	45	12	0
TCGA-BT-A0S7-01A-11D-A10S-08	0	0	0	19	7	14	5
TCGA-BT-A0YX-01A-11D-A10S-08	495	254	5	0	27	0	0
TCGA-BT-A20J-01A-11D-A14W-08	195	167	140	0	34	0	29
TCGA-BT-A20N-01A-11D-A14W-08	53	17	77	30	19	108	11
TCGA-BT-A20O-01A-21D-A14W-08	26	32	73	30	15	37	0
TCGA-BT-A20P-01A-11D-A14W-08	61	0	0	0	19	12	10
TCGA-BT-A20Q-01A-11D-A14W-08	42	26	0	7	16	0	18
TCGA-BT-A20R-01A-12D-A16O-08	162	89	0	0	36	0	32
TCGA-BT-A20T-01A-11D-A14W-08	114	126	62	10	9	3	7
TCGA-BT-A20U-01A-11D-A14W-08	48	25	19	0	8	1	5
TCGA-BT-A20V-01A-11D-A14W-08	24	14	0	12	43	13	21
TCGA-BT-A20W-01A-21D-A14W-08	23	4	0	3	24	23	6
TCGA-BT-A20X-01A-11D-A16O-08	7	2	10	20	7	28	10
TCGA-BT-A2LA-01A-11D-A18F-08	47	44	0	0	121	0	0
TCGA-BT-A2LB-01A-11D-A18F-08	65	340	0	285	35	30	30
TCGA-BT-A2LD-01A-12D-A20D-08	9	17	0	15	58	18	5
TCGA-BT-A3PH-01A-11D-A21Z-08	335	102	108	0	17	0	0
TCGA-BT-A3PJ-01A-21D-A21Z-08	171	239	0	122	26	54	27
TCGA-BT-A3PK-01A-21D-A21Z-08	90	42	10	180	18	93	3
TCGA-BT-A42B-01A-32D-A23M-08	3	10	4	3	43	16	0
TCGA-BT-A42C-01A-11D-A23M-08	90	55	134	43	19	75	29
TCGA-BT-A42E-01A-11D-A23U-08	60	23	100	0	13	0	3
TCGA-BT-A42F-01A-11D-A23U-08	56	45	96	0	0	0	0
TCGA-C4-A0EZ-01A-21D-A10S-08	44	43	2	44	62	35	15
TCGA-C4-A0F0-01A-12D-A10S-08	0	4	38	26	25	22	0
TCGA-C4-A0F1-01A-11D-A10S-08	70	60	0	0	38	23	18
TCGA-C4-A0F6-01A-11D-A10S-08	58	24	122	0	31	0	10
TCGA-C4-A0F7-01A-11D-A10S-08	7	12	0	1	53	19	5
TCGA-CF-A1HR-01A-11D-A13W-08	136	85	64	6	16	0	8
TCGA-CF-A1HS-01A-11D-A13W-08	192	0	0	49	13	33	13
TCGA-CF-A27C-01A-11D-A16O-08	59	33	83	0	7	0	0
TCGA-CF-A3MF-01A-12D-A21A-08	0	4	0	2	16	3	0
TCGA-CF-A3MG-01A-11D-A20D-08	33	26	93	0	18	0	0
TCGA-CF-A3MH-01A-11D-A20D-08	10	2	5	11	20	3	1
TCGA-CF-A3MI-01A-11D-A20D-08	27	10	0	11	31	0	6
TCGA-CF-A47S-01A-11D-A23U-08	0	4	0	0	16	9	1
TCGA-CF-A47T-01A-11D-A23U-08	1	6	0	9	10	1	5
TCGA-CF-A47V-01A-11D-A23U-08	1	9	94	0	13	11	2
TCGA-CF-A47W-01A-11D-A23U-08	0	4	0	4	11	14	3
TCGA-CF-A47X-01A-31D-A23U-08	155	109	98	0	31	0	7
TCGA-CF-A47Y-01A-11D-A23U-08	21	1	23	13	6	12	4
TCGA-CF-A5U8-01A-11D-A289-08	0	3	7	23	17	17	5
TCGA-CF-A5UA-01A-11D-A289-08	22	0	0	0	48	14	10
TCGA-CF-A7I0-01A-22D-A34U-08	4	14	24	6	12	6	2
TCGA-CF-A8HX-01A-11D-A364-08	21	30	0	0	10	14	6
TCGA-CF-A8HY-01A-11D-A364-08	0	0	42	0	14	34	5
TCGA-CF-A9FF-01A-11D-A38G-08	63	66	0	11	16	6	5
TCGA-CF-A9FH-01A-11D-A38G-08	1	1	0	5	18	6	10
TCGA-CF-A9FL-01A-11D-A38G-08	0	3	0	8	19	25	8
TCGA-CF-A9FM-01A-11D-A38G-08	0	0	0	15	7	7	0
TCGA-CU-A0YN-01A-21D-A10S-08	1	17	13	78	35	58	0
TCGA-CU-A0YO-01A-11D-A10S-08	23	24	9	13	31	7	7
TCGA-CU-A0YR-01A-12D-A10S-08	6	15	0	99	21	34	1
TCGA-CU-A3KJ-01A-11D-A21A-08	131	55	0	35	31	26	3
TCGA-CU-A3QU-01A-11D-A22Z-08	37	32	0	17	23	8	12
TCGA-CU-A3YL-01A-11D-A22Z-08	152	88	0	4	23	3	11
TCGA-CU-A5W6-01A-11D-A289-08	38	73	129	0	17	0	3
TCGA-CU-A72E-01A-12D-A339-08	52	27	0	12	24	7	0
TCGA-DK-A1A3-01A-11D-A13W-08	206	365	35	92	12	29	12
TCGA-DK-A1A5-01A-11D-A13W-08	168	100	0	16	19	2	10
TCGA-DK-A1A6-01A-11D-A13W-08	98	27	114	7	0	38	0
TCGA-DK-A1A7-01A-11D-A13W-08	2	28	37	122	47	28	0
TCGA-DK-A1AA-01A-11D-A13W-08	9	9	0	38	10	29	7
TCGA-DK-A1AB-01A-11D-A13W-08	95	77	71	0	1	0	0
TCGA-DK-A1AC-01A-11D-A13W-08	340	1222	304	0	0	0	36
TCGA-DK-A1AD-01A-11D-A13W-08	74	55	25	62	26	32	15
TCGA-DK-A1AE-01A-11D-A13W-08	25	33	59	0	15	9	1
TCGA-DK-A1AF-01A-11D-A13W-08	61	32	2	7	0	9	4
TCGA-DK-A1AG-01A-11D-A13W-08	53	41	44	0	20	0	11
TCGA-DK-A2HX-01A-12D-A18F-08	0	34	70	0	19	1	6
TCGA-DK-A2I1-01A-11D-A17V-08	97	59	61	0	9	0	12
TCGA-DK-A2I2-01A-11D-A17V-08	7	30	32	32	10	0	0
TCGA-DK-A2I4-01A-11D-A21A-08	438	559	95	0	7	0	25
TCGA-DK-A2I6-01A-12D-A18F-08	49	111	0	126	15	44	20
